"Plot Title: mm20211001"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 20676465, SEN S/N: 20676465)","Temp, °F (LGR S/N: 20676465, SEN S/N: 20676465)","Coupler Detached (LGR S/N: 20676465)","Coupler Attached (LGR S/N: 20676465)","Stopped (LGR S/N: 20676465)","End Of File (LGR S/N: 20676465)"
1,10/01/21 01:17:58 PM,8.36,78.22,,,,
2,10/01/21 01:18:58 PM,8.32,78.19,,,,
3,10/01/21 01:19:58 PM,8.33,78.19,,,,
4,10/01/21 01:20:35 PM,,,Logged,,,
5,10/01/21 01:20:36 PM,,,Logged,,,
6,10/01/21 01:20:58 PM,8.34,78.15,,,,
7,10/01/21 01:21:58 PM,8.31,78.26,,,,
8,10/01/21 01:22:58 PM,8.30,78.19,,,,
9,10/01/21 01:23:58 PM,8.28,78.12,,,,
10,10/01/21 01:24:58 PM,8.28,78.08,,,,
11,10/01/21 01:25:58 PM,8.30,78.01,,,,
12,10/01/21 01:26:58 PM,8.31,78.01,,,,
13,10/01/21 01:27:58 PM,8.31,78.04,,,,
14,10/01/21 01:28:58 PM,8.24,78.08,,,,
15,10/01/21 01:29:58 PM,8.27,78.15,,,,
16,10/01/21 01:30:58 PM,8.26,78.15,,,,
17,10/01/21 01:31:58 PM,8.28,78.08,,,,
18,10/01/21 01:32:58 PM,8.29,78.04,,,,
19,10/01/21 01:33:58 PM,8.27,78.01,,,,
20,10/01/21 01:34:58 PM,8.27,77.97,,,,
21,10/01/21 01:35:58 PM,8.28,77.90,,,,
22,10/01/21 01:36:58 PM,8.30,77.86,,,,
23,10/01/21 01:37:58 PM,8.26,77.86,,,,
24,10/01/21 01:38:58 PM,8.29,77.83,,,,
25,10/01/21 01:39:58 PM,8.28,77.83,,,,
26,10/01/21 01:40:58 PM,8.35,77.79,,,,
27,10/01/21 01:41:58 PM,8.33,77.79,,,,
28,10/01/21 01:42:58 PM,8.36,77.76,,,,
29,10/01/21 01:43:58 PM,8.37,77.76,,,,
30,10/01/21 01:44:58 PM,8.39,77.79,,,,
31,10/01/21 01:45:58 PM,8.39,77.83,,,,
32,10/01/21 01:46:58 PM,8.40,77.90,,,,
33,10/01/21 01:47:58 PM,8.40,78.01,,,,
34,10/01/21 01:48:58 PM,8.37,78.12,,,,
35,10/01/21 01:49:58 PM,8.33,78.22,,,,
36,10/01/21 01:50:58 PM,8.30,78.30,,,,
37,10/01/21 01:51:58 PM,8.36,78.22,,,,
38,10/01/21 01:52:58 PM,10.13,78.51,,,,
39,10/01/21 01:53:58 PM,11.48,79.20,,,,
40,10/01/21 01:54:58 PM,11.67,79.63,,,,
41,10/01/21 01:55:58 PM,11.26,79.99,,,,
42,10/01/21 01:56:58 PM,10.84,80.20,,,,
43,10/01/21 01:57:58 PM,10.94,80.35,,,,
44,10/01/21 01:58:58 PM,10.95,80.49,,,,
45,10/01/21 01:59:58 PM,10.94,80.60,,,,
46,10/01/21 02:00:58 PM,10.93,80.71,,,,
47,10/01/21 02:01:58 PM,10.87,80.78,,,,
48,10/01/21 02:02:58 PM,10.77,80.85,,,,
49,10/01/21 02:03:58 PM,10.80,80.96,,,,
