"Plot Title: 15_11_2021"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °C (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
1,11/15/21 01:58:25 PM,8.29,25.50,,,,
2,11/15/21 01:58:36 PM,,,Logged,,,
3,11/15/21 01:59:25 PM,8.29,25.54,,,,
4,11/15/21 02:00:25 PM,8.30,25.52,,,,
5,11/15/21 02:01:25 PM,8.32,25.48,,,,
6,11/15/21 02:02:25 PM,8.31,25.56,,,,
7,11/15/21 02:03:25 PM,8.29,25.66,,,,
8,11/15/21 02:04:25 PM,8.30,25.68,,,,
9,11/15/21 02:05:25 PM,8.28,25.68,,,,
10,11/15/21 02:06:25 PM,8.28,25.68,,,,
11,11/15/21 02:07:25 PM,8.28,25.68,,,,
12,11/15/21 02:08:25 PM,8.25,25.66,,,,
13,11/15/21 02:09:25 PM,8.25,25.66,,,,
14,11/15/21 02:10:25 PM,8.26,25.64,,,,
15,11/15/21 02:11:25 PM,8.26,25.62,,,,
16,11/15/21 02:12:25 PM,8.29,25.60,,,,
17,11/15/21 02:13:25 PM,8.29,25.58,,,,
18,11/15/21 02:14:25 PM,8.29,25.56,,,,
19,11/15/21 02:15:25 PM,8.29,25.54,,,,
20,11/15/21 02:16:25 PM,8.29,25.52,,,,
21,11/15/21 02:17:25 PM,8.30,25.50,,,,
22,11/15/21 02:18:25 PM,8.29,25.48,,,,
23,11/15/21 02:19:25 PM,8.30,25.46,,,,
24,11/15/21 02:20:25 PM,8.30,25.44,,,,
25,11/15/21 02:21:25 PM,8.30,25.44,,,,
26,11/15/21 02:22:25 PM,8.29,25.42,,,,
27,11/15/21 02:23:25 PM,8.32,25.40,,,,
28,11/15/21 02:24:25 PM,8.31,25.38,,,,
29,11/15/21 02:25:25 PM,8.31,25.36,,,,
30,11/15/21 02:26:25 PM,8.32,25.36,,,,
31,11/15/21 02:27:25 PM,8.32,25.34,,,,
32,11/15/21 02:28:25 PM,8.32,25.32,,,,
33,11/15/21 02:29:25 PM,8.32,25.32,,,,
34,11/15/21 02:30:25 PM,8.33,25.30,,,,
35,11/15/21 02:31:25 PM,8.33,25.30,,,,
36,11/15/21 02:32:25 PM,8.33,25.28,,,,
37,11/15/21 02:33:25 PM,8.33,25.28,,,,
38,11/15/21 02:34:25 PM,8.34,25.28,,,,
39,11/15/21 02:35:25 PM,8.33,25.26,,,,
40,11/15/21 02:36:25 PM,8.34,25.26,,,,
41,11/15/21 02:37:25 PM,8.34,25.24,,,,
42,11/15/21 02:38:25 PM,8.34,25.24,,,,
43,11/15/21 02:39:25 PM,8.35,25.22,,,,
44,11/15/21 02:40:25 PM,8.34,25.22,,,,
45,11/15/21 02:41:25 PM,8.33,25.22,,,,
46,11/15/21 02:42:25 PM,8.32,25.22,,,,
47,11/15/21 02:43:25 PM,8.34,25.22,,,,
48,11/15/21 02:44:25 PM,8.32,25.22,,,,
49,11/15/21 02:45:25 PM,8.33,25.22,,,,
50,11/15/21 02:46:25 PM,8.34,25.22,,,,
51,11/15/21 02:47:25 PM,8.31,25.24,,,,
52,11/15/21 02:48:25 PM,8.30,25.28,,,,
53,11/15/21 02:49:25 PM,8.30,25.30,,,,
54,11/15/21 02:50:25 PM,8.33,25.30,,,,
55,11/15/21 02:51:25 PM,8.35,25.30,,,,
56,11/15/21 02:52:25 PM,8.34,25.30,,,,
57,11/15/21 02:53:25 PM,8.28,25.32,,,,
58,11/15/21 02:54:25 PM,8.31,25.32,,,,
59,11/15/21 02:55:25 PM,8.30,25.32,,,,
60,11/15/21 02:56:25 PM,8.32,25.34,,,,
61,11/15/21 02:57:25 PM,8.32,25.36,,,,
62,11/15/21 02:58:25 PM,8.31,25.36,,,,
63,11/15/21 02:59:25 PM,8.30,25.36,,,,
64,11/15/21 03:00:25 PM,8.31,25.38,,,,
65,11/15/21 03:01:25 PM,8.29,25.38,,,,
66,11/15/21 03:02:25 PM,8.26,25.42,,,,
67,11/15/21 03:03:25 PM,8.22,25.44,,,,
68,11/15/21 03:04:25 PM,8.21,25.44,,,,
69,11/15/21 03:05:25 PM,8.19,25.42,,,,
70,11/15/21 03:06:25 PM,8.17,25.40,,,,
71,11/15/21 03:07:25 PM,8.18,25.40,,,,
72,11/15/21 03:08:25 PM,8.18,25.40,,,,
73,11/15/21 03:09:25 PM,8.19,25.40,,,,
74,11/15/21 03:10:25 PM,8.16,25.40,,,,
75,11/15/21 03:11:25 PM,8.15,25.40,,,,
76,11/15/21 03:12:25 PM,8.16,25.40,,,,
77,11/15/21 03:13:25 PM,8.11,25.48,,,,
78,11/15/21 03:14:25 PM,8.69,25.56,,,,
79,11/15/21 03:15:25 PM,8.66,25.70,,,,
80,11/15/21 03:16:25 PM,8.63,25.82,,,,
81,11/15/21 03:17:25 PM,8.59,25.92,,,,
82,11/15/21 03:18:25 PM,8.57,25.98,,,,
83,11/15/21 03:19:25 PM,8.66,26.04,,,,
84,11/15/21 03:20:25 PM,8.66,26.08,,,,
85,11/15/21 03:21:25 PM,8.64,26.12,,,,
86,11/15/21 03:22:25 PM,8.64,26.14,,,,
87,11/15/21 03:23:25 PM,8.59,26.18,,,,
88,11/15/21 03:24:25 PM,8.56,26.20,,,,
89,11/15/21 03:25:25 PM,8.55,26.24,,,,
90,11/15/21 03:26:25 PM,8.58,26.24,,,,
91,11/15/21 03:27:25 PM,8.62,26.26,,,,
92,11/15/21 03:28:25 PM,8.63,26.26,,,,
93,11/15/21 03:29:25 PM,8.63,26.28,,,,
94,11/15/21 03:30:25 PM,8.65,26.28,,,,
95,11/15/21 03:31:25 PM,8.69,26.30,,,,
96,11/15/21 03:32:25 PM,8.69,26.30,,,,
97,11/15/21 03:33:25 PM,8.69,26.30,,,,
98,11/15/21 03:34:25 PM,8.68,26.30,,,,
99,11/15/21 03:35:25 PM,8.73,26.30,,,,
100,11/15/21 03:36:25 PM,8.73,26.30,,,,
101,11/15/21 03:37:25 PM,8.77,26.30,,,,
102,11/15/21 03:38:25 PM,8.79,26.30,,,,
103,11/15/21 03:39:25 PM,8.79,26.30,,,,
104,11/15/21 03:40:25 PM,8.79,26.28,,,,
105,11/15/21 03:41:25 PM,8.87,26.26,,,,
106,11/15/21 03:42:25 PM,8.86,26.26,,,,
107,11/15/21 03:43:25 PM,8.86,26.24,,,,
108,11/15/21 03:44:25 PM,8.85,26.24,,,,
109,11/15/21 03:45:25 PM,8.81,26.24,,,,
110,11/15/21 03:46:25 PM,8.82,26.24,,,,
111,11/15/21 03:47:25 PM,8.82,26.22,,,,
112,11/15/21 03:48:25 PM,8.81,26.22,,,,
113,11/15/21 03:49:25 PM,8.78,26.22,,,,
114,11/15/21 03:50:25 PM,8.72,26.22,,,,
115,11/15/21 03:51:25 PM,8.42,26.22,,,,
116,11/15/21 03:52:25 PM,8.42,26.18,,,,
117,11/15/21 03:53:25 PM,8.43,26.16,,,,
118,11/15/21 03:54:25 PM,8.43,26.14,,,,
119,11/15/21 03:55:25 PM,8.42,26.14,,,,
120,11/15/21 03:56:25 PM,8.41,26.14,,,,
121,11/15/21 03:57:25 PM,8.40,26.14,,,,
122,11/15/21 03:58:25 PM,8.39,26.14,,,,
123,11/15/21 03:59:25 PM,8.37,26.14,,,,
124,11/15/21 04:00:25 PM,8.25,26.14,,,,
125,11/15/21 04:01:25 PM,8.20,26.14,,,,
126,11/15/21 04:02:25 PM,8.35,26.14,,,,
127,11/15/21 04:03:25 PM,8.34,26.14,,,,
128,11/15/21 04:04:25 PM,8.18,26.14,,,,
129,11/15/21 04:05:25 PM,8.26,26.14,,,,
130,11/15/21 04:06:25 PM,8.23,26.14,,,,
131,11/15/21 04:07:25 PM,8.28,26.14,,,,
132,11/15/21 04:08:25 PM,8.33,26.14,,,,
133,11/15/21 04:09:25 PM,8.31,26.12,,,,
134,11/15/21 04:10:25 PM,8.21,26.12,,,,
135,11/15/21 04:11:25 PM,8.20,26.12,,,,
136,11/15/21 04:12:25 PM,8.06,26.12,,,,
137,11/15/21 04:13:25 PM,7.69,26.12,,,,
138,11/15/21 04:14:25 PM,7.65,26.12,,,,
139,11/15/21 04:15:25 PM,7.86,26.10,,,,
140,11/15/21 04:16:25 PM,8.10,26.10,,,,
141,11/15/21 04:17:25 PM,7.82,26.04,,,,
142,11/15/21 04:18:25 PM,7.82,25.74,,,,
143,11/15/21 04:19:25 PM,7.85,25.48,,,,
144,11/15/21 04:20:25 PM,8.05,25.20,,,,
145,11/15/21 04:21:25 PM,8.11,25.02,,,,
146,11/15/21 04:22:25 PM,8.15,24.88,,,,
147,11/15/21 04:23:25 PM,8.17,24.74,,,,
148,11/15/21 04:24:25 PM,8.20,24.62,,,,
149,11/15/21 04:25:25 PM,8.23,24.52,,,,
150,11/15/21 04:26:25 PM,8.24,24.42,,,,
151,11/15/21 04:27:25 PM,8.25,24.32,,,,
152,11/15/21 04:28:25 PM,8.26,24.22,,,,
153,11/15/21 04:29:25 PM,8.29,24.16,,,,
154,11/15/21 04:30:25 PM,8.29,24.12,,,,
155,11/15/21 04:31:25 PM,8.32,24.06,,,,
156,11/15/21 04:32:25 PM,8.32,24.00,,,,
157,11/15/21 04:33:25 PM,8.35,23.98,,,,
158,11/15/21 04:34:25 PM,8.36,23.94,,,,
159,11/15/21 04:35:25 PM,8.37,23.92,,,,
160,11/15/21 04:36:25 PM,8.28,23.90,,,,
161,11/15/21 04:37:25 PM,8.30,23.88,,,,
162,11/15/21 04:38:25 PM,8.23,23.86,,,,
163,11/15/21 04:39:25 PM,8.22,23.82,,,,
164,11/15/21 04:40:25 PM,8.26,23.78,,,,
165,11/15/21 04:41:25 PM,8.34,23.74,,,,
166,11/15/21 04:42:03 PM,,,,Logged,,
167,11/15/21 04:42:05 PM,,,,,Logged,Logged
