"Plot Title: 2021_11_24"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °C (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Sensor Data Error (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
1,11/24/21 10:45:00 AM,8.57,24.58,,,,,
2,11/24/21 10:45:08 AM,,,Logged,,,,
3,11/24/21 10:46:00 AM,8.55,24.74,,,,,
4,11/24/21 10:47:00 AM,8.49,24.84,,,,,
5,11/24/21 10:48:00 AM,8.56,25.02,,,,,
6,11/24/21 10:49:00 AM,8.49,25.44,,,,,
7,11/24/21 10:50:00 AM,8.40,25.78,,,,,
8,11/24/21 10:51:00 AM,8.36,25.90,,,,,
9,11/24/21 10:52:00 AM,8.32,25.98,,,,,
10,11/24/21 10:53:00 AM,8.29,26.02,,,,,
11,11/24/21 10:54:00 AM,8.28,26.06,,,,,
12,11/24/21 10:55:00 AM,8.26,26.08,,,,,
13,11/24/21 10:56:00 AM,8.25,26.08,,,,,
14,11/24/21 10:57:00 AM,8.26,26.10,,,,,
15,11/24/21 10:58:00 AM,8.24,26.10,,,,,
16,11/24/21 10:59:00 AM,8.24,26.10,,,,,
17,11/24/21 11:00:00 AM,8.23,26.10,,,,,
18,11/24/21 11:01:00 AM,8.24,26.12,,,,,
19,11/24/21 11:02:00 AM,8.23,26.12,,,,,
20,11/24/21 11:03:00 AM,8.25,26.12,,,,,
21,11/24/21 11:04:00 AM,8.23,26.12,,,,,
22,11/24/21 11:05:00 AM,8.24,26.12,,,,,
23,11/24/21 11:06:00 AM,8.24,26.12,,,,,
24,11/24/21 11:07:00 AM,8.24,26.12,,,,,
25,11/24/21 11:08:00 AM,8.24,26.12,,,,,
26,11/24/21 11:09:00 AM,8.23,26.12,,,,,
27,11/24/21 11:10:00 AM,8.23,26.12,,,,,
28,11/24/21 11:11:00 AM,8.24,26.14,,,,,
29,11/24/21 11:12:00 AM,8.24,26.14,,,,,
30,11/24/21 11:13:00 AM,8.23,26.14,,,,,
31,11/24/21 11:14:00 AM,8.24,26.14,,,,,
32,11/24/21 11:15:00 AM,8.22,26.14,,,,,
33,11/24/21 11:16:00 AM,8.23,26.14,,,,,
34,11/24/21 11:17:00 AM,8.23,26.14,,,,,
35,11/24/21 11:18:00 AM,8.23,26.16,,,,,
36,11/24/21 11:19:00 AM,8.23,26.16,,,,,
37,11/24/21 11:20:00 AM,8.22,26.16,,,,,
38,11/24/21 11:21:00 AM,8.23,26.16,,,,,
39,11/24/21 11:22:00 AM,8.24,26.16,,,,,
40,11/24/21 11:23:00 AM,8.23,26.16,,,,,
41,11/24/21 11:24:00 AM,8.24,26.18,,,,,
42,11/24/21 11:25:00 AM,8.22,26.18,,,,,
43,11/24/21 11:26:00 AM,8.24,26.18,,,,,
44,11/24/21 11:27:00 AM,8.23,26.20,,,,,
45,11/24/21 11:28:00 AM,8.23,26.20,,,,,
46,11/24/21 11:29:00 AM,8.23,26.20,,,,,
47,11/24/21 11:30:00 AM,8.24,26.22,,,,,
48,11/24/21 11:31:00 AM,8.22,26.22,,,,,
49,11/24/21 11:32:00 AM,8.22,26.22,,,,,
50,11/24/21 11:33:00 AM,8.22,26.22,,,,,
51,11/24/21 11:34:00 AM,8.23,26.24,,,,,
52,11/24/21 11:35:00 AM,8.22,26.24,,,,,
