"Plot Title: 2022_3_22"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °F (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Host Connected (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
1,03/22/22 01:11:48 PM,9.03,69.48,,,,,
2,03/22/22 01:11:55 PM,,,Logged,,,,
3,03/22/22 01:12:48 PM,9.01,69.69,,,,,
4,03/22/22 01:13:48 PM,9.01,69.87,,,,,
5,03/22/22 01:14:48 PM,8.94,70.02,,,,,
6,03/22/22 01:15:48 PM,8.93,70.16,,,,,
7,03/22/22 01:16:48 PM,8.88,70.34,,,,,
8,03/22/22 01:17:48 PM,8.86,70.52,,,,,
9,03/22/22 01:18:48 PM,8.88,70.66,,,,,
10,03/22/22 01:19:48 PM,8.83,70.81,,,,,
11,03/22/22 01:20:48 PM,8.81,70.95,,,,,
12,03/22/22 01:21:48 PM,8.82,71.13,,,,,
13,03/22/22 01:22:48 PM,8.76,71.31,,,,,
14,03/22/22 01:23:48 PM,8.73,71.49,,,,,
15,03/22/22 01:24:48 PM,8.71,71.74,,,,,
16,03/22/22 01:25:48 PM,8.76,72.10,,,,,
17,03/22/22 01:26:48 PM,8.80,72.72,,,,,
18,03/22/22 01:27:48 PM,8.78,73.36,,,,,
19,03/22/22 01:28:48 PM,8.72,73.94,,,,,
20,03/22/22 01:29:48 PM,8.69,74.44,,,,,
21,03/22/22 01:30:48 PM,8.64,74.91,,,,,
22,03/22/22 01:31:48 PM,8.57,75.56,,,,,
23,03/22/22 01:32:48 PM,8.45,76.17,,,,,
24,03/22/22 01:33:48 PM,8.40,76.32,,,,,
25,03/22/22 01:34:48 PM,9.02,76.89,,,,,
26,03/22/22 01:35:48 PM,10.22,77.47,,,,,
27,03/22/22 01:36:48 PM,11.17,77.94,,,,,
28,03/22/22 01:37:48 PM,11.06,78.26,,,,,
29,03/22/22 01:38:48 PM,10.90,78.55,,,,,
30,03/22/22 01:39:48 PM,10.70,78.76,,,,,
31,03/22/22 01:40:48 PM,10.54,78.94,,,,,
32,03/22/22 01:41:48 PM,10.87,79.12,,,,,
33,03/22/22 01:42:48 PM,10.85,79.27,,,,,
34,03/22/22 01:43:48 PM,10.93,79.41,,,,,
35,03/22/22 01:44:48 PM,11.04,79.52,,,,,
36,03/22/22 01:45:48 PM,11.17,79.63,,,,,
37,03/22/22 01:46:48 PM,11.20,79.70,,,,,
38,03/22/22 01:47:48 PM,11.14,79.81,,,,,
39,03/22/22 01:48:48 PM,11.13,79.84,,,,,
40,03/22/22 01:49:48 PM,11.18,79.92,,,,,
41,03/22/22 01:50:48 PM,11.58,79.99,,,,,
42,03/22/22 01:51:48 PM,11.64,80.02,,,,,
43,03/22/22 01:52:48 PM,12.31,80.06,,,,,
44,03/22/22 01:53:48 PM,12.46,80.17,,,,,
45,03/22/22 01:54:48 PM,12.49,80.24,,,,,
46,03/22/22 01:55:48 PM,12.74,80.31,,,,,
47,03/22/22 01:56:48 PM,12.59,80.42,,,,,
48,03/22/22 01:57:48 PM,12.72,80.49,,,,,
49,03/22/22 01:58:48 PM,12.88,80.53,,,,,
50,03/22/22 01:59:48 PM,12.89,80.60,,,,,
51,03/22/22 02:00:48 PM,12.98,80.67,,,,,
52,03/22/22 02:01:48 PM,13.09,80.71,,,,,
53,03/22/22 02:02:48 PM,13.20,80.74,,,,,
54,03/22/22 02:03:48 PM,13.38,80.82,,,,,
55,03/22/22 02:04:48 PM,13.59,80.85,,,,,
56,03/22/22 02:05:48 PM,13.65,80.89,,,,,
57,03/22/22 02:06:48 PM,13.75,80.89,,,,,
58,03/22/22 02:07:48 PM,13.53,80.85,,,,,
59,03/22/22 02:08:48 PM,13.48,80.85,,,,,
60,03/22/22 02:09:48 PM,13.48,80.82,,,,,
61,03/22/22 02:10:48 PM,13.48,80.78,,,,,
62,03/22/22 02:11:48 PM,13.42,80.74,,,,,
63,03/22/22 02:12:48 PM,13.36,80.74,,,,,
64,03/22/22 02:13:48 PM,13.23,80.71,,,,,
65,03/22/22 02:14:48 PM,13.21,80.71,,,,,
66,03/22/22 02:15:48 PM,13.09,80.67,,,,,
67,03/22/22 02:16:48 PM,13.00,80.67,,,,,
68,03/22/22 02:17:48 PM,12.86,80.67,,,,,
69,03/22/22 02:18:48 PM,12.87,80.67,,,,,
