filename,Day,probe,ampm,site
sand01 2024_11_09_P3_A.csv,09/11/2024,P3,A,sand01
sand02 2024_11_11_P3_A.csv,11/11/2024,P3,A,sand02
site01 2024_10_23_P1_A.csv,23/10/2024,P1,A,site01
site01 2024_10_23_P2_A.csv,23/10/2024,P2,A,site01
site02 2024_10_23_P3_A.csv,23/10/2024,P3,A,site02
site02 2024_10_23_P4_A.csv,23/10/2024,P4,A,site02
site03 2024_10_23_P1_B.csv,23/10/2024,P1,B,site03
site03 2024_10_23_P2_B.csv,23/10/2024,P2,B,site03
site04 2024_10_23_P3 B.csv,23/10/2024,P3,B,site04
site04 2024_10_23_P4 B.csv,23/10/2024,P4,B,site04
site05 2024_10_24_P1_A.csv,24/10/2024,P1,A,site05
site05 2024_10_24_P4_A.csv,24/10/2024,P4,A,site05
site06 2024_10_24_P2_A.csv,24/10/2024,P2,A,site06
site06 2024_10_24_P3_A.csv,24/10/2024,P3,A,site06
site07 2024_10_24_P1_B.csv,24/10/2024,P1,B,site07
site07 2024_10_24_P2_B.csv,24/10/2024,P2,B,site07
site08 2024_10_24_P3_B.csv,24/10/2024,P3,B,site08
site08 2024_10_24_P4_B.csv,24/10/2024,P4,B,site08
site09 2024_10_25_P1_A.csv,25/10/2024,P1,A,site09
site09 2024_10_25_P2_A.csv,25/10/2024,P2,A,site09
site10 2024_10_25_P3_A.csv,25/10/2024,P3,A,site10
site10 2024_10_25_P4_A.csv,25/10/2024,P4,A,site10
site11 2024_10_25_P1_B.csv,25/10/2024,P1,B,site11
site11 2024_10_25_P2_B.csv,25/10/2024,P2,B,site11
site12 2024_10_25_P3_B.csv,25/10/2024,P3,B,site12
site12 2024_10_25_P4_B.csv,25/10/2024,P4,B,site12
site13 2024_10_26_P1_A.csv,26/10/2024,P1,A,site13
site13 2024_10_26_P2_A.csv,26/10/2024,P2,A,site13
site14 2024_10_26_P3_A.csv,26/10/2024,P3,A,site14
site14 2024_10_26_P4_A.csv,26/10/2024,P4,A,site14
site15 2024_10_26_P1_B.csv,26/10/2024,P1,B,site15
site15 2024_10_26_P2_B.csv,26/10/2024,P2,B,site15
site16 2024_10_26_P3_B.csv,26/10/2024,P3,B,site16
site16 2024_10_26_P4_B.csv,26/10/2024,P4,B,site16
site17 2024_10_28_P2_A.csv,28/10/2024,P2,A,site17
site18 2024_10_28_P3_A.csv,28/10/2024,P3,A,site18
site18 2024_10_28_P4_A.csv,28/10/2024,P4,A,site18
site19 2024_10_28_P1_A.csv,28/10/2024,P1,A,site19
site20 2024_10_28_P2_B.csv,28/10/2024,P2,B,site20
site21 2024_10_28_P3_B.csv,28/10/2024,P3,B,site21
site21 2024_10_28_P4_B.csv,28/10/2024,P4,B,site21
