filename,Day,probe,ampm,site
hi01 2021_09_24.csv,24/09/2021,P0,NA,hi01
hi02 2021_09_24.csv,24/09/2021,P0,NA,hi02
hi03 2021_09_24.csv,24/09/2021,P0,NA,hi03
hi04 2021_09_24.csv,24/09/2021,P0,NA,hi04
hi05 2021_09_28.csv,28/09/2021,P0,NA,hi05
hi06 2021_09_28.csv,28/09/2021,P0,NA,hi06
hi07 2021_09_28.csv,28/09/2021,P0,NA,hi07
hi08 2021_10_01.csv,01/10/2021,P0,NA,hi08
hi09 2021_10_01.csv,01/10/2021,P0,NA,hi09
hi10 2021_10_01.csv,01/10/2021,P0,NA,hi10
hi11 2021_10_05.csv,05/10/2021,P0,NA,hi11
hi12 2021_10_05.csv,05/10/2021,P0,NA,hi12
hi13 2021_10_22.csv,22/10/2021,P0,NA,hi13
hi14 2021_10_22.csv,22/10/2021,P0,NA,hi14
hi15 2021_10_22.csv,22/10/2021,P0,NA,hi15
hi16 2021_10_22.csv,22/10/2021,P0,NA,hi16
hi17 2021_10_22.csv,22/10/2021,P0,NA,hi17
hi18 2021_11_15.csv,15/11/2021,P0,NA,hi18
hi19 2021_11_17.csv,17/11/2021,P0,NA,hi19
hi20 2021_11_17.csv,17/11/2021,P0,NA,hi20
hi21 2021_11_17.csv,17/11/2021,P0,NA,hi21
hi22 2021_11_17.csv,17/11/2021,P0,NA,hi22
hi22b 2021_11_21.csv,21/11/2021,P0,NA,hi22b
hi23 2021_11_17.csv,17/11/2021,P0,NA,hi23
hi24 2021_11_17.csv,17/11/2021,P0,NA,hi24
hi24b 2021_11_21.csv,21/11/2021,P0,NA,hi24b
hi25 2021_11_17.csv,17/11/2021,P0,NA,hi25
hi25b 2021_11_21.csv,21/11/2021,P0,NA,hi25b
hi25c 2021_11_21.csv,21/11/2021,P0,NA,hi25c
hi26 2021_11_21.csv,21/11/2021,P0,NA,hi26
hi27 2021_11_24.csv,24/11/2021,P0,NA,hi27
hi28 2021_11_24.csv,24/11/2021,P0,NA,hi28
hi29 2021_11_24.csv,24/11/2021,P0,NA,hi29
hi30 2022_03_21.csv,21/03/2022,P0,NA,hi30
hi31 2022_03_21.csv,21/03/2022,P0,NA,hi31
hi32 2022_03_21.csv,21/03/2022,P0,NA,hi32
hi33 2022_03_21.csv,21/03/2022,P0,NA,hi33
hi34 2022_03_22.csv,22/03/2022,P0,NA,hi34
hi35 2022_03_22.csv,22/03/2022,P0,NA,hi35
hi36 2022_03_22.csv,22/03/2022,P0,NA,hi36
unsure 2021_11_23.csv,23/11/2021,P0,NA,unsure
