"Plot Title: oxy3"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981785, SEN S/N: 21981785)","Temp, °C (LGR S/N: 21981785, SEN S/N: 21981785)","Coupler Detached (LGR S/N: 21981785)","Coupler Attached (LGR S/N: 21981785)","Host Connected (LGR S/N: 21981785)","Stopped (LGR S/N: 21981785)","End Of File (LGR S/N: 21981785)"
1,11/11/24 09:52:53 AM,7.69,25.86,,,,,
2,11/11/24 09:52:57 AM,,,Logged,,,,
3,11/11/24 09:53:53 AM,7.67,26.00,,,,,
4,11/11/24 09:54:53 AM,7.69,26.14,,,,,
5,11/11/24 09:55:53 AM,7.68,26.26,,,,,
6,11/11/24 09:56:53 AM,7.62,26.38,,,,,
7,11/11/24 09:57:53 AM,7.59,26.42,,,,,
8,11/11/24 09:58:53 AM,7.61,26.40,,,,,
9,11/11/24 09:59:53 AM,7.62,26.38,,,,,
10,11/11/24 10:00:53 AM,7.60,26.36,,,,,
11,11/11/24 10:01:53 AM,7.61,26.36,,,,,
12,11/11/24 10:02:53 AM,7.58,26.34,,,,,
13,11/11/24 10:03:53 AM,7.61,26.30,,,,,
14,11/11/24 10:04:53 AM,7.61,26.26,,,,,
15,11/11/24 10:05:53 AM,7.62,26.20,,,,,
16,11/11/24 10:06:53 AM,7.63,26.14,,,,,
17,11/11/24 10:07:53 AM,7.64,26.08,,,,,
18,11/11/24 10:08:53 AM,7.65,26.04,,,,,
19,11/11/24 10:09:53 AM,7.64,26.00,,,,,
20,11/11/24 10:10:53 AM,7.65,25.94,,,,,
21,11/11/24 10:11:53 AM,7.66,25.90,,,,,
22,11/11/24 10:12:53 AM,7.60,25.70,,,,,
23,11/11/24 10:13:53 AM,7.64,25.52,,,,,
24,11/11/24 10:14:53 AM,7.64,25.20,,,,,
25,11/11/24 10:15:53 AM,7.64,25.14,,,,,
26,11/11/24 10:16:53 AM,7.66,25.12,,,,,
27,11/11/24 10:17:53 AM,7.69,25.12,,,,,
28,11/11/24 10:18:53 AM,7.70,25.14,,,,,
29,11/11/24 10:19:53 AM,7.71,25.16,,,,,
30,11/11/24 10:20:53 AM,7.70,25.18,,,,,
31,11/11/24 10:21:53 AM,7.69,25.20,,,,,
32,11/11/24 10:22:53 AM,7.68,25.22,,,,,
33,11/11/24 10:23:53 AM,7.68,25.24,,,,,
34,11/11/24 10:24:53 AM,7.02,25.28,,,,,
35,11/11/24 10:25:53 AM,7.63,25.38,,,,,
36,11/11/24 10:26:53 AM,7.62,25.44,,,,,
37,11/11/24 10:27:53 AM,7.62,25.50,,,,,
38,11/11/24 10:28:53 AM,7.63,25.56,,,,,
39,11/11/24 10:29:53 AM,7.65,25.64,,,,,
40,11/11/24 10:30:53 AM,7.61,25.72,,,,,
41,11/11/24 10:31:53 AM,7.59,25.80,,,,,
42,11/11/24 10:32:53 AM,7.60,25.86,,,,,
43,11/11/24 10:33:53 AM,7.58,25.92,,,,,
44,11/11/24 10:34:53 AM,7.56,25.98,,,,,
45,11/11/24 10:35:53 AM,7.56,26.04,,,,,
46,11/11/24 10:36:53 AM,7.54,26.08,,,,,
