"Plot Title: oxy4"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981784, SEN S/N: 21981784)","Temp, °C (LGR S/N: 21981784, SEN S/N: 21981784)","New Sensor Cap (LGR S/N: 21981784)","Coupler Detached (LGR S/N: 21981784)","Coupler Attached (LGR S/N: 21981784)","Host Connected (LGR S/N: 21981784)","Stopped (LGR S/N: 21981784)","End Of File (LGR S/N: 21981784)"
1,10/23/24 10:11:26 AM,7.56,27.52,Logged,,,,,
2,10/23/24 10:11:34 AM,,,,Logged,,,,
3,10/23/24 10:12:26 AM,7.53,27.56,,,,,,
4,10/23/24 10:13:26 AM,7.52,27.60,,,,,,
5,10/23/24 10:14:26 AM,7.51,27.64,,,,,,
6,10/23/24 10:15:26 AM,7.50,27.66,,,,,,
7,10/23/24 10:16:26 AM,7.51,27.66,,,,,,
8,10/23/24 10:17:26 AM,7.52,27.66,,,,,,
9,10/23/24 10:18:26 AM,7.52,27.64,,,,,,
10,10/23/24 10:19:26 AM,7.51,27.64,,,,,,
11,10/23/24 10:20:26 AM,7.52,27.62,,,,,,
12,10/23/24 10:21:26 AM,7.52,27.60,,,,,,
13,10/23/24 10:22:26 AM,7.50,27.60,,,,,,
14,10/23/24 10:23:26 AM,7.51,27.58,,,,,,
15,10/23/24 10:24:26 AM,7.52,27.58,,,,,,
16,10/23/24 10:25:26 AM,7.51,27.56,,,,,,
17,10/23/24 10:26:26 AM,7.52,27.54,,,,,,
18,10/23/24 10:27:26 AM,7.52,27.52,,,,,,
19,10/23/24 10:28:26 AM,7.55,27.48,,,,,,
20,10/23/24 10:29:26 AM,7.55,27.50,,,,,,
21,10/23/24 10:30:26 AM,7.56,27.52,,,,,,
22,10/23/24 10:31:26 AM,7.55,27.56,,,,,,
23,10/23/24 10:32:26 AM,7.56,27.62,,,,,,
24,10/23/24 10:33:26 AM,7.55,27.68,,,,,,
25,10/23/24 10:34:26 AM,7.57,27.78,,,,,,
26,10/23/24 10:35:26 AM,7.58,27.86,,,,,,
27,10/23/24 10:36:26 AM,7.57,27.96,,,,,,
28,10/23/24 10:37:26 AM,7.56,28.04,,,,,,
29,10/23/24 10:38:26 AM,7.57,28.14,,,,,,
30,10/23/24 10:39:26 AM,7.56,28.24,,,,,,
31,10/23/24 10:40:26 AM,7.57,28.34,,,,,,
32,10/23/24 10:41:26 AM,7.55,28.44,,,,,,
33,10/23/24 10:42:26 AM,7.54,28.54,,,,,,
34,10/23/24 10:43:26 AM,7.56,28.64,,,,,,
35,10/23/24 10:44:26 AM,7.57,28.78,,,,,,
36,10/23/24 10:45:26 AM,7.57,28.88,,,,,,
37,10/23/24 10:46:26 AM,7.55,29.00,,,,,,
38,10/23/24 10:47:26 AM,7.58,29.12,,,,,,
39,10/23/24 10:48:26 AM,7.58,29.24,,,,,,
40,10/23/24 10:49:26 AM,7.56,29.34,,,,,,
41,10/23/24 10:50:26 AM,7.57,29.46,,,,,,
42,10/23/24 10:51:26 AM,7.55,29.60,,,,,,
43,10/23/24 10:52:26 AM,7.52,29.72,,,,,,
44,10/23/24 10:53:26 AM,7.52,29.84,,,,,,
45,10/23/24 10:54:26 AM,7.50,29.94,,,,,,
46,10/23/24 10:55:26 AM,7.48,30.02,,,,,,
47,10/23/24 10:56:26 AM,7.46,30.08,,,,,,
48,10/23/24 10:57:26 AM,7.44,30.14,,,,,,
49,10/23/24 10:58:26 AM,7.43,30.18,,,,,,
50,10/23/24 10:59:26 AM,7.41,30.22,,,,,,
51,10/23/24 11:00:26 AM,7.39,30.26,,,,,,
52,10/23/24 11:01:26 AM,7.38,30.32,,,,,,
53,10/23/24 11:02:26 AM,7.34,30.36,,,,,,
54,10/23/24 11:03:26 AM,7.31,30.40,,,,,,
55,10/23/24 11:04:26 AM,7.28,30.42,,,,,,
56,10/23/24 11:05:26 AM,7.25,30.44,,,,,,
57,10/23/24 11:06:26 AM,7.23,30.44,,,,,,
58,10/23/24 11:07:26 AM,7.20,30.44,,,,,,
59,10/23/24 11:08:26 AM,7.20,30.44,,,,,,
60,10/23/24 11:09:26 AM,7.20,30.44,,,,,,
61,10/23/24 11:10:26 AM,7.21,30.44,,,,,,
62,10/23/24 11:11:26 AM,7.21,30.44,,,,,,
63,10/23/24 11:12:26 AM,7.20,30.44,,,,,,
64,10/23/24 11:13:26 AM,7.20,30.44,,,,,,
65,10/23/24 11:14:26 AM,7.19,30.46,,,,,,
66,10/23/24 11:15:26 AM,7.18,30.46,,,,,,
67,10/23/24 11:16:26 AM,7.19,30.48,,,,,,
68,10/23/24 11:17:26 AM,7.18,30.48,,,,,,
69,10/23/24 11:18:26 AM,7.18,30.50,,,,,,
70,10/23/24 11:19:26 AM,7.17,30.50,,,,,,
71,10/23/24 11:20:26 AM,7.18,30.52,,,,,,
72,10/23/24 11:21:26 AM,7.18,30.52,,,,,,
73,10/23/24 11:22:26 AM,7.17,30.54,,,,,,
74,10/23/24 11:23:26 AM,7.17,30.54,,,,,,
75,10/23/24 11:24:26 AM,7.15,30.54,,,,,,
76,10/23/24 11:25:26 AM,7.15,30.54,,,,,,
77,10/23/24 11:26:26 AM,7.15,30.54,,,,,,
78,10/23/24 11:27:26 AM,7.15,30.56,,,,,,
79,10/23/24 11:28:26 AM,7.16,30.58,,,,,,
80,10/23/24 11:29:26 AM,7.15,30.60,,,,,,
81,10/23/24 11:30:26 AM,7.14,30.60,,,,,,
82,10/23/24 11:31:26 AM,7.15,30.62,,,,,,
83,10/23/24 11:32:26 AM,7.14,30.62,,,,,,
84,10/23/24 11:33:26 AM,7.14,30.64,,,,,,
85,10/23/24 11:34:26 AM,7.13,30.66,,,,,,
86,10/23/24 11:35:26 AM,7.14,30.70,,,,,,
87,10/23/24 11:36:26 AM,7.13,30.74,,,,,,
88,10/23/24 11:37:26 AM,7.16,30.78,,,,,,
89,10/23/24 11:38:26 AM,7.14,30.82,,,,,,
90,10/23/24 11:39:26 AM,7.15,30.88,,,,,,
91,10/23/24 11:40:26 AM,7.15,30.92,,,,,,
