"Plot Title: oxy3"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981785, SEN S/N: 21981785)","Temp, °C (LGR S/N: 21981785, SEN S/N: 21981785)","Coupler Detached (LGR S/N: 21981785)","Coupler Attached (LGR S/N: 21981785)","Host Connected (LGR S/N: 21981785)","Stopped (LGR S/N: 21981785)","End Of File (LGR S/N: 21981785)"
1,10/23/24 03:15:24 PM,7.53,26.52,,,,,
2,10/23/24 03:15:32 PM,,,Logged,,,,
3,10/23/24 03:16:24 PM,7.49,26.68,,,,,
4,10/23/24 03:17:24 PM,7.47,26.78,,,,,
5,10/23/24 03:18:24 PM,7.43,26.82,,,,,
6,10/23/24 03:19:24 PM,7.44,26.84,,,,,
7,10/23/24 03:20:24 PM,7.44,26.86,,,,,
8,10/23/24 03:21:24 PM,7.41,26.86,,,,,
9,10/23/24 03:22:24 PM,7.44,26.86,,,,,
10,10/23/24 03:23:24 PM,7.43,26.86,,,,,
11,10/23/24 03:24:24 PM,7.41,26.98,,,,,
12,10/23/24 03:25:24 PM,7.45,27.06,,,,,
13,10/23/24 03:26:24 PM,7.45,27.18,,,,,
14,10/23/24 03:27:24 PM,7.46,27.30,,,,,
15,10/23/24 03:28:24 PM,7.46,27.40,,,,,
16,10/23/24 03:29:24 PM,7.46,27.50,,,,,
17,10/23/24 03:30:24 PM,7.45,27.66,,,,,
18,10/23/24 03:31:24 PM,7.48,27.78,,,,,
19,10/23/24 03:32:24 PM,7.48,27.96,,,,,
20,10/23/24 03:33:24 PM,7.49,28.18,,,,,
21,10/23/24 03:34:24 PM,7.45,28.42,,,,,
22,10/23/24 03:35:24 PM,7.42,28.70,,,,,
23,10/23/24 03:36:24 PM,7.34,29.00,,,,,
24,10/23/24 03:37:24 PM,7.30,29.30,,,,,
25,10/23/24 03:38:24 PM,7.25,29.60,,,,,
26,10/23/24 03:39:24 PM,7.20,29.88,,,,,
27,10/23/24 03:40:24 PM,7.11,30.16,,,,,
28,10/23/24 03:41:24 PM,7.08,30.46,,,,,
29,10/23/24 03:42:24 PM,7.00,30.84,,,,,
30,10/23/24 03:43:24 PM,6.99,30.98,,,,,
31,10/23/24 03:44:24 PM,6.98,31.04,,,,,
32,10/23/24 03:45:24 PM,6.94,31.04,,,,,
33,10/23/24 03:46:24 PM,6.93,31.06,,,,,
34,10/23/24 03:47:24 PM,6.89,31.06,,,,,
35,10/23/24 03:48:24 PM,6.89,31.06,,,,,
36,10/23/24 03:49:24 PM,6.90,31.08,,,,,
37,10/23/24 03:50:24 PM,6.93,31.10,,,,,
38,10/23/24 03:51:24 PM,6.92,31.16,,,,,
39,10/23/24 03:52:24 PM,6.92,31.22,,,,,
40,10/23/24 03:53:24 PM,6.84,31.26,,,,,
41,10/23/24 03:54:24 PM,6.87,31.32,,,,,
42,10/23/24 03:55:24 PM,6.86,31.32,,,,,
43,10/23/24 03:56:24 PM,6.88,31.34,,,,,
44,10/23/24 03:57:24 PM,6.88,31.34,,,,,
45,10/23/24 03:58:24 PM,6.83,31.34,,,,,
46,10/23/24 03:59:24 PM,6.84,31.36,,,,,
47,10/23/24 04:00:24 PM,6.86,31.40,,,,,
48,10/23/24 04:01:24 PM,6.84,31.46,,,,,
49,10/23/24 04:02:24 PM,6.79,31.54,,,,,
50,10/23/24 04:03:24 PM,6.75,31.58,,,,,
51,10/23/24 04:04:24 PM,6.77,31.64,,,,,
52,10/23/24 04:05:24 PM,6.74,31.70,,,,,
53,10/23/24 04:06:24 PM,6.74,31.76,,,,,
54,10/23/24 04:07:24 PM,6.72,31.80,,,,,
55,10/23/24 04:08:24 PM,6.71,31.84,,,,,
56,10/23/24 04:09:24 PM,6.70,31.88,,,,,
57,10/23/24 04:10:24 PM,8.51,31.84,,,,,
58,10/23/24 04:11:24 PM,8.85,31.02,,,,,
59,10/23/24 04:12:24 PM,8.96,30.58,,,,,
60,10/23/24 04:13:24 PM,9.06,30.18,,,,,
61,10/23/24 04:14:24 PM,9.13,29.90,,,,,
62,10/23/24 04:15:24 PM,9.09,29.68,,,,,
63,10/23/24 04:16:24 PM,9.29,29.48,,,,,
64,10/23/24 04:17:24 PM,9.32,29.28,,,,,
65,10/23/24 04:18:24 PM,9.47,29.16,,,,,
66,10/23/24 04:19:24 PM,9.38,29.02,,,,,
67,10/23/24 04:20:24 PM,9.47,28.94,,,,,
68,10/23/24 04:21:24 PM,9.46,28.90,,,,,
69,10/23/24 04:22:24 PM,9.52,28.84,,,,,
70,10/23/24 04:23:24 PM,9.53,28.80,,,,,
71,10/23/24 04:24:24 PM,9.48,28.76,,,,,
72,10/23/24 04:25:24 PM,9.49,28.72,,,,,
73,10/23/24 04:26:24 PM,9.50,28.72,,,,,
74,10/23/24 04:27:24 PM,9.50,28.70,,,,,
75,10/23/24 04:28:24 PM,9.51,28.68,,,,,
76,10/23/24 04:29:24 PM,9.51,28.68,,,,,
77,10/23/24 04:30:24 PM,9.55,28.68,,,,,
78,10/23/24 04:31:24 PM,9.55,28.68,,,,,
79,10/23/24 04:32:24 PM,9.53,28.68,,,,,
80,10/23/24 04:33:24 PM,9.58,28.68,,,,,
81,10/23/24 04:34:24 PM,9.60,28.68,,,,,
82,10/23/24 04:35:24 PM,9.59,28.68,,,,,
83,10/23/24 04:36:24 PM,9.61,28.68,,,,,
84,10/23/24 04:37:24 PM,9.65,28.70,,,,,
85,10/23/24 04:38:24 PM,9.61,28.68,,,,,
86,10/23/24 04:39:24 PM,9.60,28.68,,,,,
87,10/23/24 04:40:24 PM,9.64,28.68,,,,,
88,10/23/24 04:41:24 PM,9.64,28.68,,,,,
89,10/23/24 04:42:24 PM,9.65,28.68,,,,,
90,10/23/24 04:43:24 PM,9.68,28.70,,,,,
91,10/23/24 04:44:24 PM,9.66,28.70,,,,,
92,10/23/24 04:45:24 PM,9.70,28.70,,,,,
93,10/23/24 04:46:24 PM,9.70,28.70,,,,,
94,10/23/24 04:47:24 PM,9.69,28.70,,,,,
95,10/23/24 04:48:24 PM,9.73,28.70,,,,,
96,10/23/24 04:49:24 PM,9.71,28.70,,,,,
97,10/23/24 04:50:24 PM,9.71,28.70,,,,,
98,10/23/24 04:51:24 PM,9.72,28.70,,,,,
99,10/23/24 04:52:24 PM,9.73,28.70,,,,,
100,10/23/24 04:53:24 PM,9.75,28.70,,,,,
101,10/23/24 04:54:24 PM,9.77,28.70,,,,,
102,10/23/24 04:55:24 PM,9.74,28.66,,,,,
103,10/23/24 04:56:24 PM,9.75,28.64,,,,,
104,10/23/24 04:57:24 PM,9.80,28.62,,,,,
105,10/23/24 04:58:24 PM,9.78,28.60,,,,,
106,10/23/24 04:59:24 PM,9.76,28.58,,,,,
107,10/23/24 05:00:24 PM,9.76,28.56,,,,,
108,10/23/24 05:01:24 PM,9.75,28.54,,,,,
109,10/23/24 05:02:24 PM,9.73,28.54,,,,,
110,10/23/24 05:03:24 PM,9.74,28.54,,,,,
111,10/23/24 05:04:24 PM,9.71,28.52,,,,,
112,10/23/24 05:05:24 PM,9.71,28.52,,,,,
113,10/23/24 05:06:24 PM,9.70,28.52,,,,,
114,10/23/24 05:07:24 PM,9.69,28.52,,,,,
115,10/23/24 05:08:24 PM,9.66,28.52,,,,,
116,10/23/24 05:09:24 PM,9.67,28.52,,,,,
117,10/23/24 05:10:24 PM,9.67,28.50,,,,,
118,10/23/24 05:11:24 PM,9.63,28.50,,,,,
119,10/23/24 05:12:24 PM,9.64,28.50,,,,,
120,10/23/24 05:13:24 PM,9.64,28.50,,,,,
121,10/23/24 05:14:24 PM,9.63,28.50,,,,,
122,10/23/24 05:15:24 PM,9.65,28.50,,,,,
123,10/23/24 05:16:24 PM,9.64,28.50,,,,,
124,10/23/24 05:17:24 PM,9.64,28.50,,,,,
125,10/23/24 05:18:24 PM,9.62,28.50,,,,,
126,10/23/24 05:19:24 PM,9.62,28.50,,,,,
127,10/23/24 05:20:24 PM,9.62,28.50,,,,,
