"Plot Title: oxy4"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981784, SEN S/N: 21981784)","Temp, °C (LGR S/N: 21981784, SEN S/N: 21981784)","Coupler Detached (LGR S/N: 21981784)","Sensor Data Error (LGR S/N: 21981784)","Coupler Attached (LGR S/N: 21981784)","Host Connected (LGR S/N: 21981784)","Stopped (LGR S/N: 21981784)","End Of File (LGR S/N: 21981784)"
1,10/23/24 03:16:19 PM,7.53,26.62,,,,,,
2,10/23/24 03:16:26 PM,,,Logged,,,,,
3,10/23/24 03:17:19 PM,7.43,26.86,,,,,,
4,10/23/24 03:18:19 PM,7.37,27.00,,,,,,
5,10/23/24 03:19:19 PM,7.37,27.02,,,,,,
6,10/23/24 03:20:19 PM,7.37,27.00,,,,,,
7,10/23/24 03:21:19 PM,7.38,26.96,,,,,,
8,10/23/24 03:22:19 PM,7.39,26.92,,,,,,
9,10/23/24 03:23:19 PM,7.41,26.88,,,,,,
10,10/23/24 03:24:19 PM,7.42,26.88,,,,,,
11,10/23/24 03:25:19 PM,7.45,26.92,,,,,,
12,10/23/24 03:26:19 PM,7.47,27.00,,,,,,
13,10/23/24 03:27:19 PM,7.49,27.08,,,,,,
14,10/23/24 03:28:19 PM,7.50,27.16,,,,,,
15,10/23/24 03:29:19 PM,7.50,27.24,,,,,,
16,10/23/24 03:30:19 PM,7.52,27.34,,,,,,
17,10/23/24 03:31:19 PM,7.52,27.44,,,,,,
18,10/23/24 03:32:19 PM,7.51,27.56,,,,,,
19,10/23/24 03:33:19 PM,7.50,27.66,,,,,,
20,10/23/24 03:34:19 PM,7.49,27.74,,,,,,
21,10/23/24 03:35:19 PM,7.50,27.86,,,,,,
22,10/23/24 03:36:19 PM,7.49,27.96,,,,,,
23,10/23/24 03:37:19 PM,7.46,28.08,,,,,,
24,10/23/24 03:38:19 PM,7.45,28.18,,,,,,
25,10/23/24 03:39:19 PM,7.44,28.26,,,,,,
26,10/23/24 03:40:19 PM,7.41,28.32,,,,,,
27,10/23/24 03:41:19 PM,7.39,28.40,,,,,,
28,10/23/24 03:42:19 PM,7.38,28.50,,,,,,
29,10/23/24 03:43:19 PM,7.41,28.60,,,,,,
