"Plot Title: oxy3"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981785, SEN S/N: 21981785)","Temp, °C (LGR S/N: 21981785, SEN S/N: 21981785)","Coupler Detached (LGR S/N: 21981785)","Coupler Attached (LGR S/N: 21981785)","Host Connected (LGR S/N: 21981785)","Sensor Data Error (LGR S/N: 21981785)","Stopped (LGR S/N: 21981785)","End Of File (LGR S/N: 21981785)"
1,10/24/24 09:49:49 AM,7.16,29.20,,,,,,
2,10/24/24 09:49:52 AM,,,Logged,,,,,
3,10/24/24 09:50:49 AM,7.18,29.16,,,,,,
4,10/24/24 09:51:49 AM,7.19,29.14,,,,,,
5,10/24/24 09:52:49 AM,7.11,29.12,,Logged,,,,
6,10/24/24 09:52:50 AM,,,,,Logged,,,
7,10/24/24 09:52:53 AM,,,Logged,,,,,
8,10/24/24 09:53:49 AM,7.19,29.14,,,,,,
9,10/24/24 09:54:49 AM,7.22,29.12,,,,,,
10,10/24/24 09:55:49 AM,7.23,29.06,,,,,,
11,10/24/24 09:56:49 AM,7.23,29.00,,,,,,
12,10/24/24 09:57:49 AM,7.25,28.94,,,,,,
13,10/24/24 09:58:49 AM,7.25,28.88,,,,,,
14,10/24/24 09:59:49 AM,7.23,28.80,,,,,,
15,10/24/24 10:00:49 AM,7.26,28.72,,,,,,
16,10/24/24 10:01:49 AM,7.27,28.64,,,,,,
17,10/24/24 10:02:49 AM,7.27,28.58,,,,,,
18,10/24/24 10:03:49 AM,7.29,28.50,,,,,,
19,10/24/24 10:04:49 AM,7.22,28.42,,,,,,
20,10/24/24 10:05:49 AM,7.25,28.34,,,,,,
21,10/24/24 10:06:49 AM,7.30,28.24,,,,,,
22,10/24/24 10:07:49 AM,7.29,28.10,,,,,,
23,10/24/24 10:08:49 AM,7.29,27.92,,,,,,
24,10/24/24 10:09:49 AM,7.32,27.78,,,,,,
25,10/24/24 10:10:49 AM,7.35,27.66,,,,,,
26,10/24/24 10:11:49 AM,7.37,27.56,,,,,,
27,10/24/24 10:12:49 AM,7.41,27.46,,,,,,
28,10/24/24 10:13:49 AM,7.41,27.38,,,,,,
29,10/24/24 10:14:49 AM,7.42,27.34,,,,,,
30,10/24/24 10:15:49 AM,7.43,27.30,,,,,,
31,10/24/24 10:16:49 AM,7.44,27.28,,,,,,
32,10/24/24 10:17:49 AM,7.45,27.28,,,,,,
33,10/24/24 10:18:49 AM,7.44,27.32,,,,,,
34,10/24/24 10:19:49 AM,7.46,27.34,,,,,,
35,10/24/24 10:20:49 AM,7.45,27.40,,,,,,
36,10/24/24 10:21:49 AM,7.43,27.46,,,,,,
37,10/24/24 10:22:49 AM,7.42,27.50,,,,,,
38,10/24/24 10:23:49 AM,7.42,27.56,,,,,,
39,10/24/24 10:24:49 AM,7.44,27.60,,,,,,
40,10/24/24 10:25:49 AM,7.41,27.64,,,,,,
41,10/24/24 10:26:49 AM,7.42,27.70,,,,,,
42,10/24/24 10:27:49 AM,7.41,27.74,,,,,,
43,10/24/24 10:28:49 AM,7.40,27.78,,,,,,
44,10/24/24 10:29:49 AM,7.41,27.82,,,,,,
45,10/24/24 10:30:49 AM,7.40,27.86,,,,,,
46,10/24/24 10:31:49 AM,7.39,27.88,,,,,,
47,10/24/24 10:32:49 AM,7.39,27.90,,,,,,
48,10/24/24 10:33:49 AM,7.39,27.92,,,,,,
49,10/24/24 10:34:49 AM,7.39,27.94,,,,,,
50,10/24/24 10:35:49 AM,7.39,27.94,,,,,,
51,10/24/24 10:36:49 AM,7.37,27.94,,,,,,
52,10/24/24 10:37:49 AM,7.36,27.94,,,,,,
53,10/24/24 10:38:49 AM,7.35,27.94,,,,,,
54,10/24/24 10:39:49 AM,7.36,27.96,,,,,,
55,10/24/24 10:40:49 AM,7.36,27.96,,,,,,
56,10/24/24 10:41:49 AM,7.37,27.96,,,,,,
57,10/24/24 10:42:49 AM,7.37,27.96,,,,,,
58,10/24/24 10:43:49 AM,7.36,27.96,,,,,,
59,10/24/24 10:44:49 AM,7.35,27.94,,,,,,
60,10/24/24 10:45:49 AM,7.36,27.94,,,,,,
61,10/24/24 10:46:49 AM,7.37,27.94,,,,,,
62,10/24/24 10:47:49 AM,7.36,27.92,,,,,,
63,10/24/24 10:48:49 AM,7.36,27.92,,,,,,
64,10/24/24 10:49:49 AM,7.36,27.92,,,,,,
65,10/24/24 10:50:49 AM,7.36,27.90,,,,,,
66,10/24/24 10:51:49 AM,7.36,27.90,,,,,,
67,10/24/24 10:52:49 AM,7.36,27.90,,,,,,
68,10/24/24 10:53:49 AM,7.37,27.88,,,,,,
69,10/24/24 10:54:49 AM,7.36,27.88,,,,,,
70,10/24/24 10:55:49 AM,7.36,27.86,,,,,,
71,10/24/24 10:56:49 AM,7.37,27.86,,,,,,
72,10/24/24 10:57:49 AM,7.37,27.86,,,,,,
73,10/24/24 10:58:49 AM,7.36,27.88,,,,,,
74,10/24/24 10:59:49 AM,7.36,27.88,,,,,,
75,10/24/24 11:00:49 AM,7.36,27.88,,,,,,
76,10/24/24 11:01:49 AM,7.36,27.90,,,,,,
77,10/24/24 11:02:49 AM,7.36,27.92,,,,,,
78,10/24/24 11:03:49 AM,7.35,27.94,,,,,,
79,10/24/24 11:04:49 AM,7.37,27.96,,,,,,
80,10/24/24 11:05:49 AM,7.37,27.98,,,,,,
81,10/24/24 11:06:49 AM,7.38,28.02,,,,,,
82,10/24/24 11:07:49 AM,7.39,28.04,,,,,,
83,10/24/24 11:08:49 AM,-888.88,-888.88,,,,Logged,,
84,10/24/24 11:09:49 AM,7.65,28.12,,,,,,
85,10/24/24 11:10:49 AM,7.71,27.92,,,,,,
86,10/24/24 11:11:49 AM,7.77,27.78,,,,,,
87,10/24/24 11:12:49 AM,7.82,27.68,,,,,,
88,10/24/24 11:13:49 AM,7.83,27.60,,,,,,
89,10/24/24 11:14:49 AM,7.87,27.54,,,,,,
90,10/24/24 11:15:49 AM,7.87,27.52,,,,,,
91,10/24/24 11:16:49 AM,7.96,27.50,,,,,,
92,10/24/24 11:17:49 AM,7.98,27.50,,,,,,
93,10/24/24 11:18:49 AM,7.97,27.50,,,,,,
94,10/24/24 11:19:49 AM,7.96,27.48,,,,,,
95,10/24/24 11:20:49 AM,7.94,27.48,,,,,,
96,10/24/24 11:21:49 AM,7.87,27.42,,,,,,
97,10/24/24 11:22:49 AM,7.95,27.36,,,,,,
98,10/24/24 11:23:49 AM,7.97,27.34,,,,,,
99,10/24/24 11:24:49 AM,7.90,27.30,,,,,,
100,10/24/24 11:25:49 AM,7.79,27.28,,,,,,
101,10/24/24 11:26:49 AM,7.83,27.34,,,,,,
102,10/24/24 11:27:49 AM,7.61,27.38,,,,,,
103,10/24/24 11:28:49 AM,7.71,27.42,,,,,,
104,10/24/24 11:29:49 AM,7.63,27.44,,,,,,
105,10/24/24 11:30:49 AM,7.60,27.48,,,,,,
106,10/24/24 11:31:49 AM,7.61,27.52,,,,,,
107,10/24/24 11:32:49 AM,7.68,27.56,,,,,,
108,10/24/24 11:33:49 AM,7.84,27.56,,,,,,
109,10/24/24 11:34:49 AM,7.74,27.58,,,,,,
110,10/24/24 11:35:49 AM,7.60,27.60,,,,,,
111,10/24/24 11:36:49 AM,7.86,27.62,,,,,,
112,10/24/24 11:37:49 AM,7.86,27.66,,,,,,
113,10/24/24 11:38:49 AM,7.94,27.68,,,,,,
114,10/24/24 11:39:49 AM,7.91,27.68,,,,,,
115,10/24/24 11:40:49 AM,7.82,27.70,,,,,,
116,10/24/24 11:41:49 AM,7.88,27.74,,,,,,
117,10/24/24 11:42:49 AM,7.88,27.74,,,,,,
118,10/24/24 11:43:49 AM,7.88,27.74,,,,,,
119,10/24/24 11:44:49 AM,7.97,27.74,,,,,,
120,10/24/24 11:45:49 AM,8.01,27.76,,,,,,
121,10/24/24 11:46:49 AM,8.04,27.78,,,,,,
122,10/24/24 11:47:49 AM,8.07,27.78,,,,,,
123,10/24/24 11:48:49 AM,8.14,27.78,,,,,,
124,10/24/24 11:49:49 AM,8.14,27.78,,,,,,
125,10/24/24 11:50:49 AM,8.15,27.80,,,,,,
126,10/24/24 11:51:49 AM,8.19,27.80,,,,,,
127,10/24/24 11:52:49 AM,8.21,27.82,,,,,,
128,10/24/24 11:53:49 AM,8.24,27.82,,,,,,
129,10/24/24 11:54:49 AM,8.26,27.84,,,,,,
130,10/24/24 11:55:49 AM,8.24,27.84,,,,,,
131,10/24/24 11:56:49 AM,8.20,27.84,,,,,,
132,10/24/24 11:57:49 AM,8.21,27.76,,,,,,
133,10/24/24 11:58:49 AM,8.25,27.70,,,,,,
134,10/24/24 11:59:49 AM,8.28,27.62,,,,,,
135,10/24/24 12:00:49 PM,8.29,27.56,,,,,,
136,10/24/24 12:01:49 PM,8.30,27.50,,,,,,
137,10/24/24 12:02:49 PM,8.30,27.46,,,,,,
138,10/24/24 12:03:49 PM,8.31,27.44,,,,,,
139,10/24/24 12:04:49 PM,8.31,27.42,,,,,,
140,10/24/24 12:05:49 PM,8.31,27.40,,,,,,
141,10/24/24 12:06:49 PM,8.30,27.38,,,,,,
142,10/24/24 12:07:49 PM,8.29,27.38,,,,,,
143,10/24/24 12:08:49 PM,8.29,27.36,,,,,,
144,10/24/24 12:09:49 PM,8.30,27.36,,,,,,
145,10/24/24 12:10:49 PM,8.29,27.36,,,,,,
146,10/24/24 12:11:49 PM,8.28,27.36,,,,,,
147,10/24/24 12:12:49 PM,8.28,27.34,,,,,,
148,10/24/24 12:13:49 PM,8.29,27.34,,,,,,
149,10/24/24 12:14:49 PM,8.27,27.34,,,,,,
150,10/24/24 12:15:49 PM,8.26,27.34,,,,,,
151,10/24/24 12:16:49 PM,8.25,27.34,,,,,,
152,10/24/24 12:17:49 PM,8.25,27.36,,,,,,
153,10/24/24 12:18:49 PM,8.25,27.36,,,,,,
154,10/24/24 12:19:49 PM,8.23,27.36,,,,,,
155,10/24/24 12:20:49 PM,8.23,27.36,,,,,,
156,10/24/24 12:21:49 PM,8.24,27.36,,,,,,
157,10/24/24 12:22:49 PM,8.23,27.36,,,,,,
158,10/24/24 12:23:49 PM,8.22,27.38,,,,,,
159,10/24/24 12:24:49 PM,8.20,27.38,,,,,,
160,10/24/24 12:25:49 PM,8.21,27.38,,,,,,
