"Plot Title: oxy2"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21833999, SEN S/N: 21833999)","Temp, °C (LGR S/N: 21833999, SEN S/N: 21833999)","Coupler Detached (LGR S/N: 21833999)","Sensor Data Error (LGR S/N: 21833999)","Coupler Attached (LGR S/N: 21833999)","Host Connected (LGR S/N: 21833999)","Stopped (LGR S/N: 21833999)","End Of File (LGR S/N: 21833999)"
1,10/25/24 02:50:39 PM,7.00,27.12,,,,,,
2,10/25/24 02:50:45 PM,,,Logged,,,,,
3,10/25/24 02:51:39 PM,6.96,27.36,,,,,,
4,10/25/24 02:52:39 PM,6.97,27.44,,,,,,
5,10/25/24 02:53:39 PM,6.97,27.46,,,,,,
6,10/25/24 02:54:39 PM,6.93,27.42,,,,,,
7,10/25/24 02:55:39 PM,6.94,27.34,,,,,,
8,10/25/24 02:56:39 PM,6.95,27.28,,,,,,
9,10/25/24 02:57:39 PM,6.97,27.22,,,,,,
10,10/25/24 02:58:39 PM,6.97,27.16,,,,,,
11,10/25/24 02:59:39 PM,7.01,27.12,,,,,,
12,10/25/24 03:00:39 PM,6.99,27.14,,,,,,
13,10/25/24 03:01:39 PM,7.01,27.16,,,,,,
14,10/25/24 03:02:39 PM,7.04,27.22,,,,,,
15,10/25/24 03:03:39 PM,7.03,27.36,,,,,,
16,10/25/24 03:04:39 PM,7.00,27.56,,,,,,
17,10/25/24 03:05:39 PM,6.95,27.82,,,,,,
18,10/25/24 03:06:39 PM,6.92,28.12,,,,,,
19,10/25/24 03:07:39 PM,6.87,28.46,,,,,,
20,10/25/24 03:08:39 PM,6.88,28.82,,,,,,
21,10/25/24 03:09:39 PM,6.91,29.24,,,,,,
22,10/25/24 03:10:39 PM,6.83,29.64,,,,,,
23,10/25/24 03:11:39 PM,6.78,30.04,,,,,,
24,10/25/24 03:12:39 PM,6.74,30.42,,,,,,
25,10/25/24 03:13:39 PM,6.67,30.78,,,,,,
26,10/25/24 03:14:39 PM,6.68,31.00,,,,,,
27,10/25/24 03:15:39 PM,6.62,31.10,,,,,,
28,10/25/24 03:16:39 PM,6.56,31.18,,,,,,
29,10/25/24 03:17:39 PM,6.52,31.30,,,,,,
30,10/25/24 03:18:39 PM,6.49,31.34,,,,,,
31,10/25/24 03:19:39 PM,6.47,31.36,,,,,,
32,10/25/24 03:20:39 PM,6.47,31.34,,,,,,
33,10/25/24 03:21:39 PM,6.47,31.30,,,,,,
34,10/25/24 03:22:39 PM,6.46,31.32,,,,,,
35,10/25/24 03:23:39 PM,6.46,31.30,,,,,,
36,10/25/24 03:24:39 PM,6.46,31.30,,,,,,
37,10/25/24 03:25:39 PM,6.46,31.34,,,,,,
38,10/25/24 03:26:39 PM,6.46,31.38,,,,,,
39,10/25/24 03:27:39 PM,6.45,31.44,,,,,,
40,10/25/24 03:28:39 PM,6.43,31.46,,,,,,
41,10/25/24 03:29:39 PM,6.44,31.46,,,,,,
42,10/25/24 03:30:39 PM,6.44,31.44,,,,,,
43,10/25/24 03:31:39 PM,6.44,31.46,,,,,,
44,10/25/24 03:32:39 PM,6.43,31.44,,,,,,
45,10/25/24 03:33:39 PM,6.43,31.42,,,,,,
46,10/25/24 03:34:39 PM,6.44,31.40,,,,,,
47,10/25/24 03:35:39 PM,6.45,31.38,,,,,,
48,10/25/24 03:36:39 PM,6.48,31.38,,,,,,
49,10/25/24 03:37:39 PM,6.52,31.40,,,,,,
50,10/25/24 03:38:39 PM,6.52,31.42,,,,,,
51,10/25/24 03:39:39 PM,-888.88,-888.88,,Logged,,,,
52,10/25/24 03:40:39 PM,6.86,30.04,,,,,,
53,10/25/24 03:41:39 PM,6.96,29.62,,,,,,
54,10/25/24 03:42:39 PM,6.99,29.36,,,,,,
55,10/25/24 03:43:39 PM,7.05,29.14,,,,,,
56,10/25/24 03:44:39 PM,7.11,28.96,,,,,,
