"Plot Title: oxy3"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981785, SEN S/N: 21981785)","Temp, °C (LGR S/N: 21981785, SEN S/N: 21981785)","Coupler Detached (LGR S/N: 21981785)","Coupler Attached (LGR S/N: 21981785)","Host Connected (LGR S/N: 21981785)","Stopped (LGR S/N: 21981785)","End Of File (LGR S/N: 21981785)"
1,10/26/24 09:54:19 AM,7.27,28.54,,,,,
2,10/26/24 09:54:26 AM,,,Logged,,,,
3,10/26/24 09:55:19 AM,7.25,28.64,,,,,
4,10/26/24 09:56:19 AM,7.25,28.62,,,,,
5,10/26/24 09:57:19 AM,7.26,28.58,,,,,
6,10/26/24 09:58:19 AM,7.28,28.54,,,,,
7,10/26/24 09:59:19 AM,7.30,28.52,,,,,
8,10/26/24 10:00:19 AM,7.31,28.52,,,,,
9,10/26/24 10:01:19 AM,7.33,28.46,,,,,
10,10/26/24 10:02:19 AM,7.34,28.40,,,,,
11,10/26/24 10:03:19 AM,7.35,28.36,,,,,
12,10/26/24 10:04:19 AM,7.30,28.30,,,,,
13,10/26/24 10:05:19 AM,7.29,28.20,,,,,
14,10/26/24 10:06:19 AM,7.30,28.10,,,,,
15,10/26/24 10:07:19 AM,7.36,27.98,,,,,
16,10/26/24 10:08:19 AM,7.37,27.88,,,,,
17,10/26/24 10:09:19 AM,7.39,27.76,,,,,
18,10/26/24 10:10:19 AM,7.41,27.64,,,,,
19,10/26/24 10:11:19 AM,7.42,27.52,,,,,
20,10/26/24 10:12:19 AM,7.44,27.42,,,,,
21,10/26/24 10:13:19 AM,7.43,27.32,,,,,
22,10/26/24 10:14:19 AM,7.46,27.22,,,,,
23,10/26/24 10:15:19 AM,7.37,27.14,,,,,
24,10/26/24 10:16:19 AM,7.38,27.04,,,,,
25,10/26/24 10:17:19 AM,7.38,26.98,,,,,
26,10/26/24 10:18:19 AM,7.37,27.02,,,,,
27,10/26/24 10:19:19 AM,7.34,27.06,,,,,
28,10/26/24 10:20:19 AM,7.34,27.08,,,,,
29,10/26/24 10:21:19 AM,7.34,27.12,,,,,
30,10/26/24 10:22:19 AM,7.33,27.12,,,,,
31,10/26/24 10:23:19 AM,7.33,27.12,,,,,
32,10/26/24 10:24:19 AM,7.33,27.12,,,,,
33,10/26/24 10:25:19 AM,7.34,27.12,,,,,
34,10/26/24 10:26:19 AM,7.34,27.12,,,,,
35,10/26/24 10:27:19 AM,7.35,27.10,,,,,
36,10/26/24 10:28:19 AM,7.35,27.10,,,,,
37,10/26/24 10:29:19 AM,7.36,27.10,,,,,
38,10/26/24 10:30:19 AM,7.36,27.10,,,,,
39,10/26/24 10:31:19 AM,7.35,27.12,,,,,
40,10/26/24 10:32:19 AM,7.36,27.12,,,,,
41,10/26/24 10:33:19 AM,7.36,27.12,,,,,
42,10/26/24 10:34:19 AM,7.36,27.12,,,,,
43,10/26/24 10:35:19 AM,7.35,27.14,,,,,
44,10/26/24 10:36:19 AM,7.35,27.14,,,,,
45,10/26/24 10:37:19 AM,7.36,27.14,,,,,
46,10/26/24 10:38:19 AM,7.36,27.14,,,,,
47,10/26/24 10:39:19 AM,7.37,27.14,,,,,
48,10/26/24 10:40:19 AM,7.36,27.14,,,,,
49,10/26/24 10:41:19 AM,7.37,27.14,,,,,
50,10/26/24 10:42:19 AM,7.37,27.16,,,,,
51,10/26/24 10:43:19 AM,7.37,27.16,,,,,
52,10/26/24 10:44:19 AM,7.37,27.16,,,,,
53,10/26/24 10:45:19 AM,7.37,27.18,,,,,
54,10/26/24 10:46:19 AM,7.37,27.18,,,,,
55,10/26/24 10:47:19 AM,7.38,27.18,,,,,
56,10/26/24 10:48:19 AM,7.38,27.20,,,,,
57,10/26/24 10:49:19 AM,7.37,27.20,,,,,
58,10/26/24 10:50:19 AM,7.37,27.20,,,,,
59,10/26/24 10:51:19 AM,7.38,27.22,,,,,
60,10/26/24 10:52:19 AM,7.38,27.22,,,,,
61,10/26/24 10:53:19 AM,7.38,27.24,,,,,
62,10/26/24 10:54:19 AM,7.37,27.24,,,,,
63,10/26/24 10:55:19 AM,7.37,27.24,,,,,
64,10/26/24 10:56:19 AM,7.38,27.26,,,,,
65,10/26/24 10:57:19 AM,7.37,27.26,,,,,
66,10/26/24 10:58:19 AM,7.39,27.26,,,,,
67,10/26/24 10:59:19 AM,7.39,27.28,,,,,
68,10/26/24 11:00:19 AM,7.38,27.30,,,,,
69,10/26/24 11:01:19 AM,7.37,27.34,,,,,
70,10/26/24 11:02:19 AM,7.37,27.36,,,,,
71,10/26/24 11:03:19 AM,7.38,27.38,,,,,
72,10/26/24 11:04:19 AM,7.38,27.42,,,,,
73,10/26/24 11:05:19 AM,7.37,27.44,,,,,
74,10/26/24 11:06:19 AM,7.36,27.44,,,,,
75,10/26/24 11:07:19 AM,7.37,27.46,,,,,
76,10/26/24 11:08:19 AM,7.36,27.46,,,,,
77,10/26/24 11:09:19 AM,7.36,27.48,,,,,
78,10/26/24 11:10:19 AM,7.36,27.50,,,,,
79,10/26/24 11:11:19 AM,7.35,27.52,,,,,
80,10/26/24 11:12:19 AM,7.34,27.54,,,,,
81,10/26/24 11:13:19 AM,7.33,27.54,,,,,
82,10/26/24 11:14:19 AM,7.33,27.56,,,,,
83,10/26/24 11:15:19 AM,7.32,27.58,,,,,
84,10/26/24 11:16:19 AM,7.32,27.62,,,,,
85,10/26/24 11:17:19 AM,7.31,27.66,,,,,
86,10/26/24 11:18:19 AM,7.39,27.68,,,,,
87,10/26/24 11:19:19 AM,7.36,27.76,,,,,
88,10/26/24 11:20:19 AM,7.37,27.78,,,,,
89,10/26/24 11:21:19 AM,7.38,27.80,,,,,
90,10/26/24 11:22:19 AM,7.39,27.84,,,,,
91,10/26/24 11:23:19 AM,7.39,27.86,,,,,
92,10/26/24 11:24:19 AM,7.39,27.90,,,,,
93,10/26/24 11:25:19 AM,7.39,27.96,,,,,
94,10/26/24 11:26:19 AM,7.39,28.00,,,,,
95,10/26/24 11:27:19 AM,7.38,28.06,,,,,
96,10/26/24 11:28:19 AM,7.37,28.10,,,,,
97,10/26/24 11:29:19 AM,7.37,28.12,,,,,
98,10/26/24 11:30:19 AM,7.36,28.14,,,,,
99,10/26/24 11:31:19 AM,7.37,28.16,,,,,
100,10/26/24 11:32:19 AM,7.37,28.18,,,,,
101,10/26/24 11:33:19 AM,7.37,28.18,,,,,
102,10/26/24 11:34:19 AM,7.37,28.18,,,,,
103,10/26/24 11:35:19 AM,7.25,28.14,,,,,
104,10/26/24 11:36:19 AM,7.33,27.96,,,,,
105,10/26/24 11:37:19 AM,7.43,27.88,,,,,
106,10/26/24 11:38:19 AM,7.48,27.80,,,,,
107,10/26/24 11:39:19 AM,7.57,27.76,,,,,
108,10/26/24 11:40:19 AM,7.62,27.72,,,,,
109,10/26/24 11:41:19 AM,7.67,27.68,,,,,
110,10/26/24 11:42:19 AM,7.75,27.66,,,,,
111,10/26/24 11:43:19 AM,7.81,27.64,,,,,
112,10/26/24 11:44:19 AM,7.86,27.64,,,,,
113,10/26/24 11:45:19 AM,7.87,27.64,,,,,
114,10/26/24 11:46:19 AM,7.80,27.64,,,,,
115,10/26/24 11:47:19 AM,7.79,27.64,,,,,
116,10/26/24 11:48:19 AM,7.81,27.66,,,,,
117,10/26/24 11:49:19 AM,7.81,27.68,,,,,
118,10/26/24 11:50:19 AM,7.82,27.70,,,,,
119,10/26/24 11:51:19 AM,7.81,27.76,,,,,
120,10/26/24 11:52:19 AM,7.81,27.78,,,,,
121,10/26/24 11:53:19 AM,7.83,27.80,,,,,
122,10/26/24 11:54:19 AM,7.83,27.82,,,,,
123,10/26/24 11:55:19 AM,7.84,27.82,,,,,
124,10/26/24 11:56:19 AM,7.85,27.86,,,,,
125,10/26/24 11:57:19 AM,7.84,27.90,,,,,
126,10/26/24 11:58:19 AM,7.89,27.92,,,,,
127,10/26/24 11:59:19 AM,7.87,27.92,,,,,
128,10/26/24 12:00:19 PM,7.87,27.92,,,,,
129,10/26/24 12:01:19 PM,7.90,27.92,,,,,
130,10/26/24 12:02:19 PM,7.91,27.94,,,,,
131,10/26/24 12:03:19 PM,7.97,27.98,,,,,
132,10/26/24 12:04:19 PM,7.94,27.98,,,,,
133,10/26/24 12:05:19 PM,7.96,28.00,,,,,
134,10/26/24 12:06:19 PM,7.99,28.02,,,,,
135,10/26/24 12:07:19 PM,8.00,28.02,,,,,
136,10/26/24 12:08:19 PM,7.99,28.02,,,,,
137,10/26/24 12:09:19 PM,7.99,28.06,,,,,
138,10/26/24 12:10:19 PM,8.00,28.08,,,,,
139,10/26/24 12:11:19 PM,7.98,28.10,,,,,
140,10/26/24 12:12:19 PM,7.97,28.08,,,,,
141,10/26/24 12:13:19 PM,8.01,28.06,,,,,
142,10/26/24 12:14:19 PM,8.02,28.02,,,,,
143,10/26/24 12:15:19 PM,8.03,28.00,,,,,
144,10/26/24 12:16:19 PM,8.03,27.98,,,,,
145,10/26/24 12:17:19 PM,8.04,27.96,,,,,
146,10/26/24 12:18:19 PM,8.02,27.94,,,,,
147,10/26/24 12:19:19 PM,8.01,27.94,,,,,
148,10/26/24 12:20:19 PM,8.00,27.92,,,,,
149,10/26/24 12:21:19 PM,8.00,27.92,,,,,
150,10/26/24 12:22:19 PM,7.99,27.92,,,,,
151,10/26/24 12:23:19 PM,7.96,27.90,,,,,
152,10/26/24 12:24:19 PM,7.97,27.90,,,,,
153,10/26/24 12:25:19 PM,7.94,27.90,,,,,
154,10/26/24 12:26:19 PM,7.97,27.90,,,,,
155,10/26/24 12:27:19 PM,7.97,27.90,,,,,
156,10/26/24 12:28:19 PM,7.96,27.90,,,,,
157,10/26/24 12:29:19 PM,7.92,27.90,,,,,
158,10/26/24 12:30:19 PM,7.91,27.90,,,,,
159,10/26/24 12:31:19 PM,7.95,27.90,,,,,
160,10/26/24 12:32:19 PM,7.95,27.90,,,,,
161,10/26/24 12:33:19 PM,7.90,27.90,,,,,
162,10/26/24 12:34:19 PM,7.86,27.90,,,,,
163,10/26/24 12:35:19 PM,7.84,27.92,,,,,
164,10/26/24 12:36:19 PM,7.83,27.92,,,,,
165,10/26/24 12:37:19 PM,7.81,27.92,,,,,
166,10/26/24 12:38:19 PM,7.74,27.92,,,,,
167,10/26/24 12:39:19 PM,8.43,27.98,,,,,
168,10/26/24 12:40:19 PM,7.21,28.02,,,,,
169,10/26/24 12:41:19 PM,7.22,28.08,,,,,
170,10/26/24 12:42:19 PM,7.26,28.08,,,,,
171,10/26/24 12:43:19 PM,7.25,28.04,,,,,
172,10/26/24 12:44:19 PM,7.25,27.98,,,,,
173,10/26/24 12:45:19 PM,7.26,27.92,,,,,
174,10/26/24 12:46:19 PM,7.27,27.86,,,,,
175,10/26/24 12:47:19 PM,7.29,27.80,,,,,
176,10/26/24 12:48:19 PM,7.28,27.76,,,,,
177,10/26/24 12:49:19 PM,7.26,27.70,,,,,
178,10/26/24 12:50:19 PM,7.26,27.64,,,,,
179,10/26/24 12:51:19 PM,7.28,27.58,,,,,
180,10/26/24 12:52:19 PM,7.30,27.52,,,,,
181,10/26/24 12:53:19 PM,7.32,27.48,,,,,
182,10/26/24 12:54:19 PM,7.33,27.44,,,,,
183,10/26/24 12:55:19 PM,7.35,27.40,,,,,
184,10/26/24 12:56:19 PM,7.34,27.38,,,,,
185,10/26/24 12:57:19 PM,7.35,27.36,,,,,
186,10/26/24 12:58:19 PM,7.37,27.34,,,,,
187,10/26/24 12:59:19 PM,7.39,27.34,,,,,
188,10/26/24 01:00:19 PM,7.41,27.34,,,,,
189,10/26/24 01:01:19 PM,7.42,27.34,,,,,
190,10/26/24 01:02:19 PM,7.44,27.36,,,,,
191,10/26/24 01:03:19 PM,7.46,27.38,,,,,
192,10/26/24 01:04:19 PM,7.41,27.52,,,,,
193,10/26/24 01:05:19 PM,7.36,27.62,,,,,
194,10/26/24 01:06:19 PM,7.32,27.68,,,,,
195,10/26/24 01:07:19 PM,7.33,27.74,,,,,
196,10/26/24 01:08:19 PM,7.29,27.76,,,,,
197,10/26/24 01:09:19 PM,7.30,27.70,,,,,
198,10/26/24 01:10:19 PM,6.26,27.54,,,,,
199,10/26/24 01:11:19 PM,6.24,27.90,,,,,
200,10/26/24 01:12:19 PM,6.28,28.38,,,,,
201,10/26/24 01:13:19 PM,6.25,28.72,,,,,
202,10/26/24 01:14:19 PM,6.30,28.98,,,,,
203,10/26/24 01:15:19 PM,6.28,29.22,,,,,
204,10/26/24 01:16:19 PM,6.25,29.40,,,,,
205,10/26/24 01:17:19 PM,6.73,29.48,,,,,
206,10/26/24 01:17:27 PM,,,,Logged,,,
207,10/26/24 01:17:28 PM,,,,,Logged,,
208,10/26/24 01:17:29 PM,,,,,,Logged,Logged
