"Plot Title: oxy4"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981784, SEN S/N: 21981784)","Temp, °C (LGR S/N: 21981784, SEN S/N: 21981784)","Coupler Detached (LGR S/N: 21981784)","Sensor Data Error (LGR S/N: 21981784)","Coupler Attached (LGR S/N: 21981784)","Host Connected (LGR S/N: 21981784)","Stopped (LGR S/N: 21981784)","End Of File (LGR S/N: 21981784)"
1,10/31/24 09:45:45 AM,7.73,26.20,,,,,,
2,10/31/24 09:45:49 AM,,,Logged,,,,,
3,10/31/24 09:46:45 AM,7.74,26.28,,,,,,
4,10/31/24 09:47:45 AM,7.73,26.32,,,,,,
5,10/31/24 09:48:45 AM,7.71,26.36,,,,,,
6,10/31/24 09:49:45 AM,7.71,26.34,,,,,,
7,10/31/24 09:50:45 AM,7.70,26.30,,,,,,
8,10/31/24 09:51:45 AM,7.70,26.28,,,,,,
9,10/31/24 09:52:45 AM,7.71,26.24,,,,,,
10,10/31/24 09:53:45 AM,7.70,26.22,,,,,,
11,10/31/24 09:54:45 AM,7.67,26.22,,,,,,
12,10/31/24 09:55:45 AM,7.66,26.22,,,,,,
13,10/31/24 09:56:45 AM,7.68,26.20,,,,,,
14,10/31/24 09:57:45 AM,7.69,26.20,,,,,,
15,10/31/24 09:58:45 AM,7.71,26.20,,,,,,
16,10/31/24 09:59:45 AM,7.70,26.18,,,,,,
17,10/31/24 10:00:45 AM,7.67,26.16,,,,,,
18,10/31/24 10:01:45 AM,7.68,26.14,,,,,,
19,10/31/24 10:02:45 AM,7.68,26.14,,,,,,
20,10/31/24 10:03:45 AM,7.69,26.14,,,,,,
21,10/31/24 10:04:45 AM,7.69,26.16,,,,,,
22,10/31/24 10:05:45 AM,7.71,26.18,,,,,,
23,10/31/24 10:06:45 AM,7.70,26.22,,,,,,
24,10/31/24 10:07:45 AM,7.69,26.26,,,,,,
25,10/31/24 10:08:45 AM,7.68,26.30,,,,,,
26,10/31/24 10:09:45 AM,7.67,26.38,,,,,,
27,10/31/24 10:10:45 AM,7.68,26.44,,,,,,
28,10/31/24 10:11:45 AM,7.69,26.50,,,,,,
29,10/31/24 10:12:45 AM,7.66,26.54,,,,,,
30,10/31/24 10:13:45 AM,7.66,26.54,,,,,,
31,10/31/24 10:14:45 AM,7.66,26.54,,,,,,
32,10/31/24 10:15:45 AM,7.68,26.56,,,,,,
33,10/31/24 10:16:45 AM,7.67,26.60,,,,,,
34,10/31/24 10:17:45 AM,7.64,26.64,,,,,,
35,10/31/24 10:18:45 AM,7.62,26.66,,,,,,
36,10/31/24 10:19:45 AM,7.62,26.70,,,,,,
37,10/31/24 10:20:45 AM,7.63,26.72,,,,,,
38,10/31/24 10:21:45 AM,7.61,26.78,,,,,,
39,10/31/24 10:22:45 AM,7.61,26.82,,,,,,
40,10/31/24 10:23:45 AM,7.61,26.86,,,,,,
41,10/31/24 10:24:45 AM,7.62,26.88,,,,,,
42,10/31/24 10:25:45 AM,7.60,26.92,,,,,,
43,10/31/24 10:26:45 AM,7.59,26.96,,,,,,
44,10/31/24 10:27:45 AM,7.59,27.02,,,,,,
45,10/31/24 10:28:45 AM,7.56,27.04,,,,,,
46,10/31/24 10:29:45 AM,7.53,27.04,,,,,,
47,10/31/24 10:30:45 AM,7.52,27.04,,,,,,
48,10/31/24 10:31:45 AM,7.52,26.98,,,,,,
49,10/31/24 10:32:45 AM,7.53,26.92,,,,,,
50,10/31/24 10:33:45 AM,7.53,26.86,,,,,,
51,10/31/24 10:34:45 AM,7.54,26.82,,,,,,
52,10/31/24 10:35:45 AM,7.55,26.80,,,,,,
53,10/31/24 10:36:45 AM,7.55,26.76,,,,,,
54,10/31/24 10:37:45 AM,7.56,26.72,,,,,,
55,10/31/24 10:38:45 AM,7.55,26.68,,,,,,
56,10/31/24 10:39:45 AM,7.58,26.64,,,,,,
57,10/31/24 10:40:45 AM,7.57,26.62,,,,,,
58,10/31/24 10:41:45 AM,7.58,26.58,,,,,,
59,10/31/24 10:42:45 AM,7.57,26.56,,,,,,
60,10/31/24 10:43:45 AM,7.52,26.52,,,,,,
61,10/31/24 10:44:45 AM,7.51,26.50,,,,,,
62,10/31/24 10:45:45 AM,7.51,26.46,,,,,,
63,10/31/24 10:46:45 AM,7.51,26.44,,,,,,
64,10/31/24 10:47:45 AM,7.52,26.40,,,,,,
65,10/31/24 10:48:45 AM,7.52,26.38,,,,,,
66,10/31/24 10:49:45 AM,7.53,26.34,,,,,,
67,10/31/24 10:50:45 AM,-888.88,-888.88,,Logged,,,,
68,10/31/24 10:51:45 AM,7.25,26.44,,,,,,
69,10/31/24 10:52:45 AM,7.16,26.50,,,,,,
70,10/31/24 10:53:45 AM,7.10,26.56,,,,,,
71,10/31/24 10:54:45 AM,7.20,26.60,,,,,,
72,10/31/24 10:55:45 AM,7.21,26.64,,,,,,
73,10/31/24 10:56:45 AM,7.26,26.66,,,,,,
74,10/31/24 10:57:45 AM,7.30,26.68,,,,,,
75,10/31/24 10:58:45 AM,7.33,26.70,,,,,,
76,10/31/24 10:59:45 AM,7.36,26.74,,,,,,
77,10/31/24 11:00:45 AM,7.37,26.76,,,,,,
78,10/31/24 11:01:45 AM,7.40,26.78,,,,,,
79,10/31/24 11:02:45 AM,7.44,26.80,,,,,,
80,10/31/24 11:03:45 AM,7.48,26.82,,,,,,
81,10/31/24 11:04:45 AM,7.52,26.84,,,,,,
82,10/31/24 11:05:45 AM,7.54,26.84,,,,,,
83,10/31/24 11:06:45 AM,7.57,26.86,,,,,,
84,10/31/24 11:07:45 AM,7.63,26.88,,,,,,
85,10/31/24 11:08:45 AM,7.69,26.90,,,,,,
86,10/31/24 11:09:45 AM,7.70,26.90,,,,,,
87,10/31/24 11:10:45 AM,7.73,26.92,,,,,,
88,10/31/24 11:11:45 AM,7.77,26.94,,,,,,
89,10/31/24 11:12:45 AM,7.82,26.94,,,,,,
90,10/31/24 11:13:45 AM,7.88,26.96,,,,,,
91,10/31/24 11:14:45 AM,7.90,26.98,,,,,,
92,10/31/24 11:15:45 AM,7.95,26.98,,,,,,
93,10/31/24 11:16:45 AM,8.01,27.00,,,,,,
94,10/31/24 11:17:45 AM,8.07,27.00,,,,,,
95,10/31/24 11:18:45 AM,8.12,27.02,,,,,,
96,10/31/24 11:19:45 AM,8.18,27.04,,,,,,
97,10/31/24 11:20:45 AM,8.23,27.04,,,,,,
98,10/31/24 11:21:45 AM,8.25,27.04,,,,,,
99,10/31/24 11:22:45 AM,8.34,27.06,,,,,,
100,10/31/24 11:23:45 AM,8.38,27.06,,,,,,
101,10/31/24 11:24:45 AM,8.44,27.08,,,,,,
102,10/31/24 11:25:45 AM,8.47,27.08,,,,,,
103,10/31/24 11:26:45 AM,8.51,27.10,,,,,,
104,10/31/24 11:27:45 AM,8.61,27.12,,,,,,
105,10/31/24 11:28:45 AM,7.63,27.12,,,,,,
106,10/31/24 11:29:45 AM,7.53,27.08,,,,,,
107,10/31/24 11:30:45 AM,7.53,27.08,,,,,,
108,10/31/24 11:31:45 AM,7.54,27.06,,,,,,
109,10/31/24 11:32:45 AM,7.55,27.06,,,,,,
110,10/31/24 11:33:45 AM,7.53,27.06,,,,,,
111,10/31/24 11:34:45 AM,7.52,27.04,,,,,,
112,10/31/24 11:35:45 AM,7.55,27.04,,,,,,
113,10/31/24 11:36:45 AM,7.51,27.04,,,,,,
114,10/31/24 11:37:45 AM,7.50,27.04,,,,,,
115,10/31/24 11:38:45 AM,7.46,27.02,,,,,,
116,10/31/24 11:39:45 AM,7.47,27.02,,,,,,
117,10/31/24 11:40:45 AM,7.45,27.02,,,,,,
118,10/31/24 11:41:45 AM,7.45,27.02,,,,,,
119,10/31/24 11:42:45 AM,7.42,27.00,,,,,,
120,10/31/24 11:43:45 AM,7.39,27.00,,,,,,
121,10/31/24 11:44:45 AM,7.32,27.00,,,,,,
122,10/31/24 11:45:45 AM,7.29,27.00,,,,,,
123,10/31/24 11:46:45 AM,7.25,27.00,,,,,,
124,10/31/24 11:47:45 AM,7.21,27.00,,,,,,
125,10/31/24 11:48:45 AM,7.17,27.02,,,,,,
126,10/31/24 11:49:45 AM,7.11,27.02,,,,,,
127,10/31/24 11:50:45 AM,7.06,27.02,,,,,,
128,10/31/24 11:51:45 AM,7.05,27.02,,,,,,
129,10/31/24 11:52:45 AM,7.01,27.02,,,,,,
130,10/31/24 11:53:45 AM,6.98,27.02,,,,,,
131,10/31/24 11:54:45 AM,6.93,27.04,,,,,,
132,10/31/24 11:55:45 AM,6.92,27.04,,,,,,
133,10/31/24 11:56:45 AM,6.88,27.04,,,,,,
134,10/31/24 11:57:45 AM,6.85,27.04,,,,,,
135,10/31/24 11:58:45 AM,6.83,27.04,,,,,,
136,10/31/24 11:59:45 AM,6.81,27.04,,,,,,
137,10/31/24 12:00:45 PM,6.80,27.06,,,,,,
138,10/31/24 12:01:45 PM,6.79,27.06,,,,,,
139,10/31/24 12:02:45 PM,6.77,27.06,,,,,,
140,10/31/24 12:03:45 PM,6.75,27.06,,,,,,
