"Plot Title: oxy1"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21834000, SEN S/N: 21834000)","Temp, °C (LGR S/N: 21834000, SEN S/N: 21834000)","Coupler Detached (LGR S/N: 21834000)","Coupler Attached (LGR S/N: 21834000)","Host Connected (LGR S/N: 21834000)","Stopped (LGR S/N: 21834000)","End Of File (LGR S/N: 21834000)"
1,11/01/24 09:51:16 AM,7.47,25.70,,,,,
2,11/01/24 09:51:19 AM,,,Logged,,,,
3,11/01/24 09:52:16 AM,7.46,25.82,,,,,
4,11/01/24 09:53:16 AM,7.40,26.00,,,,,
5,11/01/24 09:54:16 AM,7.40,26.12,,,,,
6,11/01/24 09:55:16 AM,7.40,26.20,,,,,
7,11/01/24 09:56:16 AM,7.40,26.28,,,,,
8,11/01/24 09:57:16 AM,7.39,26.36,,,,,
9,11/01/24 09:58:16 AM,7.37,26.38,,,,,
10,11/01/24 09:59:16 AM,7.38,26.42,,,,,
11,11/01/24 10:00:16 AM,7.37,26.44,,,,,
12,11/01/24 10:01:16 AM,7.37,26.46,,,,,
13,11/01/24 10:02:16 AM,7.30,26.48,,,,,
14,11/01/24 10:03:16 AM,7.31,26.46,,,,,
15,11/01/24 10:04:16 AM,7.30,26.44,,,,,
16,11/01/24 10:05:16 AM,7.28,26.40,,,,,
17,11/01/24 10:06:16 AM,7.29,26.38,,,,,
18,11/01/24 10:07:16 AM,7.28,26.34,,,,,
19,11/01/24 10:08:16 AM,7.28,26.32,,,,,
20,11/01/24 10:09:16 AM,7.28,26.28,,,,,
21,11/01/24 10:10:16 AM,7.32,26.32,,,,,
22,11/01/24 10:11:16 AM,7.32,26.46,,,,,
23,11/01/24 10:12:16 AM,7.33,26.84,,,,,
24,11/01/24 10:13:16 AM,7.18,27.26,,,,,
25,11/01/24 10:14:16 AM,7.18,27.24,,,,,
26,11/01/24 10:15:16 AM,7.19,27.14,,,,,
27,11/01/24 10:16:16 AM,7.19,27.04,,,,,
28,11/01/24 10:17:16 AM,7.20,26.94,,,,,
29,11/01/24 10:18:16 AM,7.21,26.88,,,,,
30,11/01/24 10:19:16 AM,7.20,26.82,,,,,
31,11/01/24 10:20:16 AM,7.21,26.78,,,,,
32,11/01/24 10:21:16 AM,7.21,26.74,,,,,
33,11/01/24 10:22:16 AM,7.23,26.70,,,,,
34,11/01/24 10:23:16 AM,7.27,26.66,,,,,
35,11/01/24 10:24:16 AM,7.29,26.60,,,,,
36,11/01/24 10:25:16 AM,7.30,26.54,,,,,
37,11/01/24 10:26:16 AM,7.32,26.48,,,,,
38,11/01/24 10:27:16 AM,7.34,26.42,,,,,
39,11/01/24 10:28:16 AM,7.34,26.38,,,,,
40,11/01/24 10:29:16 AM,7.35,26.32,,,,,
41,11/01/24 10:30:16 AM,7.36,26.26,,,,,
42,11/01/24 10:31:16 AM,7.37,26.22,,,,,
43,11/01/24 10:32:16 AM,7.36,26.18,,,,,
44,11/01/24 10:33:16 AM,7.38,26.14,,,,,
45,11/01/24 10:34:16 AM,7.39,26.12,,,,,
46,11/01/24 10:35:16 AM,7.39,26.08,,,,,
47,11/01/24 10:36:16 AM,7.41,26.06,,,,,
48,11/01/24 10:37:16 AM,7.40,26.02,,,,,
49,11/01/24 10:38:16 AM,7.38,26.00,,,,,
50,11/01/24 10:39:16 AM,7.39,25.98,,,,,
51,11/01/24 10:40:16 AM,7.41,25.98,,,,,
52,11/01/24 10:41:16 AM,7.40,25.96,,,,,
53,11/01/24 10:42:16 AM,7.40,25.94,,,,,
54,11/01/24 10:43:16 AM,7.43,25.94,,,,,
55,11/01/24 10:44:16 AM,7.45,25.92,,,,,
56,11/01/24 10:45:16 AM,7.45,25.92,,,,,
57,11/01/24 10:46:16 AM,7.45,25.90,,,,,
58,11/01/24 10:47:16 AM,7.44,25.90,,,,,
59,11/01/24 10:48:16 AM,7.44,25.88,,,,,
60,11/01/24 10:49:16 AM,7.44,25.88,,,,,
61,11/01/24 10:50:16 AM,7.46,25.86,,,,,
62,11/01/24 10:51:16 AM,7.66,25.96,,,,,
