"Plot Title: oxy4"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981784, SEN S/N: 21981784)","Temp, °C (LGR S/N: 21981784, SEN S/N: 21981784)","Coupler Detached (LGR S/N: 21981784)","Coupler Attached (LGR S/N: 21981784)","Host Connected (LGR S/N: 21981784)","Stopped (LGR S/N: 21981784)","End Of File (LGR S/N: 21981784)"
1,11/03/24 10:31:28 AM,7.82,25.08,,,,,
2,11/03/24 10:31:32 AM,,,Logged,,,,
3,11/03/24 10:32:28 AM,7.79,25.34,,,,,
4,11/03/24 10:33:28 AM,7.80,25.48,,,,,
5,11/03/24 10:34:28 AM,7.80,25.58,,,,,
6,11/03/24 10:35:28 AM,7.80,25.64,,,,,
7,11/03/24 10:36:28 AM,7.79,25.68,,,,,
8,11/03/24 10:37:28 AM,7.79,25.74,,,,,
9,11/03/24 10:38:28 AM,7.64,25.76,,,,,
10,11/03/24 10:39:28 AM,7.58,25.74,,,,,
11,11/03/24 10:40:28 AM,7.59,25.68,,,,,
12,11/03/24 10:41:28 AM,7.59,25.60,,,,,
13,11/03/24 10:42:28 AM,7.60,25.50,,,,,
14,11/03/24 10:43:28 AM,7.61,25.40,,,,,
15,11/03/24 10:44:28 AM,7.62,25.30,,,,,
16,11/03/24 10:45:28 AM,7.64,25.22,,,,,
17,11/03/24 10:46:28 AM,7.65,25.14,,,,,
18,11/03/24 10:47:28 AM,7.71,25.08,,,,,
19,11/03/24 10:48:28 AM,7.74,25.04,,,,,
20,11/03/24 10:49:28 AM,7.73,25.02,,,,,
21,11/03/24 10:50:28 AM,7.72,25.00,,,,,
22,11/03/24 10:51:28 AM,7.72,24.98,,,,,
23,11/03/24 10:52:28 AM,7.72,24.98,,,,,
24,11/03/24 10:53:28 AM,7.73,24.98,,,,,
25,11/03/24 10:54:28 AM,7.72,24.98,,,,,
26,11/03/24 10:55:28 AM,7.73,25.00,,,,,
27,11/03/24 10:56:28 AM,7.74,25.04,,,,,
28,11/03/24 10:57:28 AM,7.74,25.10,,,,,
29,11/03/24 10:58:28 AM,7.74,25.14,,,,,
30,11/03/24 10:59:28 AM,7.73,25.20,,,,,
31,11/03/24 11:00:28 AM,7.72,25.26,,,,,
32,11/03/24 11:01:28 AM,7.70,25.34,,,,,
33,11/03/24 11:02:28 AM,7.70,25.40,,,,,
34,11/03/24 11:03:28 AM,7.67,25.46,,,,,
35,11/03/24 11:04:28 AM,7.67,25.52,,,,,
36,11/03/24 11:05:28 AM,7.66,25.58,,,,,
37,11/03/24 11:06:28 AM,7.64,25.62,,,,,
38,11/03/24 11:07:28 AM,7.64,25.68,,,,,
39,11/03/24 11:08:28 AM,7.64,25.72,,,,,
40,11/03/24 11:09:28 AM,7.63,25.78,,,,,
41,11/03/24 11:10:28 AM,7.62,25.82,,,,,
42,11/03/24 11:11:28 AM,7.61,25.86,,,,,
43,11/03/24 11:12:28 AM,7.60,25.90,,,,,
44,11/03/24 11:13:28 AM,7.60,25.94,,,,,
45,11/03/24 11:14:28 AM,7.59,25.98,,,,,
46,11/03/24 11:15:28 AM,7.60,26.02,,,,,
47,11/03/24 11:16:28 AM,7.59,26.04,,,,,
48,11/03/24 11:17:28 AM,7.57,26.08,,,,,
49,11/03/24 11:18:28 AM,7.57,26.10,,,,,
