"Plot Title: oxy1"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21834000, SEN S/N: 21834000)","Temp, °C (LGR S/N: 21834000, SEN S/N: 21834000)","Coupler Detached (LGR S/N: 21834000)","Sensor Data Error (LGR S/N: 21834000)","Coupler Attached (LGR S/N: 21834000)","Host Connected (LGR S/N: 21834000)","Stopped (LGR S/N: 21834000)","End Of File (LGR S/N: 21834000)"
1,11/03/24 10:30:23 AM,7.47,25.38,,,,,,
2,11/03/24 10:30:40 AM,,,Logged,,,,,
3,11/03/24 10:31:23 AM,7.43,25.68,,,,,,
4,11/03/24 10:32:23 AM,7.41,25.82,,,,,,
5,11/03/24 10:33:23 AM,7.43,25.88,,,,,,
6,11/03/24 10:34:23 AM,7.42,25.90,,,,,,
7,11/03/24 10:35:23 AM,7.42,25.94,,,,,,
8,11/03/24 10:36:23 AM,7.41,25.94,,,,,,
9,11/03/24 10:37:23 AM,7.41,25.94,,,,,,
10,11/03/24 10:38:23 AM,7.24,25.92,,,,,,
11,11/03/24 10:39:23 AM,7.24,25.74,,,,,,
12,11/03/24 10:40:23 AM,7.22,25.66,,,,,,
13,11/03/24 10:41:23 AM,7.21,25.56,,,,,,
14,11/03/24 10:42:23 AM,7.22,25.46,,,,,,
15,11/03/24 10:43:23 AM,7.24,25.36,,,,,,
16,11/03/24 10:44:23 AM,7.25,25.26,,,,,,
17,11/03/24 10:45:23 AM,7.27,25.18,,,,,,
18,11/03/24 10:46:23 AM,7.29,25.12,,,,,,
19,11/03/24 10:47:23 AM,6.79,24.96,,,,,,
20,11/03/24 10:48:23 AM,7.29,24.82,,,,,,
21,11/03/24 10:49:23 AM,7.32,24.74,,,,,,
22,11/03/24 10:50:23 AM,7.34,24.66,,,,,,
23,11/03/24 10:51:23 AM,7.35,24.64,,,,,,
24,11/03/24 10:52:23 AM,7.03,24.66,,,,,,
25,11/03/24 10:53:23 AM,7.35,24.72,,,,,,
26,11/03/24 10:54:23 AM,7.34,24.84,,,,,,
27,11/03/24 10:55:23 AM,7.32,24.96,,,,,,
28,11/03/24 10:56:23 AM,7.31,25.10,,,,,,
29,11/03/24 10:57:23 AM,7.29,25.22,,,,,,
30,11/03/24 10:58:23 AM,7.28,25.34,,,,,,
31,11/03/24 10:59:23 AM,7.26,25.46,,,,,,
32,11/03/24 11:00:23 AM,7.24,25.58,,,,,,
33,11/03/24 11:01:23 AM,7.04,25.64,,,,,,
34,11/03/24 11:02:23 AM,7.22,25.66,,,,,,
35,11/03/24 11:03:23 AM,7.25,25.70,,,,,,
36,11/03/24 11:04:23 AM,7.24,25.78,,,,,,
37,11/03/24 11:05:23 AM,7.18,25.86,,,,,,
38,11/03/24 11:06:23 AM,6.88,25.94,,,,,,
39,11/03/24 11:07:23 AM,6.89,26.00,,,,,,
40,11/03/24 11:08:23 AM,6.99,26.04,,,,,,
41,11/03/24 11:09:23 AM,6.89,26.10,,,,,,
42,11/03/24 11:10:23 AM,7.17,26.14,,,,,,
43,11/03/24 11:11:23 AM,7.16,26.18,,,,,,
44,11/03/24 11:12:23 AM,7.17,26.22,,,,,,
45,11/03/24 11:13:23 AM,7.15,26.24,,,,,,
46,11/03/24 11:14:23 AM,7.15,26.28,,,,,,
47,11/03/24 11:15:23 AM,7.15,26.30,,,,,,
