"Plot Title: oxy3"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981785, SEN S/N: 21981785)","Temp, °C (LGR S/N: 21981785, SEN S/N: 21981785)","Coupler Detached (LGR S/N: 21981785)","Coupler Attached (LGR S/N: 21981785)","Host Connected (LGR S/N: 21981785)","Stopped (LGR S/N: 21981785)","End Of File (LGR S/N: 21981785)"
1,11/05/24 02:48:18 PM,7.55,27.08,,,,,
2,11/05/24 02:48:21 PM,,,Logged,,,,
3,11/05/24 02:49:18 PM,7.45,27.30,,,,,
4,11/05/24 02:50:18 PM,7.42,27.32,,,,,
5,11/05/24 02:51:18 PM,7.41,27.28,,,,,
6,11/05/24 02:52:18 PM,7.43,27.22,,,,,
7,11/05/24 02:53:18 PM,7.42,27.14,,,,,
8,11/05/24 02:54:18 PM,7.43,27.04,,,,,
9,11/05/24 02:55:18 PM,7.45,26.96,,,,,
10,11/05/24 02:56:18 PM,7.47,26.90,,,,,
11,11/05/24 02:57:18 PM,7.50,26.82,,,,,
12,11/05/24 02:58:18 PM,7.48,26.76,,,,,
13,11/05/24 02:59:18 PM,7.27,26.72,,,,,
14,11/05/24 03:00:18 PM,6.48,26.76,,,,,
15,11/05/24 03:01:18 PM,7.19,26.92,,,,,
16,11/05/24 03:02:18 PM,7.20,26.96,,,,,
17,11/05/24 03:03:18 PM,6.27,26.94,,,,,
18,11/05/24 03:04:18 PM,6.17,26.92,,,,,
19,11/05/24 03:05:18 PM,6.03,26.90,,,,,
20,11/05/24 03:06:18 PM,5.95,26.88,,,,,
21,11/05/24 03:07:18 PM,5.93,26.86,,,,,
22,11/05/24 03:08:18 PM,7.27,26.84,,,,,
23,11/05/24 03:09:18 PM,7.31,26.82,,,,,
24,11/05/24 03:10:18 PM,7.31,26.82,,,,,
25,11/05/24 03:11:18 PM,7.33,26.80,,,,,
26,11/05/24 03:12:18 PM,7.34,26.80,,,,,
27,11/05/24 03:13:18 PM,7.35,26.82,,,,,
28,11/05/24 03:14:18 PM,7.34,26.84,,,,,
29,11/05/24 03:15:18 PM,7.37,26.84,,,,,
30,11/05/24 03:16:18 PM,7.36,26.88,,,,,
31,11/05/24 03:17:18 PM,7.37,26.90,,,,,
32,11/05/24 03:18:18 PM,7.35,26.92,,,,,
33,11/05/24 03:19:18 PM,7.36,26.94,,,,,
34,11/05/24 03:20:18 PM,7.35,26.98,,,,,
35,11/05/24 03:21:18 PM,7.35,27.00,,,,,
36,11/05/24 03:22:18 PM,7.36,27.02,,,,,
37,11/05/24 03:23:18 PM,7.35,27.04,,,,,
38,11/05/24 03:24:18 PM,7.35,27.06,,,,,
39,11/05/24 03:25:18 PM,7.35,27.10,,,,,
40,11/05/24 03:26:18 PM,7.34,27.12,,,,,
41,11/05/24 03:27:18 PM,7.33,27.16,,,,,
42,11/05/24 03:28:18 PM,7.33,27.22,,,,,
43,11/05/24 03:29:18 PM,7.32,27.24,,,,,
44,11/05/24 03:30:18 PM,7.31,27.26,,,,,
45,11/05/24 03:31:18 PM,7.31,27.28,,,,,
46,11/05/24 03:32:18 PM,7.31,27.28,,,,,
47,11/05/24 03:33:18 PM,7.31,27.30,,,,,
48,11/05/24 03:34:18 PM,7.30,27.32,,,,,
49,11/05/24 03:35:18 PM,7.30,27.34,,,,,
50,11/05/24 03:36:18 PM,7.31,27.34,,,,,
51,11/05/24 03:37:18 PM,7.30,27.36,,,,,
52,11/05/24 03:38:18 PM,7.32,27.36,,,,,
53,11/05/24 03:39:18 PM,8.19,27.44,,,,,
54,11/05/24 03:40:18 PM,8.23,27.60,,,,,
55,11/05/24 03:41:18 PM,8.22,27.70,,,,,
56,11/05/24 03:42:18 PM,8.26,27.76,,,,,
57,11/05/24 03:43:18 PM,8.26,27.82,,,,,
58,11/05/24 03:44:18 PM,8.27,27.86,,,,,
59,11/05/24 03:45:18 PM,8.28,27.90,,,,,
60,11/05/24 03:46:18 PM,8.28,27.94,,,,,
61,11/05/24 03:47:18 PM,8.31,27.96,,,,,
62,11/05/24 03:48:18 PM,8.31,27.98,,,,,
63,11/05/24 03:49:18 PM,8.36,28.00,,,,,
64,11/05/24 03:50:18 PM,8.33,28.02,,,,,
65,11/05/24 03:51:18 PM,8.33,28.04,,,,,
66,11/05/24 03:52:18 PM,8.37,28.06,,,,,
67,11/05/24 03:53:18 PM,8.39,28.08,,,,,
68,11/05/24 03:54:18 PM,8.41,28.08,,,,,
69,11/05/24 03:55:18 PM,8.40,28.08,,,,,
70,11/05/24 03:56:18 PM,8.41,28.10,,,,,
71,11/05/24 03:57:18 PM,8.45,28.10,,,,,
72,11/05/24 03:58:18 PM,8.45,28.12,,,,,
73,11/05/24 03:59:18 PM,8.48,28.12,,,,,
74,11/05/24 04:00:18 PM,8.52,28.14,,,,,
75,11/05/24 04:01:18 PM,8.53,28.14,,,,,
76,11/05/24 04:02:18 PM,8.53,28.14,,,,,
77,11/05/24 04:03:18 PM,8.57,28.16,,,,,
78,11/05/24 04:04:18 PM,8.59,28.16,,,,,
79,11/05/24 04:05:18 PM,8.58,28.16,,,,,
80,11/05/24 04:06:18 PM,8.61,28.18,,,,,
81,11/05/24 04:07:18 PM,8.60,28.18,,,,,
82,11/05/24 04:08:18 PM,8.17,28.16,,,,,
83,11/05/24 04:09:18 PM,8.11,28.14,,,,,
84,11/05/24 04:10:18 PM,8.14,28.14,,,,,
85,11/05/24 04:11:18 PM,8.17,28.14,,,,,
86,11/05/24 04:12:18 PM,8.18,28.14,,,,,
87,11/05/24 04:13:18 PM,8.19,28.14,,,,,
88,11/05/24 04:14:18 PM,8.19,28.14,,,,,
89,11/05/24 04:15:18 PM,8.18,28.14,,,,,
90,11/05/24 04:16:18 PM,8.10,28.12,,,,,
91,11/05/24 04:17:18 PM,8.13,28.14,,,,,
92,11/05/24 04:18:18 PM,8.14,28.14,,,,,
93,11/05/24 04:19:18 PM,8.17,28.14,,,,,
94,11/05/24 04:20:18 PM,8.21,28.16,,,,,
95,11/05/24 04:21:18 PM,8.21,28.16,,,,,
96,11/05/24 04:22:18 PM,8.22,28.18,,,,,
97,11/05/24 04:23:18 PM,8.26,28.20,,,,,
98,11/05/24 04:24:18 PM,8.28,28.20,,,,,
99,11/05/24 04:25:18 PM,8.33,28.22,,,,,
100,11/05/24 04:26:18 PM,8.29,28.22,,,,,
101,11/05/24 04:27:18 PM,8.36,28.22,,,,,
102,11/05/24 04:28:18 PM,8.36,28.22,,,,,
103,11/05/24 04:29:18 PM,8.40,28.22,,,,,
104,11/05/24 04:30:18 PM,8.41,28.22,,,,,
105,11/05/24 04:31:18 PM,8.42,28.22,,,,,
106,11/05/24 04:32:18 PM,8.42,28.22,,,,,
107,11/05/24 04:33:18 PM,8.41,28.22,,,,,
108,11/05/24 04:34:18 PM,8.41,28.22,,,,,
109,11/05/24 04:35:18 PM,8.44,28.22,,,,,
110,11/05/24 04:36:18 PM,8.48,28.22,,,,,
111,11/05/24 04:37:18 PM,8.42,28.22,,,,,
112,11/05/24 04:38:18 PM,8.50,28.22,,,,,
113,11/05/24 04:39:18 PM,8.51,28.22,,,,,
114,11/05/24 04:40:18 PM,8.51,28.22,,,,,
115,11/05/24 04:41:18 PM,8.53,28.24,,,,,
116,11/05/24 04:42:18 PM,8.56,28.24,,,,,
117,11/05/24 04:43:18 PM,8.53,28.24,,,,,
118,11/05/24 04:44:18 PM,8.55,28.24,,,,,
119,11/05/24 04:45:18 PM,8.55,28.22,,,,,
120,11/05/24 04:46:18 PM,8.53,28.22,,,,,
121,11/05/24 04:47:18 PM,8.42,28.22,,,,,
122,11/05/24 04:48:18 PM,8.47,28.20,,,,,
123,11/05/24 04:49:18 PM,8.43,28.20,,,,,
124,11/05/24 04:50:18 PM,8.41,28.20,,,,,
125,11/05/24 04:51:18 PM,8.38,28.20,,,,,
126,11/05/24 04:52:18 PM,8.34,28.18,,,,,
127,11/05/24 04:53:18 PM,8.35,28.18,,,,,
128,11/05/24 04:54:18 PM,8.33,28.18,,,,,
