"Plot Title: oxy1"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21834000, SEN S/N: 21834000)","Temp, °C (LGR S/N: 21834000, SEN S/N: 21834000)","Coupler Detached (LGR S/N: 21834000)","Sensor Data Error (LGR S/N: 21834000)","Coupler Attached (LGR S/N: 21834000)","Host Connected (LGR S/N: 21834000)","Stopped (LGR S/N: 21834000)","End Of File (LGR S/N: 21834000)"
1,11/08/24 09:26:06 AM,7.21,27.20,,,,,,
2,11/08/24 09:26:12 AM,,,Logged,,,,,
3,11/08/24 09:27:06 AM,7.19,27.28,,,,,,
4,11/08/24 09:28:06 AM,7.18,27.38,,,,,,
5,11/08/24 09:29:06 AM,7.19,27.40,,,,,,
6,11/08/24 09:30:06 AM,7.19,27.38,,,,,,
7,11/08/24 09:31:06 AM,7.18,27.38,,,,,,
8,11/08/24 09:32:06 AM,7.19,27.38,,,,,,
9,11/08/24 09:33:06 AM,7.19,27.38,,,,,,
10,11/08/24 09:34:06 AM,7.18,27.38,,,,,,
11,11/08/24 09:35:06 AM,7.18,27.38,,,,,,
12,11/08/24 09:36:06 AM,7.18,27.38,,,,,,
13,11/08/24 09:37:06 AM,7.17,27.38,,,,,,
14,11/08/24 09:38:06 AM,7.16,27.44,,,,,,
15,11/08/24 09:39:06 AM,7.17,27.62,,,,,,
16,11/08/24 09:40:06 AM,7.19,27.84,,,,,,
17,11/08/24 09:41:06 AM,7.12,28.06,,,,,,
18,11/08/24 09:42:06 AM,7.11,28.20,,,,,,
19,11/08/24 09:43:06 AM,7.10,28.30,,,,,,
20,11/08/24 09:44:06 AM,7.08,28.40,,,,,,
21,11/08/24 09:45:06 AM,7.08,28.50,,,,,,
22,11/08/24 09:46:06 AM,7.08,28.58,,,,,,
23,11/08/24 09:47:06 AM,7.05,28.66,,,,,,
24,11/08/24 09:48:06 AM,7.04,28.72,,,,,,
25,11/08/24 09:49:06 AM,7.06,28.78,,,,,,
26,11/08/24 09:50:06 AM,7.06,28.82,,,,,,
27,11/08/24 09:51:06 AM,7.05,28.88,,,,,,
28,11/08/24 09:52:06 AM,7.04,28.90,,,,,,
29,11/08/24 09:53:06 AM,7.03,28.94,,,,,,
30,11/08/24 09:54:06 AM,7.02,28.96,,,,,,
31,11/08/24 09:55:06 AM,7.02,29.00,,,,,,
32,11/08/24 09:56:06 AM,7.02,29.02,,,,,,
33,11/08/24 09:57:06 AM,7.01,29.04,,,,,,
34,11/08/24 09:58:06 AM,7.00,29.08,,,,,,
35,11/08/24 09:59:06 AM,7.00,29.12,,,,,,
36,11/08/24 10:00:06 AM,6.98,29.14,,,,,,
37,11/08/24 10:01:06 AM,6.97,29.18,,,,,,
38,11/08/24 10:02:06 AM,6.98,29.22,,,,,,
39,11/08/24 10:03:06 AM,6.96,29.26,,,,,,
40,11/08/24 10:04:06 AM,6.95,29.30,,,,,,
41,11/08/24 10:05:06 AM,6.95,29.32,,,,,,
42,11/08/24 10:06:06 AM,6.91,29.32,,,,,,
43,11/08/24 10:07:06 AM,6.91,29.34,,,,,,
44,11/08/24 10:08:06 AM,6.91,29.34,,,,,,
45,11/08/24 10:09:06 AM,6.86,29.34,,,,,,
46,11/08/24 10:10:06 AM,6.88,29.34,,,,,,
47,11/08/24 10:11:06 AM,6.87,29.34,,,,,,
48,11/08/24 10:12:06 AM,6.88,29.32,,,,,,
49,11/08/24 10:13:06 AM,6.87,29.28,,,,,,
50,11/08/24 10:14:06 AM,6.89,29.24,,,,,,
51,11/08/24 10:15:06 AM,6.84,29.22,,,,,,
52,11/08/24 10:16:06 AM,6.83,29.20,,,,,,
53,11/08/24 10:17:06 AM,6.82,29.18,,,,,,
54,11/08/24 10:18:06 AM,6.81,29.16,,,,,,
55,11/08/24 10:19:06 AM,6.82,29.14,,,,,,
56,11/08/24 10:20:06 AM,6.77,29.10,,,,,,
57,11/08/24 10:21:06 AM,6.78,29.08,,,,,,
58,11/08/24 10:22:06 AM,6.79,29.06,,,,,,
59,11/08/24 10:23:06 AM,6.79,29.06,,,,,,
60,11/08/24 10:24:06 AM,6.79,29.06,,,,,,
61,11/08/24 10:25:06 AM,6.78,29.06,,,,,,
62,11/08/24 10:26:06 AM,6.80,29.06,,,,,,
63,11/08/24 10:27:06 AM,6.78,29.02,,,,,,
64,11/08/24 10:28:06 AM,6.79,29.00,,,,,,
65,11/08/24 10:29:06 AM,7.40,28.48,,,,,,
66,11/08/24 10:30:06 AM,7.61,28.10,,,,,,
67,11/08/24 10:31:06 AM,7.63,27.88,,,,,,
68,11/08/24 10:32:06 AM,7.70,27.72,,,,,,
69,11/08/24 10:33:06 AM,7.76,27.58,,,,,,
70,11/08/24 10:34:06 AM,7.84,27.48,,,,,,
71,11/08/24 10:35:06 AM,7.95,27.42,,,,,,
72,11/08/24 10:36:06 AM,8.03,27.36,,,,,,
73,11/08/24 10:37:06 AM,8.10,27.32,,,,,,
74,11/08/24 10:38:06 AM,8.15,27.28,,,,,,
75,11/08/24 10:39:06 AM,8.24,27.28,,,,,,
76,11/08/24 10:40:06 AM,8.29,27.26,,,,,,
77,11/08/24 10:41:06 AM,8.31,27.26,,,,,,
78,11/08/24 10:42:06 AM,8.38,27.24,,,,,,
79,11/08/24 10:43:06 AM,8.40,27.24,,,,,,
80,11/08/24 10:44:06 AM,8.41,27.24,,,,,,
81,11/08/24 10:45:06 AM,8.44,27.24,,,,,,
82,11/08/24 10:46:06 AM,8.54,27.24,,,,,,
83,11/08/24 10:47:06 AM,8.58,27.26,,,,,,
84,11/08/24 10:48:06 AM,8.60,27.26,,,,,,
85,11/08/24 10:49:06 AM,8.67,27.26,,,,,,
86,11/08/24 10:50:06 AM,8.75,27.28,,,,,,
87,11/08/24 10:51:06 AM,8.76,27.28,,,,,,
88,11/08/24 10:52:06 AM,8.85,27.28,,,,,,
89,11/08/24 10:53:06 AM,8.90,27.30,,,,,,
90,11/08/24 10:54:06 AM,8.90,27.30,,,,,,
91,11/08/24 10:55:06 AM,8.98,27.32,,,,,,
92,11/08/24 10:56:06 AM,9.04,27.34,,,,,,
93,11/08/24 10:57:06 AM,9.11,27.34,,,,,,
94,11/08/24 10:58:06 AM,9.20,27.34,,,,,,
95,11/08/24 10:59:06 AM,9.18,27.36,,,,,,
96,11/08/24 11:00:06 AM,9.21,27.38,,,,,,
97,11/08/24 11:01:06 AM,9.21,27.38,,,,,,
98,11/08/24 11:02:06 AM,9.24,27.38,,,,,,
99,11/08/24 11:03:06 AM,9.28,27.40,,,,,,
100,11/08/24 11:04:06 AM,9.39,27.40,,,,,,
101,11/08/24 11:05:06 AM,9.47,27.42,,,,,,
102,11/08/24 11:06:06 AM,9.52,27.44,,,,,,
103,11/08/24 11:07:06 AM,9.57,27.44,,,,,,
104,11/08/24 11:08:06 AM,9.55,27.46,,,,,,
105,11/08/24 11:09:06 AM,9.63,27.46,,,,,,
106,11/08/24 11:10:06 AM,9.66,27.48,,,,,,
107,11/08/24 11:11:06 AM,9.69,27.48,,,,,,
108,11/08/24 11:12:06 AM,9.70,27.50,,,,,,
109,11/08/24 11:13:06 AM,9.75,27.50,,,,,,
110,11/08/24 11:14:06 AM,9.78,27.50,,,,,,
111,11/08/24 11:15:06 AM,9.88,27.52,,,,,,
112,11/08/24 11:16:06 AM,9.91,27.52,,,,,,
113,11/08/24 11:17:06 AM,9.96,27.54,,,,,,
114,11/08/24 11:18:06 AM,9.99,27.54,,,,,,
115,11/08/24 11:19:06 AM,10.04,27.54,,,,,,
116,11/08/24 11:20:06 AM,10.08,27.56,,,,,,
117,11/08/24 11:21:06 AM,10.13,27.56,,,,,,
118,11/08/24 11:22:06 AM,10.16,27.56,,,,,,
119,11/08/24 11:23:06 AM,10.15,27.58,,,,,,
120,11/08/24 11:24:06 AM,10.17,27.58,,,,,,
121,11/08/24 11:25:06 AM,10.21,27.60,,,,,,
122,11/08/24 11:26:06 AM,10.29,27.60,,,,,,
123,11/08/24 11:27:06 AM,10.29,27.62,,,,,,
124,11/08/24 11:28:06 AM,10.33,27.62,,,,,,
125,11/08/24 11:29:06 AM,10.38,27.62,,,,,,
126,11/08/24 11:30:06 AM,10.46,27.64,,,,,,
127,11/08/24 11:31:06 AM,10.47,27.64,,,,,,
128,11/08/24 11:32:06 AM,10.51,27.66,,,,,,
129,11/08/24 11:33:06 AM,10.63,27.66,,,,,,
130,11/08/24 11:34:06 AM,10.63,27.66,,,,,,
131,11/08/24 11:35:06 AM,10.64,27.68,,,,,,
132,11/08/24 11:36:06 AM,10.68,27.68,,,,,,
133,11/08/24 11:37:06 AM,10.73,27.70,,,,,,
134,11/08/24 11:38:06 AM,10.75,27.70,,,,,,
135,11/08/24 11:39:06 AM,10.82,27.70,,,,,,
136,11/08/24 11:40:06 AM,10.78,27.70,,,,,,
137,11/08/24 11:41:06 AM,10.85,27.72,,,,,,
138,11/08/24 11:42:06 AM,10.91,27.72,,,,,,
139,11/08/24 11:43:06 AM,10.96,27.72,,,,,,
140,11/08/24 11:44:06 AM,11.04,27.74,,,,,,
141,11/08/24 11:45:06 AM,11.09,27.74,,,,,,
142,11/08/24 11:46:06 AM,11.13,27.76,,,,,,
143,11/08/24 11:47:06 AM,11.12,27.76,,,,,,
144,11/08/24 11:48:06 AM,11.14,27.78,,,,,,
145,11/08/24 11:49:06 AM,11.22,27.78,,,,,,
146,11/08/24 11:50:06 AM,11.22,27.78,,,,,,
147,11/08/24 11:51:06 AM,11.26,27.80,,,,,,
