"Plot Title: oxy4"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981784, SEN S/N: 21981784)","Temp, °C (LGR S/N: 21981784, SEN S/N: 21981784)","Coupler Detached (LGR S/N: 21981784)","Coupler Attached (LGR S/N: 21981784)","Host Connected (LGR S/N: 21981784)","Stopped (LGR S/N: 21981784)","End Of File (LGR S/N: 21981784)"
1,11/08/24 03:02:05 PM,7.45,26.86,,,,,
2,11/08/24 03:02:08 PM,,,Logged,,,,
3,11/08/24 03:03:05 PM,7.43,27.04,,,,,
4,11/08/24 03:04:05 PM,7.39,27.14,,,,,
5,11/08/24 03:05:05 PM,7.40,27.18,,,,,
6,11/08/24 03:06:05 PM,7.42,27.18,,,,,
7,11/08/24 03:07:05 PM,7.41,27.18,,,,,
8,11/08/24 03:08:05 PM,7.37,27.18,,,,,
9,11/08/24 03:09:05 PM,7.41,27.18,,,,,
10,11/08/24 03:10:05 PM,7.40,27.18,,,,,
11,11/08/24 03:11:05 PM,7.39,27.20,,,,,
12,11/08/24 03:12:05 PM,7.38,27.22,,,,,
13,11/08/24 03:13:05 PM,7.36,27.22,,,,,
14,11/08/24 03:14:05 PM,7.33,27.24,,,,,
15,11/08/24 03:15:05 PM,7.31,27.24,,,,,
16,11/08/24 03:16:05 PM,7.26,27.22,,,,,
17,11/08/24 03:17:05 PM,7.25,27.26,,,,,
18,11/08/24 03:18:05 PM,7.24,27.32,,,,,
19,11/08/24 03:19:05 PM,7.23,27.34,,,,,
20,11/08/24 03:20:05 PM,7.23,27.36,,,,,
21,11/08/24 03:21:05 PM,7.23,27.36,,,,,
22,11/08/24 03:22:05 PM,7.23,27.36,,,,,
23,11/08/24 03:23:05 PM,7.24,27.36,,,,,
24,11/08/24 03:24:05 PM,7.26,27.36,,,,,
25,11/08/24 03:25:05 PM,7.26,27.36,,,,,
26,11/08/24 03:26:05 PM,7.25,27.36,,,,,
27,11/08/24 03:27:05 PM,7.26,27.36,,,,,
28,11/08/24 03:28:05 PM,7.25,27.38,,,,,
29,11/08/24 03:29:05 PM,7.25,27.40,,,,,
30,11/08/24 03:30:05 PM,7.25,27.44,,,,,
31,11/08/24 03:31:05 PM,7.25,27.46,,,,,
32,11/08/24 03:32:05 PM,7.25,27.48,,,,,
33,11/08/24 03:33:05 PM,7.26,27.50,,,,,
34,11/08/24 03:34:05 PM,7.26,27.52,,,,,
35,11/08/24 03:35:05 PM,7.26,27.52,,,,,
36,11/08/24 03:36:05 PM,7.27,27.54,,,,,
37,11/08/24 03:37:05 PM,7.28,27.54,,,,,
38,11/08/24 03:38:05 PM,7.28,27.54,,,,,
39,11/08/24 03:39:05 PM,7.29,27.54,,,,,
40,11/08/24 03:40:05 PM,7.29,27.54,,,,,
41,11/08/24 03:41:05 PM,7.30,27.54,,,,,
42,11/08/24 03:42:05 PM,7.30,27.54,,,,,
43,11/08/24 03:43:05 PM,7.30,27.52,,,,,
44,11/08/24 03:44:05 PM,7.31,27.52,,,,,
45,11/08/24 03:45:05 PM,7.31,27.52,,,,,
46,11/08/24 03:46:05 PM,7.31,27.52,,,,,
47,11/08/24 03:47:05 PM,7.32,27.50,,,,,
48,11/08/24 03:48:05 PM,7.31,27.50,,,,,
49,11/08/24 03:49:05 PM,7.33,27.50,,,,,
50,11/08/24 03:50:05 PM,7.31,27.50,,,,,
51,11/08/24 03:51:05 PM,7.32,27.52,,,,,
52,11/08/24 03:52:05 PM,7.32,27.52,,,,,
53,11/08/24 03:53:05 PM,7.32,27.52,,,,,
54,11/08/24 03:54:05 PM,7.32,27.52,,,,,
55,11/08/24 03:55:05 PM,7.32,27.52,,,,,
56,11/08/24 03:56:05 PM,7.46,27.58,,,,,
57,11/08/24 03:57:05 PM,7.42,28.06,,,,,
58,11/08/24 03:58:05 PM,7.35,28.66,,,,,
59,11/08/24 03:59:05 PM,7.26,29.32,,,,,
60,11/08/24 04:00:05 PM,7.11,29.90,,,,,
61,11/08/24 04:01:05 PM,7.07,30.08,,,,,
62,11/08/24 04:02:05 PM,7.04,30.20,,,,,
63,11/08/24 04:03:05 PM,7.01,30.28,,,,,
64,11/08/24 04:04:05 PM,6.97,30.48,,,,,
65,11/08/24 04:05:05 PM,6.96,30.78,,,,,
66,11/08/24 04:06:05 PM,6.97,31.18,,,,,
67,11/08/24 04:07:05 PM,7.46,30.62,,,,,
68,11/08/24 04:08:05 PM,7.55,30.34,,,,,
69,11/08/24 04:09:05 PM,7.60,30.06,,,,,
70,11/08/24 04:10:05 PM,7.69,29.80,,,,,
71,11/08/24 04:11:05 PM,7.77,29.56,,,,,
72,11/08/24 04:12:05 PM,7.84,29.36,,,,,
73,11/08/24 04:13:05 PM,7.97,29.20,,,,,
74,11/08/24 04:14:05 PM,8.01,29.06,,,,,
75,11/08/24 04:15:05 PM,8.06,28.96,,,,,
76,11/08/24 04:16:05 PM,8.11,28.86,,,,,
77,11/08/24 04:17:05 PM,8.17,28.80,,,,,
78,11/08/24 04:18:05 PM,8.26,28.74,,,,,
79,11/08/24 04:19:05 PM,8.27,28.70,,,,,
80,11/08/24 04:20:05 PM,8.31,28.66,,,,,
81,11/08/24 04:21:05 PM,8.34,28.62,,,,,
82,11/08/24 04:22:05 PM,8.41,28.60,,,,,
83,11/08/24 04:23:05 PM,8.43,28.58,,,,,
84,11/08/24 04:24:05 PM,8.48,28.56,,,,,
85,11/08/24 04:25:05 PM,8.55,28.54,,,,,
86,11/08/24 04:26:05 PM,8.58,28.54,,,,,
87,11/08/24 04:27:05 PM,8.58,28.52,,,,,
88,11/08/24 04:28:05 PM,8.61,28.52,,,,,
89,11/08/24 04:29:05 PM,8.63,28.52,,,,,
90,11/08/24 04:30:05 PM,8.70,28.52,,,,,
91,11/08/24 04:31:05 PM,8.70,28.52,,,,,
92,11/08/24 04:32:05 PM,8.73,28.50,,,,,
93,11/08/24 04:33:05 PM,8.76,28.50,,,,,
94,11/08/24 04:34:05 PM,8.81,28.50,,,,,
95,11/08/24 04:35:05 PM,8.83,28.50,,,,,
96,11/08/24 04:36:05 PM,8.85,28.50,,,,,
97,11/08/24 04:37:05 PM,8.90,28.50,,,,,
98,11/08/24 04:38:05 PM,8.47,28.50,,,,,
99,11/08/24 04:39:05 PM,8.03,28.48,,,,,
100,11/08/24 04:40:05 PM,8.11,28.46,,,,,
101,11/08/24 04:41:05 PM,8.12,28.46,,,,,
102,11/08/24 04:42:05 PM,8.13,28.44,,,,,
103,11/08/24 04:43:05 PM,8.13,28.44,,,,,
104,11/08/24 04:44:05 PM,8.16,28.44,,,,,
105,11/08/24 04:45:05 PM,8.14,28.44,,,,,
106,11/08/24 04:46:05 PM,8.09,28.44,,,,,
107,11/08/24 04:47:05 PM,7.95,28.44,,,,,
108,11/08/24 04:48:05 PM,7.99,28.44,,,,,
109,11/08/24 04:49:05 PM,8.00,28.44,,,,,
110,11/08/24 04:50:05 PM,8.05,28.42,,,,,
111,11/08/24 04:51:05 PM,8.09,28.42,,,,,
112,11/08/24 04:52:05 PM,8.11,28.42,,,,,
113,11/08/24 04:53:05 PM,8.11,28.42,,,,,
114,11/08/24 04:54:05 PM,8.09,28.42,,,,,
115,11/08/24 04:55:05 PM,8.05,28.42,,,,,
116,11/08/24 04:56:05 PM,8.05,28.40,,,,,
117,11/08/24 04:57:05 PM,8.01,28.40,,,,,
118,11/08/24 04:58:05 PM,7.98,28.40,,,,,
119,11/08/24 04:59:05 PM,7.95,28.40,,,,,
120,11/08/24 05:00:05 PM,7.93,28.40,,,,,
121,11/08/24 05:01:05 PM,7.90,28.40,,,,,
122,11/08/24 05:02:05 PM,7.87,28.40,,,,,
123,11/08/24 05:03:05 PM,7.84,28.40,,,,,
124,11/08/24 05:04:05 PM,7.80,28.40,,,,,
125,11/08/24 05:05:05 PM,7.77,28.40,,,,,
126,11/08/24 05:06:05 PM,7.75,28.40,,,,,
127,11/08/24 05:07:05 PM,7.73,28.40,,,,,
128,11/08/24 05:08:05 PM,7.69,28.40,,,,,
129,11/08/24 05:09:05 PM,7.67,28.40,,,,,
130,11/08/24 05:10:05 PM,7.64,28.40,,,,,
131,11/08/24 05:11:05 PM,7.61,28.40,,,,,
132,11/08/24 05:12:05 PM,7.58,28.42,,,,,
133,11/08/24 05:13:05 PM,7.55,28.42,,,,,
134,11/08/24 05:14:05 PM,7.52,28.42,,,,,
135,11/08/24 05:15:05 PM,7.50,28.42,,,,,
136,11/08/24 05:16:05 PM,7.45,28.42,,,,,
137,11/08/24 05:17:05 PM,7.46,28.42,,,,,
138,11/08/24 05:18:05 PM,8.06,28.42,,,,,
139,11/08/24 05:19:05 PM,7.22,28.42,,,,,
140,11/08/24 05:20:05 PM,7.08,28.28,,,,,
141,11/08/24 05:21:05 PM,7.13,27.98,,,,,
142,11/08/24 05:22:05 PM,7.21,27.66,,,,,
