"Plot Title: oxy4"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981784, SEN S/N: 21981784)","Temp, °C (LGR S/N: 21981784, SEN S/N: 21981784)","Coupler Detached (LGR S/N: 21981784)","Sensor Data Error (LGR S/N: 21981784)","Coupler Attached (LGR S/N: 21981784)","Host Connected (LGR S/N: 21981784)","Stopped (LGR S/N: 21981784)","End Of File (LGR S/N: 21981784)"
1,11/10/24 09:47:32 AM,7.51,26.72,,,,,,
2,11/10/24 09:47:35 AM,,,Logged,,,,,
3,11/10/24 09:48:32 AM,7.49,26.86,,,,,,
4,11/10/24 09:49:32 AM,7.52,26.90,,,,,,
5,11/10/24 09:50:32 AM,7.53,26.90,,,,,,
6,11/10/24 09:51:32 AM,7.53,26.90,,,,,,
7,11/10/24 09:52:32 AM,7.53,26.88,,,,,,
8,11/10/24 09:53:32 AM,7.54,26.88,,,,,,
9,11/10/24 09:54:32 AM,7.54,26.86,,,,,,
10,11/10/24 09:55:32 AM,7.47,26.86,,,,,,
11,11/10/24 09:56:32 AM,7.46,26.86,,,,,,
12,11/10/24 09:57:32 AM,7.47,26.88,,,,,,
13,11/10/24 09:58:32 AM,7.46,26.88,,,,,,
14,11/10/24 09:59:32 AM,7.47,26.88,,,,,,
15,11/10/24 10:00:32 AM,7.45,26.88,,,,,,
16,11/10/24 10:01:32 AM,7.47,26.88,,,,,,
17,11/10/24 10:02:32 AM,7.47,26.86,,,,,,
18,11/10/24 10:03:32 AM,7.46,26.86,,,,,,
19,11/10/24 10:04:32 AM,7.46,26.86,,,,,,
20,11/10/24 10:05:32 AM,7.47,26.86,,,,,,
21,11/10/24 10:06:32 AM,7.52,26.88,,,,,,
22,11/10/24 10:07:32 AM,7.69,26.94,,,,,,
23,11/10/24 10:08:32 AM,7.78,27.06,,,,,,
24,11/10/24 10:09:32 AM,7.85,27.24,,,,,,
25,11/10/24 10:10:32 AM,7.97,27.44,,,,,,
26,11/10/24 10:11:32 AM,8.03,27.70,,,,,,
27,11/10/24 10:12:32 AM,7.90,28.00,,,,,,
28,11/10/24 10:13:32 AM,7.82,28.26,,,,,,
29,11/10/24 10:14:32 AM,7.76,28.48,,,,,,
30,11/10/24 10:15:32 AM,7.69,28.66,,,,,,
31,11/10/24 10:16:32 AM,7.62,28.82,,,,,,
32,11/10/24 10:17:32 AM,7.56,28.96,,,,,,
33,11/10/24 10:18:32 AM,7.51,29.08,,,,,,
34,11/10/24 10:19:32 AM,7.47,29.20,,,,,,
35,11/10/24 10:20:32 AM,7.45,29.32,,,,,,
36,11/10/24 10:21:32 AM,7.42,29.42,,,,,,
