"Plot Title: oxy2"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21833999, SEN S/N: 21833999)","Temp, °C (LGR S/N: 21833999, SEN S/N: 21833999)","Coupler Detached (LGR S/N: 21833999)","Coupler Attached (LGR S/N: 21833999)","Host Connected (LGR S/N: 21833999)","Stopped (LGR S/N: 21833999)","End Of File (LGR S/N: 21833999)"
1,11/10/24 09:48:15 AM,7.31,26.16,,,,,
2,11/10/24 09:48:18 AM,,,Logged,,,,
3,11/10/24 09:49:15 AM,7.27,26.40,,,,,
4,11/10/24 09:50:15 AM,7.26,26.50,,,,,
5,11/10/24 09:51:15 AM,7.27,26.52,,,,,
6,11/10/24 09:52:15 AM,7.27,26.54,,,,,
7,11/10/24 09:53:15 AM,7.27,26.56,,,,,
8,11/10/24 09:54:15 AM,7.27,26.58,,,,,
9,11/10/24 09:55:15 AM,7.24,26.58,,,,,
10,11/10/24 09:56:15 AM,7.23,26.60,,,,,
11,11/10/24 09:57:15 AM,7.23,26.60,,,,,
12,11/10/24 09:58:15 AM,7.23,26.60,,,,,
13,11/10/24 09:59:15 AM,7.20,26.60,,,,,
14,11/10/24 10:00:15 AM,7.19,26.60,,,,,
15,11/10/24 10:01:15 AM,7.18,26.60,,,,,
16,11/10/24 10:02:15 AM,7.19,26.60,,,,,
17,11/10/24 10:03:15 AM,7.18,26.60,,,,,
18,11/10/24 10:04:15 AM,7.18,26.60,,,,,
19,11/10/24 10:05:15 AM,7.13,26.60,,,,,
20,11/10/24 10:06:15 AM,7.14,26.64,,,,,
21,11/10/24 10:07:15 AM,7.16,26.70,,,,,
22,11/10/24 10:08:15 AM,7.15,26.80,,,,,
23,11/10/24 10:09:15 AM,7.14,26.92,,,,,
24,11/10/24 10:10:15 AM,7.14,27.06,,,,,
25,11/10/24 10:11:15 AM,7.12,27.22,,,,,
26,11/10/24 10:12:15 AM,7.09,27.42,,,,,
27,11/10/24 10:13:15 AM,7.06,27.62,,,,,
28,11/10/24 10:14:15 AM,7.03,27.78,,,,,
29,11/10/24 10:15:15 AM,7.01,27.88,,,,,
30,11/10/24 10:16:15 AM,6.99,27.98,,,,,
31,11/10/24 10:17:15 AM,6.97,28.06,,,,,
32,11/10/24 10:18:15 AM,6.96,28.12,,,,,
33,11/10/24 10:19:15 AM,6.97,28.18,,,,,
34,11/10/24 10:20:15 AM,6.98,28.22,,,,,
35,11/10/24 10:21:15 AM,6.97,28.26,,,,,
36,11/10/24 10:22:15 AM,6.97,28.28,,,,,
37,11/10/24 10:23:15 AM,6.96,28.32,,,,,
38,11/10/24 10:24:15 AM,6.98,28.34,,,,,
39,11/10/24 10:25:15 AM,6.95,28.38,,,,,
40,11/10/24 10:26:15 AM,6.94,28.38,,,,,
41,11/10/24 10:27:15 AM,6.92,28.40,,,,,
42,11/10/24 10:28:15 AM,6.92,28.40,,,,,
43,11/10/24 10:29:15 AM,6.93,28.42,,,,,
44,11/10/24 10:30:15 AM,6.93,28.44,,,,,
45,11/10/24 10:31:15 AM,6.92,28.48,,,,,
