"Plot Title: 2021_09_24_Mike"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 20676465, SEN S/N: 20676465, LBL: Oxygen)","Temp, °C (LGR S/N: 20676465, SEN S/N: 20676465, LBL: Temp)","Good Battery (LGR S/N: 20676465)","Coupler Detached (LGR S/N: 20676465)","Coupler Attached (LGR S/N: 20676465)","Host Connected (LGR S/N: 20676465)","Stopped (LGR S/N: 20676465)","End Of File (LGR S/N: 20676465)"
1,09/24/21 10:12:28 AM,8.29,25.42,Logged,,,,,
2,09/24/21 10:13:28 AM,8.29,25.24,,,,,,
3,09/24/21 10:13:41 AM,,,,Logged,,,,
4,09/24/21 10:14:28 AM,8.28,25.12,,,,,,
5,09/24/21 10:15:28 AM,8.27,25.04,,,Logged,,,
6,09/24/21 10:15:29 AM,,,,,,Logged,,
7,09/24/21 10:16:28 AM,8.27,25.08,,,,,,
8,09/24/21 10:17:28 AM,8.28,24.92,,,,,,
9,09/24/21 10:18:28 AM,8.27,24.88,,,,,,
10,09/24/21 10:18:30 AM,,,,Logged,,,,
11,09/24/21 10:19:28 AM,8.25,24.96,,,,,,
12,09/24/21 10:20:28 AM,8.26,25.04,,,,,,
13,09/24/21 10:21:28 AM,8.26,25.14,,,,,,
14,09/24/21 10:22:28 AM,8.30,25.20,,,,,,
15,09/24/21 10:23:28 AM,8.26,25.28,,,,,,
16,09/24/21 10:24:28 AM,8.27,25.38,,,,,,
17,09/24/21 10:25:28 AM,8.32,25.50,,,,,,
18,09/24/21 10:26:28 AM,8.29,25.62,,,,,,
19,09/24/21 10:27:28 AM,8.31,25.68,,,,,,
20,09/24/21 10:28:28 AM,8.29,25.74,,,,,,
21,09/24/21 10:29:28 AM,8.31,25.78,,,,,,
22,09/24/21 10:30:28 AM,8.30,25.82,,,,,,
23,09/24/21 10:31:28 AM,8.32,25.86,,,,,,
24,09/24/21 10:32:28 AM,8.32,25.90,,,,,,
25,09/24/21 10:33:28 AM,8.31,25.94,,,,,,
26,09/24/21 10:34:28 AM,8.31,25.98,,,,,,
27,09/24/21 10:35:28 AM,8.30,26.00,,,,,,
28,09/24/21 10:36:28 AM,8.31,26.04,,,,,,
29,09/24/21 10:37:28 AM,8.30,26.06,,,,,,
30,09/24/21 10:38:28 AM,8.32,26.10,,,,,,
31,09/24/21 10:39:28 AM,8.31,26.14,,,,,,
32,09/24/21 10:40:28 AM,8.31,26.18,,,,,,
33,09/24/21 10:41:28 AM,8.29,26.22,,,,,,
34,09/24/21 10:42:28 AM,8.29,26.26,,,,,,
35,09/24/21 10:43:28 AM,8.28,26.28,,,,,,
36,09/24/21 10:44:28 AM,8.28,26.32,,,,,,
37,09/24/21 10:45:28 AM,8.29,26.36,,,,,,
38,09/24/21 10:46:28 AM,8.29,26.40,,,,,,
39,09/24/21 10:47:28 AM,8.29,26.44,,,,,,
40,09/24/21 10:48:28 AM,8.30,26.46,,,,,,
41,09/24/21 10:49:28 AM,8.28,26.50,,,,,,
42,09/24/21 10:50:28 AM,8.27,26.52,,,,,,
43,09/24/21 10:51:28 AM,8.26,26.56,,,,,,
44,09/24/21 10:52:28 AM,8.25,26.58,,,,,,
45,09/24/21 10:53:28 AM,8.26,26.62,,,,,,
46,09/24/21 10:54:28 AM,8.28,26.64,,,,,,
47,09/24/21 10:55:28 AM,8.28,26.68,,,,,,
48,09/24/21 10:56:28 AM,8.27,26.70,,,,,,
49,09/24/21 10:57:28 AM,8.26,26.74,,,,,,
50,09/24/21 10:58:28 AM,8.26,26.76,,,,,,
51,09/24/21 10:59:28 AM,8.24,26.80,,,,,,
52,09/24/21 11:00:28 AM,8.26,26.74,,,,,,
53,09/24/21 11:01:28 AM,8.22,26.82,,,,,,
54,09/24/21 11:02:28 AM,8.15,26.94,,,,,,
55,09/24/21 11:03:28 AM,8.15,27.02,,,,,,
56,09/24/21 11:04:28 AM,8.13,27.10,,,,,,
57,09/24/21 11:05:28 AM,8.10,27.16,,,,,,
58,09/24/21 11:06:28 AM,8.99,27.22,,,,,,
59,09/24/21 11:07:28 AM,9.29,27.20,,,,,,
60,09/24/21 11:08:28 AM,9.42,27.12,,,,,,
61,09/24/21 11:09:28 AM,9.52,27.02,,,,,,
62,09/24/21 11:10:28 AM,9.53,26.94,,,,,,
63,09/24/21 11:11:28 AM,9.59,26.90,,,,,,
64,09/24/21 11:12:28 AM,9.63,26.86,,,,,,
65,09/24/21 11:13:28 AM,9.63,26.84,,,,,,
66,09/24/21 11:14:28 AM,9.66,26.82,,,,,,
67,09/24/21 11:15:28 AM,9.68,26.80,,,,,,
68,09/24/21 11:16:28 AM,9.83,26.80,,,,,,
69,09/24/21 11:17:28 AM,9.81,26.80,,,,,,
70,09/24/21 11:18:28 AM,9.83,26.80,,,,,,
71,09/24/21 11:19:28 AM,9.88,26.80,,,,,,
72,09/24/21 11:20:28 AM,9.86,26.80,,,,,,
73,09/24/21 11:21:28 AM,9.92,26.80,,,,,,
74,09/24/21 11:22:28 AM,9.95,26.80,,,,,,
75,09/24/21 11:23:28 AM,9.90,26.80,,,,,,
76,09/24/21 11:24:28 AM,9.95,26.82,,,,,,
77,09/24/21 11:25:28 AM,10.01,26.82,,,,,,
78,09/24/21 11:26:28 AM,10.00,26.82,,,,,,
79,09/24/21 11:27:28 AM,10.09,26.84,,,,,,
80,09/24/21 11:28:28 AM,10.20,26.84,,,,,,
81,09/24/21 11:29:28 AM,10.25,26.86,,,,,,
82,09/24/21 11:30:28 AM,10.51,26.88,,,,,,
83,09/24/21 11:31:28 AM,10.54,26.88,,,,,,
84,09/24/21 11:32:28 AM,10.63,26.90,,,,,,
85,09/24/21 11:33:28 AM,10.72,26.92,,,,,,
86,09/24/21 11:34:28 AM,10.90,26.94,,,,,,
87,09/24/21 11:35:28 AM,10.96,26.96,,,,,,
88,09/24/21 11:36:28 AM,11.10,26.96,,,,,,
89,09/24/21 11:37:28 AM,11.26,26.98,,,,,,
90,09/24/21 11:38:28 AM,11.34,26.98,,,,,,
91,09/24/21 11:39:28 AM,11.40,27.00,,,,,,
92,09/24/21 11:40:28 AM,11.55,27.02,,,,,,
93,09/24/21 11:41:28 AM,11.67,27.02,,,,,,
94,09/24/21 11:42:28 AM,11.76,27.04,,,,,,
95,09/24/21 11:43:28 AM,11.85,27.04,,,,,,
