"Plot Title: mm20210928"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 20676465, SEN S/N: 20676465)","Temp, °C (LGR S/N: 20676465, SEN S/N: 20676465)","Coupler Detached (LGR S/N: 20676465)","Coupler Attached (LGR S/N: 20676465)","Stopped (LGR S/N: 20676465)","End Of File (LGR S/N: 20676465)"
1,09/28/21 02:11:31 PM,8.64,24.04,,,,
2,09/28/21 02:12:31 PM,8.62,24.06,,,,
3,09/28/21 02:13:31 PM,8.63,24.08,,,,
4,09/28/21 02:14:31 PM,8.65,24.08,,,,
5,09/28/21 02:14:35 PM,,,Logged,,,
6,09/28/21 02:15:31 PM,8.70,24.12,,,,
7,09/28/21 02:16:31 PM,8.63,24.46,,,,
8,09/28/21 02:17:31 PM,8.62,24.84,,,,
9,09/28/21 02:18:31 PM,8.66,25.26,,,,
10,09/28/21 02:19:31 PM,8.42,25.68,,,,
11,09/28/21 02:20:31 PM,8.44,25.96,,,,
12,09/28/21 02:21:10 PM,,,Logged,,,
13,09/28/21 02:21:31 PM,8.30,26.22,,,,
14,09/28/21 02:22:31 PM,8.27,26.36,,,,
15,09/28/21 02:23:31 PM,8.22,26.46,,,,
16,09/28/21 02:24:31 PM,8.21,26.54,,,,
17,09/28/21 02:25:31 PM,8.22,26.60,,,,
18,09/28/21 02:26:31 PM,8.21,26.62,,,,
19,09/28/21 02:27:31 PM,8.18,26.66,,,,
20,09/28/21 02:28:31 PM,8.12,26.78,,,,
21,09/28/21 02:29:31 PM,7.86,26.82,,,,
22,09/28/21 02:30:31 PM,7.92,26.66,,,,
23,09/28/21 02:31:31 PM,7.83,26.58,,,,
24,09/28/21 02:32:31 PM,11.51,26.76,,,,
25,09/28/21 02:33:31 PM,11.51,26.86,,,,
26,09/28/21 02:34:31 PM,11.51,26.92,,,,
27,09/28/21 02:35:31 PM,11.54,26.96,,,,
28,09/28/21 02:36:31 PM,11.51,27.00,,,,
29,09/28/21 02:37:31 PM,11.53,27.02,,,,
30,09/28/21 02:38:31 PM,11.55,27.04,,,,
31,09/28/21 02:39:31 PM,11.59,27.06,,,,
32,09/28/21 02:40:31 PM,11.60,27.08,,,,
33,09/28/21 02:41:31 PM,11.69,27.10,,,,
34,09/28/21 02:42:31 PM,11.68,27.12,,,,
35,09/28/21 02:43:31 PM,11.73,27.14,,,,
36,09/28/21 02:44:31 PM,11.81,27.14,,,,
37,09/28/21 02:45:31 PM,11.82,27.16,,,,
38,09/28/21 02:46:31 PM,11.79,27.16,,,,
39,09/28/21 02:47:31 PM,11.83,27.16,,,,
40,09/28/21 02:48:31 PM,11.89,27.18,,,,
41,09/28/21 02:49:31 PM,11.93,27.18,,,,
42,09/28/21 02:50:31 PM,11.93,27.18,,,,
43,09/28/21 02:51:31 PM,12.01,27.20,,,,
44,09/28/21 02:52:31 PM,11.99,27.20,,,,
45,09/28/21 02:53:31 PM,11.95,27.20,,,,
46,09/28/21 02:54:31 PM,12.00,27.20,,,,
47,09/28/21 02:55:31 PM,12.06,27.20,,,,
