"Plot Title: 20211005"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 20676465, SEN S/N: 20676465)","Temp, °C (LGR S/N: 20676465, SEN S/N: 20676465)","Good Battery (LGR S/N: 20676465)","Coupler Detached (LGR S/N: 20676465)","Coupler Attached (LGR S/N: 20676465)","Sensor Data Error (LGR S/N: 20676465)","Stopped (LGR S/N: 20676465)","End Of File (LGR S/N: 20676465)"
1,10/05/21 11:48:34 AM,8.31,26.32,Logged,,,,,
2,10/05/21 11:49:34 AM,8.30,26.36,,,,,,
3,10/05/21 11:50:34 AM,8.26,26.40,,,,,,
4,10/05/21 11:51:34 AM,8.28,26.44,,,,,,
5,10/05/21 11:52:34 AM,8.26,26.46,,,,,,
6,10/05/21 11:53:34 AM,8.25,26.50,,,,,,
7,10/05/21 11:54:34 AM,8.26,26.52,,,,,,
8,10/05/21 11:55:34 AM,8.23,26.54,,,,,,
9,10/05/21 11:56:34 AM,8.22,26.56,,,,,,
10,10/05/21 11:57:34 AM,8.23,26.58,,,,,,
11,10/05/21 11:57:55 AM,,,,Logged,,,,
12,10/05/21 11:58:34 AM,8.20,26.62,,,,,,
13,10/05/21 11:59:34 AM,8.16,26.68,,,,,,
14,10/05/21 11:59:57 AM,,,,,Logged,,,
15,10/05/21 12:00:34 PM,8.13,27.02,,,,,,
16,10/05/21 12:01:34 PM,8.15,27.16,,,,,,
17,10/05/21 12:01:55 PM,,,,Logged,,,,
18,10/05/21 12:02:34 PM,8.13,27.24,,,,,,
19,10/05/21 12:03:34 PM,8.12,27.24,,,,,,
20,10/05/21 12:04:34 PM,8.11,27.24,,,,,,
21,10/05/21 12:05:34 PM,8.11,27.22,,,,,,
22,10/05/21 12:06:34 PM,8.11,27.22,,,,,,
23,10/05/21 12:07:34 PM,8.11,27.20,,,,,,
24,10/05/21 12:08:34 PM,8.11,27.20,,,,,,
25,10/05/21 12:09:34 PM,8.10,27.20,,,,,,
26,10/05/21 12:10:34 PM,8.11,27.18,,,,,,
27,10/05/21 12:11:34 PM,8.12,27.16,,,,,,
28,10/05/21 12:12:34 PM,8.10,27.14,,,,,,
29,10/05/21 12:13:34 PM,8.08,27.10,,,,,,
30,10/05/21 12:14:34 PM,8.11,27.06,,,,,,
31,10/05/21 12:15:34 PM,8.10,27.04,,,,,,
32,10/05/21 12:16:34 PM,8.09,27.00,,,,,,
33,10/05/21 12:17:34 PM,8.17,27.04,,,,,,
34,10/05/21 12:18:34 PM,8.27,27.34,,,,,,
35,10/05/21 12:19:34 PM,8.36,27.74,,,,,,
36,10/05/21 12:20:34 PM,8.16,28.10,,,,,,
37,10/05/21 12:21:34 PM,8.11,28.40,,,,,,
38,10/05/21 12:22:34 PM,7.98,28.58,,,,,,
39,10/05/21 12:23:34 PM,7.96,28.64,,,,,,
40,10/05/21 12:24:34 PM,-888.88,-888.88,,,,Logged,,
41,10/05/21 12:25:34 PM,7.88,29.64,,,,,,
42,10/05/21 12:26:34 PM,7.97,29.82,,,,,,
43,10/05/21 12:27:34 PM,7.90,29.98,,,,,,
44,10/05/21 12:28:34 PM,7.73,30.06,,,,,,
45,10/05/21 12:29:34 PM,7.55,30.06,,,,,,
46,10/05/21 12:30:34 PM,7.56,30.14,,,,,,
47,10/05/21 12:31:34 PM,7.44,30.44,,,,,,
48,10/05/21 12:32:34 PM,7.43,30.54,,,,,,
49,10/05/21 12:33:34 PM,7.43,30.72,,,,,,
50,10/05/21 12:34:34 PM,7.34,30.88,,,,,,
51,10/05/21 12:35:34 PM,7.33,30.70,,,,,,
52,10/05/21 12:36:34 PM,10.31,29.92,,,,,,
53,10/05/21 12:37:34 PM,10.40,29.50,,,,,,
54,10/05/21 12:38:34 PM,10.49,29.20,,,,,,
55,10/05/21 12:39:34 PM,10.65,28.96,,,,,,
56,10/05/21 12:40:34 PM,11.29,28.72,,,,,,
57,10/05/21 12:41:34 PM,11.47,28.54,,,,,,
58,10/05/21 12:42:34 PM,11.76,28.40,,,,,,
59,10/05/21 12:43:34 PM,11.70,28.28,,,,,,
60,10/05/21 12:44:34 PM,11.77,28.22,,,,,,
61,10/05/21 12:45:34 PM,11.75,28.16,,,,,,
62,10/05/21 12:46:34 PM,11.85,28.10,,,,,,
63,10/05/21 12:47:34 PM,11.87,28.06,,,,,,
64,10/05/21 12:48:34 PM,11.96,28.02,,,,,,
65,10/05/21 12:49:34 PM,12.00,28.00,,,,,,
66,10/05/21 12:50:34 PM,11.96,27.96,,,,,,
67,10/05/21 12:51:34 PM,12.01,27.96,,,,,,
68,10/05/21 12:52:34 PM,12.03,27.94,,,,,,
69,10/05/21 12:53:34 PM,12.12,27.92,,,,,,
70,10/05/21 12:54:34 PM,12.08,27.92,,,,,,
71,10/05/21 12:55:34 PM,12.13,27.90,,,,,,
72,10/05/21 12:56:34 PM,12.17,27.90,,,,,,
73,10/05/21 12:57:34 PM,12.18,27.90,,,,,,
74,10/05/21 12:58:34 PM,12.15,27.90,,,,,,
75,10/05/21 12:59:34 PM,12.04,27.88,,,,,,
76,10/05/21 01:00:34 PM,12.00,27.88,,,,,,
77,10/05/21 01:01:34 PM,12.05,27.88,,,,,,
78,10/05/21 01:02:34 PM,12.07,27.88,,,,,,
79,10/05/21 01:03:34 PM,12.09,27.88,,,,,,
80,10/05/21 01:04:34 PM,12.16,27.88,,,,,,
81,10/05/21 01:05:34 PM,12.18,27.88,,,,,,
82,10/05/21 01:06:34 PM,12.25,27.88,,,,,,
83,10/05/21 01:07:34 PM,12.23,27.90,,,,,,
84,10/05/21 01:08:34 PM,12.27,27.90,,,,,,
85,10/05/21 01:09:34 PM,12.28,27.90,,,,,,
86,10/05/21 01:10:34 PM,12.27,27.92,,,,,,
87,10/05/21 01:11:34 PM,12.29,27.92,,,,,,
88,10/05/21 01:12:34 PM,12.36,27.92,,,,,,
89,10/05/21 01:13:34 PM,12.39,27.92,,,,,,
90,10/05/21 01:14:34 PM,12.42,27.94,,,,,,
91,10/05/21 01:15:34 PM,12.44,27.94,,,,,,
92,10/05/21 01:16:34 PM,12.52,27.96,,,,,,
93,10/05/21 01:17:34 PM,12.49,27.96,,,,,,
94,10/05/21 01:18:34 PM,12.54,27.98,,,,,,
95,10/05/21 01:19:34 PM,12.52,27.98,,,,,,
96,10/05/21 01:20:34 PM,12.58,27.98,,,,,,
97,10/05/21 01:21:34 PM,12.50,27.98,,,,,,
98,10/05/21 01:22:34 PM,12.53,27.98,,,,,,
99,10/05/21 01:23:34 PM,12.45,28.00,,,,,,
100,10/05/21 01:24:34 PM,12.56,28.00,,,,,,
101,10/05/21 01:25:34 PM,12.59,28.00,,,,,,
102,10/05/21 01:26:34 PM,12.55,28.00,,,,,,
103,10/05/21 01:27:34 PM,12.57,27.98,,,,,,
104,10/05/21 01:28:34 PM,12.51,27.98,,,,,,
105,10/05/21 01:29:34 PM,12.46,27.98,,,,,,
106,10/05/21 01:30:34 PM,12.40,27.96,,,,,,
107,10/05/21 01:31:34 PM,12.40,27.96,,,,,,
108,10/05/21 01:32:34 PM,12.39,27.96,,,,,,
109,10/05/21 01:33:34 PM,12.36,27.94,,,,,,
110,10/05/21 01:34:34 PM,12.25,27.94,,,,,,
111,10/05/21 01:35:34 PM,12.15,27.94,,,,,,
112,10/05/21 01:36:34 PM,12.11,27.94,,,,,,
113,10/05/21 01:37:34 PM,12.05,27.94,,,,,,
114,10/05/21 01:38:34 PM,12.15,27.94,,,,,,
115,10/05/21 01:39:34 PM,12.12,27.94,,,,,,
116,10/05/21 01:40:34 PM,12.00,27.94,,,,,,
117,10/05/21 01:41:34 PM,11.98,27.94,,,,,,
118,10/05/21 01:42:34 PM,11.94,27.94,,,,,,
119,10/05/21 01:43:34 PM,11.98,27.96,,,,,,
120,10/05/21 01:44:34 PM,11.93,27.96,,,,,,
121,10/05/21 01:45:34 PM,11.94,27.96,,,,,,
122,10/05/21 01:46:34 PM,11.86,27.96,,,,,,
123,10/05/21 01:47:34 PM,11.85,27.96,,,,,,
124,10/05/21 01:48:34 PM,11.92,27.96,,,,,,
125,10/05/21 01:49:34 PM,11.94,27.96,,,,,,
126,10/05/21 01:50:34 PM,11.92,27.96,,,,,,
127,10/05/21 01:51:34 PM,11.88,27.96,,,,,,
128,10/05/21 01:52:34 PM,11.87,27.96,,,,,,
129,10/05/21 01:53:34 PM,11.90,27.96,,,,,,
130,10/05/21 01:54:34 PM,11.88,27.96,,,,,,
131,10/05/21 01:55:34 PM,11.85,27.96,,,,,,
132,10/05/21 01:56:34 PM,11.92,27.96,,,,,,
133,10/05/21 01:57:34 PM,11.88,27.94,,,,,,
134,10/05/21 01:58:34 PM,11.44,27.92,,,,,,
135,10/05/21 01:59:34 PM,11.41,27.90,,,,,,
136,10/05/21 02:00:34 PM,11.37,27.88,,,,,,
137,10/05/21 02:01:34 PM,11.37,27.86,,,,,,
138,10/05/21 02:02:34 PM,11.38,27.86,,,,,,
139,10/05/21 02:03:34 PM,11.39,27.84,,,,,,
140,10/05/21 02:04:34 PM,11.41,27.84,,,,,,
141,10/05/21 02:05:34 PM,11.37,27.82,,,,,,
142,10/05/21 02:06:34 PM,11.35,27.82,,,,,,
143,10/05/21 02:07:34 PM,11.36,27.82,,,,,,
144,10/05/21 02:08:34 PM,11.35,27.82,,,,,,
145,10/05/21 02:09:34 PM,11.35,27.82,,,,,,
146,10/05/21 02:10:34 PM,11.34,27.82,,,,,,
147,10/05/21 02:11:34 PM,11.32,27.82,,,,,,
148,10/05/21 02:12:34 PM,11.30,27.82,,,,,,
149,10/05/21 02:13:34 PM,11.27,27.82,,,,,,
150,10/05/21 02:14:34 PM,11.30,27.82,,,,,,
151,10/05/21 02:15:34 PM,11.29,27.82,,,,,,
152,10/05/21 02:16:34 PM,11.31,27.82,,,,,,
153,10/05/21 02:17:34 PM,11.28,27.82,,,,,,
154,10/05/21 02:18:34 PM,11.31,27.82,,,,,,
155,10/05/21 02:19:34 PM,11.27,27.82,,,,,,
156,10/05/21 02:20:34 PM,11.28,27.80,,,,,,
157,10/05/21 02:21:34 PM,11.25,27.80,,,,,,
158,10/05/21 02:22:34 PM,11.22,27.80,,,,,,
159,10/05/21 02:23:34 PM,11.22,27.80,,,,,,
160,10/05/21 02:24:34 PM,11.19,27.80,,,,,,
161,10/05/21 02:25:34 PM,11.18,27.80,,,,,,
162,10/05/21 02:26:34 PM,11.16,27.82,,,,,,
163,10/05/21 02:27:34 PM,11.19,27.82,,,,,,
164,10/05/21 02:28:34 PM,11.22,27.82,,,,,,
165,10/05/21 02:29:34 PM,11.24,27.80,,,,,,
166,10/05/21 02:30:34 PM,11.26,27.80,,,,,,
167,10/05/21 02:31:34 PM,11.28,27.78,,,,,,
168,10/05/21 02:32:34 PM,11.23,27.76,,,,,,
169,10/05/21 02:33:34 PM,11.21,27.76,,,,,,
170,10/05/21 02:34:34 PM,11.20,27.74,,,,,,
171,10/05/21 02:35:34 PM,11.09,27.74,,,,,,
172,10/05/21 02:36:34 PM,11.07,27.72,,,,,,
173,10/05/21 02:37:34 PM,11.06,27.72,,,,,,
174,10/05/21 02:38:34 PM,11.04,27.72,,,,,,
175,10/05/21 02:39:34 PM,10.95,27.72,,,,,,
176,10/05/21 02:40:34 PM,10.89,27.72,,,,,,
177,10/05/21 02:41:34 PM,10.89,27.70,,,,,,
178,10/05/21 02:42:34 PM,10.79,27.70,,,,,,
179,10/05/21 02:43:34 PM,10.77,27.70,,,,,,
180,10/05/21 02:44:34 PM,10.69,27.70,,,,,,
181,10/05/21 02:45:34 PM,10.76,27.70,,,,,,
182,10/05/21 02:46:34 PM,11.45,27.70,,,,,,
183,10/05/21 02:47:34 PM,11.65,27.72,,,,,,
184,10/05/21 02:48:34 PM,11.09,27.76,,,,,,
185,10/05/21 02:49:34 PM,11.22,27.76,,,,,,
186,10/05/21 02:50:34 PM,11.30,27.74,,,,,,
187,10/05/21 02:51:34 PM,11.30,27.76,,,,,,
188,10/05/21 02:52:34 PM,11.34,27.76,,,,,,
189,10/05/21 02:53:34 PM,11.37,27.78,,,,,,
190,10/05/21 02:54:34 PM,11.32,27.78,,,,,,
191,10/05/21 02:55:34 PM,11.37,27.78,,,,,,
192,10/05/21 02:56:34 PM,11.36,27.78,,,,,,
193,10/05/21 02:57:34 PM,11.45,27.80,,,,,,
194,10/05/21 02:58:34 PM,11.42,27.80,,,,,,
195,10/05/21 02:59:34 PM,11.58,27.84,,,,,,
196,10/05/21 03:00:34 PM,11.53,27.84,,,,,,
197,10/05/21 03:01:34 PM,11.43,27.84,,,,,,
198,10/05/21 03:02:34 PM,11.34,27.84,,,,,,
199,10/05/21 03:03:34 PM,11.32,27.84,,,,,,
200,10/05/21 03:04:34 PM,11.32,27.84,,,,,,
201,10/05/21 03:05:34 PM,11.27,27.82,,,,,,
202,10/05/21 03:06:34 PM,11.18,27.82,,,,,,
203,10/05/21 03:07:34 PM,11.09,27.78,,,,,,
204,10/05/21 03:08:34 PM,10.99,27.76,,,,,,
205,10/05/21 03:09:34 PM,11.04,27.74,,,,,,
206,10/05/21 03:10:34 PM,11.04,27.72,,,,,,
207,10/05/21 03:11:34 PM,11.61,27.72,,,,,,
208,10/05/21 03:12:34 PM,9.48,27.80,,,,,,
209,10/05/21 03:13:34 PM,7.81,27.62,,,,,,
210,10/05/21 03:14:34 PM,7.80,28.16,,,,,,
211,10/05/21 03:15:34 PM,7.52,28.28,,,,,,
212,10/05/21 03:16:34 PM,7.65,27.98,,,,,,
213,10/05/21 03:17:34 PM,7.70,27.78,,,,,,
214,10/05/21 03:18:34 PM,7.73,27.64,,,,,,
215,10/05/21 03:19:34 PM,7.75,27.48,,,,,,
216,10/05/21 03:20:34 PM,7.76,27.32,,,,,,
217,10/05/21 03:21:34 PM,7.80,27.16,,,,,,
218,10/05/21 03:22:34 PM,7.82,26.98,,,,,,
219,10/05/21 03:23:34 PM,7.85,26.84,,,,,,
220,10/05/21 03:24:34 PM,7.89,26.72,,,,,,
221,10/05/21 03:25:34 PM,7.91,26.62,,,,,,
222,10/05/21 03:26:34 PM,7.93,26.54,,,,,,
223,10/05/21 03:27:34 PM,7.90,26.42,,,,,,
224,10/05/21 03:28:34 PM,7.94,26.26,,,,,,
225,10/05/21 03:29:34 PM,7.96,26.08,,,,,,
226,10/05/21 03:30:34 PM,7.95,26.06,,,,,,
227,10/05/21 03:31:34 PM,8.03,25.98,,,,,,
228,10/05/21 03:32:34 PM,8.00,25.84,,,,,,
229,10/05/21 03:33:34 PM,8.03,25.72,,,,,,
230,10/05/21 03:34:34 PM,8.07,25.62,,,,,,
231,10/05/21 03:35:34 PM,8.08,25.56,,,,,,
232,10/05/21 03:36:34 PM,8.11,25.48,,,,,,
233,10/05/21 03:37:34 PM,8.08,25.44,,,,,,
234,10/05/21 03:38:34 PM,8.11,25.40,,,,,,
235,10/05/21 03:39:34 PM,8.10,25.34,,,,,,
236,10/05/21 03:40:34 PM,8.13,25.28,,,,,,
237,10/05/21 03:41:34 PM,8.14,25.24,,,,,,
238,10/05/21 03:42:34 PM,8.13,25.20,,,,,,
239,10/05/21 03:43:34 PM,8.16,25.16,,,,,,
240,10/05/21 03:44:34 PM,8.15,25.10,,,,,,
241,10/05/21 03:45:34 PM,8.18,25.04,,,,,,
242,10/05/21 03:46:34 PM,8.14,24.98,,,,,,
243,10/05/21 03:47:34 PM,8.19,24.90,,,,,,
244,10/05/21 03:48:34 PM,8.18,24.86,,,,,,
245,10/05/21 03:49:34 PM,8.20,24.84,,,,,,
246,10/05/21 03:50:34 PM,8.21,24.82,,,,,,
247,10/05/21 03:51:34 PM,8.24,24.80,,,,,,
248,10/05/21 03:52:34 PM,8.23,24.78,,,,,,
249,10/05/21 03:53:34 PM,8.25,24.76,,,,,,
250,10/05/21 03:54:34 PM,8.24,24.74,,,,,,
251,10/05/21 03:55:34 PM,8.26,24.72,,,,,,
252,10/05/21 03:56:34 PM,8.27,24.70,,,,,,
253,10/05/21 03:57:34 PM,8.27,24.68,,,,,,
254,10/05/21 03:58:34 PM,8.27,24.64,,,,,,
255,10/05/21 03:59:34 PM,8.27,24.62,,,,,,
256,10/05/21 04:00:34 PM,8.29,24.60,,,,,,
257,10/05/21 04:01:34 PM,8.29,24.56,,,,,,
258,10/05/21 04:02:34 PM,8.29,24.54,,,,,,
259,10/05/21 04:03:34 PM,8.32,24.52,,,,,,
260,10/05/21 04:04:34 PM,8.32,24.48,,,,,,
261,10/05/21 04:05:34 PM,8.32,24.46,,,,,,
262,10/05/21 04:06:34 PM,8.33,24.42,,,,,,
263,10/05/21 04:07:34 PM,8.32,24.40,,,,,,
264,10/05/21 04:08:34 PM,8.34,24.38,,,,,,
265,10/05/21 04:09:34 PM,8.33,24.34,,,,,,
266,10/05/21 04:10:34 PM,8.35,24.32,,,,,,
267,10/05/21 04:11:34 PM,8.34,24.30,,,,,,
