"Plot Title: 20211022"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 20676465, SEN S/N: 20676465)","Temp, °C (LGR S/N: 20676465, SEN S/N: 20676465)","Coupler Detached (LGR S/N: 20676465)","Coupler Attached (LGR S/N: 20676465)","Sensor Data Error (LGR S/N: 20676465)","Stopped (LGR S/N: 20676465)","End Of File (LGR S/N: 20676465)"
1,10/22/21 10:58:25 AM,7.97,26.18,,,,,
2,10/22/21 10:59:25 AM,7.97,26.16,,,,,
3,10/22/21 10:59:53 AM,,,Logged,,,,
4,10/22/21 11:00:25 AM,7.98,26.12,,,,,
5,10/22/21 11:01:25 AM,7.98,26.08,,,,,
6,10/22/21 11:02:25 AM,7.99,26.06,,,,,
7,10/22/21 11:03:25 AM,7.98,26.02,,,,,
8,10/22/21 11:04:25 AM,8.01,26.00,,,,,
9,10/22/21 11:05:25 AM,8.01,25.96,,,,,
10,10/22/21 11:06:25 AM,8.01,25.92,,,,,
11,10/22/21 11:07:25 AM,8.01,25.90,,,,,
12,10/22/21 11:08:25 AM,7.98,25.86,,,,,
13,10/22/21 11:09:25 AM,8.01,25.84,,,,,
14,10/22/21 11:10:25 AM,8.02,25.82,,,,,
15,10/22/21 11:11:25 AM,8.03,25.80,,,,,
16,10/22/21 11:12:25 AM,8.04,25.78,,,,,
17,10/22/21 11:13:25 AM,8.03,25.76,,,,,
18,10/22/21 11:13:48 AM,,,,Logged,,,
19,10/22/21 11:14:25 AM,8.04,25.74,,,,,
20,10/22/21 11:15:25 AM,8.05,25.74,,,,,
21,10/22/21 11:16:25 AM,8.05,25.72,,,,,
22,10/22/21 11:17:25 AM,8.04,25.72,,,,,
23,10/22/21 11:17:42 AM,,,Logged,,,,
24,10/22/21 11:18:25 AM,8.02,25.74,,,,,
25,10/22/21 11:19:25 AM,8.02,25.72,,,,,
26,10/22/21 11:20:25 AM,8.03,25.70,,,,,
27,10/22/21 11:21:25 AM,8.03,25.70,,,,,
28,10/22/21 11:22:25 AM,8.07,25.72,,,,,
29,10/22/21 11:23:25 AM,8.07,25.78,,,,,
30,10/22/21 11:24:25 AM,8.04,25.82,,,,,
31,10/22/21 11:25:25 AM,8.05,25.88,,,,,
32,10/22/21 11:26:25 AM,8.07,25.96,,,,,
33,10/22/21 11:27:25 AM,8.04,26.06,,,,,
34,10/22/21 11:28:25 AM,8.03,26.14,,,,,
35,10/22/21 11:29:25 AM,8.00,26.22,,,,,
36,10/22/21 11:30:25 AM,7.97,26.30,,,,,
37,10/22/21 11:31:25 AM,8.01,26.40,,,,,
38,10/22/21 11:32:25 AM,7.97,26.50,,,,,
39,10/22/21 11:33:25 AM,8.07,26.48,,,,,
40,10/22/21 11:34:25 AM,7.97,26.76,,,,,
41,10/22/21 11:35:25 AM,7.89,27.10,,,,,
42,10/22/21 11:36:25 AM,7.89,27.34,,,,,
43,10/22/21 11:37:25 AM,7.94,27.38,,,,,
44,10/22/21 11:38:25 AM,8.68,27.48,,,,,
45,10/22/21 11:39:25 AM,10.09,27.24,,,,,
46,10/22/21 11:40:25 AM,10.06,27.10,,,,,
47,10/22/21 11:41:25 AM,10.57,26.98,,,,,
48,10/22/21 11:42:25 AM,10.92,26.88,,,,,
49,10/22/21 11:43:25 AM,11.02,26.80,,,,,
50,10/22/21 11:44:25 AM,10.87,26.74,,,,,
51,10/22/21 11:45:25 AM,11.03,26.70,,,,,
52,10/22/21 11:46:25 AM,10.99,26.66,,,,,
53,10/22/21 11:47:25 AM,10.94,26.64,,,,,
54,10/22/21 11:48:25 AM,11.05,26.64,,,,,
55,10/22/21 11:49:25 AM,11.05,26.62,,,,,
56,10/22/21 11:50:25 AM,11.25,26.62,,,,,
57,10/22/21 11:51:25 AM,11.24,26.62,,,,,
58,10/22/21 11:52:25 AM,11.24,26.62,,,,,
59,10/22/21 11:53:25 AM,11.38,26.62,,,,,
60,10/22/21 11:54:25 AM,11.50,26.62,,,,,
61,10/22/21 11:55:25 AM,11.43,26.62,,,,,
62,10/22/21 11:56:25 AM,11.39,26.64,,,,,
63,10/22/21 11:57:25 AM,11.51,26.64,,,,,
64,10/22/21 11:58:25 AM,11.51,26.64,,,,,
65,10/22/21 11:59:25 AM,11.64,26.64,,,,,
66,10/22/21 12:00:25 PM,-888.88,-888.88,,,Logged,,
67,10/22/21 12:01:25 PM,-888.88,-888.88,,,Logged,,
68,10/22/21 12:02:25 PM,11.77,26.66,,,,,
69,10/22/21 12:03:25 PM,11.81,26.68,,,,,
70,10/22/21 12:04:25 PM,11.86,26.68,,,,,
71,10/22/21 12:05:25 PM,11.89,26.70,,,,,
72,10/22/21 12:06:25 PM,11.95,26.70,,,,,
73,10/22/21 12:07:25 PM,-888.88,-888.88,,,Logged,,
74,10/22/21 12:08:25 PM,12.09,26.72,,,,,
75,10/22/21 12:09:25 PM,-888.88,-888.88,,,Logged,,
76,10/22/21 12:10:25 PM,12.18,26.74,,,,,
77,10/22/21 12:11:25 PM,12.24,26.74,,,,,
78,10/22/21 12:12:25 PM,12.22,26.72,,,,,
79,10/22/21 12:13:25 PM,12.25,26.70,,,,,
80,10/22/21 12:14:25 PM,12.26,26.70,,,,,
81,10/22/21 12:15:25 PM,12.25,26.68,,,,,
82,10/22/21 12:16:25 PM,12.19,26.68,,,,,
83,10/22/21 12:17:25 PM,12.25,26.68,,,,,
84,10/22/21 12:18:25 PM,12.19,26.68,,,,,
85,10/22/21 12:19:25 PM,12.17,26.66,,,,,
86,10/22/21 12:20:25 PM,12.15,26.66,,,,,
87,10/22/21 12:21:25 PM,12.17,26.66,,,,,
88,10/22/21 12:22:25 PM,12.09,26.66,,,,,
89,10/22/21 12:23:25 PM,12.02,26.66,,,,,
90,10/22/21 12:24:25 PM,12.05,26.66,,,,,
91,10/22/21 12:25:25 PM,12.03,26.66,,,,,
92,10/22/21 12:26:25 PM,11.96,26.68,,,,,
93,10/22/21 12:27:25 PM,-888.88,-888.88,,,Logged,,
94,10/22/21 12:28:25 PM,11.47,26.70,,,,,
95,10/22/21 12:29:25 PM,11.36,26.70,,,,,
96,10/22/21 12:30:25 PM,11.37,26.70,,,,,
97,10/22/21 12:31:25 PM,11.37,26.72,,,,,
98,10/22/21 12:32:25 PM,11.40,26.74,,,,,
99,10/22/21 12:33:25 PM,11.51,26.78,,,,,
100,10/22/21 12:34:25 PM,11.51,26.80,,,,,
101,10/22/21 12:35:25 PM,11.49,26.84,,,,,
102,10/22/21 12:36:25 PM,11.55,26.86,,,,,
103,10/22/21 12:37:25 PM,11.58,26.90,,,,,
104,10/22/21 12:38:25 PM,11.63,26.92,,,,,
105,10/22/21 12:39:25 PM,11.63,26.94,,,,,
106,10/22/21 12:40:25 PM,11.60,26.94,,,,,
107,10/22/21 12:41:25 PM,11.68,26.98,,,,,
108,10/22/21 12:42:25 PM,11.73,27.00,,,,,
109,10/22/21 12:43:25 PM,11.77,27.02,,,,,
110,10/22/21 12:44:25 PM,11.88,27.00,,,,,
111,10/22/21 12:45:25 PM,11.87,27.00,,,,,
112,10/22/21 12:46:25 PM,11.94,27.02,,,,,
113,10/22/21 12:47:25 PM,11.92,27.04,,,,,
114,10/22/21 12:48:25 PM,11.91,27.06,,,,,
115,10/22/21 12:49:25 PM,12.03,27.08,,,,,
116,10/22/21 12:50:25 PM,12.09,27.04,,,,,
117,10/22/21 12:51:25 PM,12.13,27.02,,,,,
118,10/22/21 12:52:25 PM,12.12,27.00,,,,,
119,10/22/21 12:53:25 PM,12.06,26.98,,,,,
120,10/22/21 12:54:25 PM,12.14,26.96,,,,,
121,10/22/21 12:55:25 PM,12.03,26.96,,,,,
122,10/22/21 12:56:25 PM,12.02,26.94,,,,,
123,10/22/21 12:57:25 PM,12.03,26.94,,,,,
124,10/22/21 12:58:25 PM,12.05,26.92,,,,,
125,10/22/21 12:59:25 PM,11.97,26.92,,,,,
126,10/22/21 01:00:25 PM,11.96,26.92,,,,,
127,10/22/21 01:01:25 PM,11.92,26.90,,,,,
128,10/22/21 01:02:25 PM,11.91,26.90,,,,,
129,10/22/21 01:03:25 PM,11.84,26.92,,,,,
130,10/22/21 01:04:25 PM,11.64,26.92,,,,,
131,10/22/21 01:05:25 PM,11.71,26.90,,,,,
132,10/22/21 01:06:25 PM,11.68,26.92,,,,,
133,10/22/21 01:07:25 PM,11.69,26.92,,,,,
134,10/22/21 01:08:25 PM,11.69,26.94,,,,,
135,10/22/21 01:09:25 PM,11.71,26.98,,,,,
136,10/22/21 01:10:25 PM,11.76,27.00,,,,,
