"Plot Title: 2021_11_17"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °C (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Sensor Data Error (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
1,11/17/21 10:53:23 AM,8.31,25.54,,,,,
2,11/17/21 10:53:35 AM,,,Logged,,,,
3,11/17/21 10:54:23 AM,8.33,25.60,,,,,
4,11/17/21 10:55:23 AM,8.33,25.76,,,,,
5,11/17/21 10:56:23 AM,8.32,25.84,,,,,
6,11/17/21 10:57:23 AM,8.33,25.82,,,,,
7,11/17/21 10:58:23 AM,8.37,25.84,,,,,
8,11/17/21 10:59:23 AM,8.36,25.88,,,,,
9,11/17/21 11:00:23 AM,8.35,25.92,,,,,
10,11/17/21 11:01:23 AM,8.36,25.94,,,,,
11,11/17/21 11:02:23 AM,8.33,25.96,,,,,
12,11/17/21 11:03:23 AM,8.32,25.98,,,,,
13,11/17/21 11:04:23 AM,8.32,25.98,,,,,
14,11/17/21 11:05:23 AM,8.32,25.98,,,,,
15,11/17/21 11:06:23 AM,8.32,25.98,,,,,
16,11/17/21 11:07:23 AM,8.30,25.98,,,,,
17,11/17/21 11:08:23 AM,8.31,25.98,,,,,
18,11/17/21 11:09:23 AM,8.30,25.96,,,,,
19,11/17/21 11:10:23 AM,8.30,25.96,,,,,
20,11/17/21 11:11:23 AM,8.30,25.94,,,,,
21,11/17/21 11:12:23 AM,8.30,25.94,,,,,
22,11/17/21 11:13:23 AM,8.30,25.92,,,,,
23,11/17/21 11:14:23 AM,8.30,25.90,,,,,
24,11/17/21 11:15:23 AM,8.29,25.90,,,,,
25,11/17/21 11:16:23 AM,8.30,25.88,,,,,
26,11/17/21 11:17:23 AM,8.30,25.84,,,,,
27,11/17/21 11:18:23 AM,7.99,25.78,,,,,
28,11/17/21 11:19:23 AM,7.41,25.92,,,,,
29,11/17/21 11:20:23 AM,-888.88,-888.88,,Logged,,,
30,11/17/21 11:21:23 AM,7.29,26.36,,,,,
31,11/17/21 11:22:23 AM,7.29,26.52,,,,,
32,11/17/21 11:23:23 AM,7.24,26.64,,,,,
33,11/17/21 11:24:23 AM,7.26,26.74,,,,,
34,11/17/21 11:25:23 AM,7.22,26.80,,,,,
35,11/17/21 11:26:23 AM,7.16,26.86,,,,,
36,11/17/21 11:27:23 AM,7.01,26.92,,,,,
37,11/17/21 11:28:23 AM,7.32,26.96,,,,,
38,11/17/21 11:29:23 AM,7.34,27.02,,,,,
39,11/17/21 11:30:23 AM,7.25,27.10,,,,,
40,11/17/21 11:31:23 AM,7.41,27.22,,,,,
41,11/17/21 11:32:23 AM,7.36,27.32,,,,,
42,11/17/21 11:33:23 AM,7.37,27.38,,,,,
43,11/17/21 11:34:23 AM,7.28,27.42,,,,,
44,11/17/21 11:35:23 AM,7.32,27.46,,,,,
45,11/17/21 11:36:23 AM,7.35,27.48,,,,,
46,11/17/21 11:37:23 AM,7.41,27.52,,,,,
47,11/17/21 11:38:23 AM,7.41,27.56,,,,,
48,11/17/21 11:39:23 AM,7.38,27.58,,,,,
49,11/17/21 11:40:23 AM,7.41,27.62,,,,,
50,11/17/21 11:41:23 AM,7.42,27.64,,,,,
51,11/17/21 11:42:23 AM,7.51,27.64,,,,,
52,11/17/21 11:43:23 AM,7.57,27.64,,,,,
53,11/17/21 11:44:23 AM,7.63,27.66,,,,,
54,11/17/21 11:45:23 AM,7.68,27.70,,,,,
55,11/17/21 11:46:23 AM,7.96,27.70,,,,,
56,11/17/21 11:47:23 AM,8.14,27.60,,,,,
57,11/17/21 11:48:23 AM,8.13,27.52,,,,,
58,11/17/21 11:49:23 AM,8.16,27.44,,,,,
59,11/17/21 11:50:23 AM,8.18,27.40,,,,,
60,11/17/21 11:51:23 AM,8.15,27.36,,,,,
61,11/17/21 11:52:23 AM,8.14,27.34,,,,,
62,11/17/21 11:53:23 AM,8.00,27.32,,,,,
63,11/17/21 11:54:23 AM,7.99,27.30,,,,,
64,11/17/21 11:55:23 AM,8.10,27.28,,,,,
65,11/17/21 11:56:23 AM,8.09,27.28,,,,,
66,11/17/21 11:57:23 AM,7.89,27.26,,,,,
67,11/17/21 11:58:23 AM,7.53,27.26,,,,,
68,11/17/21 11:59:23 AM,7.73,27.30,,,,,
69,11/17/21 12:00:23 PM,7.67,27.34,,,,,
70,11/17/21 12:01:23 PM,7.70,27.38,,,,,
71,11/17/21 12:02:23 PM,7.67,27.38,,,,,
72,11/17/21 12:03:23 PM,7.65,27.40,,,,,
73,11/17/21 12:04:23 PM,7.63,27.42,,,,,
74,11/17/21 12:05:23 PM,7.61,27.44,,,,,
75,11/17/21 12:06:23 PM,7.62,27.46,,,,,
76,11/17/21 12:07:23 PM,7.73,27.48,,,,,
77,11/17/21 12:08:23 PM,7.71,27.50,,,,,
78,11/17/21 12:09:23 PM,7.75,27.52,,,,,
79,11/17/21 12:10:23 PM,7.81,27.54,,,,,
80,11/17/21 12:11:23 PM,7.90,27.56,,,,,
81,11/17/21 12:12:23 PM,7.94,27.58,,,,,
82,11/17/21 12:13:23 PM,7.98,27.60,,,,,
83,11/17/21 12:14:23 PM,8.12,27.62,,,,,
84,11/17/21 12:15:23 PM,8.09,27.60,,,,,
85,11/17/21 12:16:23 PM,8.10,27.60,,,,,
86,11/17/21 12:17:23 PM,8.06,27.58,,,,,
87,11/17/21 12:18:23 PM,8.02,27.58,,,,,
88,11/17/21 12:19:23 PM,7.95,27.56,,,,,
89,11/17/21 12:20:23 PM,7.89,27.56,,,,,
90,11/17/21 12:21:23 PM,8.17,27.56,,,,,
91,11/17/21 12:22:23 PM,8.15,27.56,,,,,
92,11/17/21 12:23:23 PM,8.02,27.62,,,,,
93,11/17/21 12:24:23 PM,8.08,27.66,,,,,
94,11/17/21 12:25:23 PM,7.98,27.70,,,,,
95,11/17/21 12:26:23 PM,8.22,27.74,,,,,
96,11/17/21 12:27:23 PM,8.42,27.78,,,,,
97,11/17/21 12:28:23 PM,8.46,27.80,,,,,
98,11/17/21 12:29:23 PM,8.44,27.86,,,,,
99,11/17/21 12:30:23 PM,8.35,27.88,,,,,
100,11/17/21 12:31:23 PM,8.37,27.92,,,,,
101,11/17/21 12:32:23 PM,8.42,27.94,,,,,
102,11/17/21 12:33:23 PM,8.37,27.96,,,,,
103,11/17/21 12:34:23 PM,8.35,28.00,,,,,
104,11/17/21 12:35:23 PM,8.26,28.00,,,,,
105,11/17/21 12:36:23 PM,8.53,27.96,,,,,
106,11/17/21 12:37:23 PM,8.61,27.92,,,,,
107,11/17/21 12:38:23 PM,8.64,27.88,,,,,
108,11/17/21 12:39:23 PM,8.70,27.84,,,,,
109,11/17/21 12:40:23 PM,8.72,27.82,,,,,
110,11/17/21 12:41:23 PM,8.73,27.80,,,,,
111,11/17/21 12:42:23 PM,8.73,27.78,,,,,
112,11/17/21 12:43:23 PM,8.74,27.78,,,,,
113,11/17/21 12:44:23 PM,8.65,27.76,,,,,
114,11/17/21 12:45:23 PM,8.35,27.80,,,,,
115,11/17/21 12:46:23 PM,-888.88,-888.88,,Logged,,,
116,11/17/21 12:47:23 PM,-888.88,-888.88,,Logged,,,
117,11/17/21 12:48:23 PM,-888.88,-888.88,,Logged,,,
118,11/17/21 12:49:23 PM,-888.88,-888.88,,Logged,,,
119,11/17/21 12:50:23 PM,-888.88,-888.88,,Logged,,,
120,11/17/21 12:51:23 PM,-888.88,-888.88,,Logged,,,
121,11/17/21 12:52:23 PM,-888.88,-888.88,,Logged,,,
122,11/17/21 12:53:23 PM,-888.88,-888.88,,Logged,,,
123,11/17/21 12:54:23 PM,8.13,28.04,,,,,
124,11/17/21 12:55:23 PM,8.26,28.00,,,,,
125,11/17/21 12:56:23 PM,8.15,27.96,,,,,
126,11/17/21 12:57:23 PM,7.89,27.94,,,,,
127,11/17/21 12:58:23 PM,7.76,27.84,,,,,
128,11/17/21 12:59:23 PM,7.77,27.80,,,,,
129,11/17/21 01:00:23 PM,7.78,27.80,,,,,
130,11/17/21 01:01:23 PM,7.65,27.78,,,,,
131,11/17/21 01:02:23 PM,7.73,27.82,,,,,
132,11/17/21 01:03:23 PM,7.95,27.94,,,,,
133,11/17/21 01:04:23 PM,7.47,27.90,,,,,
134,11/17/21 01:05:23 PM,7.82,27.76,,,,,
135,11/17/21 01:06:23 PM,8.18,27.64,,,,,
136,11/17/21 01:07:23 PM,7.93,27.54,,,,,
137,11/17/21 01:08:23 PM,8.24,27.48,,,,,
138,11/17/21 01:09:23 PM,8.25,27.42,,,,,
139,11/17/21 01:10:23 PM,8.01,27.40,,,,,
140,11/17/21 01:11:23 PM,7.85,27.38,,,,,
141,11/17/21 01:12:23 PM,7.68,27.40,,,,,
142,11/17/21 01:13:23 PM,8.07,27.40,,,,,
143,11/17/21 01:14:23 PM,7.99,27.32,,,,,
144,11/17/21 01:15:23 PM,7.98,27.28,,,,,
145,11/17/21 01:16:23 PM,7.92,27.24,,,,,
146,11/17/21 01:17:23 PM,7.87,27.20,,,,,
147,11/17/21 01:18:23 PM,7.81,27.20,,,,,
148,11/17/21 01:19:23 PM,7.62,27.22,,,,,
149,11/17/21 01:20:23 PM,7.61,27.24,,,,,
150,11/17/21 01:21:23 PM,7.60,27.26,,,,,
151,11/17/21 01:22:23 PM,8.15,27.26,,,,,
152,11/17/21 01:23:23 PM,8.16,27.26,,,,,
153,11/17/21 01:24:23 PM,7.97,27.28,,,,,
154,11/17/21 01:25:23 PM,7.94,27.28,,,,,
155,11/17/21 01:26:23 PM,8.29,27.30,,,,,
156,11/17/21 01:27:23 PM,8.20,27.28,,,,,
157,11/17/21 01:28:23 PM,8.21,27.30,,,,,
158,11/17/21 01:29:23 PM,8.13,27.32,,,,,
159,11/17/21 01:30:23 PM,8.48,27.32,,,,,
160,11/17/21 01:31:23 PM,8.39,27.34,,,,,
161,11/17/21 01:32:23 PM,8.36,27.34,,,,,
162,11/17/21 01:33:23 PM,8.37,27.36,,,,,
163,11/17/21 01:34:23 PM,8.36,27.38,,,,,
164,11/17/21 01:35:23 PM,8.44,27.38,,,,,
165,11/17/21 01:36:23 PM,8.89,27.38,,,,,
166,11/17/21 01:37:23 PM,8.80,27.38,,,,,
167,11/17/21 01:38:23 PM,8.81,27.36,,,,,
168,11/17/21 01:39:23 PM,8.86,27.36,,,,,
169,11/17/21 01:40:23 PM,8.86,27.36,,,,,
170,11/17/21 01:41:23 PM,8.90,27.36,,,,,
171,11/17/21 01:42:23 PM,9.02,27.36,,,,,
172,11/17/21 01:43:23 PM,8.89,27.38,,,,,
173,11/17/21 01:44:23 PM,8.82,27.42,,,,,
174,11/17/21 01:45:23 PM,8.86,27.42,,,,,
175,11/17/21 01:46:23 PM,9.24,27.40,,,,,
176,11/17/21 01:47:23 PM,9.38,27.38,,,,,
177,11/17/21 01:48:23 PM,9.41,27.36,,,,,
178,11/17/21 01:49:23 PM,9.48,27.32,,,,,
