"Plot Title: 2022_3_21"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °F (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Sensor Data Error (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Host Connected (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
1,03/21/22 11:15:42 AM,9.07,69.33,,,,,,
2,03/21/22 11:15:50 AM,,,Logged,,,,,
3,03/21/22 11:16:42 AM,9.06,69.44,,,,,,
4,03/21/22 11:17:42 AM,9.06,69.51,,,,,,
5,03/21/22 11:18:42 AM,9.06,69.55,,,,,,
6,03/21/22 11:19:42 AM,9.05,69.51,,,,,,
7,03/21/22 11:20:42 AM,9.04,69.51,,,,,,
8,03/21/22 11:21:42 AM,9.02,69.48,,,,,,
9,03/21/22 11:22:42 AM,9.03,69.48,,,,,,
10,03/21/22 11:23:42 AM,9.02,69.48,,,,,,
11,03/21/22 11:24:42 AM,9.03,69.51,,,,,,
12,03/21/22 11:25:42 AM,9.06,69.51,,,,,,
13,03/21/22 11:26:42 AM,9.11,69.58,,,,,,
14,03/21/22 11:27:42 AM,9.12,69.76,,,,,,
15,03/21/22 11:28:42 AM,9.13,70.02,,,,,,
16,03/21/22 11:29:42 AM,9.16,70.34,,,,,,
17,03/21/22 11:30:42 AM,9.16,70.74,,,,,,
18,03/21/22 11:31:42 AM,9.13,71.13,,,,,,
19,03/21/22 11:32:42 AM,9.10,71.53,,,,,,
20,03/21/22 11:33:42 AM,9.08,71.92,,,,,,
21,03/21/22 11:34:42 AM,9.06,72.36,,,,,,
22,03/21/22 11:35:42 AM,9.07,72.75,,,,,,
23,03/21/22 11:36:42 AM,9.04,73.18,,,,,,
24,03/21/22 11:37:42 AM,9.05,73.51,,,,,,
25,03/21/22 11:38:42 AM,9.10,73.76,,,,,,
26,03/21/22 11:39:42 AM,9.08,74.08,,,,,,
27,03/21/22 11:40:42 AM,9.03,74.44,,,,,,
28,03/21/22 11:41:42 AM,9.00,74.84,,,,,,
29,03/21/22 11:42:42 AM,8.93,75.13,,,,,,
30,03/21/22 11:43:42 AM,8.93,75.31,,,,,,
31,03/21/22 11:44:42 AM,8.90,75.42,,,,,,
32,03/21/22 11:45:42 AM,8.85,75.56,,,,,,
33,03/21/22 11:46:42 AM,8.80,75.81,,,,,,
34,03/21/22 11:47:42 AM,8.89,76.17,,,,,,
35,03/21/22 11:48:42 AM,19.51,77.40,,,,,,
36,03/21/22 11:49:42 AM,-888.88,-888.88,,Logged,,,,
37,03/21/22 11:50:42 AM,14.58,79.63,,,,,,
38,03/21/22 11:51:42 AM,14.52,80.49,,,,,,
39,03/21/22 11:52:42 AM,14.53,81.14,,,,,,
