"Plot Title: 2021_11_23"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °C (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
1,11/23/21 03:40:03 PM,8.03,26.60,,,,
2,11/23/21 03:40:11 PM,,,Logged,,,
3,11/23/21 03:41:03 PM,8.06,26.70,,,,
4,11/23/21 03:42:03 PM,8.03,26.80,,,,
5,11/23/21 03:43:03 PM,8.02,26.84,,,,
6,11/23/21 03:44:03 PM,8.02,26.84,,,,
7,11/23/21 03:45:03 PM,8.02,26.86,,,,
8,11/23/21 03:46:03 PM,8.02,26.84,,,,
9,11/23/21 03:47:03 PM,8.00,26.78,,,,
10,11/23/21 03:48:03 PM,7.99,26.72,,,,
11,11/23/21 03:49:03 PM,8.00,26.64,,,,
12,11/23/21 03:50:03 PM,8.03,26.56,,,,
13,11/23/21 03:51:03 PM,8.02,26.50,,,,
14,11/23/21 03:52:03 PM,8.01,26.50,,,,
15,11/23/21 03:53:03 PM,8.06,26.54,,,,
16,11/23/21 03:54:03 PM,11.97,26.58,,,,
17,11/23/21 03:55:03 PM,11.97,26.76,,,,
18,11/23/21 03:56:03 PM,12.05,26.90,,,,
19,11/23/21 03:57:03 PM,12.16,27.04,,,,
20,11/23/21 03:58:03 PM,12.00,27.16,,,,
21,11/23/21 03:59:03 PM,11.85,27.24,,,,
22,11/23/21 04:00:03 PM,11.78,27.30,,,,
23,11/23/21 04:01:03 PM,11.69,27.36,,,,
24,11/23/21 04:02:03 PM,11.66,27.38,,,,
25,11/23/21 04:03:03 PM,11.59,27.42,,,,
26,11/23/21 04:04:03 PM,11.48,27.44,,,,
27,11/23/21 04:05:03 PM,11.42,27.46,,,,
28,11/23/21 04:06:03 PM,11.37,27.48,,,,
29,11/23/21 04:07:03 PM,11.27,27.50,,,,
30,11/23/21 04:08:03 PM,11.30,27.52,,,,
31,11/23/21 04:09:03 PM,11.27,27.52,,,,
32,11/23/21 04:10:03 PM,11.49,27.54,,,,
33,11/23/21 04:11:03 PM,11.55,27.54,,,,
34,11/23/21 04:12:03 PM,11.47,27.54,,,,
35,11/23/21 04:13:03 PM,11.40,27.54,,,,
36,11/23/21 04:14:03 PM,11.44,27.54,,,,
37,11/23/21 04:15:03 PM,11.36,27.54,,,,
38,11/23/21 04:16:03 PM,11.19,27.54,,,,
39,11/23/21 04:17:03 PM,10.85,27.54,,,,
40,11/23/21 04:18:03 PM,11.44,27.52,,,,
41,11/23/21 04:19:03 PM,11.62,27.52,,,,
42,11/23/21 04:20:03 PM,11.61,27.50,,,,
43,11/23/21 04:21:03 PM,11.62,27.50,,,,
44,11/23/21 04:22:03 PM,11.73,27.48,,,,
45,11/23/21 04:23:03 PM,7.66,27.36,,,,
46,11/23/21 04:24:03 PM,7.71,27.12,,,,
47,11/23/21 04:25:03 PM,7.76,26.94,,,,
48,11/23/21 04:26:03 PM,7.80,26.74,,,,
49,11/23/21 04:27:03 PM,7.84,26.58,,,,
50,11/23/21 04:28:03 PM,7.79,26.38,,,,
51,11/23/21 04:28:13 PM,,,,Logged,,
52,11/23/21 04:28:15 PM,,,,,Logged,Logged
