site,date,successful,location,description,dominant,chamber,oxy probe A,oxy probe B,light probe A,light probe B,PS start,PS end,R start,R end,lat,long,am_pm
site01,23/10/2024,y,Casuarina,massive porites medium,Porites,bl 1,probe 1,probe 2,light 1,light 2,11:19,11:44,11:55,12:30,-14.674481,145.444403,morningA
site02,23/10/2024,y,Casuarina,dead branching,Turf_dead,bl 2,probe 3 ,probe 4,light 3 ,light 4,11:35,11:57,12:03,12:30,-14.674481,145.444403,morningA
site03,23/10/2024,y,Casuarina,staghorn,Acropora,bl 1,probe 1,probe 2,light 1,light 2,15:16,15:43,15:52,16:22,-14.675809,145.445464,afternoonB
site04,23/10/2024,y,Casuarina,massive porites small,Porites,bl 2,probe 3 ,probe 4,light 3 ,light 4,15:26,15:53,15:57,16:28,-14.675809,145.445464,afternoonB
site05,24/10/2024,y,Outer Jo's,foliose echino,Foliose,bl 1,probe 1,probe 4,light 3,light 4,10:19,10:49,10:55,11:25,-14.685786,145.454129,morningA
site06,24/10/2024,y,Outer Jo's,branching echino,Branching_other,bl 2,probe 3 ,probe 2,light 1,light 2,10:25,10:55,11:00,11:29,-14.685786,145.454129,morningA
site07,24/10/2024,y,Jo's cove,Acro corym,Acropora,bl 1,probe 1,probe 2,light 1,light 2,14:59,15:29,15:30,15:58,-14.687259,145.454091,afternoonB
site08,24/10/2024,no_leak,Jo's cove,Poc + fish,Pocillopora_fish,bl 2,probe 3 ,probe 4,light 3,light 4,14:50,15:15,15:26,15:54,-14.687259,145.454091,afternoonB
site09,25/10/2024,y,Outer Jo's,branching por small,Branching_other,bl 1,probe 1,probe 2,light 1,light 2,09:32,10:05,10:09,10:36,-14.687188,145.454664,morningA
site10,25/10/2024,y,Outer Jo's,Poc + fish 2,Pocillopora_fish,bl 2,probe 3 ,probe 4,light 3,light 4,09:24,09:54,10:03,10:31,-14.687188,145.454664,morningA
site11,25/10/2024,y,Jo's cove,coscinarea,Mound_other,bl 1,probe 1,probe 2,light 1,light 2,14:41,15:13,15:22,15:50,-14.687233,145.453756,afternoonB
site12,25/10/2024,y,Jo's cove,small poc,Pocillopora,bl 2,probe 3 ,probe 4,light 3,light 4,14:53,15:24,15:28,15:56,-14.687233,145.453756,afternoonB
site13,26/10/2024,y,Casuarina,small stag,Acropora,bl 1,probe 1,probe 2,light 1,light 2,10:28,10:55,10:57,11:22,-14.675269,145.444848,morningA
site14,26/10/2024,y,Casuarina,por and rock,Porites,bl 2,probe 3 ,probe 4,light 3,light 4,10:47,11:12,11:15,11:35,-14.675269,145.444848,morningA
site15,26/10/2024,y,Casuarina,small por/fav,Mound_other,bl 1,probe 1,probe 2,light 1,light 2,14:40,15:07,15:07,15:30,-14.676222,145.444818,afternoonB
site16,26/10/2024,y,Casuarina,large favid,Mound_other,bl 2,probe 3 ,probe 4,light 3,light 4,14:28,14:58,15:02,15:21,-14.676222,145.444818,afternoonB
site17,28/10/2024,y,Casuarina,Turf rock,Turf_dead,bl 1,probe 2,NA,light 3,light 4,10:18,10:48,11:00,11:30,-14.676008,145.445528,morningA
