site,date,successful,location,description,dominant,chamber,oxy probe A,oxy probe B,light probe A,light probe B,PS start,PS end,R start,R end,lat,long,weather,site_volume,site_area
hi01,09/24/2021,y,kbay_A,porites,P. compressa,OG,P0,NA,,,11:38,11:55,11:57,12:07,,,partly cloudy,19914648,721226.3
hi02,09/24/2021,y,kbay_A,monti,M. capitata,OG,P0,NA,,,12:13,12:28,12:41,12:51,,,partly cloudy,6107913,662919.6
hi03,09/24/2021,y,kbay_A,pdam,P. damicornis,OG,P0,NA,,,12:58,13:12,13:18,13:27,,,partly cloudy,17798654,722879.5
hi04,09/24/2021,no_short,kbay_A,small_monti,M. capitata,OG,P0,NA,,,13:36,13:44,13:46,13:53,,,partly cloudy,3386068,381592.3
hi05,09/28/2021,y,kbay_A,por_mont,P. compressa,OG,P0,NA,,,14:37,14:53,14:58,15:07,,,overcast,9763540,710764.3
hi06,09/28/2021,y,kbay_A,monti_spire,M. capitata,OG,P0,NA,,,15:14,15:27,15:28,15:39,,,overcast,3184701,604339.3
hi07,09/28/2021,y,kbay_A,monti_dense,M. capitata,OG,P0,NA,,,15:45,15:55,16:03,16:17,,,overcast,15435740,931484.1
hi08,10/01/2021,y,kbay_A,comp_mound,P. compressa,OG,P0,NA,,,14:23,14:30,14:35,14:43,,,partly cloudy,13820232,543184.5
hi09,10/01/2021,y,kbay_A,small_pdam,P. damicornis,OG,P0,NA,,,14:55,15:09,15:11,15:21,,,partly cloudy,2958541,403341.3
hi10,10/01/2021,no_leak,kbay_A,small_por,P. compressa,OG,P0,NA,,,15:35,15:47,15:49,16:01,,,partly cloudy,3010532,351533
hi11,10/05/2021,y,kbay_A,bare_lept,Rock/Turf,OG,P0,NA,,,13:00,13:18,13:25,13:38,,,overcast,6004232,529907.5
hi12,10/05/2021,y,kbay_A,brown_mont,M. capitata,OG,P0,NA,,,14:26,14:30,14:32,14:44,,,partly cloudy,10276611,589524
hi13,10/22/2021,y,kbay_A,por_poc,P. compressa,OG,P0,NA,,,11:56,12:09,12:13,12:25,,,partly cloudy,2702800,558788.1
hi14,10/22/2021,y,kbay_A,poc_med1,P. damicornis,OG,P0,NA,,,12:30,12:48,12:50,13:05,,,partly cloudy,2433776,589541.5
hi15,10/22/2021,y,kbay_A,mont_poc,M. capitata,OG,P0,NA,,,13:06,13:22,13:28,13:48,,,partly cloudy,6011013,529291.1
hi16,10/22/2021,y,kbay_A,poc_med2,P. damicornis,OG,P0,NA,,,14:00,14:15,14:17,14:30,,,partly cloudy,4158786,625622.5
