Site,Taxon,Group,area_m2,
site01,Massive porites,Porites,0.142,
site01,Sandy rock,Bare rock,0.012,
site01,Clam,Other sessile,0.002,
site02,Dead stag,Turf,0.154,
site02,Massive porites,Porites,0.031,
site02,CCA,CCA,0.006,
site03,Acropora Stag,Acropora,0.061,
site03,Sandy dead stag,Bare rock,0.043,
site03,CCA/milepora,CCA,0.008,
site03,Other coral,Other Scleractinia,0.003,
site03,Macroalgae,Macroalgae,0.008,
site03,Turf rock,Turf,0.009,
site03,Acscidian,Other sessile,0.004,
site04,Turf rock,Turf,0.005,notes
site04,Sand rock,Bare rock,0.012,
site04,Massive porites,Porites,0.031,
site05,Foliose Echino,Other Scleractinia,0.115,
site05,Long turf in sand,Turf,0.015,
site05,Rubble,Rubble,0.014,
site06,Branching Echino,Other Scleractinia,0.03,
site06,Soft coral,Soft coral,0.006,
site06,Dead coral,Turf,0.008,
site06,Dead coral,Turf,0.002,
site07,Corymbose Acro,Acropora,0.097,
site07,Turf rock,Turf,0.019,
site07,Turf rock,Turf,0.012,
site07,Other Scleractinia,Other Scleractinia,0.003,
site08,Pdam,Pocillopora,0.014,
site08,dead pdam,Turf,0.022,
site08,ascidian rock,Other sessile,0.061,
site08,Pdam,Pocillopora,0.056,
site08,sandy ascidian rock,Bare rock,0.048,
site09,branching porites,Porites,0.025,
site09,branching porites,Porites,0.017,echino?
site09,Dead coral,Turf,0.012,
site10,Pdam,Pocillopora,0.074,
site10,ascidian rock,Other sessile,0.034,
site10,ascidian rock,Other sessile,0.01,
site10,dead pdam,Turf,0.068,
site11,pdam,Pocillopora,0.024,
site11,Sand rock,Bare rock,0.002,
site12,Coscinarea,Other Scleractinia,0.156,
site12,ascidian rock,Other sessile,0.002,
site13,Staghorn acro,Acropora,0.026,
site13,rubbe,Rubble,0.011,
site13,rubbe,Rubble,0.009,
site14,Massive porites,Porites,0.03,
site14,sandy rock,Bare rock,0.116,
site15,Massive porites,Porites,0.016,
site15,Massive porites,Porites,0.01,
site15,turf rock,Turf,0.004,
site16,large favid,Other Scleractinia,0.161,
site16,pdam,Pocillopora,0.003,
site16,Macroalgae,Macroalgae,0.01,
site16,Macroalgae,Macroalgae,0.002,
site16,turf rock,Turf,0.006,
site17,fleshy turf rock,Turf,0.089,
site17,Sand rock,Bare rock,0.021,
site18,A millepora,Acropora,0.103,
site18,Turf rock,Turf,0.007,
site18,Turf rock,Turf,0.038,
site18,CCA,CCA,0.002,
site19,Montipora,Montipora,0.085,
site19,fleshy turf rock,Turf,0.025,
site19,Sand rock,Bare rock,0.036,
site20,Acropora sarm,Acropora,0.037,
site20,Macroalgae,Macroalgae,0.017,
site20,Turf rock,Turf,0.023,
site21,Soft coral,Soft coral,0.119,
site21,Rubble,Rubble,0.032,
site22,Soft coral,Soft coral,0.066,
site23,Acro sarm,Acropora,0.055,
site23,Massive porites,Porites,0.009,
site23,Turf rock,Turf,0.008,
site23,Turf rock,Turf,0.017,
site23,Sand rock,Bare rock,0.039,
site24,pdam,Pocillopora,0.017,
site24,pdam,Pocillopora,0.001,
site24,Massive porites,Porites,0.003,
site24,dead pdam,Turf,0.042,
site25,Massive porites,Porites,0.024,
site25,dead sand porites,Bare rock,0.029,
site26,Soft coral,Soft coral,0.019,
site26,Soft coral,Soft coral,0.045,
site26,Turf rock,Turf,0.042,
site27,seagreass,Seagrass,NA,visual estimate
site28,pdam,Pocillopora,0.018,
site29,favid,Other Scleractinia,0.046,
site29,Soft coral,Soft coral,0.047,
site29,Clam,Other sessile,0.005,
site29,Clam,Other sessile,0.005,
site29,CCA,CCA,0.007,
site29,Macroalgae,Macroalgae,0.007,
site29,Turf rock,Turf,0.017,
site30,Turf rock,Turf,0.028,
site30,recruit,Acropora,0.001,
site31,dead stag,Turf,0.17,
site32,Massive porites,Porites,0.137,
site32,Turf rock,Turf,0.008,
site32,Macroalgae,Macroalgae,0.004,
site33,Massive porites,Porites,0.024,
site33,Turf rock,Turf,0.005,
site33,Rubble,Rubble,0.016,
site34,Massive porites,Porites,0.192,
site34,Clam,Other sessile,0.013,
site34,Rubble,Rubble,0.007,
site35,branching porites,Porites,0.147,
site35,Turf rock,Turf,0.007,
site35,Macroalgae,Macroalgae,0.006,
site35,Macroalgae,Macroalgae,0.009,
site36,Massive porites,Porites,0.216,
site37,branching monti,Montipora,0.01,
site37,Turf rock,Turf,0.025,
site37,Massive porites,Porites,0.004,
site38,favid,Other Scleractinia,0.079,
site38,sponge,Other sessile,0.004,
site38,sponge,Other sessile,0.009,
site38,Turf rock,Turf,0.015,
site39,favid,Other Scleractinia,0.019,
site40,Soft coral,Soft coral,0.136,
site40,Starfish,Other sessile,0.008,
site40,Ascidiean,Other sessile,0.013,
site41,Isopora,Other Scleractinia,0.071,
site41,Turf rock,Turf,0.055,
site41,Turf rock,Turf,0.013,
site42,Isopora,Other Scleractinia,0.035,
site42,Turf rock,Turf,0.013,
site43,Staghorn acro,Acropora,0.069,
site43,Rubble,Rubble,0.013,
site44,Staghorn acro,Acropora,0.083,
site44,Turf rock,Turf,0.017,
site45,table acro,Acropora,0.039,
site45,Turf rock,Turf,0.027,
site45,Macroalgae,Macroalgae,0.013,
site46,Massive porites,Porites,0.011,
site47,Acro sarm,Acropora,0.093,
