site,siteOLD,use,metric,fungid,mcap,pcom,pdam,rock
hi01,site001,y,area,NA,NA,471183.5,45936.3,NA
hi01,site001,y,planar,NA,NA,125100,15744,NA
hi01,site001,y,vol,NA,NA,15995801,475018.3,NA
hi02,site002,y,area,NA,335593.4,NA,65789.5,NA
hi02,site002,y,planar,NA,69815,NA,12619,NA
hi02,site002,y,vol,NA,1507269,NA,428706.8,NA
hi03,site003,y,area,NA,NA,NA,539152,NA
hi03,site003,y,planar,NA,NA,NA,129964,NA
hi03,site003,y,vol,NA,NA,NA,15298318,NA
hi04,site004,N,area,NA,70394.7,NA,NA,NA
hi04,site004,N,planar,NA,14581,NA,NA,NA
hi04,site004,N,vol,NA,368219.6,NA,NA,NA
hi05,site005,y,area,NA,147995.3,320539.6,5891.9,NA
hi05,site005,y,planar,NA,31131,74220,3088,NA
hi05,site005,y,vol,NA,815715.5,5302064,37959.5,NA
hi06,site006,y,area,NA,314131.6,NA,NA,NA
hi06,site006,y,planar,NA,52929,NA,NA,NA
hi06,site006,y,vol,NA,1717684.5,NA,NA,NA
hi07,site007,y,area,NA,646425.3,NA,NA,NA
hi07,site007,y,planar,NA,114345,NA,NA,NA
hi07,site007,y,vol,NA,11450506,NA,NA,NA
hi08,site008,y,area,NA,NA,317333.1,NA,NA
hi08,site008,y,planar,NA,NA,100616,NA,NA
hi08,site008,y,vol,NA,NA,10112279,NA,NA
hi09,site009,y,area,NA,NA,NA,104769.8,NA
hi09,site009,y,planar,NA,NA,NA,22475,NA
hi09,site009,y,vol,NA,NA,NA,1887146.7,NA
hi10,site010,N,area,NA,NA,63485.4,NA,NA
hi10,site010,N,planar,NA,NA,12769,NA,NA
hi10,site010,N,vol,NA,NA,443277,NA,NA
hi11,site011,y,area,NA,NA,NA,NA,286160.9
hi11,site011,y,planar,NA,NA,NA,NA,84450
hi11,site011,y,vol,NA,NA,NA,NA,4011775.7
hi12,site012,y,area,NA,399168.9,NA,NA,NA
hi12,site012,y,planar,NA,120135,NA,NA,NA
hi12,site012,y,vol,NA,6915147,NA,NA,NA
hi13,site013,y,area,NA,NA,128677.2,29996.1,64509
hi13,site013,y,planar,NA,NA,29493.3,6880.8,16466
hi13,site013,y,vol,NA,NA,1670014.3,248707.3,472395.5
hi14,site014,y,area,NA,NA,NA,214315.7,NA
hi14,site014,y,planar,NA,NA,NA,46084.4,NA
hi14,site014,y,vol,NA,NA,NA,2356782.5,NA
hi15,site015,y,area,NA,153475.3,NA,29138.7,46734
hi15,site015,y,planar,NA,28090.6,NA,6603,13031
hi15,site015,y,vol,NA,1606651,NA,189212.5,692391
hi16,site016,y,area,NA,NA,NA,285043.3,NA
hi16,site016,y,planar,NA,NA,NA,50367,NA
hi16,site016,y,vol,NA,NA,NA,3191711,NA
hi17,site017,y,area,62575.9,NA,NA,NA,NA
hi17,site017,y,planar,32090,NA,NA,NA,NA
hi17,site017,y,vol,63000,NA,NA,NA,NA
hi18,site018,y,area,NA,212860,NA,NA,NA
hi18,site018,y,planar,NA,34188,NA,NA,NA
hi18,site018,y,vol,NA,1071202,NA,NA,NA
hi19,site019,N,area,NA,NA,NA,NA,NA
hi19,site019,N,planar,NA,NA,NA,NA,NA
hi19,site019,N,vol,NA,NA,NA,NA,NA
hi20,site020,y,area,NA,578558,NA,NA,NA
hi20,site020,y,planar,NA,159341,NA,NA,NA
hi20,site020,y,vol,NA,5997553,NA,NA,NA
hi21,site021,N,area,NA,NA,NA,NA,NA
hi21,site021,N,planar,NA,NA,NA,NA,NA
hi21,site021,N,vol,NA,NA,NA,NA,NA
hi22,site022,N,area,NA,NA,NA,NA,NA
hi22,site022,N,planar,NA,NA,NA,NA,NA
hi22,site022,N,vol,NA,NA,NA,NA,NA
hi22b,site022b,N,area,NA,NA,NA,NA,NA
hi22b,site022b,N,planar,NA,NA,NA,NA,NA
hi22b,site022b,N,vol,NA,NA,NA,NA,NA
hi23,site023,y,area,NA,333379,NA,NA,NA
hi23,site023,y,planar,NA,59928,NA,NA,NA
hi23,site023,y,vol,NA,3669967,NA,NA,NA
hi24,site024,N,area,NA,NA,NA,NA,NA
hi24,site024,N,planar,NA,NA,NA,NA,NA
hi24,site024,N,vol,NA,NA,NA,NA,NA
hi24b,site024b,N,area,NA,NA,NA,NA,NA
hi24b,site024b,N,planar,NA,NA,NA,NA,NA
hi24b,site024b,N,vol,NA,NA,NA,NA,NA
hi25,site025,N,area,NA,NA,NA,NA,NA
hi25,site025,N,planar,NA,NA,NA,NA,NA
hi25,site025,N,vol,NA,NA,NA,NA,NA
hi25b,site025b,N,area,NA,NA,NA,NA,NA
hi25b,site025b,N,planar,NA,NA,NA,NA,NA
hi25b,site025b,N,vol,NA,NA,NA,NA,NA
hi25c,site025c,N,area,NA,NA,NA,NA,NA
hi25c,site025c,N,planar,NA,NA,NA,NA,NA
hi25c,site025c,N,vol,NA,NA,NA,NA,NA
hi26,site026,N,area,NA,NA,NA,NA,NA
hi26,site026,N,planar,NA,NA,NA,NA,NA
hi26,site026,N,vol,NA,NA,NA,NA,NA
hi27,site027,N,area,NA,NA,NA,NA,NA
hi27,site027,N,planar,NA,NA,NA,NA,NA
hi27,site027,N,vol,NA,NA,NA,NA,NA
hi28,site028,N,area,NA,NA,NA,NA,NA
hi28,site028,N,planar,NA,NA,NA,NA,NA
hi28,site028,N,vol,NA,NA,NA,NA,NA
hi29,site029,N,area,NA,NA,NA,NA,NA
hi29,site029,N,planar,NA,NA,NA,NA,NA
hi29,site029,N,vol,NA,NA,NA,NA,NA
hi30,site030,y,area,NA,NA,537509,NA,NA
hi30,site030,y,planar,NA,NA,83926,NA,NA
hi30,site030,y,vol,NA,NA,9044292,NA,NA
hi31,site031,y,area,NA,403070,NA,NA,NA
hi31,site031,y,planar,NA,104730,NA,NA,NA
hi31,site031,y,vol,NA,11633470,NA,NA,NA
hi32,site032,y,area,NA,NA,760775,NA,NA
hi32,site032,y,planar,NA,NA,184342,NA,NA
hi32,site032,y,vol,NA,NA,30384090,NA,NA
hi33,site033,y,area,NA,NA,NA,169105,NA
hi33,site033,y,planar,NA,NA,NA,33949,NA
hi33,site033,y,vol,NA,NA,NA,2122419,NA
hi34,site034,y,area,NA,NA,529443,NA,NA
hi34,site034,y,planar,NA,NA,159565,NA,NA
hi34,site034,y,vol,NA,NA,18899370,NA,NA
hi35,site035,y,area,NA,NA,457582,NA,NA
hi35,site035,y,planar,NA,NA,67312,NA,NA
hi35,site035,y,vol,NA,NA,4504299,NA,NA
hi36,site036,y,area,NA,NA,NA,12471,256520
hi36,site036,y,planar,NA,NA,NA,4181,109882
hi36,site036,y,vol,NA,NA,NA,92366,4204842
