filename,Day,probe,ampm,site,
sand01 2024_11_09_L2_A.csv,09/11/2024,L2,A.,sand01,
sand01 2024_11_09_L3_A.csv,09/11/2024,L3,A.,sand01,
sand02 2024_11_11_L1__A.csv,11/11/2024,L1,A,sand02,
site01 2024_10_23_L1__A.csv,23/10/2024,L1,A,site01,
site01 2024_10_23_L2__A.csv,23/10/2024,L2,A,site01,
site02 2024_10_23_L3__A.csv,23/10/2024,L3,A,site02,
site02 2024_10_23_L4__A.csv,23/10/2024,L4,A,site02,
site03 2024_10_23_L1__B.csv,23/10/2024,L1,B,site03,
site03 2024_10_23_L2__B.csv,23/10/2024,L2,B,site03,
site04 2024_10_23_L3__B.csv,23/10/2024,L3,B,site04,
site04 2024_10_23_L4__B.csv,23/10/2024,L4,B,site04,
site05 2024_10_24_L3_AB.csv,24/10/2024,L3,AB,site05,
site05 2024_10_24_L3_AB.csv,25/10/2024,L3,AB,site05,
site05 2024_10_24_L4_AB.csv,24/10/2024,L4,AB,site05,
site05 2024_10_24_L4_AB.csv,25/10/2024,L4,AB,site05,
site06 2024_10_24_L1_AB.csv,24/10/2024,L1,AB,site06,
site06 2024_10_24_L1_AB.csv,25/10/2024,L1,AB,site06,
site06 2024_10_24_L2_AB.csv,24/10/2024,L2,AB,site06,
site06 2024_10_24_L2_AB.csv,25/10/2024,L2,AB,site06,
site07 2024_10_24_L1_AB.csv,24/10/2024,L1,AB,site07,
site07 2024_10_24_L1_AB.csv,25/10/2024,L1,AB,site07,
site07 2024_10_24_L2_AB.csv,24/10/2024,L2,AB,site07,
site07 2024_10_24_L2_AB.csv,25/10/2024,L2,AB,site07,
site08 2024_10_24_L3_AB.csv,24/10/2024,L3,AB,site08,
site08 2024_10_24_L3_AB.csv,25/10/2024,L3,AB,site08,
site08 2024_10_24_L4_AB.csv,24/10/2024,L4,AB,site08,
site08 2024_10_24_L4_AB.csv,25/10/2024,L4,AB,site08,
site09 2024_10_25_L1_AB.csv,25/10/2024,L1,AB,site09,
site09 2024_10_25_L2_AB.csv,25/10/2024,L2,AB,site09,
site10 2024_10_25_L3_AB.csv,25/10/2024,L3,AB,site10,
site10 2024_10_25_L4_AB.csv,25/10/2024,L4,AB,site10,
site11 2024_10_25_L1_AB.csv,25/10/2024,L1,AB,site11,
site11 2024_10_25_L2_AB.csv,25/10/2024,L2,AB,site11,
site12 2024_10_25_L3_AB.csv,25/10/2024,L3,AB,site12,
site12 2024_10_25_L4_AB.csv,25/10/2024,L4,AB,site12,
site13 2024_10_26_L1_AB.csv,26/10/2024,L1,AB,site13,
site13 2024_10_26_L2_AB.csv,26/10/2024,L2,AB,site13,
site14 2024_10_26_L3_AB.csv,26/10/2024,L3,AB,site14,
site14 2024_10_26_L4_AB.csv,26/10/2024,L4,AB,site14,
site15 2024_10_26_L1_AB.csv,26/10/2024,L1,AB,site15,
site15 2024_10_26_L2_AB.csv,26/10/2024,L2,AB,site15,
site16 2024_10_26_L3_AB.csv,26/10/2024,L3,AB,site16,
site16 2024_10_26_L4_AB.csv,26/10/2024,L4,AB,site16,
site17 2024_10_28_L3_AB.csv,28/10/2024,L3,AB,site17,
site17 2024_10_28_L4_AB.csv,28/10/2024,L4,AB,site17,
site18 2024_10_28_L1_AB.csv,28/10/2024,L1,AB,site18,
site18 2024_10_28_L2_AB.csv,28/10/2024,L2,AB,site18,
site19 2024_10_28_L5_AB.csv,28/10/2024,L5,AB,site19,
site19 2024_10_28_L6_AB.csv,28/10/2024,L6,AB,site19,
site20 2024_10_28_L3_AB.csv,28/10/2024,L3,AB,site20,
site20 2024_10_28_L4_AB.csv,28/10/2024,L4,AB,site20,
site21 2024_10_28_L1_AB.csv,28/10/2024,L1,AB,site21,
site21 2024_10_28_L2_AB.csv,28/10/2024,L2,AB,site21,
site22 2024_10_28_L5_AB.csv,28/10/2024,L5,AB,site22,
site22 2024_10_28_L6_AB.csv,28/10/2024,L6,AB,site22,
site23 2024_10_29_L3_AB.csv,29/10/2024,L3,AB,site23,
site23 2024_10_29_L4_AB.csv,29/10/2024,L4,AB,site23,
site24 2024_10_29_L1_AB.csv,29/10/2024,L1,AB,site24,
site24 2024_10_29_L2_AB.csv,29/10/2024,L2,AB,site24,
site25 2024_10_29_L5_AB.csv,29/10/2024,L5,AB,site25,
site25 2024_10_29_L6_AB.csv,29/10/2024,L6,AB,site25,
site26 2024_10_29_L1_AB.csv,29/10/2024,L1,AB,site26,
site26 2024_10_29_L2_AB.csv,29/10/2024,L2,AB,site26,
site27 2024_10_29_L3_AB.csv,29/10/2024,L3,AB,site27,
site27 2024_10_29_L4_AB.csv,29/10/2024,L4,AB,site27,
site28 2024_10_29_L5_AB.csv,29/10/2024,L5,AB,site28,
site28 2024_10_29_L6_AB.csv,29/10/2024,L6,AB,site28,
site29 2024_10_31_L3_AB.csv,31/10/2024,L3,AB,site29,
site29 2024_10_31_L4_AB.csv,31/10/2024,L4,AB,site29,
site30 2024_10_31_L5_AB.csv,31/10/2024,L5,AB,site30,
site30 2024_10_31_L6_AB.csv,31/10/2024,L6,AB,site30,
site31 2024_10_31_L1_AB.csv,31/10/2024,L1,AB,site31,
site31 2024_10_31_L2_AB.csv,31/10/2024,L2,AB,site31,
site32 2024_10_31_L3_AB.csv,31/10/2024,L3,AB,site32,
site32 2024_10_31_L4_AB.csv,31/10/2024,L4,AB,site32,
site33 2024_10_31_L5_AB.csv,31/10/2024,L5,AB,site33,
site33 2024_10_31_L6_AB.csv,31/10/2024,L6,AB,site33,
site34 2024_10_31_L1_AB.csv,31/10/2024,L1,AB,site34,
site34 2024_10_31_L2_AB.csv,31/10/2024,L2,AB,site34,
site35 2024_11_01_L5_AB.csv,01/11/2024,L5,AB,site35,
site35 2024_11_01_L6_AB.csv,01/11/2024,L6,AB,site35,
site36 2024_11_01_L3_AB.csv,01/11/2024,L3,AB,site36,
site36 2024_11_01_L4_AB.csv,01/11/2024,L4,AB,site36,
site37 2024_11_01_L1_AB.csv,01/11/2024,L1,AB,site37,
site37 2024_11_01_L2_AB.csv,01/11/2024,L2,AB,site37,
site38 2024_11_01_L5_AB.csv,01/11/2024,L5,AB,site38,
site38 2024_11_01_L6_AB.csv,01/11/2024,L6,AB,site38,
site39 2024_11_01_L3_AB.csv,01/11/2024,L3,AB,site39,
site39 2024_11_01_L4_AB.csv,01/11/2024,L4,AB,site39,
site40 2024_11_01_L1_AB.csv,01/11/2024,L1,AB,site40,
site40 2024_11_01_L2_AB.csv,01/11/2024,L2,AB,site40,
site41 2024_11_02_L3_A.csv,02/11/2024,L3,A.,site41,
site42 2024_11_02_L3_A.csv,02/11/2024,L3,A.,site42,copy site41
site43 2024_11_02_L4_A.csv,02/11/2024,L4,A.,site43,
site44 2024_11_02_L1_A.csv,02/11/2024,L1,A.,site44,
site44 2024_11_02_L2_A.csv,02/11/2024,L2,A.,site44,
site45 2024_11_03_L4_A.csv,03/11/2024,L4,A.,site45,
site46 2024_11_03_L3_A.csv,03/11/2024,L3,A.,site46,
site47 2024_11_03_L2_A.csv,03/11/2024,L2,A.,site47,
site48 2024_11_05_L1_B.csv,05/11/2024,L1,B.,site48,
site48 2024_11_05_L3_B.csv,05/11/2024,L3,B.,site48,
site49 2024_11_05_L2_B.csv,05/11/2024,L2,B.,site49,
site49 2024_11_05_L4_B.csv,05/11/2024,L4,B.,site49,
site50 2024_11_06_L1_A.csv,06/11/2024,L1,A.,site50,
site50 2024_11_06_L4_A.csv,06/11/2024,L4,A.,site50,
site51 2024_11_06_L3_A.csv,06/11/2024,L3,A.,site51,
site52 2024_11_06_L2_A.csv,06/11/2024,L2,A.,site52,
site53 2024_11_06_L3_A.csv,06/11/2024,L3,A.,site53,
site54 2024_11_08_L1_AB.csv,08/11/2024,L1,AB,site54,
site55 2024_11_08_L4_AB.csv,08/11/2024,L4,AB,site55,
site56 2024_11_08_L2_AB.csv,08/11/2024,L2,AB,site56,
site56 2024_11_08_L3_AB.csv,08/11/2024,L3,AB,site56,
site57 2024_11_08_L1_AB.csv,08/11/2024,L1,AB,site57,
site58 2024_11_08_L2_AB.csv,08/11/2024,L2,AB,site58,
site58 2024_11_08_L3_AB.csv,08/11/2024,L3,AB,site58,
site59 2024_11_08_L4_AB.csv,08/11/2024,L4,AB,site59,
site60 2024_11_09_L1_A.csv,09/11/2024,L1,A.,site60,
site61 2024_11_09_L1_A.csv,09/11/2024,L1,A.,site61,
site62 2024_11_09_L2_A.csv,09/11/2024,L2,A.,site62,
site62 2024_11_09_L3_A.csv,09/11/2024,L3,A.,site62,
site63 2024_11_09_L1_A.csv,09/11/2024,L1,A.,site63,
site64 2024_11_10_L1__A.csv,10/11/2024,L1,A,site64,
site65 2024_11_10_L2__A.csv,10/11/2024,L2,A,site65,
site65 2024_11_10_L3__A.csv,10/11/2024,L3,A,site65,
site66 2024_11_10_L1__A.csv,10/11/2024,L1,A,site66,
site67 2024_11_10_L2__A.csv,10/11/2024,L2,A,site67,
site68 2024_11_11_L2__A.csv,11/11/2024,L2,A,site68,
site69 2024_11_11_L1__A.csv,11/11/2024,L1,A,site69,
site70 2024_11_11_L3__A.csv,11/11/2024,L3,A,site70,
site45_swap 2024_11_03_L2_A.csv,03/11/2024,L2,A,site45_swap,
site46_swap 2024_11_03_L4_A.csv,03/11/2024,L4,A,site46_swap,
site47_swap 2024_11_03_L3_A.csv,03/11/2024,L3,A,site47_swap,
site48_pump 2024_11_05_L1_B.csv,05/11/2024,L1,B,site48_pump,
site48_pump 2024_11_05_L3_B.csv,05/11/2024,L3,B,site48_pump,
site49_pump 2024_11_05_L2_B.csv,05/11/2024,L2,B,site49_pump,
site49_pump 2024_11_05_L4_B.csv,05/11/2024,L4,B,site49_pump,
site50_pump 2024_11_06_L1_A.csv,06/11/2024,L1,A,site50_pump,
site50_pump 2024_11_06_L4_A.csv,06/11/2024,L4,A,site50_pump,
site52_pump 2024_11_06_L2_A.csv,06/11/2024,L2,A,site52_pump,
site54_swap 2024_11_08_L4_AB.csv,08/11/2024,L4,A,site54_swap,
site55_swap 2024_11_08_L2_AB.csv,08/11/2024,L2,A,site55_swap,
site55_swap 2024_11_08_L3_AB.csv,08/11/2024,L3,A,site55_swap,
site56_swap 2024_11_08_L1_AB.csv,08/11/2024,L1,A,site56_swap,
site64_pump 2024_11_10_L1__A.csv,10/11/2024,L1,A,site64_pump,
site66_pump 2024_11_10_L1__A.csv,10/11/2024,L1,A,site66_pump,copied from 64_pump
site68_pump 2024_11_11_L2__A.csv,11/11/2024,L2,A,site68_pump,
site70_pump 2024_11_11_L3__A.csv,11/11/2024,L3,A,site70_pump,
