"Plot Title: light1"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798886, SEN S/N: 21798886)","Intensity, Lux (LGR S/N: 21798886, SEN S/N: 21798886)","Coupler Detached (LGR S/N: 21798886)","Coupler Attached (LGR S/N: 21798886)","Host Connected (LGR S/N: 21798886)","Stopped (LGR S/N: 21798886)","End Of File (LGR S/N: 21798886)"
1,11/03/24 10:32:11 AM,26.000,139.9,,,,,
2,11/03/24 10:32:15 AM,,,Logged,,,,
3,11/03/24 10:33:11 AM,26.195,430.6,,,,,
4,11/03/24 10:34:11 AM,26.195,538.2,,,,,
5,11/03/24 10:35:11 AM,26.195,581.3,,,,,
6,11/03/24 10:36:11 AM,26.195,839.6,,,,,
7,11/03/24 10:37:11 AM,26.195,602.8,,,,,
8,11/03/24 10:38:11 AM,26.097,3272.2,,,,,
9,11/03/24 10:39:11 AM,26.097,1313.2,,,,,
10,11/03/24 10:40:11 AM,26.292,258.3,,,,,
11,11/03/24 10:41:11 AM,27.272,376.7,,,,,
12,11/03/24 10:42:11 AM,27.272,1022.6,,,,,
13,11/03/24 10:43:11 AM,27.173,1291.7,,,,,
14,11/03/24 10:44:11 AM,27.567,3616.7,,,,,
15,11/03/24 10:45:11 AM,27.862,22044.6,,,,,
16,11/03/24 10:46:11 AM,29.053,20666.8,,,,,
17,11/03/24 10:47:11 AM,30.054,20666.8,,,,,
18,11/03/24 10:48:11 AM,30.862,19289.0,,,,,
19,11/03/24 10:49:11 AM,31.778,18600.1,,,,,
20,11/03/24 10:50:11 AM,32.291,15844.5,,,,,
21,11/03/24 10:51:11 AM,32.497,10677.8,,,,,
22,11/03/24 10:52:11 AM,33.014,18600.1,,,,,
23,11/03/24 10:53:11 AM,33.326,12400.1,,,,,
24,11/03/24 10:54:11 AM,33.743,23422.4,,,,,
25,11/03/24 10:55:11 AM,35.115,49600.3,,,,,
26,11/03/24 10:56:11 AM,35.756,42711.4,,,,,
27,11/03/24 10:57:11 AM,36.620,38578.0,,,,,
28,11/03/24 10:58:11 AM,37.165,41333.6,,,,,
29,11/03/24 10:59:11 AM,38.157,52355.9,,,,,
30,11/03/24 11:00:11 AM,39.729,60622.6,,,,,
31,11/03/24 11:01:11 AM,41.458,60622.6,,,,,
32,11/03/24 11:02:11 AM,42.282,46844.8,,,,,
33,11/03/24 11:03:11 AM,42.878,38578.0,,,,,
34,11/03/24 11:04:11 AM,43.238,46844.8,,,,,
35,11/03/24 11:05:11 AM,43.601,44089.2,,,,,
36,11/03/24 11:06:11 AM,42.878,26178.0,,,,,
37,11/03/24 11:07:11 AM,42.401,24800.2,,,,,
38,11/03/24 11:08:11 AM,42.046,27555.7,,,,,
39,11/03/24 11:09:11 AM,41.810,31689.1,,,,,
40,11/03/24 11:10:11 AM,42.046,44089.2,,,,,
41,11/03/24 11:11:11 AM,42.639,44089.2,,,,,
42,11/03/24 11:12:11 AM,42.639,41333.6,,,,,
43,11/03/24 11:13:11 AM,42.758,38578.0,,,,,
44,11/03/24 11:14:11 AM,42.758,38578.0,,,,,
45,11/03/24 11:15:11 AM,42.758,35822.5,,,,,
46,11/03/24 11:16:11 AM,42.878,37200.2,,,,,
47,11/03/24 11:17:11 AM,42.998,39955.8,,,,,
48,11/03/24 11:18:11 AM,43.238,46844.8,,,,,
49,11/03/24 11:19:11 AM,43.966,46844.8,,,,,
50,11/03/24 11:20:11 AM,44.704,55111.5,,,,,
51,11/03/24 11:21:11 AM,43.601,24800.2,,,,,
52,11/03/24 11:22:11 AM,42.878,28933.5,,,,,
53,11/03/24 11:23:11 AM,41.810,13777.9,,,,,
54,11/03/24 11:24:11 AM,40.876,13089.0,,,,,
55,11/03/24 11:25:11 AM,39.957,13777.9,,,,,
56,11/03/24 11:26:11 AM,39.163,15155.7,,,,,
57,11/03/24 11:27:11 AM,38.490,14466.8,,,,,
58,11/03/24 11:28:11 AM,37.824,15155.7,,,,,
59,11/03/24 11:29:11 AM,37.274,15844.5,,,,,
60,11/03/24 11:30:11 AM,36.728,16533.4,,,,,
61,11/03/24 11:31:11 AM,36.295,16533.4,,,,,
62,11/03/24 11:32:11 AM,35.864,16533.4,,,,,
63,11/03/24 11:33:11 AM,35.435,13777.9,,,,,
64,11/03/24 11:34:11 AM,34.903,13777.9,,,,,
65,11/03/24 11:35:11 AM,34.585,12400.1,,,,,
66,11/03/24 11:36:11 AM,34.268,13089.0,,,,,
67,11/03/24 11:37:11 AM,33.953,11022.3,,,,,
68,11/03/24 11:38:11 AM,33.639,10677.8,,,,,
69,11/03/24 11:39:11 AM,33.326,11022.3,,,,,
70,11/03/24 11:40:11 AM,33.118,12400.1,,,,,
