"Plot Title: light3"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798870, SEN S/N: 21798870)","Intensity, Lux (LGR S/N: 21798870, SEN S/N: 21798870)","Coupler Detached (LGR S/N: 21798870)","Host Connected (LGR S/N: 21798870)","Coupler Attached (LGR S/N: 21798870)","Stopped (LGR S/N: 21798870)","End Of File (LGR S/N: 21798870)"
1,11/09/24 09:56:03 AM,26.488,75.3,,,,,
2,11/09/24 09:56:07 AM,,,Logged,,,,
3,11/09/24 09:57:03 AM,26.683,731.9,,,,,
4,11/09/24 09:58:03 AM,26.781,602.8,,,,,
5,11/09/24 09:59:03 AM,26.781,441.3,,,,,
6,11/09/24 10:00:03 AM,26.781,387.5,,,,,
7,11/09/24 10:01:03 AM,26.781,409.0,,,,,
8,11/09/24 10:02:03 AM,26.781,193.8,,,,,
9,11/09/24 10:03:03 AM,26.879,118.4,,,,,
10,11/09/24 10:04:03 AM,26.879,86.1,,,,,
11,11/09/24 10:05:03 AM,26.879,86.1,,,,,
12,11/09/24 10:06:03 AM,26.879,96.9,,,,,
13,11/09/24 10:07:03 AM,26.879,129.2,,,,,
14,11/09/24 10:08:03 AM,26.879,139.9,,,,,
15,11/09/24 10:09:03 AM,26.879,269.1,,,,,
16,11/09/24 10:10:03 AM,26.977,247.6,,,,,
17,11/09/24 10:11:03 AM,26.977,236.8,,,,,
18,11/09/24 10:12:03 AM,26.879,236.8,,,,,
19,11/09/24 10:13:03 AM,26.879,236.8,,,,,
20,11/09/24 10:14:03 AM,26.879,247.6,,,,,
21,11/09/24 10:15:03 AM,26.879,247.6,,,,,
22,11/09/24 10:16:03 AM,26.977,1463.9,,,,,
23,11/09/24 10:17:03 AM,27.075,570.5,,,,,
24,11/09/24 10:18:03 AM,27.173,1130.2,,,,,
25,11/09/24 10:19:03 AM,27.075,1108.7,,,,,
26,11/09/24 10:20:03 AM,26.977,1097.9,,,,,
27,11/09/24 10:21:03 AM,26.879,990.3,,,,,
28,11/09/24 10:22:03 AM,26.879,1097.9,,,,,
29,11/09/24 10:23:03 AM,26.781,1108.7,,,,,
30,11/09/24 10:24:03 AM,26.683,1119.5,,,,,
31,11/09/24 10:25:03 AM,26.585,1108.7,,,,,
32,11/09/24 10:26:03 AM,26.585,1108.7,,,,,
33,11/09/24 10:27:03 AM,26.488,1151.7,,,,,
34,11/09/24 10:28:03 AM,27.173,1463.9,,,,,
35,11/09/24 10:29:03 AM,28.357,31689.1,,,,,
36,11/09/24 10:30:03 AM,30.760,82667.2,,,,,
37,11/09/24 10:31:03 AM,33.014,82667.2,,,,,
38,11/09/24 10:32:03 AM,35.115,55111.5,,,,,
39,11/09/24 10:33:03 AM,36.837,60622.6,,,,,
40,11/09/24 10:34:03 AM,38.602,63378.2,,,,,
41,11/09/24 10:35:03 AM,39.615,85422.8,,,,,
42,11/09/24 10:36:03 AM,40.300,88178.4,,,,,
43,11/09/24 10:37:03 AM,41.458,88178.4,,,,,
44,11/09/24 10:38:03 AM,42.520,88178.4,,,,,
45,11/09/24 10:39:03 AM,43.480,88178.4,,,,,
46,11/09/24 10:40:03 AM,42.401,18600.1,,,,,
47,11/09/24 10:41:03 AM,40.185,20666.8,,,,,
48,11/09/24 10:42:03 AM,38.938,22044.6,,,,,
49,11/09/24 10:43:03 AM,38.938,24800.2,,,,,
50,11/09/24 10:44:03 AM,39.389,9644.5,,,,,
51,11/09/24 10:45:03 AM,39.276,31689.1,,,,,
52,11/09/24 10:46:03 AM,37.935,12400.1,,,,,
53,11/09/24 10:47:03 AM,37.165,6544.5,,,,,
54,11/09/24 10:48:03 AM,36.295,8611.2,,,,,
55,11/09/24 10:49:03 AM,35.864,11022.3,,,,,
56,11/09/24 10:50:03 AM,34.691,8266.7,,,,,
57,11/09/24 10:51:03 AM,33.848,9644.5,,,,,
58,11/09/24 10:52:03 AM,33.326,10333.4,,,,,
59,11/09/24 10:53:03 AM,33.014,12400.1,,,,,
60,11/09/24 10:54:03 AM,32.704,9300.1,,,,,
61,11/09/24 10:55:03 AM,32.394,26178.0,,,,,
62,11/09/24 10:56:03 AM,30.862,5511.1,,,,,
63,11/09/24 10:57:03 AM,30.054,5166.7,,,,,
64,11/09/24 10:58:03 AM,29.552,8266.7,,,,,
65,11/09/24 10:59:03 AM,30.154,9300.1,,,,,
66,11/09/24 11:00:03 AM,30.255,9644.5,,,,,
67,11/09/24 11:01:03 AM,30.255,7577.8,,,,,
68,11/09/24 11:02:03 AM,30.659,9644.5,,,,,
69,11/09/24 11:03:03 AM,30.760,9644.5,,,,,
70,11/09/24 11:04:03 AM,30.760,11711.2,,,,,
71,11/09/24 11:05:03 AM,30.862,8611.2,,,,,
72,11/09/24 11:06:03 AM,30.963,9644.5,,,,,
73,11/09/24 11:07:03 AM,30.659,8266.7,,,,,
74,11/09/24 11:08:03 AM,30.659,8266.7,,,,,
75,11/09/24 11:09:03 AM,30.054,7577.8,,,,,
76,11/09/24 11:10:03 AM,29.752,7577.8,,,,,
77,11/09/24 11:11:03 AM,29.552,7233.4,,,,,
78,11/09/24 11:12:03 AM,29.452,7577.8,,,,,
79,11/09/24 11:13:03 AM,29.552,7233.4,,,,,
80,11/09/24 11:14:03 AM,29.352,7233.4,,,,,
81,11/09/24 11:15:03 AM,29.452,7233.4,,,,,
82,11/09/24 11:16:03 AM,29.352,6544.5,,,,,
83,11/09/24 11:17:03 AM,29.352,6200.0,,,,,
84,11/09/24 11:18:03 AM,29.452,7233.4,,,,,
85,11/09/24 11:19:03 AM,29.352,6544.5,,,,,
86,11/09/24 11:20:03 AM,29.352,8266.7,,,,,
87,11/09/24 11:21:03 AM,29.352,7233.4,,,,,
88,11/09/24 11:22:03 AM,29.452,7233.4,,,,,
89,11/09/24 11:23:03 AM,29.352,7233.4,,,,,
90,11/09/24 11:24:03 AM,29.452,7577.8,,,,,
91,11/09/24 11:25:03 AM,29.452,7577.8,,,,,
92,11/09/24 11:26:03 AM,29.352,7577.8,,,,,
93,11/09/24 11:27:03 AM,29.452,7577.8,,,,,
94,11/09/24 11:28:03 AM,29.352,7233.4,,,,,
95,11/09/24 11:29:03 AM,29.652,8266.7,,,,,
96,11/09/24 11:30:03 AM,29.552,6544.5,,,,,
97,11/09/24 11:31:03 AM,29.452,7577.8,,,,,
98,11/09/24 11:32:03 AM,29.452,8266.7,,,,,
99,11/09/24 11:33:03 AM,29.752,7577.8,,,,,
100,11/09/24 11:34:03 AM,29.752,7577.8,,,,,
101,11/09/24 11:35:03 AM,29.652,8266.7,,,,,
102,11/09/24 11:36:03 AM,29.752,7233.4,,,,,
103,11/09/24 11:37:03 AM,29.652,7233.4,,,,,
104,11/09/24 11:38:03 AM,29.552,7577.8,,,,,
105,11/09/24 11:39:03 AM,29.552,7233.4,,,,,
106,11/09/24 11:40:03 AM,29.552,7577.8,,,,,
107,11/09/24 11:41:03 AM,29.652,5511.1,,,,,
108,11/09/24 11:42:03 AM,29.652,7233.4,,,,,
109,11/09/24 11:43:03 AM,29.552,2411.1,,,,,
110,11/09/24 11:44:03 AM,29.853,11022.3,,,,,
111,11/09/24 11:45:03 AM,30.356,9644.5,,,,,
112,11/09/24 11:46:03 AM,30.760,12400.1,,,,,
113,11/09/24 11:47:03 AM,30.862,10333.4,,,,,
114,11/09/24 11:48:03 AM,31.268,12400.1,,,,,
115,11/09/24 11:49:03 AM,31.268,10333.4,,,,,
116,11/09/24 11:50:03 AM,31.370,9644.5,,,,,
117,11/09/24 11:51:03 AM,30.457,5511.1,,,,,
118,11/09/24 11:52:03 AM,30.154,8266.7,,,,,
119,11/09/24 11:53:03 AM,29.853,6544.5,,,,,
120,11/09/24 11:54:03 AM,29.752,4650.0,,,,,
121,11/09/24 11:55:03 AM,29.252,150.7,,,,,
122,11/09/24 11:56:03 AM,28.754,430.6,,,,,
123,11/09/24 11:57:03 AM,28.456,118.4,,,,,
124,11/09/24 11:58:03 AM,28.258,118.4,,,,,
125,11/09/24 11:59:03 AM,28.159,129.2,,,,,
126,11/09/24 12:00:03 PM,28.060,96.9,,,,,
127,11/09/24 12:01:03 PM,28.060,129.2,,,,,
128,11/09/24 12:02:03 PM,28.060,96.9,,,,,
129,11/09/24 12:03:03 PM,28.060,75.3,,,,,
130,11/09/24 12:04:03 PM,28.060,75.3,,,,,
131,11/09/24 12:05:03 PM,28.060,86.1,,,,,
