"Plot Title: light1"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798886, SEN S/N: 21798886)","Intensity, Lux (LGR S/N: 21798886, SEN S/N: 21798886)","Coupler Detached (LGR S/N: 21798886)","Coupler Attached (LGR S/N: 21798886)","Host Connected (LGR S/N: 21798886)","Stopped (LGR S/N: 21798886)","End Of File (LGR S/N: 21798886)"
1,10/23/24 03:12:12 PM,26.585,32.3,,,,,
2,10/23/24 03:12:19 PM,,,Logged,,,,
3,10/23/24 03:13:12 PM,26.879,1550.0,,,,,
4,10/23/24 03:14:12 PM,26.977,1550.0,,,,,
5,10/23/24 03:15:12 PM,27.075,1550.0,,,,,
6,10/23/24 03:16:12 PM,27.075,678.1,,,,,
7,10/23/24 03:17:12 PM,27.075,1722.2,,,,,
8,10/23/24 03:18:12 PM,27.567,86.1,,,,,
9,10/23/24 03:19:12 PM,27.862,247.6,,,,,
10,10/23/24 03:20:12 PM,27.665,279.9,,,,,
11,10/23/24 03:21:12 PM,27.370,290.6,,,,,
12,10/23/24 03:22:12 PM,27.075,279.9,,,,,
13,10/23/24 03:23:12 PM,26.879,139.9,,,,,
14,10/23/24 03:24:12 PM,27.173,549.0,,,,,
15,10/23/24 03:25:12 PM,30.154,37200.2,,,,,
16,10/23/24 03:26:12 PM,30.659,176356.7,,,,,
17,10/23/24 03:27:12 PM,32.704,159823.3,,,,,
18,10/23/24 03:28:12 PM,34.903,137778.7,,,,,
19,10/23/24 03:29:12 PM,36.837,88178.4,,,,,
20,10/23/24 03:30:12 PM,38.046,26178.0,,,,,
21,10/23/24 03:31:12 PM,38.714,16533.4,,,,,
22,10/23/24 03:32:12 PM,40.300,176356.7,,,,,
23,10/23/24 03:33:12 PM,42.401,220445.9,,,,,
24,10/23/24 03:34:12 PM,43.601,231468.2,,,,,
25,10/23/24 03:35:12 PM,45.577,187379.0,,,,,
26,10/23/24 03:36:12 PM,45.452,11711.2,,,,,
27,10/23/24 03:37:12 PM,44.580,11711.2,,,,,
28,10/23/24 03:38:12 PM,45.326,99200.7,,,,,
29,10/23/24 03:39:12 PM,46.337,121245.2,,,,,
30,10/23/24 03:40:12 PM,47.368,93689.5,,,,,
31,10/23/24 03:41:12 PM,48.421,93689.5,,,,,
32,10/23/24 03:42:12 PM,48.955,132267.5,,,,,
33,10/23/24 03:43:12 PM,48.023,6544.5,,,,,
34,10/23/24 03:44:12 PM,47.109,3444.5,,,,,
35,10/23/24 03:45:12 PM,45.829,6200.0,,,,,
36,10/23/24 03:46:12 PM,44.334,8611.2,,,,,
37,10/23/24 03:47:12 PM,43.118,4477.8,,,,,
38,10/23/24 03:48:12 PM,41.928,3616.7,,,,,
39,10/23/24 03:49:12 PM,40.761,11022.3,,,,,
40,10/23/24 03:50:12 PM,39.729,6200.0,,,,,
41,10/23/24 03:51:12 PM,38.938,6544.5,,,,,
42,10/23/24 03:52:12 PM,38.268,5511.1,,,,,
43,10/23/24 03:53:12 PM,37.494,8266.7,,,,,
44,10/23/24 03:54:12 PM,36.837,10333.4,,,,,
45,10/23/24 03:55:12 PM,36.837,4994.5,,,,,
46,10/23/24 03:56:12 PM,36.837,4650.0,,,,,
47,10/23/24 03:57:12 PM,36.187,4822.3,,,,,
48,10/23/24 03:58:12 PM,35.649,3788.9,,,,,
49,10/23/24 03:59:12 PM,35.115,3272.2,,,,,
50,10/23/24 04:00:12 PM,34.585,3444.5,,,,,
51,10/23/24 04:01:12 PM,33.953,4133.4,,,,,
