"Plot Title: light3"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798870, SEN S/N: 21798870)","Intensity, Lux (LGR S/N: 21798870, SEN S/N: 21798870)","Coupler Detached (LGR S/N: 21798870)","Host Connected (LGR S/N: 21798870)","Coupler Attached (LGR S/N: 21798870)","Stopped (LGR S/N: 21798870)","End Of File (LGR S/N: 21798870)"
1,10/23/24 03:11:20 PM,27.272,32.3,,,,,
2,10/23/24 03:11:27 PM,,,Logged,,,,
3,10/23/24 03:12:20 PM,27.370,1636.1,,,,,
4,10/23/24 03:13:20 PM,27.370,1377.8,,,,,
5,10/23/24 03:14:20 PM,27.370,1636.1,,,,,
6,10/23/24 03:15:20 PM,27.370,1119.5,,,,,
7,10/23/24 03:16:20 PM,27.272,958.0,,,,,
8,10/23/24 03:17:20 PM,27.272,1894.5,,,,,
9,10/23/24 03:18:20 PM,27.567,785.8,,,,,
10,10/23/24 03:19:20 PM,27.764,441.3,,,,,
11,10/23/24 03:20:20 PM,27.468,484.4,,,,,
12,10/23/24 03:21:20 PM,27.173,505.9,,,,,
13,10/23/24 03:22:20 PM,26.879,462.9,,,,,
14,10/23/24 03:23:20 PM,26.585,172.2,,,,,
15,10/23/24 03:24:20 PM,27.173,581.3,,,,,
16,10/23/24 03:25:20 PM,31.268,10677.8,,,,,
17,10/23/24 03:26:20 PM,29.953,2411.1,,,,,
18,10/23/24 03:27:20 PM,30.862,2497.2,,,,,
19,10/23/24 03:28:20 PM,32.086,2583.4,,,,,
20,10/23/24 03:29:20 PM,33.222,2411.1,,,,,
21,10/23/24 03:30:20 PM,34.796,198401.3,,,,,
22,10/23/24 03:31:20 PM,35.971,19977.9,,,,,
23,10/23/24 03:32:20 PM,37.165,42711.4,,,,,
24,10/23/24 03:33:20 PM,38.379,39955.8,,,,,
25,10/23/24 03:34:20 PM,39.389,37200.2,,,,,
26,10/23/24 03:35:20 PM,40.530,82667.2,,,,,
27,10/23/24 03:36:20 PM,41.225,18600.1,,,,,
28,10/23/24 03:37:20 PM,41.108,12400.1,,,,,
29,10/23/24 03:38:20 PM,41.225,41333.6,,,,,
30,10/23/24 03:39:20 PM,41.575,37200.2,,,,,
31,10/23/24 03:40:20 PM,42.046,41333.6,,,,,
32,10/23/24 03:41:20 PM,42.401,16533.4,,,,,
33,10/23/24 03:42:20 PM,43.359,187379.0,,,,,
34,10/23/24 03:43:20 PM,43.844,24800.2,,,,,
35,10/23/24 03:44:20 PM,44.211,176356.7,,,,,
36,10/23/24 03:45:20 PM,43.480,126756.4,,,,,
37,10/23/24 03:46:20 PM,42.401,13089.0,,,,,
38,10/23/24 03:47:20 PM,41.928,187379.0,,,,,
39,10/23/24 03:48:20 PM,40.876,176356.7,,,,,
40,10/23/24 03:49:20 PM,40.071,137778.7,,,,,
41,10/23/24 03:50:20 PM,40.071,154312.1,,,,,
42,10/23/24 03:51:20 PM,39.729,220445.9,,,,,
43,10/23/24 03:52:20 PM,39.389,24800.2,,,,,
44,10/23/24 03:53:20 PM,38.379,37200.2,,,,,
45,10/23/24 03:54:20 PM,38.046,38578.0,,,,,
46,10/23/24 03:55:20 PM,38.268,24800.2,,,,,
47,10/23/24 03:56:20 PM,38.826,176356.7,,,,,
48,10/23/24 03:57:20 PM,39.729,23422.4,,,,,
49,10/23/24 03:58:20 PM,39.615,22044.6,,,,,
50,10/23/24 03:59:20 PM,39.050,24800.2,,,,,
51,10/23/24 04:00:20 PM,38.490,15844.5,,,,,
52,10/23/24 04:01:20 PM,37.714,14466.8,,,,,
53,10/23/24 04:02:20 PM,37.935,49600.3,,,,,
54,10/23/24 04:03:20 PM,37.604,88178.4,,,,,
55,10/23/24 04:04:20 PM,37.274,18600.1,,,,,
56,10/23/24 04:05:20 PM,37.494,148801.0,,,,,
57,10/23/24 04:06:20 PM,38.046,26178.0,,,,,
58,10/23/24 04:07:20 PM,37.604,132267.5,,,,,
59,10/23/24 04:08:20 PM,37.935,159823.3,,,,,
60,10/23/24 04:09:20 PM,38.268,198401.3,,,,,
61,10/23/24 04:10:20 PM,38.826,165334.4,,,,,
62,10/23/24 04:11:20 PM,38.046,68889.3,,,,,
63,10/23/24 04:12:20 PM,34.691,7577.8,,,,,
64,10/23/24 04:13:20 PM,32.704,850.4,,,,,
65,10/23/24 04:14:20 PM,31.370,8266.7,,,,,
66,10/23/24 04:15:20 PM,30.659,5166.7,,,,,
67,10/23/24 04:16:20 PM,30.154,4822.3,,,,,
68,10/23/24 04:17:20 PM,29.853,5511.1,,,,,
69,10/23/24 04:18:20 PM,29.652,5338.9,,,,,
70,10/23/24 04:19:20 PM,29.552,14466.8,,,,,
71,10/23/24 04:20:20 PM,29.452,7577.8,,,,,
72,10/23/24 04:21:20 PM,29.452,5166.7,,,,,
73,10/23/24 04:22:20 PM,29.452,4305.6,,,,,
74,10/23/24 04:23:20 PM,29.352,5338.9,,,,,
75,10/23/24 04:24:20 PM,29.252,4822.3,,,,,
76,10/23/24 04:25:20 PM,29.352,6544.5,,,,,
77,10/23/24 04:26:20 PM,29.352,9644.5,,,,,
78,10/23/24 04:27:20 PM,29.352,7233.4,,,,,
79,10/23/24 04:28:20 PM,29.452,9300.1,,,,,
80,10/23/24 04:29:20 PM,29.452,8266.7,,,,,
81,10/23/24 04:30:20 PM,29.552,9644.5,,,,,
82,10/23/24 04:31:20 PM,29.552,6200.0,,,,,
83,10/23/24 04:32:20 PM,29.552,7577.8,,,,,
84,10/23/24 04:33:20 PM,29.552,10677.8,,,,,
85,10/23/24 04:34:20 PM,29.552,7577.8,,,,,
86,10/23/24 04:35:20 PM,29.552,8611.2,,,,,
87,10/23/24 04:36:20 PM,29.552,9300.1,,,,,
