"Plot Title: light1"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798886, SEN S/N: 21798886)","Intensity, Lux (LGR S/N: 21798886, SEN S/N: 21798886)","Coupler Detached (LGR S/N: 21798886)","Host Connected (LGR S/N: 21798886)","Coupler Attached (LGR S/N: 21798886)","Stopped (LGR S/N: 21798886)","End Of File (LGR S/N: 21798886)"
1,10/29/24 08:33:33 AM,27.272,419.8,,,,,
2,10/29/24 08:33:37 AM,,,Logged,,,,
3,10/29/24 08:34:33 AM,27.567,6544.5,,,,,
4,10/29/24 08:35:33 AM,27.862,8611.2,,,,,
5,10/29/24 08:36:33 AM,28.357,7233.4,,,,,
6,10/29/24 08:37:33 AM,28.655,6200.0,,,,,
7,10/29/24 08:38:33 AM,28.853,5166.7,,,,,
8,10/29/24 08:39:33 AM,29.252,9300.1,,,,,
9,10/29/24 08:40:33 AM,29.252,3272.2,,,,,
10,10/29/24 08:41:33 AM,29.352,9300.1,,,,,
11,10/29/24 08:42:33 AM,29.452,6544.5,,,,,
12,10/29/24 08:43:33 AM,29.452,6200.0,,,,,
13,10/29/24 08:44:33 AM,29.552,1377.8,,,,,
14,10/29/24 08:45:33 AM,29.552,5166.7,,,,,
15,10/29/24 08:46:33 AM,29.552,8611.2,,,,,
16,10/29/24 08:47:33 AM,29.352,958.0,,,,,
17,10/29/24 08:48:33 AM,29.152,1097.9,,,,,
18,10/29/24 08:49:33 AM,29.152,3272.2,,,,,
19,10/29/24 08:50:33 AM,29.053,818.1,,,,,
20,10/29/24 08:51:33 AM,28.853,570.5,,,,,
21,10/29/24 08:52:33 AM,28.655,452.1,,,,,
22,10/29/24 08:53:33 AM,28.456,462.9,,,,,
23,10/29/24 08:54:33 AM,28.357,484.4,,,,,
24,10/29/24 08:55:33 AM,28.159,516.7,,,,,
25,10/29/24 08:56:33 AM,28.060,495.1,,,,,
26,10/29/24 08:57:33 AM,27.862,538.2,,,,,
27,10/29/24 08:58:33 AM,27.764,581.3,,,,,
28,10/29/24 08:59:33 AM,27.665,796.5,,,,,
29,10/29/24 09:00:33 AM,27.567,2325.0,,,,,
30,10/29/24 09:01:33 AM,27.862,2152.8,,,,,
31,10/29/24 09:02:33 AM,27.961,1313.2,,,,,
32,10/29/24 09:03:33 AM,27.961,570.5,,,,,
33,10/29/24 09:04:33 AM,27.862,667.4,,,,,
34,10/29/24 09:05:33 AM,27.665,925.7,,,,,
35,10/29/24 09:06:33 AM,27.665,2411.1,,,,,
36,10/29/24 09:07:33 AM,27.567,1054.9,,,,,
37,10/29/24 09:08:33 AM,27.468,990.3,,,,,
38,10/29/24 09:09:33 AM,27.370,2411.1,,,,,
39,10/29/24 09:10:33 AM,27.272,1722.2,,,,,
40,10/29/24 09:11:33 AM,27.272,925.7,,,,,
41,10/29/24 09:12:33 AM,27.173,602.8,,,,,
42,10/29/24 09:13:33 AM,27.075,613.5,,,,,
43,10/29/24 09:14:33 AM,26.977,710.4,,,,,
44,10/29/24 09:15:33 AM,26.977,1205.6,,,,,
45,10/29/24 09:16:33 AM,26.879,958.0,,,,,
46,10/29/24 09:17:33 AM,26.879,1194.8,,,,,
47,10/29/24 09:18:33 AM,26.879,2066.7,,,,,
48,10/29/24 09:19:33 AM,26.977,2066.7,,,,,
49,10/29/24 09:20:33 AM,26.977,1636.1,,,,,
50,10/29/24 09:21:33 AM,26.977,1302.4,,,,,
51,10/29/24 09:22:33 AM,26.977,1722.2,,,,,
52,10/29/24 09:23:33 AM,26.977,1808.3,,,,,
53,10/29/24 09:24:33 AM,26.977,1377.8,,,,,
54,10/29/24 09:25:33 AM,26.977,1087.2,,,,,
55,10/29/24 09:26:33 AM,26.977,1334.7,,,,,
56,10/29/24 09:27:33 AM,26.977,1377.8,,,,,
57,10/29/24 09:28:33 AM,26.977,1808.3,,,,,
58,10/29/24 09:29:33 AM,26.977,1377.8,,,,,
59,10/29/24 09:30:33 AM,26.977,1550.0,,,,,
60,10/29/24 09:31:33 AM,26.977,1044.1,,,,,
61,10/29/24 09:32:33 AM,26.879,796.5,,,,,
62,10/29/24 09:33:33 AM,26.879,861.1,,,,,
63,10/29/24 09:34:33 AM,26.879,1022.6,,,,,
64,10/29/24 09:35:33 AM,26.879,1636.1,,,,,
65,10/29/24 09:36:33 AM,26.879,1463.9,,,,,
66,10/29/24 09:37:33 AM,26.879,1151.7,,,,,
67,10/29/24 09:38:33 AM,26.879,1334.7,,,,,
68,10/29/24 09:39:33 AM,26.879,1636.1,,,,,
69,10/29/24 09:40:33 AM,26.879,1722.2,,,,,
70,10/29/24 09:41:33 AM,26.879,1377.8,,,,,
71,10/29/24 09:42:33 AM,26.977,1463.9,,,,,
72,10/29/24 09:43:33 AM,26.977,1097.9,,,,,
73,10/29/24 09:44:33 AM,26.977,968.8,,,,,
74,10/29/24 09:45:33 AM,26.879,936.5,,,,,
75,10/29/24 09:46:33 AM,26.879,1076.4,,,,,
76,10/29/24 09:47:33 AM,26.879,1463.9,,,,,
77,10/29/24 09:48:33 AM,26.879,1550.0,,,,,
78,10/29/24 09:49:33 AM,26.977,1550.0,,,,,
79,10/29/24 09:50:33 AM,26.977,1636.1,,,,,
80,10/29/24 09:51:33 AM,26.977,1356.3,,,,,
81,10/29/24 09:52:33 AM,26.977,1463.9,,,,,
82,10/29/24 09:53:33 AM,26.977,1184.0,,,,,
83,10/29/24 09:54:33 AM,26.977,1313.2,,,,,
84,10/29/24 09:55:33 AM,26.977,1324.0,,,,,
85,10/29/24 09:56:33 AM,26.977,1022.6,,,,,
86,10/29/24 09:57:33 AM,27.075,1151.7,,,,,
87,10/29/24 09:58:33 AM,26.977,731.9,,,,,
88,10/29/24 09:59:33 AM,26.977,818.1,,,,,
89,10/29/24 10:00:33 AM,26.977,828.8,,,,,
90,10/29/24 10:01:33 AM,26.977,215.3,,,,,
91,10/29/24 10:02:33 AM,26.781,247.6,,,,,
92,10/29/24 10:03:33 AM,26.585,258.3,,,,,
93,10/29/24 10:04:33 AM,26.292,236.8,,,,,
94,10/29/24 10:05:33 AM,26.097,247.6,,,,,
95,10/29/24 10:06:33 AM,25.902,226.0,,,,,
96,10/29/24 10:07:33 AM,25.708,430.6,,,,,
97,10/29/24 10:08:33 AM,25.513,247.6,,,,,
98,10/29/24 10:09:33 AM,25.416,322.9,,,,,
99,10/29/24 10:10:33 AM,25.319,441.3,,,,,
100,10/29/24 10:11:33 AM,25.416,13089.0,,,,,
101,10/29/24 10:12:33 AM,26.390,110223.0,,,,,
102,10/29/24 10:13:33 AM,28.357,26178.0,,,,,
103,10/29/24 10:14:33 AM,28.853,18600.1,,,,,
104,10/29/24 10:15:33 AM,29.352,18600.1,,,,,
105,10/29/24 10:16:33 AM,30.154,38578.0,,,,,
106,10/29/24 10:17:33 AM,30.457,22044.6,,,,,
107,10/29/24 10:18:33 AM,30.862,13777.9,,,,,
108,10/29/24 10:19:33 AM,31.166,20666.8,,,,,
109,10/29/24 10:20:33 AM,31.778,42711.4,,,,,
110,10/29/24 10:21:33 AM,32.704,88178.4,,,,,
111,10/29/24 10:22:33 AM,34.058,82667.2,,,,,
112,10/29/24 10:23:33 AM,35.435,79911.6,,,,,
113,10/29/24 10:24:33 AM,36.837,18600.1,,,,,
114,10/29/24 10:25:33 AM,37.604,18600.1,,,,,
115,10/29/24 10:26:33 AM,38.046,18600.1,,,,,
116,10/29/24 10:27:33 AM,38.379,52355.9,,,,,
117,10/29/24 10:28:33 AM,39.163,34444.7,,,,,
118,10/29/24 10:29:33 AM,39.957,143289.8,,,,,
119,10/29/24 10:30:33 AM,41.225,121245.2,,,,,
120,10/29/24 10:31:33 AM,42.520,88178.4,,,,,
121,10/29/24 10:32:33 AM,43.118,26178.0,,,,,
122,10/29/24 10:33:33 AM,43.601,16533.4,,,,,
123,10/29/24 10:34:33 AM,43.601,22044.6,,,,,
124,10/29/24 10:35:33 AM,43.238,30311.3,,,,,
125,10/29/24 10:36:33 AM,42.998,26178.0,,,,,
126,10/29/24 10:37:33 AM,42.878,33066.9,,,,,
127,10/29/24 10:38:33 AM,42.878,26178.0,,,,,
128,10/29/24 10:39:33 AM,42.878,35822.5,,,,,
129,10/29/24 10:40:33 AM,43.118,26178.0,,,,,
130,10/29/24 10:41:33 AM,43.238,22044.6,,,,,
131,10/29/24 10:42:33 AM,43.118,30311.3,,,,,
132,10/29/24 10:43:33 AM,43.359,35822.5,,,,,
133,10/29/24 10:44:33 AM,43.966,22044.6,,,,,
134,10/29/24 10:45:33 AM,44.211,20666.8,,,,,
135,10/29/24 10:46:33 AM,45.076,126756.4,,,,,
136,10/29/24 10:47:33 AM,45.956,57867.0,,,,,
137,10/29/24 10:48:33 AM,46.210,30311.3,,,,,
138,10/29/24 10:49:33 AM,46.337,23422.4,,,,,
139,10/29/24 10:50:33 AM,46.465,71644.9,,,,,
140,10/29/24 10:51:33 AM,47.368,99200.7,,,,,
141,10/29/24 10:52:33 AM,47.499,23422.4,,,,,
142,10/29/24 10:53:33 AM,47.368,24800.2,,,,,
143,10/29/24 10:54:33 AM,46.850,24800.2,,,,,
144,10/29/24 10:55:33 AM,46.337,30311.3,,,,,
145,10/29/24 10:56:33 AM,45.829,24800.2,,,,,
146,10/29/24 10:57:33 AM,45.326,30311.3,,,,,
147,10/29/24 10:58:33 AM,44.952,24800.2,,,,,
148,10/29/24 10:59:33 AM,44.704,44089.2,,,,,
149,10/29/24 11:00:33 AM,44.334,37200.2,,,,,
150,10/29/24 11:01:33 AM,44.211,28933.5,,,,,
151,10/29/24 11:02:33 AM,44.089,33066.9,,,,,
152,10/29/24 11:03:33 AM,43.966,39955.8,,,,,
153,10/29/24 11:04:33 AM,43.844,26178.0,,,,,
154,10/29/24 11:05:33 AM,43.844,31689.1,,,,,
155,10/29/24 11:06:33 AM,43.723,35822.5,,,,,
156,10/29/24 11:07:33 AM,43.601,63378.2,,,,,
157,10/29/24 11:08:33 AM,43.844,31689.1,,,,,
158,10/29/24 11:09:33 AM,43.966,115734.1,,,,,
159,10/29/24 11:10:33 AM,44.580,49600.3,,,,,
160,10/29/24 11:11:33 AM,44.704,52355.9,,,,,
161,10/29/24 11:12:33 AM,44.828,37200.2,,,,,
162,10/29/24 11:13:33 AM,45.076,49600.3,,,,,
163,10/29/24 11:14:33 AM,44.828,38578.0,,,,,
164,10/29/24 11:15:33 AM,44.580,35822.5,,,,,
165,10/29/24 11:16:33 AM,44.580,41333.6,,,,,
166,10/29/24 11:17:33 AM,44.334,57867.0,,,,,
167,10/29/24 11:18:33 AM,43.966,31689.1,,,,,
168,10/29/24 11:19:33 AM,43.844,14466.8,,,,,
169,10/29/24 11:20:33 AM,43.359,41333.6,,,,,
170,10/29/24 11:21:33 AM,43.359,41333.6,,,,,
171,10/29/24 11:22:33 AM,38.157,871.9,,,,,
172,10/29/24 11:23:33 AM,33.953,3100.0,,,,,
173,10/29/24 11:24:33 AM,31.574,5166.7,,,,,
174,10/29/24 11:25:33 AM,30.054,387.5,,,,,
175,10/29/24 11:26:33 AM,29.152,183.0,,,,,
176,10/29/24 11:27:33 AM,28.754,204.5,,,,,
177,10/29/24 11:28:33 AM,28.456,183.0,,,,,
178,10/29/24 11:29:33 AM,28.555,527.4,,,,,
179,10/29/24 11:30:33 AM,28.357,183.0,,,,,
180,10/29/24 11:31:33 AM,28.555,430.6,,,,,
181,10/29/24 11:32:33 AM,28.853,484.4,,,,,
182,10/29/24 11:33:33 AM,29.053,570.5,,,,,
183,10/29/24 11:34:33 AM,28.953,409.0,,,,,
184,10/29/24 11:35:33 AM,28.754,376.7,,,,,
185,10/29/24 11:36:33 AM,28.555,193.8,,,,,
186,10/29/24 11:37:33 AM,28.555,366.0,,,,,
187,10/29/24 11:38:33 AM,28.853,419.8,,,,,
188,10/29/24 11:39:33 AM,28.953,344.4,,,,,
189,10/29/24 11:40:33 AM,29.053,376.7,,,,,
190,10/29/24 11:41:33 AM,28.953,430.6,,,,,
191,10/29/24 11:42:33 AM,29.252,516.7,,,,,
192,10/29/24 11:43:33 AM,29.352,290.6,,,,,
193,10/29/24 11:44:33 AM,29.452,441.3,,,,,
194,10/29/24 11:45:33 AM,29.552,398.3,,,,,
195,10/29/24 11:46:33 AM,29.652,484.4,,,,,
196,10/29/24 11:47:33 AM,29.552,387.5,,,,,
197,10/29/24 11:48:33 AM,29.652,409.0,,,,,
198,10/29/24 11:49:33 AM,29.752,452.1,,,,,
199,10/29/24 11:50:33 AM,29.752,398.3,,,,,
200,10/29/24 11:51:33 AM,29.752,419.8,,,,,
201,10/29/24 11:52:33 AM,29.352,204.5,,,,,
202,10/29/24 11:53:33 AM,29.352,505.9,,,,,
203,10/29/24 11:54:33 AM,29.252,215.3,,,,,
204,10/29/24 11:55:33 AM,28.953,215.3,,,,,
205,10/29/24 11:56:33 AM,28.655,958.0,,,,,
206,10/29/24 11:57:33 AM,28.555,559.7,,,,,
207,10/29/24 11:58:33 AM,28.655,624.3,,,,,
208,10/29/24 11:59:33 AM,28.555,990.3,,,,,
209,10/29/24 12:00:33 PM,28.754,1001.0,,,,,
210,10/29/24 12:01:33 PM,28.853,914.9,,,,,
211,10/29/24 12:02:33 PM,28.754,398.3,,,,,
212,10/29/24 12:03:33 PM,28.456,322.9,,,,,
213,10/29/24 12:04:33 PM,28.357,312.2,,,,,
214,10/29/24 12:05:33 PM,28.258,258.3,,,,,
215,10/29/24 12:06:33 PM,28.258,893.4,,,,,
216,10/29/24 12:07:33 PM,28.258,139.9,,,,,
217,10/29/24 12:08:33 PM,28.060,75.3,,,,,
218,10/29/24 12:09:33 PM,27.961,1097.9,,,,,
219,10/29/24 12:10:33 PM,27.862,0.0,,,,,
220,10/29/24 12:11:33 PM,27.764,0.0,,,,,
221,10/29/24 12:12:33 PM,27.665,0.0,,,,,
222,10/29/24 12:13:33 PM,27.567,0.0,,,,,
223,10/29/24 12:14:33 PM,27.567,0.0,,,,,
224,10/29/24 12:15:33 PM,27.567,0.0,,,,,
225,10/29/24 12:16:33 PM,27.567,0.0,,,,,
226,10/29/24 12:17:33 PM,27.567,0.0,,,,,
227,10/29/24 12:18:33 PM,27.567,0.0,,,,,
228,10/29/24 12:19:33 PM,27.567,0.0,,,,,
229,10/29/24 12:20:33 PM,27.567,0.0,,,,,
230,10/29/24 12:21:33 PM,27.567,0.0,,,,,
231,10/29/24 12:22:33 PM,27.567,0.0,,,,,
232,10/29/24 12:23:33 PM,27.567,0.0,,,,,
233,10/29/24 12:24:33 PM,27.567,0.0,,,,,
234,10/29/24 12:25:33 PM,27.567,0.0,,,,,
235,10/29/24 12:26:33 PM,27.567,0.0,,,,,
236,10/29/24 12:27:33 PM,27.567,0.0,,,,,
237,10/29/24 12:28:33 PM,27.567,0.0,,,,,
238,10/29/24 12:29:33 PM,27.567,0.0,,,,,
239,10/29/24 12:30:33 PM,27.567,0.0,,,,,
240,10/29/24 12:31:33 PM,27.567,0.0,,,,,
241,10/29/24 12:32:33 PM,27.567,0.0,,,,,
242,10/29/24 12:33:33 PM,27.567,0.0,,,,,
243,10/29/24 12:34:33 PM,27.567,0.0,,,,,
244,10/29/24 12:35:33 PM,27.665,764.2,,,,,
245,10/29/24 12:36:33 PM,27.862,5166.7,,,,,
246,10/29/24 12:37:33 PM,28.555,74400.5,,,,,
247,10/29/24 12:38:33 PM,29.552,66133.8,,,,,
248,10/29/24 12:39:33 PM,30.558,66133.8,,,,,
249,10/29/24 12:40:33 PM,31.268,57867.0,,,,,
250,10/29/24 12:41:33 PM,31.880,57867.0,,,,,
251,10/29/24 12:42:33 PM,32.497,52355.9,,,,,
252,10/29/24 12:43:33 PM,32.911,49600.3,,,,,
253,10/29/24 12:44:33 PM,33.222,41333.6,,,,,
254,10/29/24 12:45:33 PM,33.535,42711.4,,,,,
255,10/29/24 12:46:33 PM,33.848,44089.2,,,,,
256,10/29/24 12:47:33 PM,34.058,41333.6,,,,,
257,10/29/24 12:48:33 PM,34.163,44089.2,,,,,
258,10/29/24 12:49:33 PM,34.268,52355.9,,,,,
259,10/29/24 12:50:33 PM,34.268,42711.4,,,,,
260,10/29/24 12:51:33 PM,34.374,44089.2,,,,,
261,10/29/24 12:52:33 PM,34.585,49600.3,,,,,
262,10/29/24 12:53:33 PM,34.691,31689.1,,,,,
263,10/29/24 12:54:33 PM,34.691,33066.9,,,,,
264,10/29/24 12:55:33 PM,34.691,34444.7,,,,,
265,10/29/24 12:56:33 PM,34.691,38578.0,,,,,
266,10/29/24 12:57:33 PM,34.796,42711.4,,,,,
267,10/29/24 12:58:33 PM,34.903,46844.8,,,,,
268,10/29/24 12:59:33 PM,35.115,52355.9,,,,,
269,10/29/24 01:00:33 PM,35.328,55111.5,,,,,
270,10/29/24 01:01:33 PM,35.649,60622.6,,,,,
271,10/29/24 01:02:33 PM,35.864,46844.8,,,,,
272,10/29/24 01:03:33 PM,36.079,49600.3,,,,,
273,10/29/24 01:04:33 PM,36.187,55111.5,,,,,
274,10/29/24 01:05:33 PM,36.295,38578.0,,,,,
275,10/29/24 01:06:33 PM,36.403,42711.4,,,,,
276,10/29/24 01:07:33 PM,36.403,49600.3,,,,,
277,10/29/24 01:08:33 PM,36.620,99200.7,,,,,
278,10/29/24 01:09:33 PM,36.620,37200.2,,,,,
279,10/29/24 01:10:33 PM,36.511,31689.1,,,,,
280,10/29/24 01:11:33 PM,36.295,31689.1,,,,,
281,10/29/24 01:12:33 PM,36.187,27555.7,,,,,
282,10/29/24 01:13:33 PM,36.295,46844.8,,,,,
283,10/29/24 01:14:33 PM,36.728,82667.2,,,,,
284,10/29/24 01:15:33 PM,37.274,99200.7,,,,,
285,10/29/24 01:16:33 PM,37.824,77156.1,,,,,
286,10/29/24 01:17:33 PM,38.379,115734.1,,,,,
287,10/29/24 01:18:33 PM,38.938,99200.7,,,,,
288,10/29/24 01:19:33 PM,39.502,82667.2,,,,,
289,10/29/24 01:20:33 PM,39.843,115734.1,,,,,
290,10/29/24 01:21:33 PM,40.071,57867.0,,,,,
291,10/29/24 01:22:33 PM,39.843,52355.9,,,,,
292,10/29/24 01:23:33 PM,40.185,143289.8,,,,,
293,10/29/24 01:24:33 PM,40.071,66133.8,,,,,
294,10/29/24 01:25:33 PM,40.300,93689.5,,,,,
295,10/29/24 01:26:33 PM,40.415,82667.2,,,,,
296,10/29/24 01:27:33 PM,40.415,42711.4,,,,,
297,10/29/24 01:28:33 PM,40.185,68889.3,,,,,
298,10/29/24 01:29:33 PM,40.071,38578.0,,,,,
299,10/29/24 01:30:33 PM,39.957,38578.0,,,,,
300,10/29/24 01:31:33 PM,39.389,1054.9,,,,,
301,10/29/24 01:32:33 PM,38.379,1377.8,,,,,
302,10/29/24 01:33:33 PM,36.946,1463.9,,,,,
303,10/29/24 01:34:33 PM,35.649,1550.0,,,,,
304,10/29/24 01:35:33 PM,34.479,1550.0,,,,,
305,10/29/24 01:36:33 PM,33.535,1550.0,,,,,
306,10/29/24 01:37:33 PM,32.704,1550.0,,,,,
307,10/29/24 01:38:33 PM,31.983,1550.0,,,,,
308,10/29/24 01:39:33 PM,31.472,1550.0,,,,,
309,10/29/24 01:40:33 PM,30.963,1722.2,,,,,
310,10/29/24 01:41:33 PM,30.659,2066.7,,,,,
311,10/29/24 01:42:33 PM,30.356,2497.2,,,,,
312,10/29/24 01:43:33 PM,30.154,2927.8,,,,,
313,10/29/24 01:44:33 PM,30.054,2927.8,,,,,
314,10/29/24 01:45:33 PM,29.853,2325.0,,,,,
315,10/29/24 01:46:33 PM,29.752,1980.6,,,,,
316,10/29/24 01:47:33 PM,29.652,1980.6,,,,,
317,10/29/24 01:48:33 PM,29.552,2238.9,,,,,
318,10/29/24 01:49:33 PM,29.552,2583.4,,,,,
319,10/29/24 01:50:33 PM,29.452,2066.7,,,,,
320,10/29/24 01:51:33 PM,29.452,1980.6,,,,,
321,10/29/24 01:52:33 PM,29.452,2583.4,,,,,
322,10/29/24 01:53:33 PM,29.452,2497.2,,,,,
323,10/29/24 01:54:33 PM,29.352,2927.8,,,,,
324,10/29/24 01:55:33 PM,29.352,2411.1,,,,,
325,10/29/24 01:56:33 PM,29.352,2152.8,,,,,
326,10/29/24 01:57:33 PM,29.352,1722.2,,,,,
327,10/29/24 01:58:33 PM,29.252,1722.2,,,,,
328,10/29/24 01:59:33 PM,29.252,1722.2,,,,,
329,10/29/24 02:00:33 PM,29.252,1636.1,,,,,
330,10/29/24 02:01:33 PM,29.152,1808.3,,,,,
331,10/29/24 02:02:33 PM,29.152,1808.3,,,,,
332,10/29/24 02:03:33 PM,29.152,2066.7,,,,,
333,10/29/24 02:04:33 PM,29.152,1808.3,,,,,
334,10/29/24 02:05:33 PM,29.053,1808.3,,,,,
335,10/29/24 02:06:33 PM,29.053,1808.3,,,,,
336,10/29/24 02:07:33 PM,29.053,1808.3,,,,,
337,10/29/24 02:08:33 PM,28.953,1808.3,,,,,
338,10/29/24 02:09:33 PM,28.953,1722.2,,,,,
339,10/29/24 02:10:33 PM,28.953,1722.2,,,,,
340,10/29/24 02:11:33 PM,28.853,1808.3,,,,,
341,10/29/24 02:12:33 PM,28.853,1808.3,,,,,
342,10/29/24 02:13:33 PM,28.853,1894.5,,,,,
343,10/29/24 02:14:33 PM,28.853,2066.7,,,,,
344,10/29/24 02:15:33 PM,28.853,1980.6,,,,,
345,10/29/24 02:16:33 PM,28.853,2066.7,,,,,
346,10/29/24 02:17:33 PM,28.853,1980.6,,,,,
347,10/29/24 02:18:33 PM,28.853,2066.7,,,,,
348,10/29/24 02:19:33 PM,28.853,2152.8,,,,,
349,10/29/24 02:20:33 PM,28.953,2238.9,,,,,
350,10/29/24 02:21:33 PM,28.953,2238.9,,,,,
