"Plot Title: light1"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798886, SEN S/N: 21798886)","Intensity, Lux (LGR S/N: 21798886, SEN S/N: 21798886)","Coupler Detached (LGR S/N: 21798886)","Host Connected (LGR S/N: 21798886)","Coupler Attached (LGR S/N: 21798886)","Stopped (LGR S/N: 21798886)","End Of File (LGR S/N: 21798886)"
1,11/05/24 02:45:05 PM,27.370,43.1,,,,,
2,11/05/24 02:45:10 PM,,,Logged,,,,
3,11/05/24 02:46:05 PM,27.468,1550.0,,,,,
4,11/05/24 02:47:05 PM,27.468,1550.0,,,,,
5,11/05/24 02:48:05 PM,27.567,1463.9,,,,,
6,11/05/24 02:49:05 PM,27.567,1291.7,,,,,
7,11/05/24 02:50:05 PM,27.665,2066.7,,,,,
8,11/05/24 02:51:05 PM,27.961,1722.2,,,,,
9,11/05/24 02:52:05 PM,27.961,1173.3,,,,,
10,11/05/24 02:53:05 PM,27.862,473.6,,,,,
11,11/05/24 02:54:05 PM,27.764,387.5,,,,,
12,11/05/24 02:55:05 PM,27.567,462.9,,,,,
13,11/05/24 02:56:05 PM,27.370,538.2,,,,,
14,11/05/24 02:57:05 PM,27.272,430.6,,,,,
15,11/05/24 02:58:05 PM,27.075,366.0,,,,,
16,11/05/24 02:59:05 PM,27.173,52355.9,,,,,
17,11/05/24 03:00:05 PM,27.567,24800.2,,,,,
18,11/05/24 03:01:05 PM,28.754,19289.0,,,,,
19,11/05/24 03:02:05 PM,29.652,14466.8,,,,,
20,11/05/24 03:03:05 PM,30.457,11711.2,,,,,
21,11/05/24 03:04:05 PM,31.880,55111.5,,,,,
22,11/05/24 03:05:05 PM,33.639,46844.8,,,,,
23,11/05/24 03:06:05 PM,35.115,46844.8,,,,,
24,11/05/24 03:07:05 PM,36.403,46844.8,,,,,
25,11/05/24 03:08:05 PM,37.494,44089.2,,,,,
26,11/05/24 03:09:05 PM,37.604,30311.3,,,,,
27,11/05/24 03:10:05 PM,37.165,24800.2,,,,,
28,11/05/24 03:11:05 PM,36.946,66133.8,,,,,
29,11/05/24 03:12:05 PM,36.946,55111.5,,,,,
30,11/05/24 03:13:05 PM,36.946,82667.2,,,,,
31,11/05/24 03:14:05 PM,36.620,60622.6,,,,,
32,11/05/24 03:15:05 PM,35.864,71644.9,,,,,
33,11/05/24 03:16:05 PM,35.649,74400.5,,,,,
34,11/05/24 03:17:05 PM,35.222,60622.6,,,,,
35,11/05/24 03:18:05 PM,34.691,52355.9,,,,,
36,11/05/24 03:19:05 PM,34.585,57867.0,,,,,
37,11/05/24 03:20:05 PM,34.691,66133.8,,,,,
38,11/05/24 03:21:05 PM,34.374,52355.9,,,,,
39,11/05/24 03:22:05 PM,34.268,49600.3,,,,,
40,11/05/24 03:23:05 PM,34.374,55111.5,,,,,
41,11/05/24 03:24:05 PM,34.163,46844.8,,,,,
42,11/05/24 03:25:05 PM,34.374,18600.1,,,,,
43,11/05/24 03:26:05 PM,33.535,10677.8,,,,,
44,11/05/24 03:27:05 PM,35.435,88178.4,,,,,
45,11/05/24 03:28:05 PM,37.165,187379.0,,,,,
46,11/05/24 03:29:05 PM,38.268,187379.0,,,,,
47,11/05/24 03:30:05 PM,38.602,137778.7,,,,,
48,11/05/24 03:31:05 PM,38.714,148801.0,,,,,
49,11/05/24 03:32:05 PM,38.602,121245.2,,,,,
50,11/05/24 03:33:05 PM,38.268,104711.8,,,,,
51,11/05/24 03:34:05 PM,37.935,68889.3,,,,,
52,11/05/24 03:35:05 PM,38.379,110223.0,,,,,
53,11/05/24 03:36:05 PM,39.163,187379.0,,,,,
54,11/05/24 03:37:05 PM,38.714,19289.0,,,,,
55,11/05/24 03:38:05 PM,39.163,115734.1,,,,,
56,11/05/24 03:39:05 PM,37.494,4822.3,,,,,
57,11/05/24 03:40:05 PM,34.163,11022.3,,,,,
58,11/05/24 03:41:05 PM,32.188,5511.1,,,,,
59,11/05/24 03:42:05 PM,30.862,7577.8,,,,,
60,11/05/24 03:43:05 PM,30.054,15844.5,,,,,
61,11/05/24 03:44:05 PM,29.652,6200.0,,,,,
62,11/05/24 03:45:05 PM,29.452,8611.2,,,,,
63,11/05/24 03:46:05 PM,29.252,16533.4,,,,,
64,11/05/24 03:47:05 PM,29.152,14466.8,,,,,
65,11/05/24 03:48:05 PM,29.152,6544.5,,,,,
66,11/05/24 03:49:05 PM,29.053,3961.1,,,,,
67,11/05/24 03:50:05 PM,29.053,6544.5,,,,,
68,11/05/24 03:51:05 PM,29.053,5511.1,,,,,
69,11/05/24 03:52:05 PM,28.953,5166.7,,,,,
70,11/05/24 03:53:05 PM,28.953,2927.8,,,,,
71,11/05/24 03:54:05 PM,28.853,9300.1,,,,,
72,11/05/24 03:55:05 PM,28.953,8266.7,,,,,
73,11/05/24 03:56:05 PM,29.053,9644.5,,,,,
74,11/05/24 03:57:05 PM,29.053,10333.4,,,,,
75,11/05/24 03:58:05 PM,29.053,7233.4,,,,,
76,11/05/24 03:59:05 PM,29.053,10677.8,,,,,
77,11/05/24 04:00:05 PM,29.053,8611.2,,,,,
78,11/05/24 04:01:05 PM,29.053,3616.7,,,,,
79,11/05/24 04:02:05 PM,29.053,7233.4,,,,,
80,11/05/24 04:03:05 PM,29.053,11022.3,,,,,
81,11/05/24 04:04:05 PM,29.053,4994.5,,,,,
82,11/05/24 04:05:05 PM,29.053,5511.1,,,,,
83,11/05/24 04:06:05 PM,28.953,3616.7,,,,,
84,11/05/24 04:07:05 PM,28.953,6200.0,,,,,
85,11/05/24 04:08:05 PM,28.953,3100.0,,,,,
