"Plot Title: light3"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798870, SEN S/N: 21798870)","Intensity, Lux (LGR S/N: 21798870, SEN S/N: 21798870)","Coupler Detached (LGR S/N: 21798870)","Coupler Attached (LGR S/N: 21798870)","Host Connected (LGR S/N: 21798870)","Stopped (LGR S/N: 21798870)","End Of File (LGR S/N: 21798870)"
1,11/05/24 02:44:43 PM,26.683,32.3,,,,,
2,11/05/24 02:44:49 PM,,,Logged,,,,
3,11/05/24 02:45:43 PM,26.879,1463.9,,,,,
4,11/05/24 02:46:43 PM,26.977,1463.9,,,,,
5,11/05/24 02:47:43 PM,27.173,1173.3,,,,,
6,11/05/24 02:48:43 PM,27.272,1280.9,,,,,
7,11/05/24 02:49:43 PM,27.370,1377.8,,,,,
8,11/05/24 02:50:43 PM,27.370,2927.8,,,,,
9,11/05/24 02:51:43 PM,27.370,2583.4,,,,,
10,11/05/24 02:52:43 PM,27.370,2497.2,,,,,
11,11/05/24 02:53:43 PM,27.272,473.6,,,,,
12,11/05/24 02:54:43 PM,27.075,828.8,,,,,
13,11/05/24 02:55:43 PM,26.879,1162.5,,,,,
14,11/05/24 02:56:43 PM,26.781,1022.6,,,,,
15,11/05/24 02:57:43 PM,26.683,753.5,,,,,
16,11/05/24 02:58:43 PM,26.585,226.0,,,,,
17,11/05/24 02:59:43 PM,26.781,4133.4,,,,,
18,11/05/24 03:00:43 PM,27.961,30311.3,,,,,
19,11/05/24 03:01:43 PM,28.853,13777.9,,,,,
20,11/05/24 03:02:43 PM,29.652,9300.1,,,,,
21,11/05/24 03:03:43 PM,30.558,60622.6,,,,,
22,11/05/24 03:04:43 PM,31.778,26178.0,,,,,
23,11/05/24 03:05:43 PM,32.704,22044.6,,,,,
24,11/05/24 03:06:43 PM,33.639,19977.9,,,,,
25,11/05/24 03:07:43 PM,34.585,21355.7,,,,,
26,11/05/24 03:08:43 PM,34.903,19289.0,,,,,
27,11/05/24 03:09:43 PM,34.691,23422.4,,,,,
