"Plot Title: light2"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798883, SEN S/N: 21798883)","Intensity, Lux (LGR S/N: 21798883, SEN S/N: 21798883)","Coupler Detached (LGR S/N: 21798883)","Coupler Attached (LGR S/N: 21798883)","Host Connected (LGR S/N: 21798883)","Stopped (LGR S/N: 21798883)","End Of File (LGR S/N: 21798883)"
1,11/05/24 02:45:22 PM,26.977,43.1,,,,,
2,11/05/24 02:45:25 PM,,,Logged,,,,
3,11/05/24 02:46:22 PM,27.173,1722.2,,,,,
4,11/05/24 02:47:22 PM,27.272,1550.0,,,,,
5,11/05/24 02:48:22 PM,27.370,1722.2,,,,,
6,11/05/24 02:49:22 PM,27.370,1808.3,,,,,
7,11/05/24 02:50:22 PM,27.567,1980.6,,,,,
8,11/05/24 02:51:22 PM,27.961,1011.8,,,,,
9,11/05/24 02:52:22 PM,28.159,699.7,,,,,
10,11/05/24 02:53:22 PM,28.060,441.3,,,,,
11,11/05/24 02:54:22 PM,27.961,527.4,,,,,
12,11/05/24 02:55:22 PM,27.862,914.9,,,,,
13,11/05/24 02:56:22 PM,27.764,968.8,,,,,
14,11/05/24 02:57:22 PM,27.665,828.8,,,,,
15,11/05/24 02:58:22 PM,27.567,419.8,,,,,
16,11/05/24 02:59:22 PM,27.764,10333.4,,,,,
17,11/05/24 03:00:22 PM,28.555,42711.4,,,,,
18,11/05/24 03:01:22 PM,29.552,24800.2,,,,,
19,11/05/24 03:02:22 PM,30.457,20666.8,,,,,
20,11/05/24 03:03:22 PM,31.166,11022.3,,,,,
21,11/05/24 03:04:22 PM,32.394,55111.5,,,,,
22,11/05/24 03:05:22 PM,33.326,41333.6,,,,,
23,11/05/24 03:06:22 PM,34.163,37200.2,,,,,
24,11/05/24 03:07:22 PM,35.009,39955.8,,,,,
25,11/05/24 03:08:22 PM,35.649,46844.8,,,,,
26,11/05/24 03:09:22 PM,34.374,9644.5,,,,,
27,11/05/24 03:10:22 PM,33.953,15155.7,,,,,
28,11/05/24 03:11:22 PM,33.848,24800.2,,,,,
29,11/05/24 03:12:22 PM,33.743,37200.2,,,,,
30,11/05/24 03:13:22 PM,33.743,30311.3,,,,,
31,11/05/24 03:14:22 PM,33.848,30311.3,,,,,
32,11/05/24 03:15:22 PM,33.848,38578.0,,,,,
33,11/05/24 03:16:22 PM,33.848,35822.5,,,,,
34,11/05/24 03:17:22 PM,33.743,31689.1,,,,,
35,11/05/24 03:18:22 PM,33.639,38578.0,,,,,
36,11/05/24 03:19:22 PM,33.639,49600.3,,,,,
37,11/05/24 03:20:22 PM,33.743,27555.7,,,,,
38,11/05/24 03:21:22 PM,33.535,38578.0,,,,,
39,11/05/24 03:22:22 PM,33.535,37200.2,,,,,
40,11/05/24 03:23:22 PM,33.743,33066.9,,,,,
41,11/05/24 03:24:22 PM,33.535,34444.7,,,,,
42,11/05/24 03:25:22 PM,33.430,14466.8,,,,,
43,11/05/24 03:26:22 PM,32.911,115734.1,,,,,
44,11/05/24 03:27:22 PM,33.743,7577.8,,,,,
45,11/05/24 03:28:22 PM,34.903,6544.5,,,,,
46,11/05/24 03:29:22 PM,35.971,7577.8,,,,,
47,11/05/24 03:30:22 PM,36.837,8611.2,,,,,
48,11/05/24 03:31:22 PM,37.274,5338.9,,,,,
49,11/05/24 03:32:22 PM,37.494,5166.7,,,,,
50,11/05/24 03:33:22 PM,37.165,2669.5,,,,,
51,11/05/24 03:34:22 PM,37.274,5511.1,,,,,
52,11/05/24 03:35:22 PM,38.157,8266.7,,,,,
53,11/05/24 03:36:22 PM,38.157,8266.7,,,,,
54,11/05/24 03:37:22 PM,38.490,7577.8,,,,,
55,11/05/24 03:38:22 PM,39.502,9300.1,,,,,
56,11/05/24 03:39:22 PM,38.938,8266.7,,,,,
57,11/05/24 03:40:22 PM,39.502,7233.4,,,,,
58,11/05/24 03:41:22 PM,40.071,6544.5,,,,,
59,11/05/24 03:42:22 PM,39.615,4133.4,,,,,
60,11/05/24 03:43:22 PM,35.009,2669.5,,,,,
61,11/05/24 03:44:22 PM,32.911,6200.0,,,,,
62,11/05/24 03:45:22 PM,31.472,4994.5,,,,,
63,11/05/24 03:46:22 PM,30.659,5338.9,,,,,
64,11/05/24 03:47:22 PM,30.154,11022.3,,,,,
65,11/05/24 03:48:22 PM,29.752,4133.4,,,,,
66,11/05/24 03:49:22 PM,29.452,12400.1,,,,,
67,11/05/24 03:50:22 PM,29.452,6544.5,,,,,
68,11/05/24 03:51:22 PM,29.352,6544.5,,,,,
69,11/05/24 03:52:22 PM,29.252,5166.7,,,,,
70,11/05/24 03:53:22 PM,29.152,2755.6,,,,,
71,11/05/24 03:54:22 PM,29.152,6200.0,,,,,
72,11/05/24 03:55:22 PM,29.252,5166.7,,,,,
73,11/05/24 03:56:22 PM,29.252,5511.1,,,,,
74,11/05/24 03:57:22 PM,29.252,6200.0,,,,,
75,11/05/24 03:58:22 PM,29.252,5511.1,,,,,
76,11/05/24 03:59:22 PM,29.252,2497.2,,,,,
77,11/05/24 04:00:22 PM,29.252,5166.7,,,,,
78,11/05/24 04:01:22 PM,29.352,6200.0,,,,,
79,11/05/24 04:02:22 PM,29.352,5511.1,,,,,
80,11/05/24 04:03:22 PM,29.352,6200.0,,,,,
81,11/05/24 04:04:22 PM,29.252,4650.0,,,,,
82,11/05/24 04:05:22 PM,29.352,4477.8,,,,,
83,11/05/24 04:06:22 PM,29.152,2927.8,,,,,
84,11/05/24 04:07:22 PM,29.252,6200.0,,,,,
85,11/05/24 04:08:22 PM,29.152,3100.0,,,,,
86,11/05/24 04:09:22 PM,29.252,6200.0,,,,,
87,11/05/24 04:10:22 PM,29.252,5166.7,,,,,
88,11/05/24 04:11:22 PM,29.252,11022.3,,,,,
89,11/05/24 04:12:22 PM,29.252,3788.9,,,,,
90,11/05/24 04:13:22 PM,29.053,16533.4,,,,,
91,11/05/24 04:14:22 PM,29.152,7233.4,,,,,
92,11/05/24 04:15:22 PM,29.152,6544.5,,,,,
93,11/05/24 04:16:22 PM,29.152,3788.9,,,,,
94,11/05/24 04:17:22 PM,29.152,8611.2,,,,,
95,11/05/24 04:18:22 PM,29.252,7577.8,,,,,
96,11/05/24 04:19:22 PM,29.252,7233.4,,,,,
97,11/05/24 04:20:22 PM,29.252,8611.2,,,,,
98,11/05/24 04:21:22 PM,29.252,8611.2,,,,,
99,11/05/24 04:22:22 PM,29.252,10333.4,,,,,
100,11/05/24 04:23:22 PM,29.352,8611.2,,,,,
101,11/05/24 04:24:22 PM,29.352,8611.2,,,,,
102,11/05/24 04:25:22 PM,29.252,4994.5,,,,,
103,11/05/24 04:26:22 PM,29.152,7233.4,,,,,
104,11/05/24 04:27:22 PM,29.152,5166.7,,,,,
105,11/05/24 04:28:22 PM,29.053,6200.0,,,,,
106,11/05/24 04:29:22 PM,28.953,3616.7,,,,,
107,11/05/24 04:30:22 PM,28.953,4650.0,,,,,
108,11/05/24 04:31:22 PM,28.953,4650.0,,,,,
109,11/05/24 04:32:22 PM,28.953,4305.6,,,,,
110,11/05/24 04:33:22 PM,29.053,7577.8,,,,,
111,11/05/24 04:34:22 PM,29.053,4650.0,,,,,
112,11/05/24 04:35:22 PM,28.953,3788.9,,,,,
113,11/05/24 04:36:22 PM,28.953,4994.5,,,,,
114,11/05/24 04:37:22 PM,29.053,5166.7,,,,,
115,11/05/24 04:38:22 PM,29.053,6544.5,,,,,
116,11/05/24 04:39:22 PM,29.053,5338.9,,,,,
117,11/05/24 04:40:22 PM,29.152,33066.9,,,,,
118,11/05/24 04:41:22 PM,29.152,5166.7,,,,,
119,11/05/24 04:42:22 PM,29.152,11022.3,,,,,
120,11/05/24 04:43:22 PM,29.053,4822.3,,,,,
121,11/05/24 04:44:22 PM,29.053,7577.8,,,,,
122,11/05/24 04:45:22 PM,29.053,6200.0,,,,,
123,11/05/24 04:46:22 PM,28.953,4822.3,,,,,
124,11/05/24 04:47:22 PM,28.953,2755.6,,,,,
125,11/05/24 04:48:22 PM,28.953,3788.9,,,,,
126,11/05/24 04:49:22 PM,29.053,6544.5,,,,,
127,11/05/24 04:50:22 PM,28.953,3961.1,,,,,
