"Plot Title: light1"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798886, SEN S/N: 21798886)","Intensity, Lux (LGR S/N: 21798886, SEN S/N: 21798886)","Coupler Detached (LGR S/N: 21798886)","Coupler Attached (LGR S/N: 21798886)","Host Connected (LGR S/N: 21798886)","Stopped (LGR S/N: 21798886)","End Of File (LGR S/N: 21798886)"
1,11/06/24 10:15:19 AM,26.879,43.1,,,,,
2,11/06/24 10:15:24 AM,,,Logged,,,,
3,11/06/24 10:16:19 AM,27.075,796.5,,,,,
4,11/06/24 10:17:19 AM,27.075,839.6,,,,,
5,11/06/24 10:18:19 AM,27.173,785.8,,,,,
6,11/06/24 10:19:19 AM,27.173,796.5,,,,,
7,11/06/24 10:20:19 AM,27.173,796.5,,,,,
8,11/06/24 10:21:19 AM,27.173,818.1,,,,,
9,11/06/24 10:22:19 AM,27.173,807.3,,,,,
10,11/06/24 10:23:19 AM,27.173,807.3,,,,,
11,11/06/24 10:24:19 AM,27.173,828.8,,,,,
12,11/06/24 10:25:19 AM,27.173,828.8,,,,,
13,11/06/24 10:26:19 AM,27.173,796.5,,,,,
14,11/06/24 10:27:19 AM,27.173,1377.8,,,,,
15,11/06/24 10:28:19 AM,28.060,215.3,,,,,
16,11/06/24 10:29:19 AM,28.456,721.2,,,,,
17,11/06/24 10:30:19 AM,28.357,624.3,,,,,
18,11/06/24 10:31:19 AM,28.159,549.0,,,,,
19,11/06/24 10:32:19 AM,27.961,527.4,,,,,
20,11/06/24 10:33:19 AM,27.665,473.6,,,,,
21,11/06/24 10:34:19 AM,27.567,366.0,,,,,
22,11/06/24 10:35:19 AM,27.370,419.8,,,,,
23,11/06/24 10:36:19 AM,27.173,462.9,,,,,
24,11/06/24 10:37:19 AM,27.075,484.4,,,,,
25,11/06/24 10:38:19 AM,26.879,484.4,,,,,
26,11/06/24 10:39:19 AM,26.781,484.4,,,,,
27,11/06/24 10:40:19 AM,26.683,430.6,,,,,
28,11/06/24 10:41:19 AM,26.585,538.2,,,,,
29,11/06/24 10:42:19 AM,26.488,495.1,,,,,
30,11/06/24 10:43:19 AM,26.390,495.1,,,,,
31,11/06/24 10:44:19 AM,26.390,495.1,,,,,
32,11/06/24 10:45:19 AM,26.292,764.2,,,,,
33,11/06/24 10:46:19 AM,26.781,635.1,,,,,
34,11/06/24 10:47:19 AM,28.060,37200.2,,,,,
35,11/06/24 10:48:19 AM,29.252,18600.1,,,,,
36,11/06/24 10:49:19 AM,30.558,17911.2,,,,,
37,11/06/24 10:50:19 AM,31.880,10677.8,,,,,
38,11/06/24 10:51:19 AM,32.704,23422.4,,,,,
39,11/06/24 10:52:19 AM,33.326,17222.3,,,,,
40,11/06/24 10:53:19 AM,34.163,19289.0,,,,,
41,11/06/24 10:54:19 AM,34.796,22044.6,,,,,
42,11/06/24 10:55:19 AM,35.435,21355.7,,,,,
43,11/06/24 10:56:19 AM,35.971,49600.3,,,,,
44,11/06/24 10:57:19 AM,37.274,49600.3,,,,,
45,11/06/24 10:58:19 AM,38.268,52355.9,,,,,
46,11/06/24 10:59:19 AM,38.046,18600.1,,,,,
47,11/06/24 11:00:19 AM,38.938,60622.6,,,,,
48,11/06/24 11:01:19 AM,40.761,35822.5,,,,,
49,11/06/24 11:02:19 AM,41.341,55111.5,,,,,
50,11/06/24 11:03:19 AM,41.108,17222.3,,,,,
51,11/06/24 11:04:19 AM,40.992,35822.5,,,,,
