"Plot Title: light3"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798870, SEN S/N: 21798870)","Intensity, Lux (LGR S/N: 21798870, SEN S/N: 21798870)","Coupler Detached (LGR S/N: 21798870)","Coupler Attached (LGR S/N: 21798870)","Host Connected (LGR S/N: 21798870)","Stopped (LGR S/N: 21798870)","End Of File (LGR S/N: 21798870)"
1,11/06/24 10:15:56 AM,26.977,43.1,,,,,
2,11/06/24 10:16:01 AM,,,Logged,,,,
3,11/06/24 10:16:56 AM,27.173,2066.7,,,,,
4,11/06/24 10:17:56 AM,27.173,1894.5,,,,,
5,11/06/24 10:18:56 AM,27.173,1980.6,,,,,
6,11/06/24 10:19:56 AM,27.173,1894.5,,,,,
7,11/06/24 10:20:56 AM,27.173,1894.5,,,,,
8,11/06/24 10:21:56 AM,27.173,1980.6,,,,,
9,11/06/24 10:22:56 AM,27.173,1980.6,,,,,
10,11/06/24 10:23:56 AM,27.173,1980.6,,,,,
11,11/06/24 10:24:56 AM,27.075,1980.6,,,,,
12,11/06/24 10:25:56 AM,27.075,1980.6,,,,,
13,11/06/24 10:26:56 AM,27.075,1980.6,,,,,
14,11/06/24 10:27:56 AM,27.173,2152.8,,,,,
15,11/06/24 10:28:56 AM,27.173,2066.7,,,,,
16,11/06/24 10:29:56 AM,27.173,1980.6,,,,,
17,11/06/24 10:30:56 AM,27.272,871.9,,,,,
18,11/06/24 10:31:56 AM,27.370,2238.9,,,,,
19,11/06/24 10:32:56 AM,27.862,441.3,,,,,
20,11/06/24 10:33:56 AM,27.665,398.3,,,,,
21,11/06/24 10:34:56 AM,27.468,850.4,,,,,
22,11/06/24 10:35:56 AM,27.272,1151.7,,,,,
23,11/06/24 10:36:56 AM,27.075,1162.5,,,,,
24,11/06/24 10:37:56 AM,26.977,1162.5,,,,,
25,11/06/24 10:38:56 AM,26.879,1173.3,,,,,
26,11/06/24 10:39:56 AM,26.781,1216.3,,,,,
27,11/06/24 10:40:56 AM,26.683,1194.8,,,,,
28,11/06/24 10:41:56 AM,26.585,1184.0,,,,,
29,11/06/24 10:42:56 AM,26.585,1184.0,,,,,
30,11/06/24 10:43:56 AM,26.585,1184.0,,,,,
31,11/06/24 10:44:56 AM,26.488,1151.7,,,,,
32,11/06/24 10:45:56 AM,26.781,5166.7,,,,,
33,11/06/24 10:46:56 AM,27.075,44089.2,,,,,
34,11/06/24 10:47:56 AM,28.060,187379.0,,,,,
35,11/06/24 10:48:56 AM,30.659,176356.7,,,,,
36,11/06/24 10:49:56 AM,33.535,231468.2,,,,,
37,11/06/24 10:50:56 AM,35.542,154312.1,,,,,
38,11/06/24 10:51:56 AM,37.165,115734.1,,,,,
39,11/06/24 10:52:56 AM,38.490,187379.0,,,,,
40,11/06/24 10:53:56 AM,39.729,176356.7,,,,,
41,11/06/24 10:54:56 AM,40.645,126756.4,,,,,
42,11/06/24 10:55:56 AM,41.575,93689.5,,,,,
43,11/06/24 10:56:56 AM,42.046,154312.1,,,,,
44,11/06/24 10:57:56 AM,40.876,9644.5,,,,,
45,11/06/24 10:58:56 AM,39.729,19977.9,,,,,
46,11/06/24 10:59:56 AM,38.938,18600.1,,,,,
47,11/06/24 11:00:56 AM,38.046,16533.4,,,,,
48,11/06/24 11:01:56 AM,37.274,20666.8,,,,,
49,11/06/24 11:02:56 AM,36.511,42711.4,,,,,
