"Plot Title: light2"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798883, SEN S/N: 21798883)","Intensity, Lux (LGR S/N: 21798883, SEN S/N: 21798883)","Coupler Detached (LGR S/N: 21798883)","Host Connected (LGR S/N: 21798883)","Coupler Attached (LGR S/N: 21798883)","Stopped (LGR S/N: 21798883)","End Of File (LGR S/N: 21798883)"
1,11/06/24 10:15:37 AM,26.781,43.1,,,,,
2,11/06/24 10:15:41 AM,,,Logged,,,,
3,11/06/24 10:16:37 AM,27.075,1894.5,,,,,
4,11/06/24 10:17:37 AM,27.075,1980.6,,,,,
5,11/06/24 10:18:37 AM,27.173,1980.6,,,,,
6,11/06/24 10:19:37 AM,27.173,2066.7,,,,,
7,11/06/24 10:20:37 AM,27.272,1980.6,,,,,
8,11/06/24 10:21:37 AM,27.272,2066.7,,,,,
9,11/06/24 10:22:37 AM,27.272,2066.7,,,,,
10,11/06/24 10:23:37 AM,27.272,2152.8,,,,,
11,11/06/24 10:24:37 AM,27.272,2066.7,,,,,
12,11/06/24 10:25:37 AM,27.272,2066.7,,,,,
13,11/06/24 10:26:37 AM,27.272,1980.6,,,,,
14,11/06/24 10:27:37 AM,27.370,2066.7,,,,,
15,11/06/24 10:28:37 AM,27.370,2066.7,,,,,
16,11/06/24 10:29:37 AM,27.764,828.8,,,,,
17,11/06/24 10:30:37 AM,27.862,699.7,,,,,
18,11/06/24 10:31:37 AM,27.764,678.1,,,,,
19,11/06/24 10:32:37 AM,27.665,807.3,,,,,
20,11/06/24 10:33:37 AM,27.567,796.5,,,,,
21,11/06/24 10:34:37 AM,27.468,775.0,,,,,
22,11/06/24 10:35:37 AM,27.370,775.0,,,,,
23,11/06/24 10:36:37 AM,27.272,818.1,,,,,
24,11/06/24 10:37:37 AM,27.173,818.1,,,,,
25,11/06/24 10:38:37 AM,27.075,828.8,,,,,
26,11/06/24 10:39:37 AM,26.977,818.1,,,,,
27,11/06/24 10:40:37 AM,26.977,828.8,,,,,
28,11/06/24 10:41:37 AM,26.977,17911.2,,,,,
29,11/06/24 10:42:37 AM,27.665,818.1,,,,,
30,11/06/24 10:43:37 AM,29.652,44089.2,,,,,
31,11/06/24 10:44:37 AM,31.778,57867.0,,,,,
32,11/06/24 10:45:37 AM,33.953,57867.0,,,,,
33,11/06/24 10:46:37 AM,36.079,55111.5,,,,,
34,11/06/24 10:47:37 AM,37.935,57867.0,,,,,
35,11/06/24 10:48:37 AM,39.276,27555.7,,,,,
36,11/06/24 10:49:37 AM,39.843,74400.5,,,,,
37,11/06/24 10:50:37 AM,40.645,74400.5,,,,,
38,11/06/24 10:51:37 AM,40.645,33066.9,,,,,
39,11/06/24 10:52:37 AM,41.225,74400.5,,,,,
40,11/06/24 10:53:37 AM,41.458,71644.9,,,,,
41,11/06/24 10:54:37 AM,41.810,88178.4,,,,,
42,11/06/24 10:55:37 AM,41.928,77156.1,,,,,
43,11/06/24 10:56:37 AM,41.810,63378.2,,,,,
44,11/06/24 10:57:37 AM,40.761,60622.6,,,,,
45,11/06/24 10:58:37 AM,40.185,52355.9,,,,,
46,11/06/24 10:59:37 AM,39.502,49600.3,,,,,
47,11/06/24 11:00:37 AM,38.826,46844.8,,,,,
48,11/06/24 11:01:37 AM,38.379,55111.5,,,,,
49,11/06/24 11:02:37 AM,37.935,46844.8,,,,,
50,11/06/24 11:03:37 AM,37.384,35822.5,,,,,
51,11/06/24 11:04:37 AM,36.837,33066.9,,,,,
52,11/06/24 11:05:37 AM,36.728,33066.9,,,,,
53,11/06/24 11:06:37 AM,36.620,34444.7,,,,,
54,11/06/24 11:07:37 AM,37.384,52355.9,,,,,
55,11/06/24 11:08:37 AM,37.935,42711.4,,,,,
56,11/06/24 11:09:37 AM,38.268,46844.8,,,,,
57,11/06/24 11:10:37 AM,38.938,39955.8,,,,,
58,11/06/24 11:11:37 AM,39.389,33066.9,,,,,
59,11/06/24 11:12:37 AM,39.615,37200.2,,,,,
60,11/06/24 11:13:37 AM,39.843,41333.6,,,,,
61,11/06/24 11:14:37 AM,40.645,44089.2,,,,,
62,11/06/24 11:15:37 AM,41.341,49600.3,,,,,
63,11/06/24 11:16:37 AM,41.810,46844.8,,,,,
64,11/06/24 11:17:37 AM,42.046,42711.4,,,,,
65,11/06/24 11:18:37 AM,42.164,35822.5,,,,,
66,11/06/24 11:19:37 AM,42.164,41333.6,,,,,
