"Plot Title: light3"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798870, SEN S/N: 21798870)","Intensity, Lux (LGR S/N: 21798870, SEN S/N: 21798870)","Coupler Detached (LGR S/N: 21798870)","Coupler Attached (LGR S/N: 21798870)","Host Connected (LGR S/N: 21798870)","Stopped (LGR S/N: 21798870)","End Of File (LGR S/N: 21798870)"
1,11/08/24 09:25:04 AM,26.781,64.6,,,,,
2,11/08/24 09:25:08 AM,,,Logged,,,,
3,11/08/24 09:26:04 AM,26.879,2325.0,,,,,
4,11/08/24 09:27:04 AM,26.977,2325.0,,,,,
5,11/08/24 09:28:04 AM,27.075,2238.9,,,,,
6,11/08/24 09:29:04 AM,27.173,1894.5,,,,,
7,11/08/24 09:30:04 AM,27.370,387.5,,,,,
8,11/08/24 09:31:04 AM,27.468,409.0,,,,,
9,11/08/24 09:32:04 AM,27.567,871.9,,,,,
10,11/08/24 09:33:04 AM,27.468,914.9,,,,,
11,11/08/24 09:34:04 AM,27.370,1033.3,,,,,
12,11/08/24 09:35:04 AM,27.272,1044.1,,,,,
13,11/08/24 09:36:04 AM,27.173,1044.1,,,,,
14,11/08/24 09:37:04 AM,27.075,1130.2,,,,,
15,11/08/24 09:38:04 AM,26.977,936.5,,,,,
16,11/08/24 09:39:04 AM,27.468,2066.7,,,,,
17,11/08/24 09:40:04 AM,28.555,15844.5,,,,,
18,11/08/24 09:41:04 AM,29.452,34444.7,,,,,
19,11/08/24 09:42:04 AM,30.457,38578.0,,,,,
20,11/08/24 09:43:04 AM,31.370,39955.8,,,,,
21,11/08/24 09:44:04 AM,32.291,39955.8,,,,,
22,11/08/24 09:45:04 AM,33.118,39955.8,,,,,
23,11/08/24 09:46:04 AM,34.058,41333.6,,,,,
24,11/08/24 09:47:04 AM,34.796,41333.6,,,,,
25,11/08/24 09:48:04 AM,35.222,42711.4,,,,,
26,11/08/24 09:49:04 AM,35.542,30311.3,,,,,
27,11/08/24 09:50:04 AM,35.756,34444.7,,,,,
