"Plot Title: light1"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798886, SEN S/N: 21798886)","Intensity, Lux (LGR S/N: 21798886, SEN S/N: 21798886)","Coupler Detached (LGR S/N: 21798886)","Coupler Attached (LGR S/N: 21798886)","Host Connected (LGR S/N: 21798886)","Stopped (LGR S/N: 21798886)","End Of File (LGR S/N: 21798886)"
1,11/10/24 09:45:20 AM,26.000,75.3,,,,,
2,11/10/24 09:45:25 AM,,,Logged,,,,
3,11/10/24 09:46:20 AM,26.292,2755.6,,,,,
4,11/10/24 09:47:20 AM,26.488,1345.5,,,,,
5,11/10/24 09:48:20 AM,26.585,2583.4,,,,,
6,11/10/24 09:49:20 AM,26.879,107.6,,,,,
7,11/10/24 09:50:20 AM,27.468,592.0,,,,,
8,11/10/24 09:51:20 AM,27.468,667.4,,,,,
9,11/10/24 09:52:20 AM,27.272,656.6,,,,,
10,11/10/24 09:53:20 AM,27.173,742.7,,,,,
11,11/10/24 09:54:20 AM,26.977,753.5,,,,,
12,11/10/24 09:55:20 AM,26.879,731.9,,,,,
13,11/10/24 09:56:20 AM,26.683,678.1,,,,,
14,11/10/24 09:57:20 AM,26.585,775.0,,,,,
15,11/10/24 09:58:20 AM,26.488,258.3,,,,,
16,11/10/24 09:59:20 AM,26.390,710.4,,,,,
17,11/10/24 10:00:20 AM,26.292,742.7,,,,,
18,11/10/24 10:01:20 AM,26.195,570.5,,,,,
19,11/10/24 10:02:20 AM,26.195,914.9,,,,,
20,11/10/24 10:03:20 AM,26.097,882.6,,,,,
21,11/10/24 10:04:20 AM,26.097,839.6,,,,,
22,11/10/24 10:05:20 AM,26.000,893.4,,,,,
23,11/10/24 10:06:20 AM,26.000,893.4,,,,,
24,11/10/24 10:07:20 AM,26.000,871.9,,,,,
25,11/10/24 10:08:20 AM,25.902,441.3,,,,,
26,11/10/24 10:09:20 AM,26.292,34444.7,,,,,
27,11/10/24 10:10:20 AM,27.272,44089.2,,,,,
28,11/10/24 10:11:20 AM,29.352,23422.4,,,,,
29,11/10/24 10:12:20 AM,30.558,8611.2,,,,,
30,11/10/24 10:13:20 AM,31.268,17222.3,,,,,
31,11/10/24 10:14:20 AM,31.778,6544.5,,,,,
32,11/10/24 10:15:20 AM,32.394,12400.1,,,,,
33,11/10/24 10:16:20 AM,33.222,30311.3,,,,,
34,11/10/24 10:17:20 AM,34.163,38578.0,,,,,
35,11/10/24 10:18:20 AM,35.435,44089.2,,,,,
36,11/10/24 10:19:20 AM,36.187,41333.6,,,,,
37,11/10/24 10:20:20 AM,37.165,39955.8,,,,,
38,11/10/24 10:21:20 AM,37.935,57867.0,,,,,
39,11/10/24 10:22:20 AM,37.604,19289.0,,,,,
40,11/10/24 10:23:20 AM,37.604,23422.4,,,,,
41,11/10/24 10:24:20 AM,39.389,77156.1,,,,,
42,11/10/24 10:25:20 AM,38.826,15844.5,,,,,
43,11/10/24 10:26:20 AM,39.729,41333.6,,,,,
44,11/10/24 10:27:20 AM,39.957,37200.2,,,,,
45,11/10/24 10:28:20 AM,41.692,93689.5,,,,,
46,11/10/24 10:29:20 AM,42.164,39955.8,,,,,
47,11/10/24 10:30:20 AM,42.401,23422.4,,,,,
48,11/10/24 10:31:20 AM,43.359,74400.5,,,,,
49,11/10/24 10:32:20 AM,43.480,37200.2,,,,,
50,11/10/24 10:33:20 AM,43.966,44089.2,,,,,
51,11/10/24 10:34:20 AM,43.723,12400.1,,,,,
52,11/10/24 10:35:20 AM,43.359,24800.2,,,,,
53,11/10/24 10:36:20 AM,42.878,14466.8,,,,,
54,11/10/24 10:37:20 AM,42.520,17911.2,,,,,
55,11/10/24 10:38:20 AM,42.046,14466.8,,,,,
56,11/10/24 10:39:20 AM,41.575,20666.8,,,,,
57,11/10/24 10:40:20 AM,41.225,23422.4,,,,,
58,11/10/24 10:41:20 AM,41.108,28933.5,,,,,
59,11/10/24 10:42:20 AM,40.992,19977.9,,,,,
60,11/10/24 10:43:20 AM,40.645,34444.7,,,,,
61,11/10/24 10:44:20 AM,40.761,34444.7,,,,,
62,11/10/24 10:45:20 AM,40.876,41333.6,,,,,
63,11/10/24 10:46:20 AM,40.876,28933.5,,,,,
64,11/10/24 10:47:20 AM,40.530,14466.8,,,,,
65,11/10/24 10:48:20 AM,40.300,17222.3,,,,,
66,11/10/24 10:49:20 AM,40.185,20666.8,,,,,
67,11/10/24 10:50:20 AM,39.957,18600.1,,,,,
68,11/10/24 10:51:20 AM,39.957,23422.4,,,,,
69,11/10/24 10:52:20 AM,40.185,22044.6,,,,,
70,11/10/24 10:53:20 AM,40.185,30311.3,,,,,
71,11/10/24 10:54:20 AM,40.300,24800.2,,,,,
72,11/10/24 10:55:20 AM,40.530,28933.5,,,,,
73,11/10/24 10:56:20 AM,40.645,34444.7,,,,,
74,11/10/24 10:57:20 AM,40.761,27555.7,,,,,
75,11/10/24 10:58:20 AM,40.876,22044.6,,,,,
76,11/10/24 10:59:20 AM,40.992,27555.7,,,,,
77,11/10/24 11:00:20 AM,40.992,26178.0,,,,,
78,11/10/24 11:01:20 AM,41.225,26178.0,,,,,
79,11/10/24 11:02:20 AM,41.458,33066.9,,,,,
80,11/10/24 11:03:20 AM,41.692,34444.7,,,,,
81,11/10/24 11:04:20 AM,41.810,33066.9,,,,,
82,11/10/24 11:05:20 AM,42.164,38578.0,,,,,
83,11/10/24 11:06:20 AM,42.401,39955.8,,,,,
84,11/10/24 11:07:20 AM,42.639,30311.3,,,,,
85,11/10/24 11:08:20 AM,42.878,24800.2,,,,,
86,11/10/24 11:09:20 AM,43.480,26178.0,,,,,
87,11/10/24 11:10:20 AM,43.359,26178.0,,,,,
88,11/10/24 11:11:20 AM,43.480,6200.0,,,,,
89,11/10/24 11:12:20 AM,43.844,27555.7,,,,,
90,11/10/24 11:13:20 AM,44.089,33066.9,,,,,
91,11/10/24 11:14:20 AM,44.211,34444.7,,,,,
92,11/10/24 11:15:20 AM,44.457,28933.5,,,,,
93,11/10/24 11:16:20 AM,44.704,24800.2,,,,,
94,11/10/24 11:17:20 AM,45.076,26178.0,,,,,
95,11/10/24 11:18:20 AM,45.201,30311.3,,,,,
96,11/10/24 11:19:20 AM,45.452,38578.0,,,,,
97,11/10/24 11:20:20 AM,45.829,42711.4,,,,,
98,11/10/24 11:21:20 AM,46.337,31689.1,,,,,
99,11/10/24 11:22:20 AM,46.465,44089.2,,,,,
100,11/10/24 11:23:20 AM,46.979,31689.1,,,,,
101,11/10/24 11:24:20 AM,46.850,22044.6,,,,,
102,11/10/24 11:25:20 AM,46.850,26178.0,,,,,
103,11/10/24 11:26:20 AM,46.722,46844.8,,,,,
104,11/10/24 11:27:20 AM,40.876,8611.2,,,,,
105,11/10/24 11:28:20 AM,35.864,30311.3,,,,,
106,11/10/24 11:29:20 AM,33.014,14466.8,,,,,
107,11/10/24 11:30:20 AM,31.370,17222.3,,,,,
108,11/10/24 11:31:20 AM,30.356,9644.5,,,,,
109,11/10/24 11:32:20 AM,29.652,27555.7,,,,,
110,11/10/24 11:33:20 AM,29.252,28933.5,,,,,
111,11/10/24 11:34:20 AM,29.053,28933.5,,,,,
112,11/10/24 11:35:20 AM,28.853,33066.9,,,,,
113,11/10/24 11:36:20 AM,28.953,12400.1,,,,,
114,11/10/24 11:37:20 AM,28.853,34444.7,,,,,
115,11/10/24 11:38:20 AM,28.754,13777.9,,,,,
