"Plot Title: light2"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798883, SEN S/N: 21798883)","Intensity, Lux (LGR S/N: 21798883, SEN S/N: 21798883)","Coupler Detached (LGR S/N: 21798883)","Coupler Attached (LGR S/N: 21798883)","Host Connected (LGR S/N: 21798883)","Stopped (LGR S/N: 21798883)","End Of File (LGR S/N: 21798883)"
1,11/10/24 09:44:27 AM,26.488,75.3,,,,,
2,11/10/24 09:44:31 AM,,,Logged,,,,
3,11/10/24 09:45:27 AM,26.683,3961.1,,,,,
4,11/10/24 09:46:27 AM,26.781,5338.9,,,,,
5,11/10/24 09:47:27 AM,26.781,3272.2,,,,,
6,11/10/24 09:48:27 AM,26.879,4305.6,,,,,
7,11/10/24 09:49:27 AM,27.272,409.0,,,,,
8,11/10/24 09:50:27 AM,27.567,1259.4,,,,,
9,11/10/24 09:51:27 AM,27.567,1259.4,,,,,
10,11/10/24 09:52:27 AM,27.468,1108.7,,,,,
11,11/10/24 09:53:27 AM,27.272,1184.0,,,,,
12,11/10/24 09:54:27 AM,27.173,1194.8,,,,,
13,11/10/24 09:55:27 AM,27.075,1205.6,,,,,
14,11/10/24 09:56:27 AM,26.977,1227.1,,,,,
15,11/10/24 09:57:27 AM,26.879,1270.1,,,,,
16,11/10/24 09:58:27 AM,26.781,613.5,,,,,
17,11/10/24 09:59:27 AM,26.683,592.0,,,,,
18,11/10/24 10:00:27 AM,26.585,1313.2,,,,,
19,11/10/24 10:01:27 AM,26.585,893.4,,,,,
20,11/10/24 10:02:27 AM,26.488,1237.9,,,,,
21,11/10/24 10:03:27 AM,26.488,1463.9,,,,,
22,11/10/24 10:04:27 AM,26.488,1463.9,,,,,
23,11/10/24 10:05:27 AM,26.488,1463.9,,,,,
24,11/10/24 10:06:27 AM,26.390,1463.9,,,,,
25,11/10/24 10:07:27 AM,26.390,1463.9,,,,,
26,11/10/24 10:08:27 AM,26.390,688.9,,,,,
27,11/10/24 10:09:27 AM,26.781,9644.5,,,,,
28,11/10/24 10:10:27 AM,27.862,49600.3,,,,,
29,11/10/24 10:11:27 AM,30.255,159823.3,,,,,
30,11/10/24 10:12:27 AM,32.394,28933.5,,,,,
31,11/10/24 10:13:27 AM,33.848,187379.0,,,,,
32,11/10/24 10:14:27 AM,34.374,24800.2,,,,,
33,11/10/24 10:15:27 AM,35.649,49600.3,,,,,
34,11/10/24 10:16:27 AM,37.274,85422.8,,,,,
35,11/10/24 10:17:27 AM,37.274,39955.8,,,,,
36,11/10/24 10:18:27 AM,37.604,42711.4,,,,,
37,11/10/24 10:19:27 AM,37.714,44089.2,,,,,
38,11/10/24 10:20:27 AM,37.935,42711.4,,,,,
39,11/10/24 10:21:27 AM,38.268,42711.4,,,,,
40,11/10/24 10:22:27 AM,37.494,15844.5,,,,,
41,11/10/24 10:23:27 AM,37.384,35822.5,,,,,
42,11/10/24 10:24:27 AM,37.604,115734.1,,,,,
43,11/10/24 10:25:27 AM,37.494,19977.9,,,,,
44,11/10/24 10:26:27 AM,37.824,33066.9,,,,,
45,11/10/24 10:27:27 AM,38.046,77156.1,,,,,
46,11/10/24 10:28:27 AM,37.824,31689.1,,,,,
47,11/10/24 10:29:27 AM,37.714,23422.4,,,,,
48,11/10/24 10:30:27 AM,37.604,10677.8,,,,,
49,11/10/24 10:31:27 AM,37.604,26178.0,,,,,
50,11/10/24 10:32:27 AM,37.384,19977.9,,,,,
51,11/10/24 10:33:27 AM,37.165,16533.4,,,,,
52,11/10/24 10:34:27 AM,36.728,5338.9,,,,,
53,11/10/24 10:35:27 AM,36.403,16533.4,,,,,
54,11/10/24 10:36:27 AM,36.079,11711.2,,,,,
55,11/10/24 10:37:27 AM,35.864,12400.1,,,,,
56,11/10/24 10:38:27 AM,35.328,9644.5,,,,,
57,11/10/24 10:39:27 AM,34.903,11022.3,,,,,
58,11/10/24 10:40:27 AM,34.479,14466.8,,,,,
59,11/10/24 10:41:27 AM,34.058,14466.8,,,,,
60,11/10/24 10:42:27 AM,33.743,4822.3,,,,,
61,11/10/24 10:43:27 AM,33.326,19289.0,,,,,
62,11/10/24 10:44:27 AM,33.222,10333.4,,,,,
63,11/10/24 10:45:27 AM,33.222,15844.5,,,,,
64,11/10/24 10:46:27 AM,33.014,5166.7,,,,,
65,11/10/24 10:47:27 AM,33.014,10333.4,,,,,
66,11/10/24 10:48:27 AM,33.222,13777.9,,,,,
67,11/10/24 10:49:27 AM,33.743,30311.3,,,,,
68,11/10/24 10:50:27 AM,34.374,9300.1,,,,,
69,11/10/24 10:51:27 AM,35.009,63378.2,,,,,
70,11/10/24 10:52:27 AM,36.295,57867.0,,,,,
71,11/10/24 10:53:27 AM,37.274,99200.7,,,,,
72,11/10/24 10:54:27 AM,38.046,57867.0,,,,,
73,11/10/24 10:55:27 AM,38.938,57867.0,,,,,
74,11/10/24 10:56:27 AM,39.615,110223.0,,,,,
75,11/10/24 10:57:27 AM,40.185,99200.7,,,,,
76,11/10/24 10:58:27 AM,40.530,44089.2,,,,,
77,11/10/24 10:59:27 AM,41.108,82667.2,,,,,
