"Plot Title: light3"
"#","Date Time, GMT+11:00","Temp, °C (LGR S/N: 21798870, SEN S/N: 21798870)","Intensity, Lux (LGR S/N: 21798870, SEN S/N: 21798870)","Coupler Detached (LGR S/N: 21798870)","Host Connected (LGR S/N: 21798870)","Coupler Attached (LGR S/N: 21798870)","Stopped (LGR S/N: 21798870)","End Of File (LGR S/N: 21798870)"
1,11/11/24 09:50:20 AM,27.961,118.4,,,,,
2,11/11/24 09:50:25 AM,,,Logged,,,,
3,11/11/24 09:51:20 AM,28.060,5511.1,,,,,
4,11/11/24 09:52:20 AM,27.862,2411.1,,,,,
5,11/11/24 09:53:20 AM,27.764,247.6,,,,,
6,11/11/24 09:54:20 AM,27.665,236.8,,,,,
7,11/11/24 09:55:20 AM,27.468,312.2,,,,,
8,11/11/24 09:56:20 AM,27.370,204.5,,,,,
9,11/11/24 09:57:20 AM,27.370,2755.6,,,,,
10,11/11/24 09:58:20 AM,27.567,721.2,,,,,
11,11/11/24 09:59:20 AM,27.764,64.6,,,,,
12,11/11/24 10:00:20 AM,27.862,10.8,,,,,
13,11/11/24 10:01:20 AM,27.665,10.8,,,,,
14,11/11/24 10:02:20 AM,27.567,10.8,,,,,
15,11/11/24 10:03:20 AM,27.370,10.8,,,,,
16,11/11/24 10:04:20 AM,27.173,10.8,,,,,
17,11/11/24 10:05:20 AM,27.075,0.0,,,,,
18,11/11/24 10:06:20 AM,26.879,10.8,,,,,
19,11/11/24 10:07:20 AM,26.683,0.0,,,,,
20,11/11/24 10:08:20 AM,26.585,0.0,,,,,
21,11/11/24 10:09:20 AM,26.390,0.0,,,,,
22,11/11/24 10:10:20 AM,26.292,0.0,,,,,
23,11/11/24 10:11:20 AM,26.195,0.0,,,,,
24,11/11/24 10:12:20 AM,26.097,0.0,,,,,
25,11/11/24 10:13:20 AM,25.805,21.5,,,,,
26,11/11/24 10:14:20 AM,25.513,21.5,,,,,
27,11/11/24 10:15:20 AM,25.222,118.4,,,,,
28,11/11/24 10:16:20 AM,25.125,107.6,,,,,
29,11/11/24 10:17:20 AM,25.125,96.9,,,,,
30,11/11/24 10:18:20 AM,25.222,107.6,,,,,
31,11/11/24 10:19:20 AM,25.222,107.6,,,,,
32,11/11/24 10:20:20 AM,25.319,32.3,,,,,
33,11/11/24 10:21:20 AM,25.416,75.3,,,,,
34,11/11/24 10:22:20 AM,26.390,24800.2,,,,,
35,11/11/24 10:23:20 AM,27.075,19289.0,,,,,
36,11/11/24 10:24:20 AM,27.665,18600.1,,,,,
37,11/11/24 10:25:20 AM,28.159,17911.2,,,,,
38,11/11/24 10:26:20 AM,28.555,4650.0,,,,,
39,11/11/24 10:27:20 AM,29.352,74400.5,,,,,
40,11/11/24 10:28:20 AM,31.880,115734.1,,,,,
41,11/11/24 10:29:20 AM,33.326,82667.2,,,,,
42,11/11/24 10:30:20 AM,32.704,46844.8,,,,,
43,11/11/24 10:31:20 AM,32.600,71644.9,,,,,
44,11/11/24 10:32:20 AM,32.600,46844.8,,,,,
45,11/11/24 10:33:20 AM,32.394,33066.9,,,,,
46,11/11/24 10:34:20 AM,32.188,33066.9,,,,,
47,11/11/24 10:35:20 AM,31.880,34444.7,,,,,
48,11/11/24 10:36:20 AM,31.778,33066.9,,,,,
49,11/11/24 10:37:20 AM,31.472,38578.0,,,,,
50,11/11/24 10:38:20 AM,31.166,35822.5,,,,,
51,11/11/24 10:39:20 AM,30.963,35822.5,,,,,
52,11/11/24 10:40:20 AM,30.862,35822.5,,,,,
53,11/11/24 10:41:20 AM,30.862,55111.5,,,,,
54,11/11/24 10:42:20 AM,31.370,52355.9,,,,,
55,11/11/24 10:43:20 AM,31.676,74400.5,,,,,
56,11/11/24 10:44:20 AM,32.086,71644.9,,,,,
57,11/11/24 10:45:20 AM,32.600,39955.8,,,,,
58,11/11/24 10:46:20 AM,32.704,66133.8,,,,,
59,11/11/24 10:47:20 AM,33.222,99200.7,,,,,
60,11/11/24 10:48:20 AM,33.535,49600.3,,,,,
61,11/11/24 10:49:20 AM,33.743,104711.8,,,,,
62,11/11/24 10:50:20 AM,33.953,115734.1,,,,,
63,11/11/24 10:51:20 AM,33.953,35822.5,,,,,
64,11/11/24 10:52:20 AM,33.848,44089.2,,,,,
65,11/11/24 10:53:20 AM,33.953,52355.9,,,,,
