"Plot Title: H71"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20277816, SEN S/N: 20277816)","Intensity, Lux (LGR S/N: 20277816, SEN S/N: 20277816)","Coupler Detached (LGR S/N: 20277816)","Coupler Attached (LGR S/N: 20277816)","Host Connected (LGR S/N: 20277816)","Stopped (LGR S/N: 20277816)","End Of File (LGR S/N: 20277816)"
1,09/24/21 09:49:01 AM,26.781,183.0,,,,,
2,09/24/21 09:49:09 AM,,,Logged,,,,
3,09/24/21 09:49:31 AM,26.683,32.3,,,,,
4,09/24/21 09:50:01 AM,26.390,43.1,,,,,
5,09/24/21 09:50:31 AM,26.097,32.3,,,,,
6,09/24/21 09:51:01 AM,25.902,32.3,,,,,
7,09/24/21 09:51:31 AM,25.610,32.3,,,,,
8,09/24/21 09:52:01 AM,25.416,10.8,,,,,
9,09/24/21 09:52:31 AM,25.222,21.5,,,,,
10,09/24/21 09:53:01 AM,24.931,10.8,,,,,
11,09/24/21 09:53:31 AM,24.835,43.1,,,,,
12,09/24/21 09:54:01 AM,24.641,43.1,,,,,
13,09/24/21 09:54:31 AM,24.545,43.1,,,,,
14,09/24/21 09:55:01 AM,24.448,43.1,,,,,
15,09/24/21 09:55:31 AM,24.351,21.5,,,,,
16,09/24/21 09:56:01 AM,24.255,32.3,,,,,
17,09/24/21 09:56:31 AM,24.158,32.3,,,,,
18,09/24/21 09:57:01 AM,24.158,32.3,,,,,
19,09/24/21 09:57:31 AM,24.062,32.3,,,,,
20,09/24/21 09:58:01 AM,24.062,43.1,,,,,
21,09/24/21 09:58:31 AM,23.966,21.5,,,,,
22,09/24/21 09:59:01 AM,23.966,32.3,,,,,
23,09/24/21 09:59:31 AM,23.966,32.3,,,,,
24,09/24/21 10:00:01 AM,23.869,21.5,,,,,
25,09/24/21 10:00:31 AM,23.869,32.3,,,,,
26,09/24/21 10:01:01 AM,23.773,32.3,,,,,
27,09/24/21 10:01:31 AM,23.677,32.3,,,,,
28,09/24/21 10:02:01 AM,23.677,32.3,,,,,
29,09/24/21 10:02:31 AM,23.581,21.5,,,,,
30,09/24/21 10:03:01 AM,23.484,10.8,,,,,
31,09/24/21 10:03:31 AM,23.484,32.3,,,,,
32,09/24/21 10:04:01 AM,23.388,10.8,,,,,
33,09/24/21 10:04:31 AM,23.388,32.3,,,,,
34,09/24/21 10:05:01 AM,23.292,43.1,,,,,
35,09/24/21 10:05:31 AM,23.196,32.3,,,,,
36,09/24/21 10:06:01 AM,23.196,32.3,,,,,
37,09/24/21 10:06:31 AM,23.196,43.1,,,,,
38,09/24/21 10:07:01 AM,23.196,43.1,,,,,
39,09/24/21 10:07:31 AM,23.196,0.0,,,,,
40,09/24/21 10:08:01 AM,23.677,0.0,,,,,
41,09/24/21 10:08:31 AM,23.966,0.0,,,,,
42,09/24/21 10:09:01 AM,24.158,0.0,,,,,
43,09/24/21 10:09:31 AM,24.351,0.0,,,,,
44,09/24/21 10:10:01 AM,24.641,0.0,,,,,
45,09/24/21 10:10:31 AM,24.835,0.0,,,,,
46,09/24/21 10:11:01 AM,24.931,0.0,,,,,
47,09/24/21 10:11:31 AM,25.125,0.0,,,,,
48,09/24/21 10:12:01 AM,25.319,0.0,,,,,
49,09/24/21 10:12:31 AM,25.416,0.0,,,,,
50,09/24/21 10:13:01 AM,25.513,0.0,,,,,
51,09/24/21 10:13:31 AM,25.610,0.0,,,,,
