"Plot Title: mm28092021"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20277816, SEN S/N: 20277816)","Intensity, Lux (LGR S/N: 20277816, SEN S/N: 20277816)","Coupler Detached (LGR S/N: 20277816)","Coupler Attached (LGR S/N: 20277816)","Host Connected (LGR S/N: 20277816)","Stopped (LGR S/N: 20277816)","End Of File (LGR S/N: 20277816)"
1,09/28/21 01:56:10 PM,27.370,0.0,,,,,
2,09/28/21 01:56:21 PM,,,Logged,,,,
3,09/28/21 01:56:40 PM,27.075,0.0,,,,,
4,09/28/21 01:57:10 PM,26.977,0.0,,,,,
5,09/28/21 01:57:40 PM,26.977,0.0,,,,,
6,09/28/21 01:58:10 PM,26.879,0.0,,,,,
7,09/28/21 01:58:40 PM,26.879,0.0,,,,,
8,09/28/21 01:59:10 PM,26.977,0.0,,,,,
9,09/28/21 01:59:40 PM,26.977,0.0,,,,,
10,09/28/21 02:00:10 PM,27.075,0.0,,,,,
11,09/28/21 02:00:40 PM,27.075,139.9,,,,,
12,09/28/21 02:01:10 PM,27.173,0.0,,,,,
13,09/28/21 02:01:40 PM,27.272,0.0,,,,,
14,09/28/21 02:02:10 PM,27.370,0.0,,,,,
15,09/28/21 02:02:40 PM,27.468,0.0,,,,,
16,09/28/21 02:03:10 PM,27.567,0.0,,,,,
17,09/28/21 02:03:40 PM,27.665,0.0,,,,,
18,09/28/21 02:04:10 PM,27.665,0.0,,,,,
19,09/28/21 02:04:40 PM,27.764,0.0,,,,,
20,09/28/21 02:05:10 PM,27.862,0.0,,,,,
21,09/28/21 02:05:40 PM,27.862,0.0,,,,,
22,09/28/21 02:06:10 PM,27.961,0.0,,,,,
23,09/28/21 02:06:40 PM,28.060,0.0,,,,,
24,09/28/21 02:07:10 PM,28.060,0.0,,,,,
25,09/28/21 02:07:40 PM,28.159,0.0,,,,,
26,09/28/21 02:08:10 PM,28.258,0.0,,,,,
27,09/28/21 02:08:40 PM,28.258,0.0,,,,,
28,09/28/21 02:09:10 PM,28.258,0.0,,,,,
29,09/28/21 02:09:40 PM,28.357,0.0,,,,,
30,09/28/21 02:10:10 PM,28.456,0.0,,,,,
31,09/28/21 02:10:40 PM,28.456,0.0,,,,,
32,09/28/21 02:11:10 PM,28.456,0.0,,,,,
33,09/28/21 02:11:40 PM,28.456,0.0,,,,,
34,09/28/21 02:12:10 PM,28.456,0.0,,,,,
35,09/28/21 02:12:40 PM,28.456,0.0,,,,,
36,09/28/21 02:13:10 PM,28.456,0.0,,,,,
37,09/28/21 02:13:40 PM,28.456,0.0,,,,,
38,09/28/21 02:14:10 PM,28.456,0.0,,,,,
39,09/28/21 02:14:40 PM,28.456,0.0,,,,,
40,09/28/21 02:15:10 PM,28.456,0.0,,,,,
41,09/28/21 02:15:40 PM,28.456,3272.2,,,,,
42,09/28/21 02:16:10 PM,28.456,6544.5,,,,,
43,09/28/21 02:16:40 PM,28.357,1087.2,,,,,
44,09/28/21 02:17:10 PM,28.456,5166.7,,,,,
45,09/28/21 02:17:40 PM,28.456,3788.9,,,,,
46,09/28/21 02:18:10 PM,28.555,8266.7,,,,,
47,09/28/21 02:18:40 PM,28.655,8266.7,,,,,
48,09/28/21 02:19:10 PM,28.754,2325.0,,,,,
49,09/28/21 02:19:40 PM,28.853,2755.6,,,,,
50,09/28/21 02:20:10 PM,28.853,3961.1,,,,,
51,09/28/21 02:20:40 PM,28.853,3100.0,,,,,
52,09/28/21 02:21:10 PM,28.953,5166.7,,,,,
53,09/28/21 02:21:40 PM,29.053,5166.7,,,,,
54,09/28/21 02:22:10 PM,29.152,5338.9,,,,,
55,09/28/21 02:22:40 PM,29.252,5338.9,,,,,
56,09/28/21 02:23:10 PM,29.252,4650.0,,,,,
57,09/28/21 02:23:40 PM,29.352,2755.6,,,,,
58,09/28/21 02:24:10 PM,29.352,3788.9,,,,,
59,09/28/21 02:24:40 PM,29.452,3961.1,,,,,
60,09/28/21 02:25:10 PM,29.452,4133.4,,,,,
61,09/28/21 02:25:40 PM,29.452,3788.9,,,,,
62,09/28/21 02:26:10 PM,29.452,5166.7,,,,,
63,09/28/21 02:26:40 PM,29.652,10677.8,,,,,
64,09/28/21 02:27:10 PM,29.752,14466.8,,,,,
65,09/28/21 02:27:40 PM,29.752,8266.7,,,,,
66,09/28/21 02:28:10 PM,29.752,6200.0,,,,,
67,09/28/21 02:28:40 PM,29.552,1377.8,,,,,
68,09/28/21 02:29:10 PM,29.152,2325.0,,,,,
69,09/28/21 02:29:40 PM,28.754,3100.0,,,,,
70,09/28/21 02:30:10 PM,28.456,12400.1,,,,,
71,09/28/21 02:30:40 PM,28.060,13089.0,,,,,
72,09/28/21 02:31:10 PM,27.961,15155.7,,,,,
73,09/28/21 02:31:40 PM,27.862,31689.1,,,,,
74,09/28/21 02:32:10 PM,27.862,11022.3,,,,,
75,09/28/21 02:32:40 PM,28.060,9644.5,,,,,
76,09/28/21 02:33:10 PM,28.060,14466.8,,,,,
77,09/28/21 02:33:40 PM,28.258,4477.8,,,,,
78,09/28/21 02:34:10 PM,28.357,4650.0,,,,,
79,09/28/21 02:34:40 PM,28.456,5166.7,,,,,
80,09/28/21 02:35:10 PM,28.357,4477.8,,,,,
81,09/28/21 02:35:40 PM,28.258,1194.8,,,,,
82,09/28/21 02:36:10 PM,28.357,13089.0,,,,,
83,09/28/21 02:36:40 PM,28.258,10677.8,,,,,
84,09/28/21 02:37:10 PM,28.258,2325.0,,,,,
85,09/28/21 02:37:40 PM,28.258,1894.5,,,,,
86,09/28/21 02:38:10 PM,28.357,4822.3,,,,,
87,09/28/21 02:38:40 PM,28.258,6544.5,,,,,
88,09/28/21 02:39:10 PM,28.159,5166.7,,,,,
89,09/28/21 02:39:40 PM,28.258,5166.7,,,,,
90,09/28/21 02:40:10 PM,28.258,8266.7,,,,,
91,09/28/21 02:40:40 PM,28.258,8611.2,,,,,
92,09/28/21 02:41:10 PM,28.258,6200.0,,,,,
93,09/28/21 02:41:40 PM,28.258,5338.9,,,,,
94,09/28/21 02:42:10 PM,28.258,4650.0,,,,,
95,09/28/21 02:42:40 PM,28.258,5166.7,,,,,
96,09/28/21 02:43:10 PM,28.258,14466.8,,,,,
97,09/28/21 02:43:40 PM,28.258,8611.2,,,,,
98,09/28/21 02:44:10 PM,28.258,5166.7,,,,,
99,09/28/21 02:44:40 PM,28.357,9300.1,,,,,
100,09/28/21 02:45:10 PM,28.357,10333.4,,,,,
101,09/28/21 02:45:40 PM,28.357,4822.3,,,,,
102,09/28/21 02:46:10 PM,28.357,15844.5,,,,,
103,09/28/21 02:46:40 PM,28.357,16533.4,,,,,
104,09/28/21 02:47:10 PM,28.357,5166.7,,,,,
105,09/28/21 02:47:40 PM,28.258,4133.4,,,,,
106,09/28/21 02:48:10 PM,28.258,5338.9,,,,,
107,09/28/21 02:48:40 PM,28.258,4822.3,,,,,
108,09/28/21 02:49:10 PM,28.258,4477.8,,,,,
109,09/28/21 02:49:40 PM,28.258,3788.9,,,,,
110,09/28/21 02:50:10 PM,28.258,3961.1,,,,,
111,09/28/21 02:50:40 PM,28.258,5338.9,,,,,
112,09/28/21 02:51:10 PM,28.258,4650.0,,,,,
113,09/28/21 02:51:40 PM,28.258,5511.1,,,,,
114,09/28/21 02:52:10 PM,28.159,4994.5,,,,,
115,09/28/21 02:52:40 PM,28.159,3961.1,,,,,
116,09/28/21 02:53:10 PM,28.159,4822.3,,,,,
117,09/28/21 02:53:40 PM,28.159,3616.7,,,,,
118,09/28/21 02:54:10 PM,28.159,4650.0,,,,,
119,09/28/21 02:54:40 PM,28.159,3616.7,,,,,
120,09/28/21 02:55:10 PM,28.258,6544.5,,,,,
121,09/28/21 02:55:40 PM,28.258,9644.5,,,,,
122,09/28/21 02:56:10 PM,28.258,6544.5,,,,,
123,09/28/21 02:56:40 PM,28.357,8266.7,,,,,
124,09/28/21 02:57:10 PM,28.159,43.1,,,,,
125,09/28/21 02:57:40 PM,28.060,0.0,,,,,
126,09/28/21 02:58:10 PM,27.961,0.0,,,,,
127,09/28/21 02:58:40 PM,27.862,0.0,,,,,
128,09/28/21 02:59:10 PM,27.764,0.0,,,,,
129,09/28/21 02:59:40 PM,27.764,0.0,,,,,
130,09/28/21 03:00:10 PM,27.665,0.0,,,,,
131,09/28/21 03:00:40 PM,27.665,0.0,,,,,
132,09/28/21 03:01:10 PM,27.665,0.0,,,,,
133,09/28/21 03:01:40 PM,27.665,0.0,,,,,
134,09/28/21 03:02:10 PM,27.665,0.0,,,,,
135,09/28/21 03:02:40 PM,27.567,0.0,,,,,
136,09/28/21 03:03:10 PM,27.567,0.0,,,,,
137,09/28/21 03:03:40 PM,27.567,0.0,,,,,
138,09/28/21 03:04:10 PM,27.567,0.0,,,,,
139,09/28/21 03:04:40 PM,27.567,0.0,,,,,
140,09/28/21 03:05:10 PM,27.567,0.0,,,,,
141,09/28/21 03:05:40 PM,27.567,0.0,,,,,
142,09/28/21 03:06:10 PM,27.567,0.0,,,,,
143,09/28/21 03:06:40 PM,27.567,0.0,,,,,
144,09/28/21 03:07:10 PM,27.567,0.0,,,,,
145,09/28/21 03:07:40 PM,27.567,0.0,,,,,
146,09/28/21 03:08:10 PM,27.567,0.0,,,,,
147,09/28/21 03:08:40 PM,27.567,0.0,,,,,
148,09/28/21 03:09:10 PM,27.567,0.0,,,,,
149,09/28/21 03:09:40 PM,27.567,968.8,,,,,
150,09/28/21 03:10:10 PM,27.665,3616.7,,,,,
151,09/28/21 03:10:40 PM,27.764,3788.9,,,,,
152,09/28/21 03:11:10 PM,27.862,1636.1,,,,,
153,09/28/21 03:11:40 PM,27.764,2927.8,,,,,
154,09/28/21 03:12:10 PM,27.764,1550.0,,,,,
155,09/28/21 03:12:40 PM,27.764,2238.9,,,,,
156,09/28/21 03:13:10 PM,27.764,5511.1,,,,,
157,09/28/21 03:13:40 PM,27.764,2755.6,,,,,
158,09/28/21 03:14:10 PM,27.764,4133.4,,,,,
159,09/28/21 03:14:40 PM,27.764,5166.7,,,,,
160,09/28/21 03:15:10 PM,27.764,3444.5,,,,,
161,09/28/21 03:15:40 PM,27.862,3616.7,,,,,
162,09/28/21 03:16:10 PM,27.862,4477.8,,,,,
163,09/28/21 03:16:40 PM,27.862,3961.1,,,,,
164,09/28/21 03:17:10 PM,27.862,3616.7,,,,,
165,09/28/21 03:17:40 PM,27.862,4650.0,,,,,
166,09/28/21 03:18:10 PM,27.862,5166.7,,,,,
167,09/28/21 03:18:40 PM,27.862,3616.7,,,,,
168,09/28/21 03:19:10 PM,27.862,8611.2,,,,,
169,09/28/21 03:19:40 PM,27.862,8266.7,,,,,
170,09/28/21 03:20:10 PM,27.862,2583.4,,,,,
171,09/28/21 03:20:40 PM,27.862,3272.2,,,,,
172,09/28/21 03:21:10 PM,27.862,4822.3,,,,,
173,09/28/21 03:21:40 PM,27.764,2325.0,,,,,
174,09/28/21 03:22:10 PM,27.764,4650.0,,,,,
175,09/28/21 03:22:40 PM,27.764,8611.2,,,,,
176,09/28/21 03:23:10 PM,27.764,2669.5,,,,,
177,09/28/21 03:23:40 PM,27.764,6200.0,,,,,
178,09/28/21 03:24:10 PM,27.764,6544.5,,,,,
179,09/28/21 03:24:40 PM,27.764,4305.6,,,,,
180,09/28/21 03:25:10 PM,27.764,5166.7,,,,,
181,09/28/21 03:25:40 PM,27.764,3100.0,,,,,
182,09/28/21 03:26:10 PM,27.665,1808.3,,,,,
183,09/28/21 03:26:40 PM,27.764,1722.2,,,,,
184,09/28/21 03:27:10 PM,27.764,3444.5,,,,,
185,09/28/21 03:27:40 PM,27.764,5511.1,,,,,
186,09/28/21 03:28:10 PM,27.665,2325.0,,,,,
187,09/28/21 03:28:40 PM,27.665,366.0,,,,,
188,09/28/21 03:29:10 PM,27.567,0.0,,,,,
189,09/28/21 03:29:40 PM,27.567,0.0,,,,,
190,09/28/21 03:30:10 PM,27.468,0.0,,,,,
191,09/28/21 03:30:40 PM,27.468,0.0,,,,,
192,09/28/21 03:31:10 PM,27.468,0.0,,,,,
193,09/28/21 03:31:40 PM,27.468,0.0,,,,,
194,09/28/21 03:32:10 PM,27.468,0.0,,,,,
195,09/28/21 03:32:40 PM,27.468,0.0,,,,,
196,09/28/21 03:33:10 PM,27.468,0.0,,,,,
197,09/28/21 03:33:40 PM,27.370,0.0,,,,,
198,09/28/21 03:34:10 PM,27.468,0.0,,,,,
199,09/28/21 03:34:40 PM,27.370,0.0,,,,,
200,09/28/21 03:35:10 PM,27.370,0.0,,,,,
201,09/28/21 03:35:40 PM,27.370,0.0,,,,,
202,09/28/21 03:36:10 PM,27.370,0.0,,,,,
203,09/28/21 03:36:40 PM,27.370,0.0,,,,,
204,09/28/21 03:37:10 PM,27.370,0.0,,,,,
205,09/28/21 03:37:40 PM,27.370,0.0,,,,,
206,09/28/21 03:38:10 PM,27.370,0.0,,,,,
207,09/28/21 03:38:40 PM,27.370,0.0,,,,,
208,09/28/21 03:39:10 PM,27.370,0.0,,,,,
209,09/28/21 03:39:40 PM,27.370,0.0,,,,,
210,09/28/21 03:40:10 PM,27.370,0.0,,,,,
211,09/28/21 03:40:40 PM,27.370,0.0,,,,,
212,09/28/21 03:41:10 PM,27.370,279.9,,,,,
213,09/28/21 03:41:40 PM,27.468,1237.9,,,,,
214,09/28/21 03:42:10 PM,27.567,4822.3,,,,,
215,09/28/21 03:42:40 PM,27.567,5166.7,,,,,
216,09/28/21 03:43:10 PM,27.567,1808.3,,,,,
217,09/28/21 03:43:40 PM,27.665,8266.7,,,,,
218,09/28/21 03:44:10 PM,27.567,452.1,,,,,
219,09/28/21 03:44:40 PM,27.567,1722.2,,,,,
220,09/28/21 03:45:10 PM,27.665,796.5,,,,,
221,09/28/21 03:45:40 PM,27.665,968.8,,,,,
222,09/28/21 03:46:10 PM,27.665,1722.2,,,,,
223,09/28/21 03:46:40 PM,27.764,1356.3,,,,,
224,09/28/21 03:47:10 PM,27.764,1345.5,,,,,
225,09/28/21 03:47:40 PM,27.862,2669.5,,,,,
226,09/28/21 03:48:10 PM,27.862,1722.2,,,,,
227,09/28/21 03:48:40 PM,27.961,1463.9,,,,,
228,09/28/21 03:49:10 PM,27.961,1259.4,,,,,
229,09/28/21 03:49:40 PM,27.961,1324.0,,,,,
230,09/28/21 03:50:10 PM,27.961,2583.4,,,,,
231,09/28/21 03:50:40 PM,27.961,1722.2,,,,,
232,09/28/21 03:51:10 PM,27.961,2325.0,,,,,
233,09/28/21 03:51:40 PM,28.060,1270.1,,,,,
234,09/28/21 03:52:10 PM,28.060,1463.9,,,,,
235,09/28/21 03:52:40 PM,28.060,990.3,,,,,
236,09/28/21 03:53:10 PM,28.060,1119.5,,,,,
237,09/28/21 03:53:40 PM,28.060,1636.1,,,,,
238,09/28/21 03:54:10 PM,28.060,1334.7,,,,,
239,09/28/21 03:54:40 PM,28.060,979.5,,,,,
240,09/28/21 03:55:10 PM,28.060,1808.3,,,,,
241,09/28/21 03:55:40 PM,27.961,1108.7,,,,,
242,09/28/21 03:56:10 PM,27.961,1302.4,,,,,
243,09/28/21 03:56:40 PM,27.862,538.2,,,,,
244,09/28/21 03:57:10 PM,27.862,1054.9,,,,,
245,09/28/21 03:57:40 PM,27.961,1162.5,,,,,
246,09/28/21 03:58:10 PM,27.862,1377.8,,,,,
247,09/28/21 03:58:40 PM,27.862,785.8,,,,,
248,09/28/21 03:59:10 PM,27.862,2152.8,,,,,
249,09/28/21 03:59:40 PM,27.862,1151.7,,,,,
250,09/28/21 04:00:10 PM,27.862,1550.0,,,,,
251,09/28/21 04:00:40 PM,27.862,1808.3,,,,,
252,09/28/21 04:01:10 PM,27.862,721.2,,,,,
253,09/28/21 04:01:40 PM,27.764,1636.1,,,,,
254,09/28/21 04:02:10 PM,27.764,2755.6,,,,,
255,09/28/21 04:02:40 PM,27.665,21.5,,,,,
256,09/28/21 04:03:10 PM,27.567,0.0,,,,,
257,09/28/21 04:03:40 PM,27.468,0.0,,,,,
258,09/28/21 04:04:10 PM,27.468,0.0,,,,,
259,09/28/21 04:04:40 PM,27.370,0.0,,,,,
260,09/28/21 04:05:10 PM,27.370,0.0,,,,,
261,09/28/21 04:05:40 PM,27.370,0.0,,,,,
262,09/28/21 04:06:10 PM,27.272,0.0,,,,,
263,09/28/21 04:06:40 PM,27.272,0.0,,,,,
264,09/28/21 04:07:10 PM,27.272,0.0,,,,,
265,09/28/21 04:07:40 PM,27.272,0.0,,,,,
266,09/28/21 04:08:10 PM,27.272,0.0,,,,,
267,09/28/21 04:08:40 PM,27.272,0.0,,,,,
268,09/28/21 04:09:10 PM,27.272,0.0,,,,,
269,09/28/21 04:09:40 PM,27.272,0.0,,,,,
270,09/28/21 04:10:10 PM,27.272,0.0,,,,,
271,09/28/21 04:10:40 PM,27.272,0.0,,,,,
272,09/28/21 04:11:10 PM,27.272,0.0,,,,,
273,09/28/21 04:11:40 PM,27.272,0.0,,,,,
274,09/28/21 04:12:10 PM,27.272,0.0,,,,,
275,09/28/21 04:12:40 PM,27.272,0.0,,,,,
276,09/28/21 04:13:10 PM,27.272,0.0,,,,,
277,09/28/21 04:13:40 PM,27.272,0.0,,,,,
278,09/28/21 04:14:10 PM,27.272,0.0,,,,,
279,09/28/21 04:14:40 PM,27.272,0.0,,,,,
280,09/28/21 04:15:10 PM,27.272,0.0,,,,,
281,09/28/21 04:15:40 PM,27.272,0.0,,,,,
282,09/28/21 04:16:10 PM,27.272,0.0,,,,,
