"Plot Title: hobo20211022"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20277816, SEN S/N: 20277816)","Intensity, Lux (LGR S/N: 20277816, SEN S/N: 20277816)","Coupler Detached (LGR S/N: 20277816)","Coupler Attached (LGR S/N: 20277816)","Host Connected (LGR S/N: 20277816)","Stopped (LGR S/N: 20277816)","End Of File (LGR S/N: 20277816)"
1,10/22/21 11:01:04 AM,26.195,0.0,,,,,
2,10/22/21 11:01:28 AM,,,Logged,,,,
3,10/22/21 11:01:34 AM,26.292,107.6,,,,,
4,10/22/21 11:02:04 AM,26.292,139.9,,,,,
5,10/22/21 11:02:34 AM,26.292,129.2,,,,,
6,10/22/21 11:03:04 AM,26.195,139.9,,,,,
7,10/22/21 11:03:34 AM,26.195,139.9,,,,,
8,10/22/21 11:04:04 AM,26.097,139.9,,,,,
9,10/22/21 11:04:34 AM,26.097,64.6,,,,,
10,10/22/21 11:05:04 AM,26.097,75.3,,,,,
11,10/22/21 11:05:34 AM,26.000,0.0,,,,,
12,10/22/21 11:06:04 AM,26.000,0.0,,,,,
13,10/22/21 11:06:34 AM,25.902,0.0,,,,,
14,10/22/21 11:07:04 AM,25.902,0.0,,,,,
15,10/22/21 11:07:34 AM,25.805,0.0,,,,,
16,10/22/21 11:08:04 AM,25.805,0.0,,,,,
17,10/22/21 11:08:34 AM,25.708,0.0,,,,,
18,10/22/21 11:09:04 AM,25.708,0.0,,,,,
19,10/22/21 11:09:34 AM,25.708,0.0,,,,,
20,10/22/21 11:10:04 AM,25.708,0.0,,,,,
21,10/22/21 11:10:34 AM,25.610,0.0,,,,,
22,10/22/21 11:11:04 AM,25.610,0.0,,,,,
23,10/22/21 11:11:34 AM,25.513,0.0,,,,,
24,10/22/21 11:12:04 AM,25.513,0.0,,,,,
25,10/22/21 11:12:34 AM,25.513,0.0,,,,,
26,10/22/21 11:13:04 AM,25.513,0.0,,,,,
27,10/22/21 11:13:34 AM,25.416,0.0,,,,,
28,10/22/21 11:14:04 AM,25.416,0.0,,,,,
29,10/22/21 11:14:34 AM,25.416,0.0,,,,,
30,10/22/21 11:15:04 AM,25.416,0.0,,,,,
31,10/22/21 11:15:34 AM,25.319,0.0,,,,,
32,10/22/21 11:16:04 AM,25.319,0.0,,,,,
33,10/22/21 11:16:34 AM,25.319,0.0,,,,,
34,10/22/21 11:17:04 AM,25.319,0.0,,,,,
35,10/22/21 11:17:34 AM,25.222,0.0,,,,,
36,10/22/21 11:18:04 AM,25.222,0.0,,,,,
37,10/22/21 11:18:34 AM,25.222,0.0,,,,,
38,10/22/21 11:19:04 AM,25.222,0.0,,,,,
39,10/22/21 11:19:34 AM,25.222,0.0,,,,,
40,10/22/21 11:20:04 AM,25.125,0.0,,,,,
41,10/22/21 11:20:34 AM,25.125,10.8,,,,,
42,10/22/21 11:21:04 AM,25.125,64.6,,,,,
43,10/22/21 11:21:34 AM,25.125,21.5,,,,,
44,10/22/21 11:22:04 AM,25.125,21.5,,,,,
45,10/22/21 11:22:34 AM,25.125,53.8,,,,,
46,10/22/21 11:23:04 AM,25.125,53.8,,,,,
47,10/22/21 11:23:34 AM,25.125,0.0,,,,,
48,10/22/21 11:24:04 AM,25.125,43.1,,,,,
49,10/22/21 11:24:34 AM,25.125,10.8,,,,,
50,10/22/21 11:25:04 AM,25.125,32.3,,,,,
51,10/22/21 11:25:34 AM,25.125,107.6,,,,,
52,10/22/21 11:26:04 AM,25.125,0.0,,,,,
53,10/22/21 11:26:34 AM,25.125,0.0,,,,,
54,10/22/21 11:27:04 AM,25.125,21.5,,,,,
55,10/22/21 11:27:34 AM,25.125,10.8,,,,,
56,10/22/21 11:28:04 AM,25.222,96.9,,,,,
57,10/22/21 11:28:34 AM,25.222,32.3,,,,,
58,10/22/21 11:29:04 AM,25.222,43.1,,,,,
59,10/22/21 11:29:34 AM,25.319,43.1,,,,,
60,10/22/21 11:30:04 AM,25.708,4994.5,,,,,
61,10/22/21 11:30:34 AM,26.097,7233.4,,,,,
62,10/22/21 11:31:04 AM,26.488,4650.0,,,,,
63,10/22/21 11:31:34 AM,26.683,9300.1,,,,,
64,10/22/21 11:32:04 AM,26.683,139.9,,,,,
65,10/22/21 11:32:34 AM,26.683,667.4,,,,,
66,10/22/21 11:33:04 AM,27.075,24800.2,,,,,
67,10/22/21 11:33:34 AM,27.370,10677.8,,,,,
68,10/22/21 11:34:04 AM,27.961,22044.6,,,,,
69,10/22/21 11:34:34 AM,28.357,19289.0,,,,,
70,10/22/21 11:35:04 AM,28.555,93689.5,,,,,
71,10/22/21 11:35:34 AM,29.252,82667.2,,,,,
72,10/22/21 11:36:04 AM,29.452,24800.2,,,,,
73,10/22/21 11:36:34 AM,29.652,28933.5,,,,,
74,10/22/21 11:37:04 AM,30.356,49600.3,,,,,
75,10/22/21 11:37:34 AM,30.760,33066.9,,,,,
76,10/22/21 11:38:04 AM,31.064,12400.1,,,,,
77,10/22/21 11:38:34 AM,31.268,26178.0,,,,,
78,10/22/21 11:39:04 AM,31.676,13089.0,,,,,
79,10/22/21 11:39:34 AM,31.676,366.0,,,,,
80,10/22/21 11:40:04 AM,30.659,516.7,,,,,
81,10/22/21 11:40:34 AM,30.054,441.3,,,,,
82,10/22/21 11:41:04 AM,29.552,473.6,,,,,
83,10/22/21 11:41:34 AM,29.152,452.1,,,,,
84,10/22/21 11:42:04 AM,28.754,538.2,,,,,
85,10/22/21 11:42:34 AM,28.456,818.1,,,,,
86,10/22/21 11:43:04 AM,28.159,3616.7,,,,,
87,10/22/21 11:43:34 AM,27.961,5338.9,,,,,
88,10/22/21 11:44:04 AM,27.961,4133.4,,,,,
89,10/22/21 11:44:34 AM,27.961,8266.7,,,,,
90,10/22/21 11:45:04 AM,27.961,11022.3,,,,,
91,10/22/21 11:45:34 AM,28.060,6544.5,,,,,
92,10/22/21 11:46:04 AM,28.258,8611.2,,,,,
93,10/22/21 11:46:34 AM,28.258,8266.7,,,,,
94,10/22/21 11:47:04 AM,28.357,10677.8,,,,,
95,10/22/21 11:47:34 AM,28.456,11711.2,,,,,
96,10/22/21 11:48:04 AM,28.456,11022.3,,,,,
97,10/22/21 11:48:34 AM,28.555,11022.3,,,,,
98,10/22/21 11:49:04 AM,28.555,13089.0,,,,,
99,10/22/21 11:49:34 AM,28.456,12400.1,,,,,
100,10/22/21 11:50:04 AM,28.357,8266.7,,,,,
101,10/22/21 11:50:34 AM,28.456,8266.7,,,,,
102,10/22/21 11:51:04 AM,28.456,10333.4,,,,,
103,10/22/21 11:51:34 AM,28.456,6544.5,,,,,
104,10/22/21 11:52:04 AM,28.456,9644.5,,,,,
105,10/22/21 11:52:34 AM,28.456,10677.8,,,,,
106,10/22/21 11:53:04 AM,28.555,11711.2,,,,,
107,10/22/21 11:53:34 AM,28.555,8611.2,,,,,
108,10/22/21 11:54:04 AM,28.456,7233.4,,,,,
109,10/22/21 11:54:34 AM,28.456,9644.5,,,,,
110,10/22/21 11:55:04 AM,28.555,9644.5,,,,,
111,10/22/21 11:55:34 AM,28.655,10333.4,,,,,
112,10/22/21 11:56:04 AM,28.655,11022.3,,,,,
113,10/22/21 11:56:34 AM,28.655,10333.4,,,,,
114,10/22/21 11:57:04 AM,28.754,9300.1,,,,,
115,10/22/21 11:57:34 AM,28.655,10677.8,,,,,
116,10/22/21 11:58:04 AM,28.258,2583.4,,,,,
117,10/22/21 11:58:34 AM,28.456,8266.7,,,,,
118,10/22/21 11:59:04 AM,28.456,8266.7,,,,,
119,10/22/21 11:59:34 AM,28.456,8266.7,,,,,
120,10/22/21 12:00:04 PM,28.456,8266.7,,,,,
121,10/22/21 12:00:34 PM,28.456,8266.7,,,,,
122,10/22/21 12:01:04 PM,28.555,10677.8,,,,,
123,10/22/21 12:01:34 PM,28.555,10333.4,,,,,
124,10/22/21 12:02:04 PM,28.555,7577.8,,,,,
125,10/22/21 12:02:34 PM,28.555,38578.0,,,,,
126,10/22/21 12:03:04 PM,28.555,16533.4,,,,,
127,10/22/21 12:03:34 PM,28.555,26178.0,,,,,
128,10/22/21 12:04:04 PM,28.555,11022.3,,,,,
129,10/22/21 12:04:34 PM,28.555,12400.1,,,,,
130,10/22/21 12:05:04 PM,28.555,17911.2,,,,,
131,10/22/21 12:05:34 PM,28.555,12400.1,,,,,
132,10/22/21 12:06:04 PM,28.555,16533.4,,,,,
133,10/22/21 12:06:34 PM,28.555,12400.1,,,,,
134,10/22/21 12:07:04 PM,28.655,8266.7,,,,,
135,10/22/21 12:07:34 PM,28.655,12400.1,,,,,
136,10/22/21 12:08:04 PM,28.456,9300.1,,,,,
