"Plot Title: 2021_11_17_b"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, Lux (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
1,11/17/21 10:23:15 AM,26.292,0.0,,,,,
2,11/17/21 10:23:24 AM,,,Logged,,,,
3,11/17/21 10:23:45 AM,26.390,86.1,,,,,
4,11/17/21 10:24:15 AM,26.292,0.0,,,,,
5,11/17/21 10:24:45 AM,26.292,0.0,,,,,
6,11/17/21 10:25:15 AM,26.292,0.0,,,,,
7,11/17/21 10:25:45 AM,26.292,0.0,,,,,
8,11/17/21 10:26:15 AM,26.292,0.0,,,,,
9,11/17/21 10:26:45 AM,26.195,0.0,,,,,
10,11/17/21 10:27:15 AM,26.195,0.0,,,,,
11,11/17/21 10:27:45 AM,26.097,0.0,,,,,
12,11/17/21 10:28:15 AM,26.097,0.0,,,,,
13,11/17/21 10:28:45 AM,26.000,0.0,,,,,
14,11/17/21 10:29:15 AM,26.000,0.0,,,,,
15,11/17/21 10:29:45 AM,25.902,0.0,,,,,
16,11/17/21 10:30:15 AM,25.902,0.0,,,,,
17,11/17/21 10:30:45 AM,25.902,0.0,,,,,
18,11/17/21 10:31:15 AM,25.805,0.0,,,,,
19,11/17/21 10:31:45 AM,25.805,0.0,,,,,
20,11/17/21 10:32:15 AM,25.708,0.0,,,,,
21,11/17/21 10:32:45 AM,25.708,0.0,,,,,
22,11/17/21 10:33:15 AM,25.610,0.0,,,,,
23,11/17/21 10:33:45 AM,25.610,0.0,,,,,
24,11/17/21 10:34:15 AM,25.610,0.0,,,,,
25,11/17/21 10:34:45 AM,25.513,0.0,,,,,
26,11/17/21 10:35:15 AM,25.513,0.0,,,,,
27,11/17/21 10:35:45 AM,25.513,0.0,,,,,
28,11/17/21 10:36:15 AM,25.513,0.0,,,,,
29,11/17/21 10:36:45 AM,25.513,0.0,,,,,
30,11/17/21 10:37:15 AM,25.513,0.0,,,,,
31,11/17/21 10:37:45 AM,25.513,0.0,,,,,
32,11/17/21 10:38:15 AM,25.416,0.0,,,,,
33,11/17/21 10:38:45 AM,25.416,0.0,,,,,
34,11/17/21 10:39:15 AM,25.416,0.0,,,,,
35,11/17/21 10:39:45 AM,25.416,0.0,,,,,
36,11/17/21 10:40:15 AM,25.319,0.0,,,,,
37,11/17/21 10:40:45 AM,25.319,0.0,,,,,
38,11/17/21 10:41:15 AM,25.319,0.0,,,,,
39,11/17/21 10:41:45 AM,25.319,0.0,,,,,
40,11/17/21 10:42:15 AM,25.319,0.0,,,,,
41,11/17/21 10:42:45 AM,25.319,0.0,,,,,
42,11/17/21 10:43:15 AM,25.319,0.0,,,,,
43,11/17/21 10:43:45 AM,25.319,0.0,,,,,
44,11/17/21 10:44:15 AM,25.319,0.0,,,,,
45,11/17/21 10:44:45 AM,25.319,107.6,,,,,
46,11/17/21 10:45:15 AM,25.319,0.0,,,,,
47,11/17/21 10:45:45 AM,25.222,0.0,,,,,
48,11/17/21 10:46:15 AM,25.222,0.0,,,,,
49,11/17/21 10:46:45 AM,25.222,10.8,,,,,
50,11/17/21 10:47:15 AM,25.222,10.8,,,,,
51,11/17/21 10:47:45 AM,25.125,10.8,,,,,
52,11/17/21 10:48:15 AM,25.125,10.8,,,,,
53,11/17/21 10:48:45 AM,25.125,10.8,,,,,
54,11/17/21 10:49:15 AM,25.028,0.0,,,,,
55,11/17/21 10:49:45 AM,25.028,10.8,,,,,
56,11/17/21 10:50:15 AM,25.028,0.0,,,,,
57,11/17/21 10:50:45 AM,24.931,1087.2,,,,,
58,11/17/21 10:51:15 AM,25.125,19977.9,,,,,
59,11/17/21 10:51:45 AM,25.125,8266.7,,,,,
60,11/17/21 10:52:15 AM,25.222,2497.2,,,,,
61,11/17/21 10:52:45 AM,25.319,2583.4,,,,,
62,11/17/21 10:53:15 AM,25.319,2583.4,,,,,
63,11/17/21 10:53:45 AM,25.416,2583.4,,,,,
64,11/17/21 10:54:15 AM,25.416,2669.5,,,,,
65,11/17/21 10:54:45 AM,25.610,22044.6,,,,,
66,11/17/21 10:55:15 AM,25.902,22044.6,,,,,
67,11/17/21 10:55:45 AM,26.000,1980.6,,,,,
68,11/17/21 10:56:15 AM,26.097,2066.7,,,,,
69,11/17/21 10:56:45 AM,26.195,2325.0,,,,,
70,11/17/21 10:57:15 AM,26.292,9300.1,,,,,
71,11/17/21 10:57:45 AM,26.390,7233.4,,,,,
72,11/17/21 10:58:15 AM,26.585,16533.4,,,,,
73,11/17/21 10:58:45 AM,26.683,6200.0,,,,,
74,11/17/21 10:59:15 AM,26.781,3100.0,,,,,
75,11/17/21 10:59:45 AM,26.879,1011.8,,,,,
76,11/17/21 11:00:15 AM,26.879,1076.4,,,,,
77,11/17/21 11:00:45 AM,26.977,1087.2,,,,,
78,11/17/21 11:01:15 AM,26.977,1076.4,,,,,
79,11/17/21 11:01:45 AM,27.075,1076.4,,,,,
80,11/17/21 11:02:15 AM,27.075,1076.4,,,,,
81,11/17/21 11:02:45 AM,27.075,1087.2,,,,,
82,11/17/21 11:03:15 AM,27.075,1087.2,,,,,
83,11/17/21 11:03:45 AM,27.075,1087.2,,,,,
84,11/17/21 11:04:15 AM,27.173,1087.2,,,,,
85,11/17/21 11:04:45 AM,27.173,1087.2,,,,,
86,11/17/21 11:05:15 AM,27.075,1076.4,,,,,
87,11/17/21 11:05:45 AM,27.075,1087.2,,,,,
88,11/17/21 11:06:15 AM,27.075,1076.4,,,,,
89,11/17/21 11:06:45 AM,27.075,1087.2,,,,,
90,11/17/21 11:07:15 AM,27.075,1076.4,,,,,
91,11/17/21 11:07:45 AM,27.075,1087.2,,,,,
92,11/17/21 11:08:15 AM,26.977,1087.2,,,,,
93,11/17/21 11:08:45 AM,26.977,1087.2,,,,,
94,11/17/21 11:09:15 AM,26.977,1087.2,,,,,
95,11/17/21 11:09:45 AM,26.977,1087.2,,,,,
96,11/17/21 11:10:15 AM,26.977,1097.9,,,,,
97,11/17/21 11:10:45 AM,26.879,1087.2,,,,,
98,11/17/21 11:11:15 AM,26.879,1097.9,,,,,
99,11/17/21 11:11:45 AM,26.879,1097.9,,,,,
100,11/17/21 11:12:15 AM,26.879,1097.9,,,,,
101,11/17/21 11:12:45 AM,26.781,1097.9,,,,,
102,11/17/21 11:13:15 AM,26.781,1097.9,,,,,
103,11/17/21 11:13:45 AM,26.781,1194.8,,,,,
104,11/17/21 11:14:15 AM,26.781,1184.0,,,,,
105,11/17/21 11:14:45 AM,26.781,1076.4,,,,,
106,11/17/21 11:15:15 AM,26.781,968.8,,,,,
107,11/17/21 11:15:45 AM,26.683,1184.0,,,,,
108,11/17/21 11:16:15 AM,26.683,893.4,,,,,
109,11/17/21 11:16:45 AM,26.683,2066.7,,,,,
110,11/17/21 11:17:15 AM,26.585,43.1,,,,,
111,11/17/21 11:17:45 AM,26.488,1894.5,,,,,
112,11/17/21 11:18:15 AM,26.488,1894.5,,,,,
113,11/17/21 11:18:45 AM,26.390,290.6,,,,,
114,11/17/21 11:19:15 AM,26.488,635.1,,,,,
115,11/17/21 11:19:45 AM,26.683,290.6,,,,,
116,11/17/21 11:20:15 AM,26.781,1550.0,,,,,
117,11/17/21 11:20:45 AM,26.879,1205.6,,,,,
118,11/17/21 11:21:15 AM,26.977,1894.5,,,,,
119,11/17/21 11:21:45 AM,27.173,1808.3,,,,,
120,11/17/21 11:22:15 AM,27.272,5511.1,,,,,
121,11/17/21 11:22:45 AM,27.370,11022.3,,,,,
122,11/17/21 11:23:15 AM,27.468,44089.2,,,,,
123,11/17/21 11:23:45 AM,27.665,8611.2,,,,,
124,11/17/21 11:24:15 AM,27.665,645.8,,,,,
125,11/17/21 11:24:45 AM,27.862,2927.8,,,,,
126,11/17/21 11:25:15 AM,27.764,2927.8,,,,,
127,11/17/21 11:25:45 AM,27.862,12400.1,,,,,
128,11/17/21 11:26:15 AM,27.961,46844.8,,,,,
129,11/17/21 11:26:45 AM,28.159,20666.8,,,,,
130,11/17/21 11:27:15 AM,28.159,13777.9,,,,,
131,11/17/21 11:27:45 AM,28.258,13089.0,,,,,
132,11/17/21 11:28:15 AM,28.258,22044.6,,,,,
133,11/17/21 11:28:45 AM,28.357,18600.1,,,,,
134,11/17/21 11:29:15 AM,28.357,31689.1,,,,,
135,11/17/21 11:29:45 AM,28.555,33066.9,,,,,
136,11/17/21 11:30:15 AM,28.655,44089.2,,,,,
137,11/17/21 11:30:45 AM,28.655,79911.6,,,,,
138,11/17/21 11:31:15 AM,28.754,55111.5,,,,,
139,11/17/21 11:31:45 AM,28.754,24800.2,,,,,
140,11/17/21 11:32:15 AM,28.853,17222.3,,,,,
141,11/17/21 11:32:45 AM,28.853,17222.3,,,,,
142,11/17/21 11:33:15 AM,28.853,18600.1,,,,,
143,11/17/21 11:33:45 AM,28.953,33066.9,,,,,
144,11/17/21 11:34:15 AM,28.953,20666.8,,,,,
145,11/17/21 11:34:45 AM,28.953,34444.7,,,,,
146,11/17/21 11:35:15 AM,28.953,17911.2,,,,,
147,11/17/21 11:35:45 AM,28.953,11711.2,,,,,
148,11/17/21 11:36:15 AM,28.953,22044.6,,,,,
149,11/17/21 11:36:45 AM,28.953,12400.1,,,,,
150,11/17/21 11:37:15 AM,28.953,15155.7,,,,,
151,11/17/21 11:37:45 AM,28.953,12400.1,,,,,
152,11/17/21 11:38:15 AM,28.953,34444.7,,,,,
153,11/17/21 11:38:45 AM,28.953,16533.4,,,,,
154,11/17/21 11:39:15 AM,28.953,14466.8,,,,,
155,11/17/21 11:39:45 AM,28.953,23422.4,,,,,
156,11/17/21 11:40:15 AM,29.053,30311.3,,,,,
157,11/17/21 11:40:45 AM,29.053,22044.6,,,,,
158,11/17/21 11:41:15 AM,29.053,17222.3,,,,,
159,11/17/21 11:41:45 AM,29.053,24800.2,,,,,
160,11/17/21 11:42:15 AM,29.053,11711.2,,,,,
161,11/17/21 11:42:45 AM,29.053,22044.6,,,,,
162,11/17/21 11:43:15 AM,29.053,26178.0,,,,,
163,11/17/21 11:43:45 AM,29.053,30311.3,,,,,
164,11/17/21 11:44:15 AM,29.053,14466.8,,,,,
165,11/17/21 11:44:45 AM,28.953,19289.0,,,,,
166,11/17/21 11:45:15 AM,29.053,17911.2,,,,,
167,11/17/21 11:45:45 AM,28.953,22044.6,,,,,
168,11/17/21 11:46:15 AM,28.754,53.8,,,,,
169,11/17/21 11:46:45 AM,28.456,183.0,,,,,
170,11/17/21 11:47:15 AM,28.258,0.0,,,,,
171,11/17/21 11:47:45 AM,28.060,0.0,,,,,
172,11/17/21 11:48:15 AM,27.961,0.0,,,,,
173,11/17/21 11:48:45 AM,27.862,0.0,,,,,
174,11/17/21 11:49:15 AM,27.764,0.0,,,,,
175,11/17/21 11:49:45 AM,27.665,0.0,,,,,
176,11/17/21 11:50:15 AM,27.665,0.0,,,,,
177,11/17/21 11:50:45 AM,27.567,0.0,,,,,
178,11/17/21 11:51:15 AM,27.567,0.0,,,,,
179,11/17/21 11:51:45 AM,27.567,0.0,,,,,
180,11/17/21 11:52:15 AM,27.567,0.0,,,,,
181,11/17/21 11:52:45 AM,27.567,0.0,,,,,
182,11/17/21 11:53:15 AM,27.567,0.0,,,,,
183,11/17/21 11:53:45 AM,27.468,0.0,,,,,
184,11/17/21 11:54:15 AM,27.468,0.0,,,,,
185,11/17/21 11:54:45 AM,27.468,0.0,,,,,
186,11/17/21 11:55:15 AM,27.468,0.0,,,,,
187,11/17/21 11:55:45 AM,27.468,0.0,,,,,
188,11/17/21 11:56:15 AM,27.468,0.0,,,,,
189,11/17/21 11:56:45 AM,27.468,0.0,,,,,
190,11/17/21 11:57:15 AM,27.468,0.0,,,,,
191,11/17/21 11:57:45 AM,27.468,0.0,,,,,
192,11/17/21 11:58:15 AM,27.468,0.0,,,,,
193,11/17/21 11:58:45 AM,27.764,24800.2,,,,,
194,11/17/21 11:59:15 AM,28.060,23422.4,,,,,
195,11/17/21 11:59:45 AM,28.258,5511.1,,,,,
196,11/17/21 12:00:15 PM,28.357,49600.3,,,,,
197,11/17/21 12:00:45 PM,28.258,3788.9,,,,,
198,11/17/21 12:01:15 PM,28.258,18600.1,,,,,
199,11/17/21 12:01:45 PM,28.357,22044.6,,,,,
200,11/17/21 12:02:15 PM,28.456,14466.8,,,,,
201,11/17/21 12:02:45 PM,28.555,13777.9,,,,,
202,11/17/21 12:03:15 PM,28.555,5511.1,,,,,
203,11/17/21 12:03:45 PM,28.555,9644.5,,,,,
204,11/17/21 12:04:15 PM,28.655,9300.1,,,,,
205,11/17/21 12:04:45 PM,28.655,10333.4,,,,,
206,11/17/21 12:05:15 PM,28.655,11022.3,,,,,
207,11/17/21 12:05:45 PM,28.754,8611.2,,,,,
208,11/17/21 12:06:15 PM,28.655,5338.9,,,,,
209,11/17/21 12:06:45 PM,28.655,21355.7,,,,,
210,11/17/21 12:07:15 PM,28.754,7233.4,,,,,
211,11/17/21 12:07:45 PM,28.754,52355.9,,,,,
212,11/17/21 12:08:15 PM,28.754,35822.5,,,,,
213,11/17/21 12:08:45 PM,28.853,52355.9,,,,,
214,11/17/21 12:09:15 PM,28.953,17911.2,,,,,
215,11/17/21 12:09:45 PM,29.053,41333.6,,,,,
216,11/17/21 12:10:15 PM,29.053,39955.8,,,,,
217,11/17/21 12:10:45 PM,29.152,20666.8,,,,,
218,11/17/21 12:11:15 PM,29.152,17222.3,,,,,
219,11/17/21 12:11:45 PM,29.152,22044.6,,,,,
220,11/17/21 12:12:15 PM,29.152,46844.8,,,,,
221,11/17/21 12:12:45 PM,29.152,31689.1,,,,,
222,11/17/21 12:13:15 PM,28.953,86.1,,,,,
223,11/17/21 12:13:45 PM,28.754,0.0,,,,,
224,11/17/21 12:14:15 PM,28.555,0.0,,,,,
225,11/17/21 12:14:45 PM,28.357,0.0,,,,,
226,11/17/21 12:15:15 PM,28.258,0.0,,,,,
227,11/17/21 12:15:45 PM,28.159,0.0,,,,,
228,11/17/21 12:16:15 PM,28.060,0.0,,,,,
229,11/17/21 12:16:45 PM,27.961,0.0,,,,,
230,11/17/21 12:17:15 PM,27.961,0.0,,,,,
231,11/17/21 12:17:45 PM,27.961,0.0,,,,,
232,11/17/21 12:18:15 PM,27.862,0.0,,,,,
233,11/17/21 12:18:45 PM,27.862,0.0,,,,,
234,11/17/21 12:19:15 PM,27.862,0.0,,,,,
235,11/17/21 12:19:45 PM,27.862,0.0,,,,,
236,11/17/21 12:20:15 PM,27.862,0.0,,,,,
237,11/17/21 12:20:45 PM,27.764,0.0,,,,,
238,11/17/21 12:21:15 PM,27.961,4994.5,,,,,
239,11/17/21 12:21:45 PM,28.258,4650.0,,,,,
240,11/17/21 12:22:15 PM,28.258,3961.1,,,,,
241,11/17/21 12:22:45 PM,28.357,7233.4,,,,,
242,11/17/21 12:23:15 PM,28.555,7233.4,,,,,
243,11/17/21 12:23:45 PM,28.655,6200.0,,,,,
244,11/17/21 12:24:15 PM,28.655,5338.9,,,,,
245,11/17/21 12:24:45 PM,28.754,5166.7,,,,,
246,11/17/21 12:25:15 PM,28.853,6200.0,,,,,
247,11/17/21 12:25:45 PM,28.953,5511.1,,,,,
248,11/17/21 12:26:15 PM,28.953,7577.8,,,,,
249,11/17/21 12:26:45 PM,28.953,9300.1,,,,,
250,11/17/21 12:27:15 PM,28.953,7233.4,,,,,
