"Plot Title: 2021_11_21_b"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, Lux (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
1,11/21/21 11:15:31 AM,26.488,86.1,,,,,
2,11/21/21 11:15:43 AM,,,Logged,,,,
3,11/21/21 11:16:01 AM,26.781,172.2,,,,,
4,11/21/21 11:16:31 AM,26.977,204.5,,,,,
5,11/21/21 11:17:01 AM,26.977,193.8,,,,,
6,11/21/21 11:17:31 AM,26.977,193.8,,,,,
7,11/21/21 11:18:01 AM,26.977,193.8,,,,,
8,11/21/21 11:18:31 AM,26.879,204.5,,,,,
9,11/21/21 11:19:01 AM,26.879,193.8,,,,,
10,11/21/21 11:19:31 AM,26.879,10.8,,,,,
11,11/21/21 11:20:01 AM,26.879,21.5,,,,,
12,11/21/21 11:20:31 AM,26.977,21.5,,,,,
13,11/21/21 11:21:01 AM,26.977,10.8,,,,,
14,11/21/21 11:21:31 AM,26.977,21.5,,,,,
15,11/21/21 11:22:01 AM,26.879,21.5,,,,,
16,11/21/21 11:22:31 AM,26.879,21.5,,,,,
17,11/21/21 11:23:01 AM,26.879,21.5,,,,,
18,11/21/21 11:23:31 AM,26.879,21.5,,,,,
19,11/21/21 11:24:01 AM,26.879,21.5,,,,,
20,11/21/21 11:24:31 AM,26.781,0.0,,,,,
21,11/21/21 11:25:01 AM,26.781,0.0,,,,,
22,11/21/21 11:25:31 AM,26.683,0.0,,,,,
23,11/21/21 11:26:01 AM,26.683,10.8,,,,,
24,11/21/21 11:26:31 AM,26.585,64.6,,,,,
25,11/21/21 11:27:01 AM,26.585,1054.9,,,,,
26,11/21/21 11:27:31 AM,26.488,1324.0,,,,,
27,11/21/21 11:28:01 AM,26.488,2152.8,,,,,
28,11/21/21 11:28:31 AM,26.488,1463.9,,,,,
29,11/21/21 11:29:01 AM,26.585,7577.8,,,,,
30,11/21/21 11:29:31 AM,26.585,3616.7,,,,,
31,11/21/21 11:30:01 AM,26.683,4305.6,,,,,
32,11/21/21 11:30:31 AM,26.683,4994.5,,,,,
33,11/21/21 11:31:01 AM,26.781,5166.7,,,,,
34,11/21/21 11:31:31 AM,26.879,15155.7,,,,,
35,11/21/21 11:32:01 AM,27.075,15155.7,,,,,
36,11/21/21 11:32:31 AM,27.173,15155.7,,,,,
37,11/21/21 11:33:01 AM,27.370,15155.7,,,,,
38,11/21/21 11:33:31 AM,27.567,15155.7,,,,,
39,11/21/21 11:34:01 AM,27.665,2152.8,,,,,
40,11/21/21 11:34:31 AM,27.862,2066.7,,,,,
41,11/21/21 11:35:01 AM,27.961,4477.8,,,,,
42,11/21/21 11:35:31 AM,28.159,14466.8,,,,,
43,11/21/21 11:36:01 AM,28.357,11711.2,,,,,
44,11/21/21 11:36:31 AM,28.555,1173.3,,,,,
45,11/21/21 11:37:01 AM,28.754,1280.9,,,,,
46,11/21/21 11:37:31 AM,28.953,7233.4,,,,,
47,11/21/21 11:38:01 AM,29.652,22044.6,,,,,
48,11/21/21 11:38:31 AM,30.154,22044.6,,,,,
49,11/21/21 11:39:01 AM,30.659,22044.6,,,,,
50,11/21/21 11:39:31 AM,31.166,24800.2,,,,,
51,11/21/21 11:40:01 AM,31.778,24800.2,,,,,
52,11/21/21 11:40:31 AM,32.394,24800.2,,,,,
53,11/21/21 11:41:01 AM,32.807,13777.9,,,,,
54,11/21/21 11:41:31 AM,33.430,26178.0,,,,,
