"Plot Title: 2021_11_17_a"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20277816, SEN S/N: 20277816)","Intensity, Lux (LGR S/N: 20277816, SEN S/N: 20277816)","Coupler Detached (LGR S/N: 20277816)","Coupler Attached (LGR S/N: 20277816)","Host Connected (LGR S/N: 20277816)","Stopped (LGR S/N: 20277816)","End Of File (LGR S/N: 20277816)"
1,11/17/21 10:22:34 AM,26.488,0.0,,,,,
2,11/17/21 10:22:41 AM,,,Logged,,,,
3,11/17/21 10:23:04 AM,26.390,0.0,,,,,
4,11/17/21 10:23:34 AM,26.390,118.4,,,,,
5,11/17/21 10:24:04 AM,26.292,0.0,,,,,
6,11/17/21 10:24:34 AM,26.292,96.9,,,,,
7,11/17/21 10:25:04 AM,26.292,107.6,,,,,
8,11/17/21 10:25:34 AM,26.292,96.9,,,,,
9,11/17/21 10:26:04 AM,26.195,107.6,,,,,
10,11/17/21 10:26:34 AM,26.195,96.9,,,,,
11,11/17/21 10:27:04 AM,26.097,96.9,,,,,
12,11/17/21 10:27:34 AM,26.097,96.9,,,,,
13,11/17/21 10:28:04 AM,26.097,107.6,,,,,
14,11/17/21 10:28:34 AM,26.000,107.6,,,,,
15,11/17/21 10:29:04 AM,26.000,107.6,,,,,
16,11/17/21 10:29:34 AM,26.000,107.6,,,,,
17,11/17/21 10:30:04 AM,26.000,96.9,,,,,
18,11/17/21 10:30:34 AM,25.902,107.6,,,,,
19,11/17/21 10:31:04 AM,25.902,96.9,,,,,
20,11/17/21 10:31:34 AM,25.805,86.1,,,,,
21,11/17/21 10:32:04 AM,25.805,107.6,,,,,
22,11/17/21 10:32:34 AM,25.805,107.6,,,,,
23,11/17/21 10:33:04 AM,25.708,107.6,,,,,
24,11/17/21 10:33:34 AM,25.708,107.6,,,,,
25,11/17/21 10:34:04 AM,25.708,107.6,,,,,
26,11/17/21 10:34:34 AM,25.610,107.6,,,,,
27,11/17/21 10:35:04 AM,25.610,107.6,,,,,
28,11/17/21 10:35:34 AM,25.610,107.6,,,,,
29,11/17/21 10:36:04 AM,25.610,107.6,,,,,
30,11/17/21 10:36:34 AM,25.610,96.9,,,,,
31,11/17/21 10:37:04 AM,25.513,107.6,,,,,
32,11/17/21 10:37:34 AM,25.513,107.6,,,,,
33,11/17/21 10:38:04 AM,25.513,107.6,,,,,
34,11/17/21 10:38:34 AM,25.513,107.6,,,,,
35,11/17/21 10:39:04 AM,25.513,96.9,,,,,
36,11/17/21 10:39:34 AM,25.513,107.6,,,,,
37,11/17/21 10:40:04 AM,25.416,96.9,,,,,
38,11/17/21 10:40:34 AM,25.513,107.6,,,,,
39,11/17/21 10:41:04 AM,25.416,107.6,,,,,
40,11/17/21 10:41:34 AM,25.416,96.9,,,,,
41,11/17/21 10:42:04 AM,25.416,107.6,,,,,
42,11/17/21 10:42:34 AM,25.416,96.9,,,,,
43,11/17/21 10:43:04 AM,25.416,96.9,,,,,
44,11/17/21 10:43:34 AM,25.416,107.6,,,,,
45,11/17/21 10:44:04 AM,25.319,107.6,,,,,
46,11/17/21 10:44:34 AM,25.319,107.6,,,,,
47,11/17/21 10:45:04 AM,25.319,0.0,,,,,
48,11/17/21 10:45:34 AM,25.319,0.0,,,,,
49,11/17/21 10:46:04 AM,25.319,0.0,,,,,
50,11/17/21 10:46:34 AM,25.319,0.0,,,,,
51,11/17/21 10:47:04 AM,25.319,0.0,,,,,
52,11/17/21 10:47:34 AM,25.222,0.0,,,,,
53,11/17/21 10:48:04 AM,25.222,0.0,,,,,
54,11/17/21 10:48:34 AM,25.125,0.0,,,,,
55,11/17/21 10:49:04 AM,25.125,0.0,,,,,
56,11/17/21 10:49:34 AM,25.125,0.0,,,,,
57,11/17/21 10:50:04 AM,25.125,0.0,,,,,
58,11/17/21 10:50:34 AM,25.028,10.8,,,,,
59,11/17/21 10:51:04 AM,25.125,139.9,,,,,
60,11/17/21 10:51:34 AM,25.319,215.3,,,,,
61,11/17/21 10:52:04 AM,25.319,10.8,,,,,
62,11/17/21 10:52:34 AM,25.416,43.1,,,,,
63,11/17/21 10:53:04 AM,25.513,43.1,,,,,
64,11/17/21 10:53:34 AM,25.513,43.1,,,,,
65,11/17/21 10:54:04 AM,25.610,43.1,,,,,
66,11/17/21 10:54:34 AM,25.708,516.7,,,,,
67,11/17/21 10:55:04 AM,26.195,925.7,,,,,
68,11/17/21 10:55:34 AM,26.292,64.6,,,,,
69,11/17/21 10:56:04 AM,26.390,118.4,,,,,
70,11/17/21 10:56:34 AM,26.488,150.7,,,,,
71,11/17/21 10:57:04 AM,26.488,376.7,,,,,
72,11/17/21 10:57:34 AM,26.781,419.8,,,,,
73,11/17/21 10:58:04 AM,26.781,193.8,,,,,
74,11/17/21 10:58:34 AM,26.977,1377.8,,,,,
75,11/17/21 10:59:04 AM,27.173,86.1,,,,,
76,11/17/21 10:59:34 AM,27.173,96.9,,,,,
77,11/17/21 11:00:04 AM,27.173,43.1,,,,,
78,11/17/21 11:00:34 AM,27.272,43.1,,,,,
79,11/17/21 11:01:04 AM,27.272,43.1,,,,,
80,11/17/21 11:01:34 AM,27.272,43.1,,,,,
81,11/17/21 11:02:04 AM,27.272,43.1,,,,,
82,11/17/21 11:02:34 AM,27.272,43.1,,,,,
83,11/17/21 11:03:04 AM,27.173,43.1,,,,,
84,11/17/21 11:03:34 AM,27.173,43.1,,,,,
85,11/17/21 11:04:04 AM,27.173,43.1,,,,,
86,11/17/21 11:04:34 AM,27.173,43.1,,,,,
87,11/17/21 11:05:04 AM,27.173,43.1,,,,,
88,11/17/21 11:05:34 AM,27.075,43.1,,,,,
89,11/17/21 11:06:04 AM,27.075,43.1,,,,,
90,11/17/21 11:06:34 AM,27.075,43.1,,,,,
91,11/17/21 11:07:04 AM,27.075,43.1,,,,,
92,11/17/21 11:07:34 AM,27.075,43.1,,,,,
93,11/17/21 11:08:04 AM,26.977,43.1,,,,,
94,11/17/21 11:08:34 AM,26.977,43.1,,,,,
95,11/17/21 11:09:04 AM,26.977,43.1,,,,,
96,11/17/21 11:09:34 AM,26.977,43.1,,,,,
