"Plot Title: 2021_11_21_a"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20277816, SEN S/N: 20277816)","Intensity, Lux (LGR S/N: 20277816, SEN S/N: 20277816)","Coupler Detached (LGR S/N: 20277816)","Host Connected (LGR S/N: 20277816)","Coupler Attached (LGR S/N: 20277816)","Stopped (LGR S/N: 20277816)","End Of File (LGR S/N: 20277816)"
1,11/21/21 11:14:26 AM,27.370,0.0,,,,,
2,11/21/21 11:14:32 AM,,,Logged,,,,
3,11/21/21 11:14:56 AM,27.567,215.3,,,,,
4,11/21/21 11:15:26 AM,27.567,204.5,,,,,
5,11/21/21 11:15:56 AM,27.567,258.3,,,,,
6,11/21/21 11:16:26 AM,27.567,269.1,,,,,
7,11/21/21 11:16:56 AM,27.567,279.9,,,,,
8,11/21/21 11:17:26 AM,27.468,279.9,,,,,
9,11/21/21 11:17:56 AM,27.468,279.9,,,,,
10,11/21/21 11:18:26 AM,27.370,279.9,,,,,
11,11/21/21 11:18:56 AM,27.370,269.1,,,,,
12,11/21/21 11:19:26 AM,27.370,10.8,,,,,
13,11/21/21 11:19:56 AM,27.370,10.8,,,,,
14,11/21/21 11:20:26 AM,27.272,10.8,,,,,
15,11/21/21 11:20:56 AM,27.272,21.5,,,,,
16,11/21/21 11:21:26 AM,27.272,10.8,,,,,
17,11/21/21 11:21:56 AM,27.173,10.8,,,,,
18,11/21/21 11:22:26 AM,27.173,21.5,,,,,
19,11/21/21 11:22:56 AM,27.173,10.8,,,,,
20,11/21/21 11:23:26 AM,27.075,21.5,,,,,
21,11/21/21 11:23:56 AM,27.075,0.0,,,,,
22,11/21/21 11:24:26 AM,27.075,0.0,,,,,
23,11/21/21 11:24:56 AM,27.075,0.0,,,,,
24,11/21/21 11:25:26 AM,26.977,0.0,,,,,
25,11/21/21 11:25:56 AM,26.977,0.0,,,,,
26,11/21/21 11:26:26 AM,26.879,0.0,,,,,
27,11/21/21 11:26:56 AM,26.879,0.0,,,,,
28,11/21/21 11:27:26 AM,26.879,0.0,,,,,
29,11/21/21 11:27:56 AM,26.879,290.6,,,,,
30,11/21/21 11:28:26 AM,26.879,32.3,,,,,
31,11/21/21 11:28:56 AM,26.879,53.8,,,,,
32,11/21/21 11:29:26 AM,26.879,75.3,,,,,
33,11/21/21 11:29:56 AM,26.879,150.7,,,,,
34,11/21/21 11:30:26 AM,26.879,86.1,,,,,
35,11/21/21 11:30:56 AM,26.879,118.4,,,,,
36,11/21/21 11:31:26 AM,26.977,161.5,,,,,
37,11/21/21 11:31:56 AM,26.977,161.5,,,,,
38,11/21/21 11:32:26 AM,26.977,150.7,,,,,
39,11/21/21 11:32:56 AM,27.075,161.5,,,,,
40,11/21/21 11:33:26 AM,27.075,161.5,,,,,
41,11/21/21 11:33:56 AM,27.173,10.8,,,,,
42,11/21/21 11:34:26 AM,27.272,0.0,,,,,
43,11/21/21 11:34:56 AM,27.272,53.8,,,,,
44,11/21/21 11:35:26 AM,27.370,150.7,,,,,
45,11/21/21 11:35:56 AM,27.468,150.7,,,,,
46,11/21/21 11:36:26 AM,27.764,1248.6,,,,,
47,11/21/21 11:36:56 AM,27.862,3616.7,,,,,
48,11/21/21 11:37:26 AM,28.357,4994.5,,,,,
49,11/21/21 11:37:56 AM,29.652,10333.4,,,,,
50,11/21/21 11:38:26 AM,31.472,10677.8,,,,,
51,11/21/21 11:38:56 AM,32.497,9644.5,,,,,
52,11/21/21 11:39:26 AM,33.430,10677.8,,,,,
53,11/21/21 11:39:56 AM,35.009,11022.3,,,,,
54,11/21/21 11:40:26 AM,36.079,11022.3,,,,,
55,11/21/21 11:40:56 AM,36.946,9300.1,,,,,
56,11/21/21 11:41:26 AM,37.604,11022.3,,,,,
57,11/21/21 11:41:56 AM,38.602,11022.3,,,,,
58,11/21/21 11:42:26 AM,39.389,11022.3,,,,,
59,11/21/21 11:42:56 AM,38.268,16533.4,,,,,
60,11/21/21 11:43:26 AM,37.165,4133.4,,,,,
61,11/21/21 11:43:56 AM,36.837,4650.0,,,,,
62,11/21/21 11:44:26 AM,36.728,4650.0,,,,,
63,11/21/21 11:44:56 AM,36.620,4305.6,,,,,
64,11/21/21 11:45:26 AM,36.728,4477.8,,,,,
65,11/21/21 11:45:56 AM,36.620,4477.8,,,,,
66,11/21/21 11:46:26 AM,36.511,3961.1,,,,,
