"Plot Title: 2021_11_24"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 10834027, SEN S/N: 10834027, LBL: <F1>)","Intensity, Lux (LGR S/N: 10834027, SEN S/N: 10834027)","Coupler Detached (LGR S/N: 10834027)","Coupler Attached (LGR S/N: 10834027)","Host Connected (LGR S/N: 10834027)","Stopped (LGR S/N: 10834027)","End Of File (LGR S/N: 10834027)"
1,11/24/21 10:46:34 AM,25.902,0.0,,,,,
2,11/24/21 10:46:42 AM,,,Logged,,,,
3,11/24/21 10:47:04 AM,25.805,21.5,,,,,
4,11/24/21 10:47:34 AM,26.195,18600.1,,,,,
5,11/24/21 10:48:04 AM,26.488,8266.7,,,,,
6,11/24/21 10:48:34 AM,27.370,5511.1,,,,,
7,11/24/21 10:49:04 AM,27.468,11022.3,,,,,
8,11/24/21 10:49:34 AM,27.567,43.1,,,,,
9,11/24/21 10:50:04 AM,27.468,150.7,,,,,
10,11/24/21 10:50:34 AM,27.468,161.5,,,,,
11,11/24/21 10:51:04 AM,27.370,172.2,,,,,
12,11/24/21 10:51:34 AM,27.272,183.0,,,,,
13,11/24/21 10:52:04 AM,27.173,193.8,,,,,
14,11/24/21 10:52:34 AM,27.075,193.8,,,,,
15,11/24/21 10:53:04 AM,26.977,193.8,,,,,
16,11/24/21 10:53:34 AM,26.879,183.0,,,,,
17,11/24/21 10:54:04 AM,26.879,172.2,,,,,
18,11/24/21 10:54:34 AM,26.781,172.2,,,,,
19,11/24/21 10:55:04 AM,26.683,161.5,,,,,
20,11/24/21 10:55:34 AM,26.585,150.7,,,,,
21,11/24/21 10:56:04 AM,26.585,150.7,,,,,
22,11/24/21 10:56:34 AM,26.488,150.7,,,,,
23,11/24/21 10:57:04 AM,26.390,161.5,,,,,
24,11/24/21 10:57:34 AM,26.390,183.0,,,,,
25,11/24/21 10:58:04 AM,26.292,193.8,,,,,
26,11/24/21 10:58:34 AM,26.292,193.8,,,,,
27,11/24/21 10:59:04 AM,26.292,193.8,,,,,
28,11/24/21 10:59:34 AM,26.195,172.2,,,,,
29,11/24/21 11:00:04 AM,26.195,161.5,,,,,
30,11/24/21 11:00:34 AM,26.195,150.7,,,,,
31,11/24/21 11:01:04 AM,26.195,150.7,,,,,
32,11/24/21 11:01:34 AM,26.097,150.7,,,,,
