"Plot Title: 2021_3_21_b"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, lum/ft² (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
1,03/21/22 11:13:52 AM,70.824,0.0,,,,,
2,03/21/22 11:14:01 AM,,,Logged,,,,
3,03/21/22 11:14:22 AM,70.824,8.0,,,,,
4,03/21/22 11:14:52 AM,70.824,8.0,,,,,
5,03/21/22 11:15:22 AM,70.824,7.0,,,,,
6,03/21/22 11:15:52 AM,70.824,7.0,,,,,
7,03/21/22 11:16:22 AM,70.824,4.0,,,,,
8,03/21/22 11:16:52 AM,70.824,0.0,,,,,
9,03/21/22 11:17:22 AM,70.824,0.0,,,,,
10,03/21/22 11:17:52 AM,70.824,0.0,,,,,
11,03/21/22 11:18:22 AM,70.651,0.0,,,,,
12,03/21/22 11:18:52 AM,70.651,0.0,,,,,
13,03/21/22 11:19:22 AM,70.480,0.0,,,,,
14,03/21/22 11:19:52 AM,70.480,0.0,,,,,
15,03/21/22 11:20:22 AM,70.480,0.0,,,,,
16,03/21/22 11:20:52 AM,70.308,0.0,,,,,
17,03/21/22 11:21:22 AM,70.308,0.0,,,,,
18,03/21/22 11:21:52 AM,70.308,0.0,,,,,
19,03/21/22 11:22:22 AM,70.137,0.0,,,,,
20,03/21/22 11:22:52 AM,70.137,0.0,,,,,
21,03/21/22 11:23:22 AM,70.137,0.0,,,,,
22,03/21/22 11:23:52 AM,69.964,0.0,,,,,
23,03/21/22 11:24:22 AM,69.964,24.0,,,,,
24,03/21/22 11:24:52 AM,69.964,0.0,,,,,
25,03/21/22 11:25:22 AM,69.964,0.0,,,,,
26,03/21/22 11:25:52 AM,69.964,65.0,,,,,
27,03/21/22 11:26:22 AM,70.480,208.0,,,,,
28,03/21/22 11:26:52 AM,70.651,176.0,,,,,
29,03/21/22 11:27:22 AM,71.339,43.0,,,,,
30,03/21/22 11:27:52 AM,71.856,320.0,,,,,
31,03/21/22 11:28:22 AM,72.199,256.0,,,,,
32,03/21/22 11:28:52 AM,72.718,256.0,,,,,
33,03/21/22 11:29:22 AM,73.234,256.0,,,,,
34,03/21/22 11:29:52 AM,73.753,272.0,,,,,
35,03/21/22 11:30:22 AM,74.271,272.0,,,,,
36,03/21/22 11:30:52 AM,74.619,272.0,,,,,
37,03/21/22 11:31:22 AM,75.139,272.0,,,,,
38,03/21/22 11:31:52 AM,75.484,272.0,,,,,
39,03/21/22 11:32:22 AM,76.006,272.0,,,,,
40,03/21/22 11:32:52 AM,76.354,272.0,,,,,
41,03/21/22 11:33:22 AM,76.876,272.0,,,,,
42,03/21/22 11:33:52 AM,77.225,272.0,,,,,
43,03/21/22 11:34:22 AM,77.574,272.0,,,,,
44,03/21/22 11:34:52 AM,77.923,288.0,,,,,
45,03/21/22 11:35:22 AM,78.274,288.0,,,,,
46,03/21/22 11:35:52 AM,78.449,288.0,,,,,
47,03/21/22 11:36:22 AM,78.800,184.0,,,,,
48,03/21/22 11:36:52 AM,79.151,152.0,,,,,
