"Plot Title: 2021_3_22_b"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, lum/ft² (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
1,03/22/22 01:12:42 PM,70.995,0.0,,,,,
2,03/22/22 01:12:51 PM,,,Logged,,,,
3,03/22/22 01:13:12 PM,71.168,0.0,,,,,
4,03/22/22 01:13:42 PM,71.512,1.0,,,,,
5,03/22/22 01:14:12 PM,71.512,0.0,,,,,
6,03/22/22 01:14:42 PM,71.512,320.0,,,,,
7,03/22/22 01:15:12 PM,72.028,512.0,,,,,
8,03/22/22 01:15:42 PM,73.580,1600.0,,,,,
9,03/22/22 01:16:12 PM,73.753,768.0,,,,,
10,03/22/22 01:16:42 PM,73.926,512.0,,,,,
11,03/22/22 01:17:12 PM,74.098,480.0,,,,,
12,03/22/22 01:17:42 PM,74.446,512.0,,,,,
13,03/22/22 01:18:12 PM,74.964,576.0,,,,,
14,03/22/22 01:18:42 PM,75.139,432.0,,,,,
15,03/22/22 01:19:12 PM,75.139,608.0,,,,,
16,03/22/22 01:19:42 PM,75.312,432.0,,,,,
17,03/22/22 01:20:12 PM,75.832,512.0,,,,,
18,03/22/22 01:20:42 PM,76.181,1024.0,,,,,
19,03/22/22 01:21:12 PM,76.354,896.0,,,,,
20,03/22/22 01:21:42 PM,76.703,992.0,,,,,
21,03/22/22 01:22:12 PM,76.876,1472.0,,,,,
22,03/22/22 01:22:42 PM,77.050,1728.0,,,,,
23,03/22/22 01:23:12 PM,77.225,576.0,,,,,
24,03/22/22 01:23:42 PM,77.400,576.0,,,,,
25,03/22/22 01:24:12 PM,77.923,1216.0,,,,,
26,03/22/22 01:24:42 PM,77.749,672.0,,,,,
27,03/22/22 01:25:12 PM,78.098,768.0,,,,,
28,03/22/22 01:25:42 PM,78.098,448.0,,,,,
29,03/22/22 01:26:12 PM,78.449,768.0,,,,,
30,03/22/22 01:26:42 PM,77.749,576.0,,,,,
31,03/22/22 01:27:12 PM,77.574,576.0,,,,,
32,03/22/22 01:27:42 PM,78.098,384.0,,,,,
33,03/22/22 01:28:12 PM,78.274,448.0,,,,,
34,03/22/22 01:28:42 PM,78.274,224.0,,,,,
35,03/22/22 01:29:12 PM,78.274,216.0,,,,,
36,03/22/22 01:29:42 PM,78.449,248.0,,,,,
37,03/22/22 01:30:12 PM,78.800,208.0,,,,,
38,03/22/22 01:30:42 PM,79.326,416.0,,,,,
39,03/22/22 01:31:12 PM,80.029,496.0,,,,,
40,03/22/22 01:31:42 PM,80.735,512.0,,,,,
41,03/22/22 01:32:12 PM,81.266,496.0,,,,,
42,03/22/22 01:32:42 PM,80.911,1984.0,,,,,
43,03/22/22 01:33:12 PM,81.090,1472.0,,,,,
44,03/22/22 01:33:42 PM,82.152,8192.0,,,,,
45,03/22/22 01:34:12 PM,82.686,5632.0,,,,,
46,03/22/22 01:34:42 PM,82.686,1152.0,,,,,
47,03/22/22 01:35:12 PM,82.864,2048.0,,,,,
48,03/22/22 01:35:42 PM,82.686,896.0,,,,,
49,03/22/22 01:36:12 PM,83.043,1472.0,,,,,
50,03/22/22 01:36:42 PM,82.864,1728.0,,,,,
51,03/22/22 01:37:12 PM,82.864,1280.0,,,,,
52,03/22/22 01:37:42 PM,82.864,1856.0,,,,,
53,03/22/22 01:38:12 PM,82.864,1600.0,,,,,
54,03/22/22 01:38:42 PM,82.864,1280.0,,,,,
55,03/22/22 01:39:12 PM,82.864,1216.0,,,,,
56,03/22/22 01:39:42 PM,82.864,1216.0,,,,,
57,03/22/22 01:40:12 PM,82.864,1536.0,,,,,
58,03/22/22 01:40:42 PM,83.043,1408.0,,,,,
59,03/22/22 01:41:12 PM,83.043,1920.0,,,,,
60,03/22/22 01:41:42 PM,83.221,1792.0,,,,,
61,03/22/22 01:42:12 PM,83.757,1664.0,,,,,
62,03/22/22 01:42:42 PM,83.935,2176.0,,,,,
63,03/22/22 01:43:12 PM,84.115,2304.0,,,,,
64,03/22/22 01:43:42 PM,84.295,2176.0,,,,,
65,03/22/22 01:44:12 PM,84.474,2304.0,,,,,
66,03/22/22 01:44:42 PM,84.295,2304.0,,,,,
67,03/22/22 01:45:12 PM,84.295,1664.0,,,,,
68,03/22/22 01:45:42 PM,84.474,2048.0,,,,,
69,03/22/22 01:46:12 PM,84.474,1920.0,,,,,
70,03/22/22 01:46:42 PM,84.474,1792.0,,,,,
71,03/22/22 01:47:12 PM,84.654,1664.0,,,,,
72,03/22/22 01:47:42 PM,84.474,1536.0,,,,,
73,03/22/22 01:48:12 PM,84.474,1728.0,,,,,
74,03/22/22 01:48:42 PM,84.474,1536.0,,,,,
75,03/22/22 01:49:12 PM,84.474,1984.0,,,,,
76,03/22/22 01:49:42 PM,84.474,1728.0,,,,,
77,03/22/22 01:50:12 PM,84.474,2816.0,,,,,
78,03/22/22 01:50:42 PM,84.474,2048.0,,,,,
79,03/22/22 01:51:12 PM,84.474,2048.0,,,,,
80,03/22/22 01:51:42 PM,84.474,1664.0,,,,,
81,03/22/22 01:52:12 PM,84.474,1408.0,,,,,
82,03/22/22 01:52:42 PM,84.474,1920.0,,,,,
83,03/22/22 01:53:12 PM,84.474,1664.0,,,,,
84,03/22/22 01:53:42 PM,84.474,1344.0,,,,,
85,03/22/22 01:54:12 PM,84.654,1536.0,,,,,
86,03/22/22 01:54:42 PM,84.654,1664.0,,,,,
87,03/22/22 01:55:12 PM,84.654,1472.0,,,,,
88,03/22/22 01:55:42 PM,84.474,2048.0,,,,,
89,03/22/22 01:56:12 PM,84.654,1664.0,,,,,
90,03/22/22 01:56:42 PM,84.654,1920.0,,,,,
91,03/22/22 01:57:12 PM,84.654,4608.0,,,,,
92,03/22/22 01:57:42 PM,84.654,2048.0,,,,,
93,03/22/22 01:58:12 PM,84.834,1856.0,,,,,
94,03/22/22 01:58:42 PM,84.834,1728.0,,,,,
