"Plot Title: 2022_3_22"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834027, SEN S/N: 10834027, LBL: <F1>)","Intensity, lum/ft² (LGR S/N: 10834027, SEN S/N: 10834027)","Coupler Detached (LGR S/N: 10834027)","Host Connected (LGR S/N: 10834027)","Coupler Attached (LGR S/N: 10834027)","Stopped (LGR S/N: 10834027)","End Of File (LGR S/N: 10834027)"
1,03/22/22 01:13:26 PM,70.651,0.0,,,,,
2,03/22/22 01:13:32 PM,,,Logged,,,,
3,03/22/22 01:13:56 PM,70.824,0.0,,,,,
4,03/22/22 01:14:26 PM,70.824,0.0,,,,,
5,03/22/22 01:14:56 PM,70.824,448.0,,,,,
6,03/22/22 01:15:26 PM,70.824,704.0,,,,,
7,03/22/22 01:15:56 PM,71.168,496.0,,,,,
8,03/22/22 01:16:26 PM,71.512,416.0,,,,,
9,03/22/22 01:16:56 PM,71.683,672.0,,,,,
10,03/22/22 01:17:26 PM,72.028,512.0,,,,,
11,03/22/22 01:17:56 PM,72.199,672.0,,,,,
12,03/22/22 01:18:26 PM,72.372,480.0,,,,,
13,03/22/22 01:18:56 PM,72.718,448.0,,,,,
14,03/22/22 01:19:26 PM,72.891,608.0,,,,,
15,03/22/22 01:19:56 PM,73.234,896.0,,,,,
16,03/22/22 01:20:26 PM,73.407,512.0,,,,,
17,03/22/22 01:20:56 PM,73.753,576.0,,,,,
18,03/22/22 01:21:26 PM,73.926,576.0,,,,,
19,03/22/22 01:21:56 PM,74.271,960.0,,,,,
20,03/22/22 01:22:26 PM,74.446,336.0,,,,,
21,03/22/22 01:22:56 PM,74.791,608.0,,,,,
22,03/22/22 01:23:26 PM,74.964,768.0,,,,,
23,03/22/22 01:23:56 PM,75.139,800.0,,,,,
24,03/22/22 01:24:26 PM,75.139,496.0,,,,,
25,03/22/22 01:24:56 PM,75.312,496.0,,,,,
26,03/22/22 01:25:26 PM,75.484,168.0,,,,,
27,03/22/22 01:25:56 PM,75.832,1664.0,,,,,
28,03/22/22 01:26:26 PM,75.832,44.0,,,,,
29,03/22/22 01:26:56 PM,76.006,480.0,,,,,
30,03/22/22 01:27:26 PM,76.703,2816.0,,,,,
31,03/22/22 01:27:56 PM,77.225,896.0,,,,,
32,03/22/22 01:28:26 PM,77.574,1664.0,,,,,
33,03/22/22 01:28:56 PM,77.749,1152.0,,,,,
34,03/22/22 01:29:26 PM,77.923,1792.0,,,,,
35,03/22/22 01:29:56 PM,78.274,2048.0,,,,,
36,03/22/22 01:30:26 PM,78.449,1856.0,,,,,
37,03/22/22 01:30:56 PM,79.151,3968.0,,,,,
38,03/22/22 01:31:26 PM,79.678,4096.0,,,,,
39,03/22/22 01:31:56 PM,80.029,3968.0,,,,,
40,03/22/22 01:32:26 PM,80.029,224.0,,,,,
41,03/22/22 01:32:56 PM,80.382,272.0,,,,,
42,03/22/22 01:33:26 PM,80.735,576.0,,,,,
43,03/22/22 01:33:56 PM,81.797,448.0,,,,,
44,03/22/22 01:34:26 PM,81.621,896.0,,,,,
45,03/22/22 01:34:56 PM,82.508,1600.0,,,,,
46,03/22/22 01:35:26 PM,82.686,1152.0,,,,,
47,03/22/22 01:35:56 PM,82.686,1344.0,,,,,
48,03/22/22 01:36:26 PM,82.508,800.0,,,,,
49,03/22/22 01:36:56 PM,82.330,960.0,,,,,
50,03/22/22 01:37:26 PM,82.330,896.0,,,,,
51,03/22/22 01:37:56 PM,82.508,1216.0,,,,,
52,03/22/22 01:38:26 PM,82.508,1024.0,,,,,
53,03/22/22 01:38:56 PM,82.508,992.0,,,,,
54,03/22/22 01:39:26 PM,82.508,896.0,,,,,
55,03/22/22 01:39:56 PM,82.686,1088.0,,,,,
56,03/22/22 01:40:26 PM,82.686,1024.0,,,,,
57,03/22/22 01:40:56 PM,82.686,1152.0,,,,,
58,03/22/22 01:41:26 PM,82.864,1408.0,,,,,
59,03/22/22 01:41:56 PM,83.043,1536.0,,,,,
60,03/22/22 01:42:26 PM,83.579,1728.0,,,,,
61,03/22/22 01:42:56 PM,83.757,1728.0,,,,,
62,03/22/22 01:43:26 PM,83.935,1536.0,,,,,
63,03/22/22 01:43:56 PM,83.935,1600.0,,,,,
64,03/22/22 01:44:26 PM,84.115,1600.0,,,,,
65,03/22/22 01:44:56 PM,84.115,1664.0,,,,,
66,03/22/22 01:45:26 PM,84.115,1536.0,,,,,
67,03/22/22 01:45:56 PM,84.115,1664.0,,,,,
68,03/22/22 01:46:26 PM,84.295,1728.0,,,,,
69,03/22/22 01:46:56 PM,84.295,1536.0,,,,,
70,03/22/22 01:47:26 PM,84.295,1344.0,,,,,
71,03/22/22 01:47:56 PM,84.295,1408.0,,,,,
72,03/22/22 01:48:26 PM,84.295,1536.0,,,,,
73,03/22/22 01:48:56 PM,84.295,1408.0,,,,,
74,03/22/22 01:49:26 PM,84.295,1408.0,,,,,
75,03/22/22 01:49:56 PM,84.295,1536.0,,,,,
76,03/22/22 01:50:26 PM,84.295,1536.0,,,,,
