"Plot Title: 2021_11_23_b"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, Lux (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
1,11/23/21 03:41:40 PM,26.683,0.0,,,,,
2,11/23/21 03:41:45 PM,,,Logged,,,,
3,11/23/21 03:42:10 PM,26.879,0.0,,,,,
4,11/23/21 03:42:40 PM,26.879,0.0,,,,,
5,11/23/21 03:43:10 PM,26.879,0.0,,,,,
6,11/23/21 03:43:40 PM,26.879,0.0,,,,,
7,11/23/21 03:44:10 PM,26.879,0.0,,,,,
8,11/23/21 03:44:40 PM,26.879,0.0,,,,,
9,11/23/21 03:45:10 PM,26.879,43.1,,,,,
10,11/23/21 03:45:40 PM,26.879,43.1,,,,,
11,11/23/21 03:46:10 PM,26.781,0.0,,,,,
12,11/23/21 03:46:40 PM,26.781,0.0,,,,,
13,11/23/21 03:47:10 PM,26.683,10.8,,,,,
14,11/23/21 03:47:40 PM,26.683,10.8,,,,,
15,11/23/21 03:48:10 PM,26.585,0.0,,,,,
16,11/23/21 03:48:40 PM,26.488,43.1,,,,,
17,11/23/21 03:49:10 PM,26.488,10.8,,,,,
18,11/23/21 03:49:40 PM,26.488,10.8,,,,,
19,11/23/21 03:50:10 PM,26.390,0.0,,,,,
20,11/23/21 03:50:40 PM,26.390,10.8,,,,,
21,11/23/21 03:51:10 PM,26.292,21.5,,,,,
22,11/23/21 03:51:40 PM,26.488,8611.2,,,,,
23,11/23/21 03:52:10 PM,26.585,2411.1,,,,,
24,11/23/21 03:52:40 PM,26.585,1636.1,,,,,
25,11/23/21 03:53:10 PM,26.585,1550.0,,,,,
26,11/23/21 03:53:40 PM,26.585,1808.3,,,,,
27,11/23/21 03:54:10 PM,26.879,850.4,,,,,
28,11/23/21 03:54:40 PM,27.173,958.0,,,,,
29,11/23/21 03:55:10 PM,27.370,1237.9,,,,,
30,11/23/21 03:55:40 PM,27.468,990.3,,,,,
31,11/23/21 03:56:10 PM,27.567,979.5,,,,,
32,11/23/21 03:56:40 PM,27.665,1291.7,,,,,
33,11/23/21 03:57:10 PM,27.764,1636.1,,,,,
34,11/23/21 03:57:40 PM,27.862,333.7,,,,,
35,11/23/21 03:58:10 PM,27.862,775.0,,,,,
36,11/23/21 03:58:40 PM,27.862,592.0,,,,,
37,11/23/21 03:59:10 PM,27.862,1377.8,,,,,
38,11/23/21 03:59:40 PM,27.862,1356.3,,,,,
39,11/23/21 04:00:10 PM,27.961,1259.4,,,,,
40,11/23/21 04:00:40 PM,27.961,1377.8,,,,,
41,11/23/21 04:01:10 PM,27.961,1280.9,,,,,
42,11/23/21 04:01:40 PM,27.961,1162.5,,,,,
43,11/23/21 04:02:10 PM,27.961,1076.4,,,,,
44,11/23/21 04:02:40 PM,27.961,1216.3,,,,,
45,11/23/21 04:03:10 PM,27.961,1377.8,,,,,
46,11/23/21 04:03:40 PM,27.961,1302.4,,,,,
47,11/23/21 04:04:10 PM,27.961,1248.6,,,,,
48,11/23/21 04:04:40 PM,27.961,1216.3,,,,,
49,11/23/21 04:05:10 PM,27.961,1184.0,,,,,
50,11/23/21 04:05:40 PM,27.961,1205.6,,,,,
51,11/23/21 04:06:10 PM,27.961,1302.4,,,,,
52,11/23/21 04:06:40 PM,27.961,1377.8,,,,,
53,11/23/21 04:07:10 PM,28.060,2325.0,,,,,
54,11/23/21 04:07:40 PM,28.159,2497.2,,,,,
55,11/23/21 04:08:10 PM,28.159,2152.8,,,,,
56,11/23/21 04:08:40 PM,28.159,1808.3,,,,,
57,11/23/21 04:09:10 PM,28.060,1324.0,,,,,
58,11/23/21 04:09:40 PM,27.961,161.5,,,,,
59,11/23/21 04:10:10 PM,27.961,0.0,,,,,
60,11/23/21 04:10:40 PM,27.862,0.0,,,,,
61,11/23/21 04:11:10 PM,27.862,0.0,,,,,
62,11/23/21 04:11:40 PM,27.862,0.0,,,,,
63,11/23/21 04:12:10 PM,27.862,0.0,,,,,
64,11/23/21 04:12:40 PM,27.764,0.0,,,,,
65,11/23/21 04:13:10 PM,27.764,0.0,,,,,
66,11/23/21 04:13:40 PM,27.764,0.0,,,,,
67,11/23/21 04:14:10 PM,27.764,0.0,,,,,
68,11/23/21 04:14:40 PM,27.764,0.0,,,,,
69,11/23/21 04:15:10 PM,27.764,0.0,,,,,
70,11/23/21 04:15:40 PM,27.764,0.0,,,,,
71,11/23/21 04:16:10 PM,27.764,0.0,,,,,
72,11/23/21 04:16:40 PM,27.764,0.0,,,,,
73,11/23/21 04:17:10 PM,27.764,0.0,,,,,
74,11/23/21 04:17:40 PM,27.764,505.9,,,,,
75,11/23/21 04:18:10 PM,27.764,344.4,,,,,
76,11/23/21 04:18:40 PM,27.764,333.7,,,,,
77,11/23/21 04:19:10 PM,27.764,301.4,,,,,
78,11/23/21 04:19:40 PM,27.764,312.2,,,,,
79,11/23/21 04:20:10 PM,27.764,312.2,,,,,
80,11/23/21 04:20:40 PM,27.764,301.4,,,,,
81,11/23/21 04:21:10 PM,27.764,645.8,,,,,
82,11/23/21 04:21:40 PM,27.764,387.5,,,,,
83,11/23/21 04:22:10 PM,27.862,1011.8,,,,,
84,11/23/21 04:22:40 PM,27.862,7233.4,,,,,
85,11/23/21 04:23:10 PM,27.665,5166.7,,,,,
86,11/23/21 04:23:40 PM,27.370,4994.5,,,,,
87,11/23/21 04:24:10 PM,27.075,5166.7,,,,,
88,11/23/21 04:24:40 PM,26.781,5166.7,,,,,
89,11/23/21 04:25:10 PM,26.488,5166.7,,,,,
90,11/23/21 04:25:40 PM,26.292,5166.7,,,,,
91,11/23/21 04:26:10 PM,26.097,5166.7,,,,,
92,11/23/21 04:26:40 PM,26.000,5166.7,,,,,
93,11/23/21 04:27:10 PM,25.805,5338.9,,,,,
94,11/23/21 04:27:40 PM,25.610,5166.7,,,,,
95,11/23/21 04:28:10 PM,25.416,5511.1,,,,,
96,11/23/21 04:28:40 PM,25.222,5511.1,,,,,
97,11/23/21 04:29:10 PM,25.125,5511.1,,,,,
98,11/23/21 04:29:40 PM,25.028,775.0,,,,,
99,11/23/21 04:29:49 PM,,,,Logged,Logged,,
100,11/23/21 04:30:10 PM,25.028,64.6,,,,,
101,11/23/21 04:30:16 PM,,,,,,Logged,Logged
