"","site","region","probe","p.slp","p.rsq","p.se","r.slp","r.rsq","r.se","tempO2_PS","tempO2_R","parPS","parR","tempHOBO_PS","tempHOBO_R","successful","location","description","dominant","chamber"
"mins","site01","GBR","P1",9.6,0.903,0.660323999960715,-10.4,0.902,0.598450515529051,27.6872,27.6417142857143,6382.592,578.025714285714,29.44228,28.0114428571429,"y","Casuarina","massive porites medium","Porites","bl 1"
"mins1","site01","GBR","P2",8.7,0.901,0.600743472141644,-10.5,0.911,0.572263470989483,27.7776,27.5828571428571,6382.592,578.025714285714,29.44228,28.0114428571429,"y","Casuarina","massive porites medium","Porites","bl 1"
"mins2","site02","GBR","P3",47.9,0.96,2.19406355421961,-23.9,0.987,0.556775217957822,27.6709090909091,27.5444444444444,4198.67954545455,0,28.1612954545455,27.7767222222222,"y","Casuarina","dead branching","Turf_dead","bl 2"
"mins3","site02","GBR","P4",45.4,0.963,1.97614261004915,-22.4,0.986,0.530433810566192,27.7409090909091,27.6392592592593,4198.67954545455,0,28.1612954545455,27.7767222222222,"y","Casuarina","dead branching","Turf_dead","bl 2"
"mins4","site03","GBR","P1",15.4,0.877,1.15247079255852,-11.7,0.962,0.436489778027482,28.7222222222222,28.5793333333333,5469.68148148148,0.18,29.2816296296296,28.73595,"y","Casuarina","staghorn","Acropora","bl 1"
"mins5","site03","GBR","P2",17.2,0.928,0.957744775630872,-28.9,0.984,0.68923368450223,28.8666666666667,28.526,5469.68148148148,0.18,29.2816296296296,28.73595,"y","Casuarina","staghorn","Acropora","bl 1"
"mins6","site04","GBR","P3",9.3,0.95,0.427950622191728,-6.9,0.932,0.345228336507024,28.6903703703704,28.5193548387097,7558.68703703704,124.475806451613,29.464962962963,28.7365322580645,"y","Casuarina","massive porites small","Porites","bl 2"
"mins7","site04","GBR","P4",8.6,0.934,0.456008130973153,-6.6,0.959,0.25108308926531,28.7066666666667,28.6006451612903,7558.68703703704,124.475806451613,29.464962962963,28.7365322580645,"y","Casuarina","massive porites small","Porites","bl 2"
"mins8","site05","GBR","P1",20.5,0.769,2.12609524557984,-16.2,0.878,1.14317223201388,27.5613333333333,27.4046666666667,2658.33333333333,0.718333333333333,29.3041333333333,27.55695,"y","Outer Jo's","foliose echino","Foliose","bl 1"
"mins9","site05","GBR","P4",20.5,0.826,1.78023154282393,-16.1,0.993,0.25242098082487,27.4233333333333,27.378,2658.33333333333,0.718333333333333,29.3041333333333,27.55695,"y","Outer Jo's","foliose echino","Foliose","bl 1"
"mins10","site06","GBR","P2",11.2,0.971,0.368317033189718,-5.3,0.926,0.290944830799708,27.8226666666667,27.4365517241379,6231.59666666667,85.9275862068965,29.1839833333333,27.6364482758621,"y","Outer Jo's","branching echino","Branching_other","bl 2"
"mins11","site06","GBR","P3",21.3,0.826,1.84817114286255,-4.4,0.909,0.269245526776207,27.6473333333333,27.3841379310345,6231.59666666667,85.9275862068965,29.1839833333333,27.6364482758621,"y","Outer Jo's","branching echino","Branching_other","bl 2"
"mins12","site07","GBR","P1",10.1,0.949,0.444130841146439,-20.6,0.984,0.507714327135654,27.9766666666667,27.9014285714286,2800.24166666667,0,28.2976,28.0158035714286,"y","Jo's cove","Acro corym","Acropora","bl 1"
