site,region,date,successful,location,description,dominant,depth,lat,long,notes,,
site01,GBR,23/10/2024,y,Casuarina,massive porites medium,Porites,2.1,-14.674481,145.444403,mm1. R recured at 12.15,,
site02,GBR,23/10/2024,y,Casuarina,dead branching,Turf_dead,2.1,-14.674481,145.444403,mm1. R recured at 12.15,,
site03,GBR,23/10/2024,y,Casuarina,staghorn,Acropora,2,-14.675809,145.445464,1 chromis: P chrysurus,,
site04,GBR,23/10/2024,y,Casuarina,massive porites small,Porites,2,-14.675809,145.445464,resp bag fell half off. 16.25-16.28good,,
site05,GBR,24/10/2024,y,Outer Jo's,foliose echino,Foliose,1.2,-14.685786,145.454129,mm9,,
site06,GBR,24/10/2024,y,Outer Jo's,branching echino,Branching_other,1.2,-14.685786,145.454129,mm9,,
site07,GBR,24/10/2024,y,Jo's cove,Acro corym,Acropora,3.35,-14.687259,145.454091,mm4,,
site08,GBR,24/10/2024,y,Jo's cove,Poc + fish,Pocillopora_fish,3.66,-14.687259,145.454091,mm4. many fish,,
site09,GBR,25/10/2024,y,Outer Jo's,branching por small,Branching_other,2.1,-14.687188,145.454664,,,
site10,GBR,25/10/2024,y,Outer Jo's,Poc + fish 2,Pocillopora_fish,2.4,-14.687188,145.454664,many fish,,
site11,GBR,25/10/2024,y,Jo's cove,coscinarea,Mound_other,2.1,-14.687233,145.453756,feather star,,
site12,GBR,25/10/2024,y,Jo's cove,small poc,Pocillopora,2.7,-14.687233,145.453756,,,
site13,GBR,26/10/2024,y,Casuarina,small stag,Acropora,1.5,-14.675269,145.444848,,,
site14,GBR,26/10/2024,y,Casuarina,por and rock,Porites,1.5,-14.675269,145.444848,1 stressed longfinned goby,,
site15,GBR,26/10/2024,y,Casuarina,small por/fav,Mound_other,1.8,-14.676222,145.444818,14:57 PS fixed,,
site16,GBR,26/10/2024,y,Casuarina,large favid,Mound_other,1.8,-14.676222,145.444818,Sand/alg = 14:33-39,,
site17,GBR,28/10/2024,y,Casuarina,Turf rock,Turf_dead,1.2,-14.676008,145.445528,,,
site18,GBR,28/10/2024,y,Casuarina,Acro corym2,Acropora,1.2,-14.676008,145.445528,,,
site19,GBR,28/10/2024,y,Casuarina,Monti,Mound_other,1.2,-14.676008,145.445528,,,
